t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.0017142585626873416,-0.00037552991125475616,-0.0036499273283537377,-0.004803686280227836,-0.0009999783683460749,0.0006769240782078804,0.0007787270591354491,0.003322143167097706,-0.0005987165936945525,-0.005121699201013134,-0.005603546278250877,-0.0,-0.0,-0.0,-0.0
1,-9.174526491761738e-05,0.000403197147880693,-0.0011363192289546582,-0.0003175045010756027,-0.00010180298092757086,-2.500596952940856e-05,1.1897267488111831e-05,0.0002411407990648666,0.0002968799818977027,-0.004556982027882274,-0.004244888540535168,-0.0,-0.0,-0.0,-0.0
2,7.241371465647472e-06,0.0004150944153688048,-0.0009038046749869139,-3.8727785034404796e-05,-3.690323701752164e-05,-6.820218480083124e-05,-4.4007133539290846e-05,4.7845331041618936e-05,0.00032399075483521714,-0.003981135660537504,-0.0036451079423165922,-0.0,-0.0,-0.0,-0.0
3,1.9647030007324947e-05,0.00037108728182951397,-0.0007735226071667046,2.7042534199046314e-06,-2.4195051261537385e-05,-6.647200855720449e-05,-4.6628911678926486e-05,1.6811768542011514e-05,0.0002920205846816179,-0.0034670556917007025,-0.003164743886996774,-0.0,-0.0,-0.0,-0.0
4,1.9143522380335182e-05,0.0003244583701505875,-0.0006711844337552375,7.932872981976744e-06,-1.9843096878278897e-05,-5.894048402254775e-05,-4.185688045063225e-05,1.0826339933795857e-05,0.0002556828930250005,-0.003017679196419041,-0.0027530682621127065,-0.0,-0.0,-0.0,-0.0
5,1.6973746708337996e-05,0.00028260148969995523,-0.0005838135942590377,7.759080278183476e-06,-1.7083603571915052e-05,-5.1462597168039617e-05,-3.662295935944576e-05,8.838776384520168e-06,0.00022275405385570096,-0.0026262908899852507,-0.002395771223352188,-0.0,-0.0,-0.0,-0.0
6,1.4820092605691479e-05,0.00024597853034050946,-0.000508035511653616,6.883936105634114e-06,-1.4839637808593937e-05,-4.481329146271501e-05,-3.1902331498897255e-05,7.602662971943414e-06,0.00019389670727361746,-0.0022856258397392242,-0.0020849714951796257,-0.0,-0.0,-0.0,-0.0
7,1.2905156185679787e-05,0.00021407619884161218,-0.0004421268016987693,6.011419656767438e-06,-1.2910959963817667e-05,-3.9004911271466714e-05,-2.7768668857116515e-05,6.602512217770337e-06,0.00016875201306070151,-0.0019891437869144876,-0.0018145107982791239,-0.0,-0.0,-0.0,-0.0
8,1.1232404080202479e-05,0.00018630752998449567,-0.00038477357979898165,5.235130343906045e-06,-1.1236242414350514e-05,-3.3946744869446074e-05,-2.416732472152444e-05,5.7436569011406405e-06,0.0001468643197782469,-0.0017311194941642437,-0.001579137055997353,-0.0,-0.0,-0.0,-0.0
9,9.775698969640016e-06,0.00016214020526297121,-0.00033486088804939897,4.5569862697177315e-06,-9.7794201479212e-06,-2.9544301639667105e-05,-2.1032542003946974e-05,4.9979486769367736e-06,0.00012781511344536495,-0.001506565273106872,-0.001374295929160599,-0.0,-0.0,-0.0,-0.0
10,8.507826644497152e-06,0.00014110766325902424,-0.00029142276291307104,3.966468780416395e-06,-8.511759635720131e-06,-2.5712967011018417e-05,-1.8304304642561546e-05,4.349201567532293e-06,0.00011123680194232566,-0.0013111396407101748,-0.0011960263759778367,-0.0,-0.0,-0.0,-0.0
