t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,2.730925801027185e-05,-0.0001945823306300335,-0.0002741043273869444,0.00227299086153647,-9.055472089841185e-06,-1.2190418755253049e-18,-9.023807306456101e-06,6.646197533213561e-05,-0.00019148240780532863,-0.000432826754823282,-0.0006129433759382122,-0.0,-0.0,-0.0,0.05
1,6.85837266153388e-05,-0.0002036061379364896,-0.00010715997634795737,0.0022828364946816822,9.02380730645486e-06,-3.197906733076934e-06,-5.833509807731017e-06,-2.3699114270495018e-05,-0.00018914042842138658,-0.00031303928020735486,-0.0005014281296679351,-0.0,-0.0,-0.0,0.0475
2,5.383368102916388e-05,-0.0002094396477442206,-9.582033939621751e-05,0.0021389030868346273,2.6356030746540807e-06,4.21474444271499e-06,2.263409004403909e-06,-2.600176074111517e-06,-0.00019422235926831104,-0.00022085838613469387,-0.00041443820070680105,-0.0,-0.0,-0.0,0.045125
3,4.905818527929262e-05,-0.0002071762387398167,-7.823330363292038e-05,0.002027225132667646,1.9513354383109728e-06,6.176067458571813e-06,4.09344614529971e-06,4.0810219887257865e-07,-0.0001913164055677033,-0.00014457133925763744,-0.00033544693045388835,-0.0,-0.0,-0.0,0.04286875
4,4.598172348142326e-05,-0.000203082792594517,-6.202511349057309e-05,0.001924991312271742,2.0826213132720525e-06,7.1261345142453455e-06,4.836843080222754e-06,6.78979826636101e-07,-0.00018678214505095126,-8.076562667773952e-05,-0.00026729313585471316,-0.0,-0.0,-0.0,0.04072531249999999
5,4.3321766171586706e-05,-0.00019824594951429425,-4.80476684963067e-05,0.0018284781636678884,2.2892914340221104e-06,7.771959872388957e-06,5.306299920013662e-06,5.605120153809312e-07,-0.00018169066609675098,-2.7515689036795116e-05,-0.00020910990798337874,-0.0,-0.0,-0.0,0.038689046874999994
6,4.086885515392077e-05,-0.0001929396495942806,-3.6156583030668995e-05,0.0017368989629856456,2.465659952375257e-06,8.244909467682815e-06,5.642665322335594e-06,4.084793775314736e-07,-0.00017628791902657,1.668929457482477e-05,-0.00015963406748162846,-0.0,-0.0,-0.0,0.03675459453124999
7,3.857926961694777e-05,-0.000187296984271945,-2.6091154880597393e-05,0.0016499281102172654,2.602244145347363e-06,8.585018645451318e-06,5.881600189868634e-06,2.7391672049041823e-07,-0.00017068069673411787,5.3134203709982906e-05,-0.00011769090384264917,-0.0,-0.0,-0.0,0.03491686480468749
8,3.643583608882927e-05,-0.00018141538408207638,-1.7604465258655464e-05,0.0015673211721134025,2.703418455582583e-06,8.815626037448799e-06,6.040708331566693e-06,1.6163820162832337e-07,-0.00016494350736276348,8.292821032436002e-05,-8.22489703738644e-05,-0.0,-0.0,-0.0,0.03317102156445311
9,3.4426466495377285e-05,-0.00017537467575050967,-1.0479187337178743e-05,0.001488856096082583,2.774917705882039e-06,8.955173925167945e-06,6.133145336761333e-06,6.979284473305352e-08,-0.00015913647236665788,0.00010703100423798804,-5.241152901542485e-05,-0.0,-0.0,-0.0,0.03151247048623045
10,3.2540752936271914e-05,-0.00016924153041374834,-4.526418279892233e-06,0.0014143236723130705,2.8220285884069512e-06,9.01933316636017e-06,6.169927415480021e-06,-4.126459490530799e-09,-0.00015330938791665157,0.00012627292511527396,-2.7400492507255328e-05,-0.0,-0.0,-0.0,0.02993684696191893
11,3.07693435683318e-05,-0.00016307160299826833,4.1762253987577373e-07,0.0013435255727256622,2.8494057508802084e-06,9.02160476158484e-06,6.160479373790993e-06,-6.240745183922147e-08,-0.0001475034902070492,0.00014137205993058931,-6.541135617783817e-06,-0.0,-0.0,-0.0,0.028440004613822983
12,2.9103756965983553e-05,-0.00015691112362447733,4.4948153561604026e-06,0.0012762735790221565,2.8611253877937862e-06,8.97365267485942e-06,6.112887301852301e-06,-1.0702340584800918e-07,-0.00014175271617458216,0.0001529490476556898,1.0751406144590164e-05,-0.0,-0.0,-0.0,0.027018004383131834
13,2.7536274394654536e-05,-0.00015079823632262502,7.8279954454794e-06,0.0012123890190856217,2.8607653730075063e-06,8.885564875150748e-06,6.034083868876092e-06,-1.3965213101629422e-07,-0.00013608475420924732,0.0001615399423609386,2.4983911052005146e-05,-0.0,-0.0,-0.0,0.02566710416397524
14,2.605985336170794e-05,-0.00014476415245374892,1.0523444252920211e-05,0.0011517022596945232,2.851481006275092e-06,8.766076896322885e-06,5.93000402694179e-06,-1.6170763148182677e-07,-0.00013052194744005754,0.00016760739521764595,3.65953168314953e-05,-0.0,-0.0,-0.0,0.024383748955776476
15,2.4668052556187455e-05,-0.00013883414842680715,1.2673056522976555e-05,0.001094052230631287,2.8360728693811326e-06,8.622766769191946e-06,5.805719420793652e-06,-1.7436943768338583e-07,-0.00012508207435920864,0.00017155037513037096,4.5965631929612016e-05,-0.0,-0.0,-0.0,0.023164561507987652
16,2.335496560184908e-05,-0.00013302842900601348,1.4356224416650832e-05,0.0010392859748595315,2.817047348398297e-06,8.462225833278239e-06,5.6655549527029345e-06,-1.7860779542475174e-07,-0.00011977902377996521,0.00017371261810231374,5.342368493156837e-05,-0.0,-0.0,-0.0,0.02200633343258827
17,2.2115162298255856e-05,-0.00012736287405331056,1.5641475180871625e-05,0.0009872582225479358,2.79667088057577e-06,8.290208883832847e-06,5.51318992394008e-06,-1.7520484094152933e-07,-0.00011462337821804238,0.00017438997054385614,5.925386276957678e-05,-0.0,-0.0,-0.0,0.020906016760958854
18,2.094363632818818e-05,-0.00012184968412937048,1.6587894328948126e-05,0.0009378309872836985,2.7770189598929647e-06,8.11176661605106e-06,5.351745768919133e-06,-1.647721227803586e-07,-0.000109622917850339,0.00017383677019867436,6.370196881659374e-05,-0.0,-0.0,-0.0,0.019860715922910912
19,1.983575855242202e-05,-0.00011649793836045135,1.724636216540444e-05,0.0008908731829835656,2.7600208471318108e-06,7.931362967427574e-06,5.183862119772884e-06,-1.477648077102265e-07,-0.00010478305561316119,0.0001722713896297849,6.698031487636802e-05,-0.0,-0.0,-0.0,0.018867680126765367
20,1.8787235117381295e-05,-0.00011131407624067846,1.7660627882358482e-05,0.0008462602601041058,2.74750084765469e-06,7.752979660245641e-06,5.0117627079468816e-06,-1.244928505379038e-07,-0.00010010721263364409,0.0001698810508952488,6.927214618466677e-05,-0.0,-0.0,-0.0,0.017924296120427098
21,1.779406968767706e-05,-0.00010630231353273157,1.786824231620147e-05,0.0008038738598264581,2.741216952298909e-06,7.580209993672905e-06,4.8373124095275176e-06,-9.512934973404149e-08,-9.559714200263503e-05,0.00016682600583064542,7.073548555141402e-05,-0.0,-0.0,-0.0,0.01702808131440574
22,1.6852529188722916e-05,-0.00010146500112320405,1.790136772513793e-05,0.0007636014849529148,2.742897584145911e-06,7.416343722523895e-06,4.662066566942646e-06,-5.971625660049949e-08,-9.125320786970442e-05,0.00016324316396660582,7.150647144889293e-05,-0.0,-0.0,-0.0,0.016176677248685455
23,1.5959112506704366e-05,-9.68029345562614e-05,1.778748057865691e-05,0.0007253361863061967,2.7542771555816396e-06,7.264444683089596e-06,4.487313568147544e-06,-1.8167555873162975e-08,-8.707462595077082e-05,0.0001592492393046713,7.170225496832648e-05,-0.0,-0.0,-0.0,0.015367843386251181
24,1.5110521646300438e-05,-9.231562098811385e-05,1.7549981294600022e-05,0.0006889762634700316,2.777131114941494e-06,7.127422682052697e-06,4.314111533174122e-06,2.973000904455548e-08,-8.305967076819678e-05,0.00015494347774462196,7.142351193561637e-05,-0.0,-0.0,-0.0,0.014599451216938621
25,1.430363489373712e-05,-8.800150945493973e-05,1.7208723080945978e-05,0.0006544249787574356,2.813311148878434e-06,7.00810104944173e-06,4.143319846102275e-06,8.431862965971135e-08,-7.920585427583127e-05,0.00015041001872106974,7.075661893356056e-05,-0.0,-0.0,-0.0,0.013869478656091689
26,1.3535481579014605e-05,-8.385818960883746e-05,1.6780470507694612e-05,0.0006215902833524805,2.864781203339617e-06,6.909281168197817e-06,3.975626179569126e-06,1.4607352981451554e-07,-7.551007994140698e-05,0.0001457199374132416,6.977553538567225e-05,-0.0,-0.0,-0.0,0.013176004723287104
27,1.2803218086374078e-05,-7.988256342926833e-05,1.627929712870615e-05,0.0005903845546673875,2.9336549886290212e-06,6.833805228540687e-06,3.8115695945487063e-06,2.1560944220043936e-07,-7.196877584800082e-05,0.00014093300761527542,6.854342811003345e-05,-0.0,-0.0,-0.0,0.012517204487122747
28,1.2104104846278694e-05,-7.607099383471963e-05,1.5716930387350587e-05,0.0005607243441425833,3.022235633991118e-06,6.784618411447148e-06,3.651560275300099e-06,2.936893625459596e-07,-6.857800991069217e-05,0.00013609921990735324,6.711406978766234e-05,-0.0,-0.0,-0.0,0.011891344262766609
29,1.1435484197176528e-05,-7.241943355941954e-05,1.510305119030825e-05,0.0005325301351054431,3.1330581361477457e-06,6.7648316764627325e-06,3.495896511519838e-06,3.8123526038488283e-07,-6.533358984439154e-05,0.00013126008511925823,6.553303861789886e-05,-0.0,-0.0,-0.0,0.011296777049628278
30,1.0794759319217648e-05,-6.89235370478997e-05,1.4445554984696564e-05,0.0005057261111329247,3.2689351649415854e-06,6.7777863036305e-06,3.344779740076234e-06,4.793399001672123e-07,-6.223114998983766e-05,0.00012644974929699058,6.383874319846492e-05,-0.0,-0.0,-0.0,0.010731938197146863
