output,shock,impact_t0,peak_abs_col0,sum_col0
Y,e_R,-2.5324236762647194,2.5324236762647194,-2.4067955810002926
Y,e_T,0.000546185160205434,0.0013716745323067749,0.019736581873533263
cR,e_R,-0.5547592755881039,0.6132067520300579,4.8909908387601835
cR,e_T,-0.0038916466126006654,0.004188792954884407,-0.1018864394465845
cW,e_R,-5.391930123119049,5.391930123119049,-17.16909653339515
cW,e_T,-0.005482086547738901,0.005482086547738901,-0.006579812148379764
cP,e_R,-7.096344235449916,7.096344235449916,-7.51764730966287
cP,e_T,0.045459817230729394,0.04565672989363364,0.8636705439907892
pi,e_R,-1.4772385863322275,1.4772385863322275,-1.9446117713412168
pi,e_T,-0.00018110944179681822,0.0002015855499933163,0.0037851255836219688
R,e_R,0.9999999999999726,0.9999999999999726,0.08738609057903896
R,e_T,-2.2879403848862068e-17,0.00031851586496494576,0.007857881638019485
r,e_R,1.1503905448260452,1.1503905448260452,0.5547592755881039
r,e_T,-0.00018047614612912117,0.00031851586496494576,0.003891646612600665
X,e_R,4.907704237516314,4.907704237516314,5.475045510525821
X,e_T,0.0013292395066427179,0.0013292395066427179,0.0005225877766354772
q,e_R,-0.8844663869537767,0.8844663869537767,3.3722817033051236
q,e_T,-0.0038296481561065727,0.00388444718536622,-0.09288332791283574
hW,e_R,-7.566135355345091,7.566135355345091,-59.595785692519286
hW,e_T,-0.00865653509646565,0.00865653509646565,0.07726474347400698
bW,e_R,-8.277953848363385,8.277953848363385,-55.893796877848445
bW,e_T,-0.012258867518764255,0.012258867518764255,-0.01568058289532283
A,e_R,-0.0,0.0,0.0
A,e_T,-0.0,0.0,0.0
j,e_R,-0.0,0.0,0.0
j,e_T,-0.0,0.0,0.0
u,e_R,-0.0,0.0,0.0
u,e_T,-0.0,0.0,0.0
TP,e_R,-0.0,0.0,0.0
TP,e_T,1.0,1.0,18.29484819331382
