t,Output (pct),Ricardian Consumption (pct),WH2M Consumption (pct),PH2M Consumption (pct),Inflation (bps),Policy Rate (bps),Real Rate (bps),Markup (pct)
0,-0.15698872364244001,-0.04044585203339,-0.31950124339159,-0.44264622802837,-9.226548454633999,6.7692407820780005,7.7612455131,0.30710158085995004
1,-0.008881707752948666,0.037166603097609996,-0.10576693144756001,-0.03072039576872,-0.992004731021634,0.15552961025556486,0.523220978837343,0.02332694313795
2,0.0010610218503576748,0.04239881288598,-0.0914672369494,-0.003070119663683611,-0.36769136858177265,-0.3729683502652227,-0.11907616654359413,0.004279874015718035
3,0.002549390734578717,0.04120805122054,-0.08493932546196,0.0013530203965252503,-0.2538921837216373,-0.437313047177899,-0.2128592605408078,0.0011308230205416092
4,0.002659586819495075,0.03907945861514,-0.07992101845135001,0.0019741160913053757,-0.2244537866371145,-0.4268266752897301,-0.2173583037922138,0.0005898343175528942
5,0.0025513754722941546,0.03690587557721,-0.07537227961744,0.0019777660089482355,-0.2094683714975415,-0.40527261129150943,-0.2078321582265772,0.00047779623178960493
6,0.0024144893312789996,0.03482755399495,-0.07111004373251,0.0018857932947964708,-0.19744045306494423,-0.38303966085242075,-0.19658572458413887,0.00043733843967674424
7,0.0022796384831254013,0.03286169674911,-0.0670924596453,0.0017834513288264334,-0.1864539362682952,-0.36176926282629096,-0.18560389864031504,0.00040978753252109336
8,0.0021514826355798398,0.0310056577627,-0.06330149469966,0.0016844321642096038,-0.17616536418596848,-0.341672387534572,-0.1751813401728274,0.00038544785090850406
9,0.0020304320580017466,0.029253844360969998,-0.059723648906370004,0.0015907125851340623,-0.16649104736174683,-0.3227290410107145,-0.16533730823863918,0.0003626571143432572
10,0.0019162209330511844,0.02760047127859,-0.05634675732825,0.0015023657268806374,-0.15739173277207777,-0.3048847741532783,-0.15604753948557393,0.0003410728271527001
11,0.0018084921843178792,0.02603999588373,-0.05315943228235,0.0014191691123455312,-0.14883723466771404,-0.28808275499926767,-0.14728217387327347,0.00032057116797383505
12,0.0017068923790031978,0.024567174145000002,-0.0501509402431,0.0013408677049552011,-0.1408005811259962,-0.27226889429499423,-0.13901188493014777,0.00030106609587444543
13,0.0016110863745711886,0.0231770552957,-0.047311151787840004,0.001267216517236612,-0.13325700936484472,-0.2573925673218771,-0.13120880156596051,0.00028247932425399933
14,0.0015207588770546994,0.021864967280039997,-0.04463050518628,0.0011979871566662268,-0.12618376575592674,-0.24340662826869297,-0.12384658035532513,0.0002647350161859402
15,0.0014356139225367263,0.02062650147649,-0.042099973799339996,0.0011329685427129783,-0.11956004791337126,-0.2302673234596546,-0.11690034269532307,0.00024775851411878687
16,0.0013553740863722435,0.019457498049530002,-0.039711035584699995,0.0010719667556941931,-0.11336698076433444,-0.21793420324968266,-0.11034659369537525,0.00023147570756424263
17,0.0012797797156135992,0.01835403211258,-0.03745564434451,0.0010148048352005199,-0.10758760955431262,-0.20637004949992818,-0.10416314169372698,0.0002158124768630042
18,0.0012085882331619256,0.01731240069564,-0.03532620257494,0.0009613226676045968,-0.10220690780619883,-0.19554082211857354,-0.09832902124136984,0.00020069411527716394
19,0.001141573522210757,0.01632911048323,-0.03331553581803,0.000911376992113913,-0.09721180087721353,-0.18541562613120677,-0.0928244197707315,0.00018604470708773825
20,0.0010785253935517946,0.015400866285520001,-0.031416868427289996,0.0008648415380116509,-0.09259120636049001,-0.17596670061546466,-0.0876306077425982,0.00017178645101093167
21,0.00101924913792368,0.01452456020809,-0.02962380066406,0.000821607304320664,-0.08833609287286809,-0.16716943103738874,-0.08272987200438892,0.00015783891933455896
22,0.0009635651661126933,0.013697261488049998,-0.027930287046189998,0.0007815829942501717,-0.08443955903299934,-0.15900238681182827,-0.07810545209276289,0.0001441182425252016
23,0.0009113087401711987,0.012916206967120002,-0.02633061587483,0.0007446956182770893,-0.08089693471907121,-0.15144738623572399,-0.07374147923256491,0.00013053620814893908
24,0.0008623297996390778,0.0121787921748,-0.02481938986922,0.0007108912808408545,-0.07770590700316345,-0.14448959131013245,-0.06962291782262894,0.00011699926228638153
25,0.0008164928867833649,0.01148256299657,-0.02339150784387,0.0006801361657004912,-0.07486667348750912,-0.13811763537411675,-0.06573550927793755,0.00010340740167944243
26,0.0007736771740699568,0.01082520790379,-0.022042147367129998,0.0006524177325256468,-0.07238212609618276,-0.1323237869212628,-0.06206571826573066,8.965294664294e-05
27,0.000733776594193768,0.01020455072113,-0.02076674834742,0.0006277461290988065,-0.07025806865553048,-0.12710415344968348,-0.05860068172381521,7.561919047814793e-05
28,0.0006967000656660363,0.009618543903901036,-0.01956099750324,0.0006061558031317747,-0.06850347172587129,-0.12245892968553888,-0.05532816178860722,6.117893515887935e-05
29,0.0006623717901732776,0.009065262286014964,-0.01842081369228,0.0005877072513749225,-0.06713076789693473,-0.11839269496213026,-0.05223650530857031,4.619295484527877e-05
30,0.0006307315612881848,0.008542897232929262,-0.01734233411074,0.0005724887428958154,-0.06615618965355972,-0.11491476480353968,-0.04931461585600718,3.050849783155134e-05
31,0.0006017349459053376,0.00804975107436919,-0.01632190144665,0.000560617638498972,-0.06560014894753805,-0.11203960157744706,-0.046551950911238156,1.395808464238391e-05
32,0.0005753530347185351,0.007584231565256809,-0.015356052219590001,0.0005522404749841544,-0.06548765066620807,-0.1097872878583296,-0.043938570996428505,-3.6408298299206944e-06
33,0.0005515711118155455,0.007144845855292523,-0.014441506847089999,0.0005475300323733315,-0.06584871686190001,-0.1081840626405092,-0.04146529694112547,-2.248411187893758e-05
34,0.0005303848694650503,0.006730192885881269,-0.01357516261742,0.0005466756148433274,-0.06671876569938505,-0.10726291216471016,-0.03912409274623219,-4.277454428785042e-05
35,0.0005117912828731553,0.006338951958418946,-0.01275409207858,0.0005498586278429436,-0.06813881941848118,-0.10706418844443477,-0.03690891921322901,-6.470534551908994e-05
36,0.000495768107921293,0.005969862766286656,-0.01197555212388,0.0005571968830832701,-0.07015526923120828,-0.10763618827463603,-0.034817569569004385,-8.842227881193838e-05
37,0.00048222939528453165,0.005621687070596613,-0.0112370148239,0.0005686230314698532,-0.07281861870563361,-0.10903553995880656,-0.032855552617205394,-0.00011394068165782785
38,0.0004709307242596376,0.005293131544424559,-0.0105362430737,0.0005836249491982282,-0.07617998734160158,-0.11132706497836664,-0.03104424370442998,-0.0001409680410253123
39,0.00046126933586505353,0.0049826891073802585,-0.009871459160860683,0.0006006976139582707,-0.08028282127393864,-0.11458240478185251,-0.0294379294036487,-0.00016852918250815177
40,0.00045186491935589817,0.004688309813343772,-0.00924170651559824,0.0006161929054692448,-0.08514447537820596,-0.1188759150866044,-0.02815938317807307,-0.00019417956272451496
41,0.00043968300830616317,0.004406715981563041,-0.00864761354999587,0.0006219139813631215,-0.09071653190853309,-0.12427468634487966,-0.027474048780151163,-0.0002123597082232292
