draw,loss,mse,sign_penalty,persistence_penalty,impact_ph_model,impact_wh_model,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
425,0.04697984520858797,0.0023582338843315563,0.04,0.004621611324256416,-0.03238823552724029,-0.032286662317463494,0.4598126319085204,1.4669556636657184,0.17436663808356945,0.9000321175202491,0.4037608391314957,0.3305594409604514,0.16777799291617346,0.32755727601055645
390,0.047412889502368036,0.002528518177694745,0.04,0.0048843713246732885,-0.02912562804306186,-0.023259991231470725,0.4692871548616658,1.5872089613705562,0.1466970529212148,0.6016581761755918,0.6840511394340595,0.849612000701011,0.06403944431094646,0.222029610568494
55,0.04770294826573532,0.002955804855410136,0.04,0.004747143410325182,-0.03947738939902351,-0.03831813948415326,0.4703282647584802,1.6146331381869077,0.2570650512321986,0.6657885816405512,0.4513637632615509,0.2468265831042552,0.2158057077063804,0.21049622486047145
430,0.048771439061918664,0.0036204721357514045,0.04,0.005150966926167261,-0.039925158707983376,-0.03523093225180381,0.4503083057759394,1.2317969834845797,0.25981625348093973,0.815501558885741,0.678072937544425,0.7479491789693666,0.1530882706047008,0.14732591390200805
135,0.049352980648041236,0.0036960770835658403,0.04,0.005656903564475397,-0.030630002647364186,-0.029059417280675934,0.6113423848940994,1.4760173370892042,0.29853563719498377,0.6525650466440986,0.8336281046625086,0.19256333384754357,0.09191314393287113,0.3995133302541706
115,0.05008432536984725,0.004332135120755928,0.04,0.005752190249091321,-0.03766616660460244,-0.03827524636895599,0.5769791093526293,1.5543656577087313,0.08743746315074798,0.7571558138977885,0.6519212079687107,0.29620717841856775,0.15915149228055717,0.3479671272907714
155,0.0509615336786102,0.004952998469195149,0.04,0.00600853520941505,-0.03923226604269539,-0.03501308681853996,0.6054896010900653,1.7178327979402257,0.2145955067192297,0.9063525668689956,0.49539106844877057,0.8829073151203511,0.11471430484402619,0.22278522669472606
156,0.05120504460022601,0.00491040532964901,0.04,0.006294639270577006,-0.03247609261541087,-0.029459008235818745,0.5325915057332044,0.7249135960733809,0.14883576844226454,0.8457912331966787,0.8026798024056708,0.5821573332039419,0.07336760901434837,0.36603511423438345
378,0.05124436071242117,0.004918393330176796,0.04,0.006325967382244377,-0.031066098244385457,-0.024075034019052168,0.5594738167582968,1.0053742349765518,0.11442515838572656,0.9505907744210809,0.96,0.4491329083768244,0.034080417255559534,0.2757425093592784
323,0.05148583528321498,0.0050971483701153595,0.04,0.006388686913099623,-0.03219411762050364,-0.026273161555997036,0.5736490938855514,0.8351758699707829,0.2609243291764128,0.9437716337407741,0.9485200386093291,0.5263397211385336,0.04723234735341155,0.29228676424176814
