t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0005869166244288609,-0.00010074443317767482,-0.0013066486296879633,-0.001662135172432507,-0.0003742776352414818,0.0006769240782078948,0.00048768555926216746,0.0011557409866711306,-0.00018143483713016666,-0.0015972420177691364,-0.0017262454744767384,-0.0,-0.0,-0.0,-0.0,-0.00039664955803402595,-0.000275378688330674
1,0.00032103815372613685,0.00038694112608449264,-2.2799711778367992e-05,0.0008614226264541268,0.00018923851894572758,-0.0004469899534917422,-0.0003524031613073664,-0.0005821162474692243,0.0003586821025545655,-0.001397679819555415,-0.001041987827375475,-0.0,-0.0,-0.0,-0.0,-0.0001197232990329696,-0.00010630147903810432
2,-0.00013243701995203496,3.4537964777126256e-05,-0.00042213186267572856,-0.0003832999483067207,-9.458679218437622e-05,0.00018744721630873122,0.00015069383137983285,0.00026943196358760764,3.2888308725737995e-06,-0.0013705416874787992,-0.001363403810497591,-0.0,-0.0,-0.0,-0.0,-0.00018419037860090075,-0.00014812597918334244
3,7.588496490529539e-05,0.0001852317961569591,-0.00021379729029766156,0.00019012440635487587,3.675338492889923e-05,-0.00010418020161986307,-8.072886214498097e-05,-0.00012345005265847363,0.00015783170836104,-0.0012705094522372058,-0.0011121216459738803,-0.0,-0.0,-0.0,-0.0,-0.00010397685746137761,-9.81494081148344e-05
4,-2.104143286777421e-05,0.00010450293401197815,-0.0002871364853546196,-7.514640659661143e-05,-2.3451339474882283e-05,3.134176410365726e-05,2.6656656478451298e-05,5.774545497044527e-05,7.765894411834483e-05,-0.0012103808428455866,-0.0011307769623960268,-0.0,-0.0,-0.0,-0.0,-0.00010074567541038117,-9.518587599348568e-05
5,2.289400215368909e-05,0.00013115959049042944,-0.00023180794372748887,4.65271597583878e-05,4.685107625205772e-06,-3.0241972656697898e-05,-2.2290160252048405e-05,-2.588717426360505e-05,0.00010626053692801091,-0.0011377699374216256,-0.0010303281439768563,-0.0,-0.0,-0.0,-0.0,-7.018445904414595e-05,-7.449528334881086e-05
6,1.8912213432914893e-06,0.00010886943023838105,-0.0002370375902040509,-1.0263516866225309e-05,-7.951812404649391e-06,-9.49886473651037e-07,8.48565776607577e-07,1.2651956138046545e-05,8.515163319272057e-05,-0.0010765121114741955,-0.0009899430559442157,-0.0,-0.0,-0.0,-0.0,-5.8769865671876934e-05,-6.534585293894885e-05
7,1.0886519068175105e-05,0.00010971799601498862,-0.00021546566745003578,1.5311049937438817e-05,-1.7984522502579796e-06,-1.3629358333433151e-05,-9.297990876209459e-06,-5.166277449187117e-06,8.74176213065874e-05,-0.0010152991420394233,-0.0009266827038538908,-0.0,-0.0,-0.0,-0.0,-4.3746532678258664e-05,-5.3728114326065214e-05
8,6.0820395368685855e-06,0.00010042000513877916,-0.000207329377934189,2.9241616344639113e-06,-4.331367457223664e-06,-6.993104932267056e-06,-4.118911908557381e-06,3.0162163638185318e-06,7.931844730932351e-05,-0.0009590525102236964,-0.0008785379474655013,-0.0,-0.0,-0.0,-0.0,-3.456028330202899e-05,-4.567356932882874e-05
9,7.680245408592091e-06,9.630109323022179e-05,-0.00019400702613152427,8.082426565753631e-06,-2.8741930237099467e-06,-9.311292973974233e-06,-6.037515033814824e-06,-7.937357721047309e-07,7.639565084963806e-05,-0.0009052231352996194,-0.0008277279008241232,-0.0,-0.0,-0.0,-0.0,-2.601273254915454e-05,-3.803336494843725e-05
10,6.359392114794226e-06,9.026357819640696e-05,-0.00018403276758210355,5.177961584134695e-06,-3.2737779401594865e-06,-7.540008903900008e-06,-4.708027300826066e-06,9.305832463975115e-07,7.145771944168102e-05,-0.0008547237511600728,-0.0007822142476613615,-0.0,-0.0,-0.0,-0.0,-1.9829626006290997e-05,-3.194880252761637e-05
