t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0005869166244288609,-0.00010074443317767482,-0.0013066486296879633,-0.001662135172432507,-0.0003742776352414818,0.0006769240782078948,0.00048768555926216746,0.0011557409866711306,-0.00018143483713016666,-0.0015972420177691364,-0.0017262454744767384,-0.0,-0.0,-0.0,-0.0,-0.00039664955803402595,-0.000275378688330674
1,-0.000265878470702724,0.0002861966929068178,-0.0013294483414663313,-0.0008007125459783802,-0.00018503911629575424,0.00022993412471615255,0.00013528239795480108,0.0005736247392019063,0.00017724726542439886,-0.0029949218373245515,-0.0027682333018522135,-0.0,-0.0,-0.0,-0.0,-0.0005163728570669956,-0.0003816801673687783
2,-0.000398315490654759,0.00032073465768394407,-0.00175158020414206,-0.001184012494285101,-0.00027962590848013046,0.00041738134102488377,0.0002859762293346339,0.0008430567027895139,0.00018053609629697264,-0.004365463524803351,-0.0041316371123498044,-0.0,-0.0,-0.0,-0.0,-0.0007005632356678963,-0.0005298061465521208
3,-0.0003224305257494636,0.0005059664538409032,-0.0019653774944397217,-0.0009938880879302252,-0.00024287252355123122,0.0003132011394050207,0.00020524736718965296,0.0007196066501310403,0.00033836780465801265,-0.0056359729770405565,-0.0052437587583236845,-0.0,-0.0,-0.0,-0.0,-0.0008045400931292739,-0.0006279555546669552
4,-0.0003434719586172378,0.0006104693878528813,-0.0022525139797943414,-0.0010690344945268368,-0.0002663238630261135,0.00034454290350867796,0.00023190402366810427,0.0007773521051014855,0.0004160267487763575,-0.006846353819886143,-0.006374535720719711,-0.0,-0.0,-0.0,-0.0,-0.0009052857685396551,-0.0007231414306604409
5,-0.0003205779564635487,0.0007416289783433107,-0.0024843219235218305,-0.001022507334768449,-0.00026163875540090775,0.0003143009308519801,0.00020961386341605587,0.0007514649308378805,0.0005222872857043684,-0.007984123757307768,-0.007404863864696567,-0.0,-0.0,-0.0,-0.0,-0.0009754702275838011,-0.0007976367140092517
6,-0.00031868673512025725,0.0008504984085816918,-0.0027213595137258813,-0.0010327708516346744,-0.00026959056780555713,0.00031335104437832904,0.00021046242919266344,0.0007641168869759271,0.000607438918897089,-0.009060635868781964,-0.008394806920640784,-0.0,-0.0,-0.0,-0.0,-0.001034240093255678,-0.0008629825669482005
7,-0.00030780021605208215,0.0009602164045966804,-0.0029368251811759173,-0.0010174598016972356,-0.0002713890200558151,0.0002997216860448959,0.00020116443831645397,0.0007589506095267399,0.0006948565402036765,-0.010075935010821387,-0.009321489624494673,-0.0,-0.0,-0.0,-0.0,-0.0010779866259339366,-0.0009167106812742657
8,-0.00030171817651521355,0.0010606364097354595,-0.0031441545591101064,-0.0010145356400627717,-0.00027572038751303877,0.00029272858111262885,0.0001970455264078966,0.0007619668258905585,0.000774174987513,-0.011034987521045083,-0.010200027571960174,-0.0,-0.0,-0.0,-0.0,-0.0011125469092359657,-0.0009623842506030944
9,-0.00029403793110662147,0.0011569375029656813,-0.003338161585241631,-0.001006453213497018,-0.00027859458053674873,0.0002834172881386546,0.00019100801137408177,0.0007611730901184538,0.0008505706383626381,-0.011940210656344702,-0.011027755472784298,-0.0,-0.0,-0.0,-0.0,-0.0011385596417851202,-0.0010004176155515316
10,-0.0002876785389918272,0.0012472010811620882,-0.0035221943528237344,-0.0010012752519128834,-0.0002818683584769082,0.00027587727923475457,0.0001862999840732557,0.0007621036733648513,0.0009220283578043191,-0.012794934407504776,-0.01180996972044566,-0.0,-0.0,-0.0,-0.0,-0.0011583892677914111,-0.001032366418079148
11,-0.00028126072030516596,0.001332756632057669,-0.003695610853513649,-0.0009952529071674242,-0.00028470034007998206,0.00026818298506902635,0.00018139833806407016,0.000762207393727016,0.000989829834002204,-0.013601819172615551,-0.012548066363575564,-0.0,-0.0,-0.0,-0.0,-0.001173066575696055,-0.0010589953274641002
12,-0.0002753899017124029,0.0014134105369440644,-0.0038595595871612634,-0.0009900878272186518,-0.0002874929882365242,0.0002611858542663844,0.00017698237825156216,0.0007626629091398966,0.00105371630997389,-0.01436359955017386,-0.013245025904476187,-0.0,-0.0,-0.0,-0.0,-0.0011838078730098001,-0.0010812092337772088
