t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,1.6321167614924014e-05,-0.0001626920794337926,-0.0003803222447150398,0.0022556372786235604,-2.095714709925712e-05,4.2885139437586966e-19,-1.4973620059934952e-05,7.366816530856953e-05,-0.00017444045413652522,-0.0004679942759982126,-0.0006268448956248444,-0.0,-0.0,-0.0,0.05,0.014984465360971812,0.004986284557452283
1,7.432035649413835e-05,-0.00017766569949372756,-0.00015656831137194211,0.0023141969041722103,1.4973620059935e-05,-3.333177342480296e-05,-2.350978853640998e-05,-5.084215458476497e-05,-0.00017382423968656654,-0.00040310926433218317,-0.0005768954534850519,-0.0,-0.0,-0.0,0.0475,0.026266982133464272,0.009009847907769757
2,3.187118014916231e-05,-0.00020117548803013754,-0.00017775238650795768,0.00209250018504575,-9.821984888392637e-06,2.2490478036571905e-05,2.0575645778415797e-05,2.408822179389221e-05,-0.00019729597768927898,-0.0003574910138870107,-0.0005541978543362135,-0.0,-0.0,-0.0,0.045125,0.03455467749802252,0.012175513660142108
3,4.782038159865862e-05,-0.00018059984225172175,-0.00014649124009665778,0.002036475843027655,1.9148322581560436e-06,-3.2241676948973064e-06,5.200933808258813e-10,-1.0528564176158825e-05,-0.0001761311946707872,-0.0003092428863145304,-0.0004851212650291381,-0.0,-0.0,-0.0,0.04286875,0.040518954276469184,0.014647731478289764
4,3.702946137703738e-05,-0.00018059932215834092,-0.000141003321560616,0.0019119555593945265,-3.2246877882777815e-06,8.651796815680834e-06,9.252418414312198e-06,5.393990002309404e-06,-0.00017587785862122694,-0.00026801426237040867,-0.0004435592782042676,-0.0,-0.0,-0.0,0.04072531249999999,0.04464140623249218,0.01653081796358339
5,3.876310452532006e-05,-0.00017134690374402873,-0.00012509831277744376,0.0018265672954813873,-6.006215986311082e-07,3.165430931258346e-06,4.743639121081278e-06,-1.9947090899206e-06,-0.0001662925974195467,-0.0002289321767260343,-0.0003949975086460139,-0.0,-0.0,-0.0,0.038689046874999994,0.04733040799302725,0.017928963065137086
6,3.489750731029584e-05,-0.00016660326462294745,-0.00011537133608998823,0.001730283073421596,-1.578208189823033e-06,5.669585651239003e-06,6.5826403970923446e-06,1.3735290629443956e-06,-0.00016132169279889803,-0.0001938514122232816,-0.00035495980628186843,-0.0,-0.0,-0.0,0.03675459453124999,0.0488996123595904,0.018922770250200553
7,3.378362968870036e-05,-0.0001600206242258551,-0.00010407326971095465,0.001645822943068957,-9.130547458535811e-07,4.470644373912611e-06,5.493785764357308e-06,-2.1768049541369674e-07,-0.00015452575366149454,-0.0001615496781893156,-0.00031591281566923924,-0.0,-0.0,-0.0,0.03491686480468749,0.04960368915948576,0.019583665523040694
8,3.155975953817865e-05,-0.0001545268384614978,-9.469144716196512e-05,0.0015623651506880695,-1.023141390444877e-06,4.964931594017692e-06,5.756698775500233e-06,4.81678429489597e-07,-0.00014886935171556668,-0.00013224901164538022,-0.00028098435949341997,-0.0,-0.0,-0.0,0.03317102156445311,0.049642487853103746,0.019970296972067966
9,2.999858998503775e-05,-0.00014877013968599755,-8.553535352736287e-05,0.0014845783663272683,-7.917671814825849e-07,4.664769119466153e-06,5.397686202215868e-06,1.2688148040991122e-07,-0.00014297864907253946,-0.0001055283793349238,-0.0002484070702210131,-0.0,-0.0,-0.0,0.03151247048623045,0.049175631170374476,0.020132783469512073
