t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,1.6321167614924014e-05,-0.0001626920794337926,-0.0003803222447150398,0.0022556372786235604,-2.095714709925712e-05,4.2885139437586966e-19,-1.4973620059934952e-05,7.366816530856953e-05,-0.00017444045413652522,-0.0004679942759982126,-0.0006268448956248444,-0.0,-0.0,-0.0,0.05,0.014984465360971812,0.004986284557452283
1,9.064152410906236e-05,-0.00034035777892752015,-0.000536890556086982,0.004569834182795771,-5.983527039322121e-06,-3.333177342480253e-05,-3.8483408596344934e-05,2.2826010723804556e-05,-0.0003482646938230918,-0.0008711035403303958,-0.0012037403491098964,-0.0,-0.0,-0.0,0.0975,0.041251447494436086,0.01399613246522204
2,0.00012251270425822468,-0.0005415332669576577,-0.0007146429425949396,0.006662334367841521,-1.580551192771476e-05,-1.0841295388230626e-05,-1.7907762817929137e-05,4.6914232517696766e-05,-0.0005455606715123707,-0.0012285945542174065,-0.00175793820344611,-0.0,-0.0,-0.0,0.142625,0.0758061249924586,0.02617164612536415
3,0.00017033308585688329,-0.0007221331092093794,-0.0008611341826915975,0.008698810210869176,-1.3890679669558716e-05,-1.4065463083127934e-05,-1.7907242724548312e-05,3.638566834153794e-05,-0.000721691866183158,-0.001537837440531937,-0.002243059468475248,-0.0,-0.0,-0.0,0.18549375,0.1163250792689278,0.040819377603653915
4,0.00020736254723392066,-0.0009027324313677204,-0.0010021375042522135,0.010610765770263703,-1.71153674578365e-05,-5.4136662674471e-06,-8.654824310236115e-06,4.177965834384734e-05,-0.0008975697248043849,-0.0018058517029023455,-0.002686618746679516,-0.0,-0.0,-0.0,0.2262190625,0.16096648550141998,0.057350195567237305
5,0.00024612565175924074,-0.001074079335111749,-0.0011272358170296573,0.01243733306574509,-1.771598905646761e-05,-2.2482353361887534e-06,-3.911185189154837e-06,3.978494925392674e-05,-0.0010638623222239316,-0.0020347838796283798,-0.00308161625532553,-0.0,-0.0,-0.0,0.264908109375,0.20829689349444724,0.07527915863237439
6,0.00028102315906953655,-0.0012406825997346965,-0.0012426071531196456,0.014167616139166686,-1.9294197246290643e-05,3.4213503150502492e-06,2.6714552079375075e-06,4.115847831687114e-05,-0.0012251840150228296,-0.0022286352918516614,-0.003436576061607398,-0.0,-0.0,-0.0,0.30166270390624994,0.25719650585403764,0.09420192888257495
7,0.0003148067887582369,-0.0014007032239605516,-0.0013466804228306002,0.015813439082235644,-2.0207251992144224e-05,7.89199468896286e-06,8.165240972294816e-06,4.094079782145744e-05,-0.001379709768684324,-0.002390184970040977,-0.0037524888772766376,-0.0,-0.0,-0.0,0.3365795687109374,0.3068001950135234,0.11378559440561564
8,0.0003463665482964155,-0.0015552300624220494,-0.0014413718699925653,0.017375804232923713,-2.1230393382589102e-05,1.2856926282980552e-05,1.3921939747795048e-05,4.142247625094704e-05,-0.0015285791203998908,-0.002522433981686357,-0.004033473236770058,-0.0,-0.0,-0.0,0.36975059027539053,0.35644268286662717,0.13375589137768362
9,0.00037636513828145327,-0.0017040002021080469,-0.0015269072235199281,0.01886038259925098,-2.2022160564071686e-05,1.7521695402446704e-05,1.9319625950010916e-05,4.154935773135695e-05,-0.0016715577694724302,-0.0026279623610212808,-0.004281880306991071,-0.0,-0.0,-0.0,0.401263060761621,0.40561831403700166,0.1538886748471957
