output,shock,impact_t0,peak_abs_col0,sum_col0
Y,e_R,-0.8670346399594449,0.8670346399594449,-0.2771121188023326
Y,e_T,0.0003264233522984894,0.0014864071298827594,0.01667254933930162
cR,e_R,-0.14882678341770317,0.5716167271060733,3.8593050082553146
cR,e_T,-0.0032538415886758532,0.0040235097606027516,-0.09102420735654132
cW,e_R,-1.9302735295621603,1.9302735295621603,-9.300213092666946
cW,e_T,-0.007606444894300772,0.007606444894300772,-0.041252327362887135
cP,e_R,-2.455423327284922,2.455423327284922,-1.3469677573275898
cP,e_T,0.04511274557247123,0.046283938083444186,0.8604314192153297
pi,e_R,-0.5529093251230676,0.5529093251230676,-0.5039099074414628
pi,e_T,-0.0004191429419851364,0.0004191429419851364,0.00033506224477383603
R,e_R,0.9999999999999997,0.9999999999999997,0.19782620109930804
R,e_T,8.873162579517358e-18,0.000666635468496054,0.004008046775434844
r,e_R,0.7204435105237764,0.7204435105237764,0.14882678341770322
r,e_T,-0.0002994724011986984,0.0004701957707282002,0.0032538415886758532
X,e_R,1.7073421139500133,1.7073421139500133,1.1351097348378683
X,e_T,0.0014733633061713724,0.0014733633061713724,0.0008546000027083126
q,e_R,-0.2680283402098827,0.5298705040957457,2.9620745017329275
q,e_T,-0.0034888090827305063,0.003945919553785582,-0.08690850562084451
hW,e_R,-2.359558581514362,2.359558581514362,-37.54649253948399
hW,e_T,-0.009359885519964249,0.009359885519964249,-0.0018660568653282982
bW,e_R,-2.5501315879423934,2.5501315879423934,-34.465216480958894
bW,e_T,-0.012536897912496885,0.012536897912496885,-0.08853959499211816
A,e_R,-0.0,0.0,0.0
A,e_T,-0.0,0.0,0.0
j,e_R,-0.0,0.0,0.0
j,e_T,-0.0,0.0,0.0
u,e_R,-0.0,0.0,0.0
u,e_T,-0.0,0.0,0.0
TP,e_R,-0.0,0.0,0.0
TP,e_T,1.0,1.0,18.29484819331382
dP,e_R,-0.5859587076354638,0.5859587076354638,-1.6965075657042195
dP,e_T,0.29968930721943626,0.9928497570620747,26.780440381184448
dW,e_R,-0.4068088242033258,0.4068088242033258,-1.7157528567766915
dW,e_T,0.09972569114904559,0.40265566939024144,11.738315526391219
