dataset,response_label,group,direction,term,model_series,linear_sign_assumption,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0,0.003844544744185,-0.0024835451846079,0.010172634672978,0.0078032329793046,-0.0016621351724325,-0.019160240285623433,-0.023004785029808433,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,1,0.0033056425821559,-0.0026003813347578,0.0092116664990696,0.0078032329793046,-0.0008007125459783,-0.009230202834950577,-0.012535845417106478,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,2,-0.0021614769470905,-0.0087987093839962,0.0044757554898151,0.0078032329793046,-0.0011840124942851,-0.01364868770479264,-0.01148721075770214,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,3,-0.0016789704675766,-0.0068057542996334,0.0034478133644802,0.0078032329793046,-0.0009938880879302,-0.011457031231636976,-0.009778060764060376,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,4,0.001903359651271,-0.0107137509039402,0.0145204702064824,0.0078032329793046,-0.0010690344945268,-0.012323280397692983,-0.014226640048963984,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,5,0.0023634059648987,-0.0071616979468803,0.0118885098766778,0.0078032329793046,-0.0010225073347684,-0.011786939205012557,-0.014150345169911257,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,6,0.0008694275382036738,-0.0086354336374228,0.0103742887138301,0.0078032329793046,-0.0010327708516346,-0.011905251754192384,-0.012774679292396058,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,7,0.0030769149815056,-0.0054495739235532,0.0116034038865644,0.0078032329793046,-0.0010174598016972,-0.011728753837120796,-0.014805668818626397,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,8,-0.0031949160140502,-0.0142494251905979,0.0078595931624974,0.0078032329793046,-0.0010145356400627,-0.011695045604192286,-0.008500129590142087,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,9,0.0064967812837081,-0.0060595497831265,0.0190531123505427,0.0078032329793046,-0.001006453213497,-0.011601875543382444,-0.018098656827090543,False,False
