dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.2474042171622532,0.52,0.56,0.003844544744185,-0.019887045265764486,29,-0.026334317606744,0,-0.019887045265764486,-0.0072795213903107,-0.012138401763500856,0.012178768797770204,3.0,
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.19493628918992442,0.52,0.92,-0.0001506999218977006,0.007030797294217465,46,0.0444489250396069,0,0.007030797294217465,0.0109976786246138,0.00429136863392465,0.006557105446555355,18.0,
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8395332571705914,0.96,0.12,0.00042999910612112895,-0.016433411480440373,24,-0.042945453896272,47,-0.08781576580584574,-0.042945453896272,-0.07361482873536858,0.02911110229711628,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6060141873086035,0.96,1.0,0.0023135019679142,0.005808345313229496,42,-0.0350464642458301,47,0.031038247435916252,0.0216347820142919,0.026018964228958583,0.007389960443120251,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.030485332838887238,0.84,0.72,-0.0160633151498368,-0.019887045265764486,17,-0.0339497309833431,0,-0.019887045265764486,0.0060631442752831,-0.012138401763500856,0.008434289635158791,2.0,
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.051416676351646415,0.56,0.88,0.0005420658682156112,0.007030797294217465,45,-0.0250988904307515,0,0.007030797294217465,-0.0038755995448703,0.00429136863392465,0.00848549341593665,,
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1282989677357146,0.48,0.16,-0.0066295712547564,-0.016433411480440373,6,-0.0399033150127451,47,-0.08781576580584574,0.0053756081866794,-0.07361482873536858,0.050390391556266956,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.24367438029344649,1.0,0.84,0.0413165057532263,0.005808345313229496,39,0.0969026949954573,47,0.031038247435916252,0.0326105575482093,0.026018964228958583,0.017347082468011407,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971099,0.2994598214726998,0.0,0.32,0.0483479483551631,-0.01989057340124357,8,0.6360724223308901,0,-0.01989057340124357,0.3866825838109568,-0.012140555221963332,0.40973901601075247,34.0,
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.011530562940861399,0.49949219450672505,0.04,0.76,0.0032104263575938,0.0070320270197385525,33,-0.4965071765395697,0,0.0070320270197385525,-0.1186735052688556,0.004292119218148416,0.24516282806116826,,
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.24768321154684617,1.0,0.8,-0.0486968576420772,-0.01643632672870301,7,-0.4435586264429097,47,-0.08783134411464681,-0.3094631579151077,-0.07362788783157817,0.21322529094759912,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.3029771929216258,0.96,1.0,0.019707426734624,0.005809360626371004,33,0.5802097682070637,47,0.03104367299841497,0.0937361319453684,0.02602351240832559,0.11726349529024288,35.0,
