t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.0005869166244288634,-0.00010074443317767537,-0.0013066486296879683,-0.0016621351724325137,-0.0003742776352414828,0.0006769240782078951,0.0004876855592621673,0.0011557409866711354,-0.0001814348371301675,-0.0015972420177691393,-0.0017262454744767408,-0.0,-0.0,-0.0,-0.0
1,-0.0002658784707027246,0.00028619669290681657,-0.0013294483414663294,-0.0008007125459783813,-0.00018503911629575383,0.00022993412471615065,0.00013528239795480086,0.0005736247392019072,0.0001772472654243972,-0.002994921837324557,-0.0027682333018522196,-0.0,-0.0,-0.0,-0.0
2,-0.0003983154906547605,0.00032073465768394207,-0.0017515802041420587,-0.0011840124942851045,-0.0002796259084801306,0.0004173813410248834,0.000285976229334634,0.0008430567027895166,0.00018053609629697015,-0.00436546352480336,-0.004131637112349816,-0.0,-0.0,-0.0,-0.0
3,-0.00032243052574946487,0.0005059664538409007,-0.0019653774944397183,-0.0009938880879302278,-0.00024287252355123108,0.0003132011394050205,0.000205247367189653,0.0007196066501310423,0.0003383678046580096,-0.005635972977040569,-0.0052437587583237,-0.0,-0.0,-0.0,-0.0
4,-0.00034347195861723933,0.0006104693878528783,-0.0022525139797943375,-0.00106903449452684,-0.0002663238630261134,0.00034454290350867796,0.00023190402366810432,0.0007773521051014881,0.0004160267487763538,-0.006846353819886159,-0.006374535720719732,-0.0,-0.0,-0.0,-0.0
5,-0.0003205779564635501,0.0007416289783433072,-0.002484321923521825,-0.0010225073347684516,-0.0002616387554009074,0.0003143009308519803,0.0002096138634160558,0.0007514649308378827,0.0005222872857043641,-0.007984123757307789,-0.007404863864696593,-0.0,-0.0,-0.0,-0.0
6,-0.0003186867351202587,0.0008504984085816877,-0.002721359513725875,-0.0010327708516346772,-0.0002695905678055568,0.00031335104437832937,0.0002104624291926636,0.0007641168869759293,0.0006074389188970839,-0.00906063586878199,-0.008394806920640815,-0.0,-0.0,-0.0,-0.0
7,-0.0003078002160520836,0.0009602164045966759,-0.00293682518117591,-0.0010174598016972384,-0.0002713890200558147,0.00029972168604489616,0.00020116443831645433,0.0007589506095267422,0.000694856540203671,-0.010075935010821414,-0.009321489624494706,-0.0,-0.0,-0.0,-0.0
8,-0.0003017181765152151,0.0010606364097354548,-0.0031441545591100986,-0.0010145356400627747,-0.00027572038751303823,0.0002927285811126292,0.0001970455264078972,0.0007619668258905609,0.0007741749875129942,-0.011034987521045113,-0.01020002757196021,-0.0,-0.0,-0.0,-0.0
9,-0.0002940379311066228,0.0011569375029656765,-0.0033381615852416226,-0.0010064532134970204,-0.000278594580536748,0.00028341728813865497,0.0001910080113740824,0.0007611730901184557,0.0008505706383626322,-0.011940210656344735,-0.011027755472784336,-0.0,-0.0,-0.0,-0.0
