t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,1.632116761492386e-05,-0.00016269207943379288,-0.0003803222447150396,0.00225563727862356,-2.095714709925723e-05,2.206841465607124e-19,-1.4973620059934969e-05,7.366816530856982e-05,-0.00017444045413652558,-0.0004679942759982141,-0.0006268448956248461,-0.0,-0.0,-0.0,0.05
1,7.432035649413832e-05,-0.00017766569949372786,-0.00015656831137194174,0.0023141969041722103,1.4973620059935033e-05,-3.3331773424803216e-05,-2.350978853641026e-05,-5.0842154584764916e-05,-0.00017382423968656687,-0.00040310926433218485,-0.0005768954534850542,-0.0,-0.0,-0.0,0.0475
2,3.187118014916236e-05,-0.0002011754880301381,-0.0001777523865079564,0.0020925001850457506,-9.821984888392576e-06,2.2490478036571817e-05,2.057564577841597e-05,2.4088221793892077e-05,-0.00019729597768927958,-0.00035749101388701267,-0.0005541978543362164,-0.0,-0.0,-0.0,0.045125
3,4.782038159865864e-05,-0.00018059984225172213,-0.00014649124009665702,0.002036475843027655,1.9148322581560406e-06,-3.2241676948972157e-06,5.200933807503895e-10,-1.0528564176158868e-05,-0.00017613119467078757,-0.00030924288631453114,-0.0004851212650291395,-0.0,-0.0,-0.0,0.04286875
4,3.70294613770372e-05,-0.00018059932215834138,-0.00014100332156061552,0.0019119555593945258,-3.2246877882778048e-06,8.651796815680964e-06,9.252418414312328e-06,5.393990002309727e-06,-0.00017587785862122743,-0.00026801426237040927,-0.00044355927820426865,-0.0,-0.0,-0.0,0.04072531249999999
5,3.876310452532018e-05,-0.00017134690374402906,-0.0001250983127774427,0.0018265672954813875,-6.006215986309735e-07,3.1654309312583987e-06,4.743639121081403e-06,-1.9947090899208616e-06,-0.00016629259741954703,-0.00022893217672603414,-0.00039499750864601383,-0.0,-0.0,-0.0,0.038689046874999994
6,3.4897507310295824e-05,-0.00016660326462294766,-0.00011537133608998785,0.001730283073421596,-1.5782081898230259e-06,5.669585651239266e-06,6.582640397092436e-06,1.373529062944424e-06,-0.00016132169279889827,-0.00019385141222328202,-0.0003549598062818691,-0.0,-0.0,-0.0,0.03675459453124999
7,3.378362968870046e-05,-0.00016002062422585523,-0.0001040732697109542,0.0016458229430689573,-9.130547458535599e-07,4.47064437391264e-06,5.493785764357352e-06,-2.1768049541387364e-07,-0.00015452575366149468,-0.00016154967818931624,-0.0003159128156692399,-0.0,-0.0,-0.0,0.03491686480468749
8,3.155975953817858e-05,-0.00015452683846149787,-9.469144716196507e-05,0.0015623651506880692,-1.0231413904449422e-06,4.964931594017684e-06,5.75669877550029e-06,4.816784294897371e-07,-0.00014886935171556676,-0.00013224901164538065,-0.0002809843594934203,-0.0,-0.0,-0.0,0.03317102156445311
9,2.9998589985037766e-05,-0.00014877013968599758,-8.553535352736282e-05,0.0014845783663272683,-7.917671814825819e-07,4.6647691194661156e-06,5.397686202215816e-06,1.268814804099043e-07,-0.0001429786490725395,-0.0001055283793349245,-0.0002484070702210138,-0.0,-0.0,-0.0,0.03151247048623045
10,2.827406074546767e-05,-0.00014337245348378176,-7.730843729484168e-05,0.0014100015094375231,-7.329170827499294e-07,4.719349991743305e-06,5.327743624566389e-06,2.60732186490474e-07,-0.00013748100468387344,-8.128512065753415e-05,-0.00021869331675378298,-0.0,-0.0,-0.0,0.02993684696191893
11,2.675941373345453e-05,-0.00013804470985921536,-6.961478138892821e-05,0.0013394779688847178,-6.083936328225598e-07,4.5999927740244355e-06,5.127058385987304e-06,1.7135345343947618e-07,-0.00013208045247168246,-5.9290007909097886e-05,-0.00019132392685778288,-0.0,-0.0,-0.0,0.028440004613822983
12,2.527506654727878e-05,-0.00013291765147322807,-6.25703140251597e-05,0.0012723413648416462,-5.270656119629565e-07,4.551924623892997e-06,4.989687681868129e-06,1.869971822260878e-07,-0.00012690686056269763,-3.939118098737023e-05,-0.00016627444151234906,-0.0,-0.0,-0.0,0.027018004383131834
13,2.3896871451166115e-05,-0.00012792796379135994,-5.605923656000579e-05,0.0012086356969197587,-4.3776305797487637e-07,4.463244948730947e-06,4.826453079985425e-06,1.560974616631385e-07,-0.00012189357284311057,-2.1418829483475156e-05,-0.00014330982157752313,-0.0,-0.0,-0.0,0.02566710416397524
14,2.258323058498044e-05,-0.0001231015107113745,-5.0076767143958905e-05,0.0011480904588605954,-3.6320813125446694e-07,4.386698015422663e-06,4.6787930548379074e-06,1.4844476953373734e-07,-0.00011706453901406232,-5.228002604395195e-06,-0.00012230867670614453,-0.0,-0.0,-0.0,0.024383748955776476
15,2.134709213813174e-05,-0.0001184227176565366,-4.4570767440238734e-05,0.0010905927718238553,-2.920950394154084e-07,4.298978923853e-06,4.5278501957880415e-06,1.3172305851635332e-07,-0.00011240188104691142,9.32222818075791e-06,-0.0001031126303702253,-0.0,-0.0,-0.0,0.023164561507987652
16,2.0176585738475502e-05,-0.00011389486746074855,-3.951455843610811e-05,0.0010359689531917143,-2.288712719354926e-07,4.211776653022374e-06,4.382545652381449e-06,1.207277228851881e-07,-0.00010790700835519503,2.2360176329227684e-05,-8.559481309101679e-05,-0.0,-0.0,-0.0,0.02200633343258827
17,1.907161550549914e-05,-0.00010951232180836711,-3.487310038360902e-05,0.0009840846848042312,-1.7076899935943103e-07,4.120554982933652e-06,4.238952222736663e-06,1.0852871925047528e-07,-0.00010357244376786306,3.400645952959733e-05,-6.962733065255453e-05,-0.0,-0.0,-0.0,0.020906016760958854
18,1.8026961054547037e-05,-0.00010527336958563044,-3.061837980436421e-05,0.0009347982362039986,-1.1839723980294266e-07,4.0281870707901205e-06,4.099039091466153e-06,9.822585715412121e-08,-9.939483795941528e-05,4.4372625156478425e-05,-5.509539511534458e-05,-0.0,-0.0,-0.0,0.019860715922910912
19,1.704005611247199e-05,-0.0001011743304941643,-2.6722109989766273e-05,0.0008879815040781506,-7.085202067607838e-08,3.934058628156378e-06,3.962027256279079e-06,8.829956466474447e-08,-9.536898118035685e-05,5.3562622382313445e-05,-4.188998445595164e-05,-0.0,-0.0,-0.0,0.018867680126765367
20,1.6107383774519488e-05,-9.721230323788522e-05,-2.315890983876693e-05,0.0008435097936973639,-2.796862812268056e-08,3.839100828803045e-06,3.8283797941758184e-06,7.936905524595164e-08,-9.149057958198633e-05,6.167290775231006e-05,-2.991045890470907e-05,-0.0,-0.0,-0.0,0.017924296120427098
21,1.5226123743149165e-05,-9.33839234437094e-05,-1.9904660898910256e-05,0.0008012660452077601,1.0721034627064322e-08,3.7434746437554274e-06,3.6979631852276886e-06,7.107537470009715e-08,-8.77549868628433e-05,6.879313104610251e-05,-1.9062632727684992e-05,-0.0,-0.0,-0.0,0.01702808131440574
22,1.439337722185724e-05,-8.96859602584817e-05,-1.6937100208255553e-05,0.0007611384196745887,4.551145852783345e-08,3.6476455330442074e-06,3.5708972648588234e-06,6.352069718316654e-08,-8.415780058855972e-05,7.500650627925393e-05,-9.258988393456661e-06,-0.0,-0.0,-0.0,0.016176677248685455
23,1.360650947340528e-05,-8.611506299362288e-05,-1.4235392694968369e-05,0.0007230209699059509,7.674826818541412e-08,3.551894920076499e-06,3.4471644200647806e-06,5.6606887791612725e-08,-8.06945974078517e-05,8.039028345674655e-05,-4.1794597154178695e-07,-0.0,-0.0,-0.0,0.015367843386251181
24,1.2862976564385926e-05,-8.266789857355809e-05,-1.1780184996154592e-05,0.0006868129075635914,1.0473050001161802e-07,3.4565543415608357e-06,3.326790545761209e-06,5.034500123439776e-08,-7.736106500822366e-05,8.501613168170372e-05,7.53639001163952e-06,-0.0,-0.0,-0.0,0.014599451216938621
25,1.2160389193597066e-05,-7.934110802779688e-05,-9.553447822955859e-06,0.0006524185343932372,1.2976379579978452e-07,3.3619089378775372e-06,3.209761336286313e-06,4.471985337472237e-08,-7.415295112430303e-05,8.89505228973137e-05,1.467466367801985e-05,-0.0,-0.0,-0.0,0.013869478656091689
26,1.1496465248089875e-05,-7.613134669151058e-05,-7.53842684781385e-06,0.0006197468798734882,1.5214760159134263e-07,3.268258119654262e-06,3.0960592992379105e-06,3.976469240422626e-08,-7.106609788300735e-05,9.225507640481287e-05,2.106257804067827e-05,-0.0,-0.0,-0.0,0.013176004723287104
27,1.0869030133143741e-05,-7.303528739227267e-05,-5.719555447128643e-06,0.0005887114816434196,1.7219882041613535e-07,3.175911478516372e-06,2.985642939327669e-06,3.554683779889216e-08,-6.809643906489662e-05,9.498688303855303e-05,2.6761221220438764e-05,-0.0,-0.0,-0.0,0.012517204487122747
28,1.0275988837750566e-05,-7.0049644452945e-05,-4.08239885243208e-06,0.000559230099231709,1.9026853918868187e-07,3.0852273909222653e-06,2.878449233310746e-06,3.220722951166978e-08,-6.524001887878661e-05,9.719879952737256e-05,3.1827341687799344e-05,-0.0,-0.0,-0.0,0.011891344262766609
29,9.715300506674446e-06,-6.717119521963425e-05,-2.6136010330345167e-06,0.0005312244450863505,2.0677815761136148e-07,2.9966530003635133e-06,2.7743799585691888e-06,2.999597780316634e-08,-6.249300860626251e-05,9.893971470886792e-05,3.631359729671505e-05,-0.0,-0.0,-0.0,0.011296777049628278
30,9.184934378430305e-06,-6.439681526106506e-05,-1.3008533660046997e-06,0.0005046198743115177,2.2227304179400523e-07,2.910798074331918e-06,2.673286843265319e-06,2.9343623424426707e-08,-5.985173745358381e-05,0.00010025478107399568,4.026875545953899e-05,-0.0,-0.0,-0.0,0.010731938197146863
31,8.682805680274472e-06,-6.172352841779974e-05,-1.3288596953604372e-07,0.0004793450287577816,2.3751123106648248e-07,2.828549605916926e-06,2.5749435363832672e-06,3.0970711399938025e-08,-5.731273877119139e-05,0.0001011856040717381,4.373783557298339e-05,-0.0,-0.0,-0.0,0.010195341287289519
32,8.206674316197351e-06,-5.9148584881416475e-05,9.005030037107942e-07,0.00045533138785657933,2.5360606953370973e-07,2.751259502970626e-06,2.47900203830202e-06,3.606790500938484e-08,-5.487282496237155e-05,0.00010177037446593147,4.676216564472678e-05,-0.0,-0.0,-0.0,0.009685574222925042
33,7.753986162088901e-06,-5.666958284311446e-05,1.8083621717334128e-06,0.00043251267032065057,2.722574646687423e-07,2.6810479903135213e-06,2.3849228467417407e-06,4.6584540772342994e-08,-5.252920678290269e-05,0.00010204392040158856,4.9379313949913636e-05,-0.0,-0.0,-0.0,0.00920129551177879
34,7.3216227887322816e-06,-5.4284659996372716e-05,2.59841526671707e-06,0.00041082399242589054,2.9612514357186207e-07,2.6212959496727265e-06,2.2918670721240776e-06,6.568982352448868e-08,-5.027968360493326e-05,0.00010203764150567382,5.162283134907172e-05,-0.0,-0.0,-0.0,0.00874123073618985
35,6.90551025283345e-06,-5.199279292424864e-05,3.276758967868986e-06,0.00039020064693601,3.294288775485114e-07,2.5774414471716857e-06,2.1985351340341286e-06,9.849937591400566e-08,-4.8122943084478015e-05,0.00010177926680685115,5.352170748191568e-05,-0.0,-0.0,-0.0,0.008304169199380356
36,6.500017877686788e-06,-4.9794257790214513e-05,3.847368946575383e-06,0.0003705763126363231,3.78906313137562e-07,2.558264110524109e-06,2.1029411137548366e-06,1.5319687625423807e-07,-4.6059024190901324e-05,0.00010129235009173303,5.509940051017012e-05,-0.0,-0.0,-0.0,0.007888960739411338
37,6.0970646321697124e-06,-4.7691316676459674e-05,4.311342404206057e-06,0.0003518804680036703,4.5532299676919966e-07,2.577943272161354e-06,2.0021377065317525e-06,2.4270543176204746e-07,-4.4090008467808065e-05,0.00010059538425389175,5.6372257647511624e-05,-0.0,-0.0,-0.0,0.0074945127024407705
38,5.684872595784765e-06,-4.5689178969927924e-05,4.6658292191180295e-06,0.00033403484290878794,5.758055656295328e-07,2.659323568831248e-06,1.8919980363539854e-06,3.8702193964398086e-07,-4.222098889984828e-05,9.970039778652267e-05,5.734714246900128e-05,-0.0,-0.0,-0.0,0.007119787067318732
39,5.246451620390191e-06,-4.379718093357394e-05,4.902744784406896e-06,0.0003169491401150003,7.673255324771018e-07,2.8390137541650227e-06,1.767429200119565e-06,6.160551883704426e-07,-4.046125728116737e-05,9.861095031179165e-05,5.801825185088199e-05,-0.0,-0.0,-0.0,0.006763797713952795
40,4.758403296512572e-06,-4.2029751733454375e-05,5.007838768452862e-06,0.0003005176441690802,1.0715845540454718e-06,3.1751375890303913e-06,1.6241262866392667e-06,9.718594982180144e-07,-3.8825269260790065e-05,9.73197382117054e-05,5.8363793581362716e-05,-0.0,-0.0,-0.0,0.006425607828255154
41,4.192115823676698e-06,-4.040562544681511e-05,4.962098410298624e-06,0.0002846224136076734,1.551011302391281e-06,3.7585734602451286e-06,1.464901490786369e-06,1.5063633062427526e-06,-3.73318183437034e-05,9.58070099685851e-05,5.834534363450069e-05,-0.0,-0.0,-0.0,0.006104327436842396
42,3.523470551689957e-06,-3.894072395602874e-05,4.751279721629906e-06,0.00026915988291076136,2.293671969459017e-06,4.727815026185822e-06,1.3185598785696175e-06,2.26307155734198e-06,-3.5996764843298334e-05,9.404384886992474e-05,5.7918722335590075e-05,-0.0,-0.0,-0.0,0.005799111065000276
43,2.767783910636183e-06,-3.7622164077459125e-05,4.399293002146788e-06,0.000254136842776405,3.409255147616263e-06,6.28462681874262e-06,1.2917525753748312e-06,3.211269790453491e-06,-3.480656665576506e-05,9.201199888122269e-05,5.708109916151986e-05,-0.0,-0.0,-0.0,0.005509155511750262
