t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.0005869166244288634,-0.00010074443317767537,-0.0013066486296879683,-0.0016621351724325137,-0.0003742776352414828,0.0006769240782078951,0.0004876855592621673,0.0011557409866711354,-0.0001814348371301675,-0.0015972420177691393,-0.0017262454744767408,-0.0,-0.0,-0.0,-0.0
1,0.00032103815372613875,0.00038694112608449193,-2.2799711778361023e-05,0.0008614226264541324,0.00018923851894572897,-0.00044698995349174445,-0.00035240316130736644,-0.0005821162474692282,0.0003586821025545647,-0.001397679819555418,-0.0010419878273754785,-0.0,-0.0,-0.0,-0.0
2,-0.00013243701995203593,3.45379647771255e-05,-0.00042213186267572926,-0.0003832999483067233,-9.458679218437678e-05,0.00018744721630873274,0.00015069383137983312,0.00026943196358760943,3.2888308725729584e-06,-0.0013705416874788027,-0.0013634038104975966,-0.0,-0.0,-0.0,-0.0
3,7.588496490529569e-05,0.0001852317961569586,-0.00021379729029765964,0.00019012440635487676,3.675338492889953e-05,-0.0001041802016198629,-8.0728862144981e-05,-0.00012345005265847428,0.00015783170836103944,-0.0012705094522372092,-0.0011121216459738846,-0.0,-0.0,-0.0,-0.0
4,-2.1041432867774493e-05,0.00010450293401197762,-0.0002871364853546193,-7.514640659661215e-05,-2.3451339474882303e-05,3.134176410365745e-05,2.665665647845133e-05,5.774545497044575e-05,7.765894411834421e-05,-0.0012103808428455907,-0.0011307769623960318,-0.0,-0.0,-0.0,-0.0
5,2.289400215368925e-05,0.00013115959049042896,-0.00023180794372748727,4.652715975838832e-05,4.685107625205985e-06,-3.0241972656697667e-05,-2.2290160252048534e-05,-2.5887174263605436e-05,0.00010626053692801033,-0.0011377699374216302,-0.0010303281439768617,-0.0,-0.0,-0.0,-0.0
6,1.8912213432913573e-06,0.00010886943023838044,-0.00023703759020404983,-1.026351686622559e-05,-7.951812404649365e-06,-9.498864736509424e-07,8.485657766078206e-07,1.2651956138046707e-05,8.515163319271985e-05,-0.0010765121114742007,-0.0009899430559442218,-0.0,-0.0,-0.0,-0.0
7,1.0886519068175073e-05,0.00010971799601498825,-0.00021546566745003496,1.5311049937438783e-05,-1.7984522502578748e-06,-1.3629358333433204e-05,-9.297990876209274e-06,-5.166277449187113e-06,8.741762130658705e-05,-0.001015299142039425,-0.0009266827038538922,-0.0,-0.0,-0.0,-0.0
8,6.082039536868511e-06,0.00010042000513877897,-0.00020732937793418885,2.92416163446373e-06,-4.331367457223556e-06,-6.993104932266995e-06,-4.118911908557129e-06,3.016216363818647e-06,7.931844730932324e-05,-0.0009590525102236984,-0.0008785379474655033,-0.0,-0.0,-0.0,-0.0
9,7.6802454085923e-06,9.630109323022184e-05,-0.0001940070261315239,8.08242656575422e-06,-2.8741930237097824e-06,-9.311292973974192e-06,-6.037515033814806e-06,-7.937357721051411e-07,7.639565084963804e-05,-0.0009052231352996221,-0.0008277279008241261,-0.0,-0.0,-0.0,-0.0
10,6.3593921147939016e-06,9.026357819640704e-05,-0.00018403276758210464,5.177961584133762e-06,-3.273777940159522e-06,-7.5400089038997485e-06,-4.708027300825853e-06,9.305832463981649e-07,7.145771944168105e-05,-0.0008547237511600754,-0.0007822142476613643,-0.0,-0.0,-0.0,-0.0
11,6.417818686661427e-06,8.555555089558119e-05,-0.0001734165006899147,6.022344745459795e-06,-2.831981603073541e-06,-7.69429416572787e-06,-4.901646009185665e-06,1.0372036216446985e-07,6.780147619788498e-05,-0.0008068847651107787,-0.0007380966431299067,-0.0,-0.0,-0.0,-0.0
12,5.8708185927633015e-06,8.065390488639553e-05,-0.00016394873364761447,5.165079948773056e-06,-2.7926481565420553e-06,-6.99713080264156e-06,-4.415959812507918e-06,4.555154128801887e-07,6.388647597168632e-05,-0.0007617803775583123,-0.000696959540900626,-0.0,-0.0,-0.0,-0.0
13,5.6322523756855165e-06,7.62379450738876e-05,-0.00015475610317442946,5.119022161223398e-06,-2.58117099013365e-06,-6.727534183594475e-06,-4.2656668691633195e-06,2.6523826118953183e-07,6.0404876845178666e-05,-0.0007191547330021925,-0.0006578691270221158,-0.0,-0.0,-0.0,-0.0
14,5.278923328112321e-06,7.197227820472428e-05,-0.00014619678695362628,4.723496955999732e-06,-2.4618673144312104e-06,-6.293524047795151e-06,-3.981436002417543e-06,3.265957088525693e-07,5.7019939110913895e-05,-0.000678916571807332,-0.0006210645875971898,-0.0,-0.0,-0.0,-0.0
15,5.004530604725198e-06,6.799084220230673e-05,-0.00013806334268086698,4.512567109605415e-06,-2.3120880453780736e-06,-5.966347415390826e-06,-3.778610039350399e-06,2.733513663695473e-07,5.387054820772517e-05,-0.0006409103491996086,-0.0005862546381869587,-0.0,-0.0,-0.0,-0.0
16,4.718275675857263e-06,6.421223216295633e-05,-0.0001304116267640668,4.238564439661745e-06,-2.1877373760406566e-06,-5.6191335951473805e-06,-3.556745851260472e-06,2.7437321628504385e-07,5.087710097329974e-05,-0.000605021169422706,-0.0005534027638037346,-0.0,-0.0,-0.0,-0.0
17,4.4606842662687625e-06,6.065548631169585e-05,-0.0001231782700279978,4.014518345884637e-06,-2.0623877438866813e-06,-5.308766283434559e-06,-3.3611382184200337e-06,2.51681853957143e-07,4.806165976771079e-05,-0.0005711257620847283,-0.0005223644116901222,-0.0,-0.0,-0.0,-0.0
18,4.2117768835729705e-06,5.729434809327582e-05,-0.00011635701801463609,3.7871321153156124e-06,-1.947628065014871e-06,-5.007451716254718e-06,-3.1699083340129485e-06,2.4117646884409495e-07,4.540021217618629e-05,-0.0005391145158037083,-0.0004930538271393558,-0.0,-0.0,-0.0,-0.0
19,3.979558543881794e-06,5.412443975926287e-05,-0.00010991726542613262,3.5799034563669856e-06,-1.8375433822415384e-06,-4.726545430806381e-06,-2.9922198539807102e-06,2.2622601791696167e-07,4.289078033033918e-05,-0.0005088807642990091,-0.00046536658633937147,-0.0,-0.0,-0.0,-0.0
20,3.7591932464853852e-06,5.113221990528216e-05,-0.00010384152690653194,3.3809660549421795e-06,-1.7343255768252355e-06,-4.4594245018183675e-06,-2.822967193128248e-06,2.1443568029234562e-07,4.052195810565708e-05,-0.00048032520986305617,-0.00043921485770468055,-0.0,-0.0,-0.0,-0.0
21,3.551833869564467e-06,4.830925271215391e-05,-9.81080468164733e-05,3.1948272136244956e-06,-1.6364573086900905e-06,-4.2078373084737294e-06,-2.6636755011062916e-06,2.022326744798471e-07,3.828738496524797e-05,-0.00045335339240941235,-0.0004145106859757376,-0.0,-0.0,-0.0,-0.0
22,3.355932461794343e-06,4.564557721104762e-05,-9.26987229874352e-05,3.018498299777041e-06,-1.5441618073679441e-06,-3.969744360888753e-06,-2.512856265546278e-06,1.912024666396064e-07,3.6179030932568824e-05,-0.00042787639370681145,-0.00039117327877395805,-0.0,-0.0,-0.0,-0.0
23,3.1712461842505185e-06,4.313272094550134e-05,-8.759535809907165e-05,2.852504772920543e-06,-1.4568880953428689e-06,-3.744924573484073e-06,-2.370453540053773e-06,1.805513023450045e-07,3.4190258667307195e-05,-0.0004038100745488566,-0.0003691252434476141,-0.0,-0.0,-0.0,-0.0
24,2.996987125831823e-06,4.076226740544757e-05,-8.278130061354639e-05,2.6958069459922023e-06,-1.374471033430237e-06,-3.5323870154124155e-06,-2.235789908395088e-06,1.7058132538522987e-07,3.231437756118853e-05,-0.0003810750124742049,-0.0003482939427097728,-0.0,-0.0,-0.0,-0.0
25,2.8326744417165568e-06,3.852647749705248e-05,-7.824060382870379e-05,2.548144842521807e-06,-1.296597107017144e-06,-3.331564316613152e-06,-2.108510953236675e-06,1.610842620158558e-07,3.0545279856036734e-05,-0.00035959613845541814,-0.00032861050858875316,-0.0,-0.0,-0.0,-0.0
26,2.677741053668674e-06,3.64179665438158e-05,-7.395833363766053e-05,2.4089611448352433e-06,-1.2230533633764173e-06,-3.141763672223675e-06,-1.988146105385349e-06,1.520773510303431e-07,2.887711891342818e-05,-0.00033930253288224965,-0.00031000995440622065,-0.0,-0.0,-0.0,-0.0
27,2.531716705036353e-06,3.4429820438430455e-05,-6.992034931360291e-05,2.277907409283365e-06,-1.1536175668383994e-06,-2.962424989490452e-06,-1.8743071007699048e-06,1.434556598415401e-07,2.7304432370643644e-05,-0.0003201271665644444,-0.00029243079567198754,-0.0,-0.0,-0.0,-0.0
28,2.394147980341035e-06,3.255551333766055e-05,-6.611332915393547e-05,2.1546274314870886e-06,-1.088117888720533e-06,-2.7930120180888753e-06,-1.76659111951986e-06,1.3513923373545915e-07,2.5822063791686832e-05,-0.00030200668330872255,-0.0002758149099666843,-0.0,-0.0,-0.0,-0.0
29,2.264644191482804e-06,3.078892221814069e-05,-6.252468316956902e-05,2.038886233920616e-06,-1.0264208985689493e-06,-2.6330813648984284e-06,-1.6646181761497177e-06,1.2698374566666403e-07,2.4425182222518393e-05,-0.00028488117658218324,-0.00026010729484634616,-0.0,-0.0,-0.0,-0.0
30,2.1428724437743778e-06,2.9124304041990973e-05,-5.914251520077415e-05,1.9305592569862896e-06,-9.684631887483574e-07,-2.482283313333924e-06,-1.5680033154466063e-06,1.1878689485773947e-07,2.310926355968731e-05,-0.00026869397812746804,-0.00024525587497495083,-0.0,-0.0,-0.0,-0.0
31,2.028587770295394e-06,2.7556300726544366e-05,-5.595555537843052e-05,1.8297177280424393e-06,-9.142799978875562e-07,-2.340416584928098e-06,-1.4763536106205935e-06,1.1022903640775229e-07,2.1870099837070867e-05,-0.0002533914444463651,-0.0002312112795428548,-0.0,-0.0,-0.0,-0.0
32,1.921665706959295e-06,2.6079947115923773e-05,-5.295309289220132e-05,1.7367205708014186e-06,-8.640629743075957e-07,-2.2074947033943734e-06,-1.3892453477893473e-06,1.0080939439371199e-07,2.0703811292889756e-05,-0.00023892273890336433,-0.00021792661225071187,-0.0,-0.0,-0.0,-0.0
33,1.8221633823822052e-06,2.4690701768134427e-05,-5.012488510686624e-05,1.6523844892362718e-06,-8.182493556049566e-07,-2.0838661858096315e-06,-1.3061973661085757e-06,8.972882808720046e-08,1.9606881304862972e-05,-0.00022523959714781014,-0.0002053571817001911,-0.0,-0.0,-0.0,-0.0
34,1.7304141035435226e-06,2.3384504402025852e-05,-4.7461038581731734e-05,1.5782459018863598e-06,-7.776688197009408e-07,-1.9704056960448992e-06,-1.2266267532672042e-06,7.57097938545846e-08,1.8576218081510434e-05,-0.00021229606111114295,-0.00019346017338762753,-0.0,-0.0,-0.0,-0.0
35,1.6471784676997892e-06,2.215787764875865e-05,-4.495184115070373e-05,1.5169779781539493e-06,-7.437789427776886e-07,-1.8688269462389176e-06,-1.1497854611064103e-06,5.6710217375580314e-08,1.760926097024829e-05,-0.0002000481574917842,-0.00018219422136695406,-0.0,-0.0,-0.0,-0.0
36,1.5738766962500522e-06,2.100809218765224e-05,-4.258752306792663e-05,1.4730305787007534e-06,-7.190414851325842e-07,-1.7821870404704568e-06,-1.0746724250604556e-06,2.9484885083966772e-08,1.6704150663723723e-05,-0.00018845348659020744,-0.00017151882615643464,-0.0,-0.0,-0.0,-0.0
37,1.5129335770113976e-06,1.9933419762591785e-05,-4.03579198138318e-05,1.4535792360085578e-06,-7.075146154099751e-07,-1.7156954691500662e-06,-9.999301777773266e-07,-1.1064567652184854e-08,1.585998800871221e-05,-0.00017747067533843483,-0.0001613935482954585,-0.0,-0.0,-0.0,-0.0
38,1.468254659263881e-06,1.8933489584814458e-05,-3.825202240359072e-05,1.4698342047833603e-06,-7.157652913726679e-07,-1.6779963562128657e-06,-9.237728811552683e-07,-7.278592907300768e-08,1.507719686519893e-05,-0.000167058643513708,-0.00015177691205028312,-0.0,-0.0,-0.0,-0.0
39,1.445788624299745e-06,1.800971670365919e-05,-3.6257462920851034e-05,1.5385853320043374e-06,-7.542234750574473e-07,-1.683165999042007e-06,-8.441072990535595e-07,-1.6733375203516784e-07,1.4357958582269573e-05,-0.0001571756588345278,-0.00014262503032314196,-0.0,-0.0,-0.0,-0.0
40,1.4539137872932147e-06,1.7165609404605628e-05,-3.436018981154814e-05,1.6832619344600535e-06,-8.390586999883884e-07,-1.753735743413195e-06,-7.593172663094242e-07,-3.108940756369704e-07,1.370652121233231e-05,-0.00014777828645054546,-0.00013389026123156232,-0.0,-0.0,-0.0,-0.0
41,1.5027574090389066e-06,1.6406292138296205e-05,-3.25451826593428e-05,1.932056940910452e-06,-9.944184771038329e-07,-1.925037877874888e-06,-6.709909103977922e-07,-5.228983793701341e-07,1.3128707952673822e-05,-0.0001388207618400742,-0.00012552112202501384,-0.0,-0.0,-0.0,-0.0
42,1.599850851899353e-06,1.5735301227898413e-05,-3.08006609073461e-05,2.305976161644133e-06,-1.2540469674771502e-06,-2.250845695697494e-06,-5.919369497861117e-07,-8.17838741434531e-07,1.2628648904662732e-05,-0.0001302565212474844,-0.00011746722182434121,-0.0,-0.0,-0.0,-0.0
43,1.735085159987157e-06,1.51433642781123e-05,-2.913237815492463e-05,2.7774758414115966e-06,-1.658908745911393e-06,-2.808991342530756e-06,-5.680343167883153e-07,-1.1769460002696448e-06,1.2197362473357085e-05,-0.00012204675342224163,-0.00010969954192047198,-0.0,-0.0,-0.0,-0.0
44,1.8368358519798192e-06,1.4575329961323986e-05,-2.760453908166993e-05,3.1498840447792947e-06,-2.2409570257424367e-06,-3.7016824549590337e-06,-7.352003349798953e-07,-1.4656448943266064e-06,1.1779177184981328e-05,-0.00011418747189750901,-0.00010227129730502055,-0.0,-0.0,-0.0,-0.0
45,1.656448486990967e-06,1.384012962634409e-05,-2.6440921435648073e-05,2.7403694241879355e-06,-2.9664821199791336e-06,-5.034181909734422e-06,-1.4609757022801416e-06,-1.2166786289570734e-06,1.1180974257508566e-05,-0.00010676401190102073,-9.545613794168637e-05,-0.0,-0.0,-0.0,-0.0
46,5.193987485916557e-07,1.237915392406395e-05,-2.6159001907186135e-05,-2.9758421372389096e-07,-3.5732062074542914e-06,-6.826151562318712e-06,-3.6450501571656356e-06,8.313994833033827e-07,9.846898257054228e-06,-9.978385683945948e-05,-8.969088919388651e-05,-0.0,-0.0,-0.0,-0.0
47,-2.6141085336389013e-06,8.734103766898314e-06,-2.6229189686453714e-05,-8.724490629718491e-06,-3.1811014051530765e-06,-8.734103766898314e-06,-8.734103766898314e-06,6.533041620580494e-06,6.447917488407355e-06,-8.865955053813544e-05,-7.992544677123713e-05,-0.0,-0.0,-0.0,-0.0
