t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,1.632116761492386e-05,-0.00016269207943379288,-0.0003803222447150396,0.00225563727862356,-2.095714709925723e-05,2.206841465607124e-19,-1.4973620059934969e-05,7.366816530856982e-05,-0.00017444045413652558,-0.0004679942759982141,-0.0006268448956248461,-0.0,-0.0,-0.0,0.05
1,9.064152410906218e-05,-0.00034035777892752074,-0.0005368905560869813,0.00456983418279577,-5.983527039322197e-06,-3.333177342480299e-05,-3.8483408596345225e-05,2.282601072380491e-05,-0.00034826469382309244,-0.0008711035403303989,-0.0012037403491099003,-0.0,-0.0,-0.0,0.0975
2,0.00012251270425822454,-0.0005415332669576589,-0.0007146429425949377,0.00666233436784152,-1.5805511927714773e-05,-1.0841295388231175e-05,-1.7907762817929255e-05,4.691423251769698e-05,-0.000545560671512372,-0.0012285945542174115,-0.0017579382034461168,-0.0,-0.0,-0.0,0.142625
3,0.00017033308585688318,-0.0007221331092093809,-0.0008611341826915947,0.008698810210869174,-1.3890679669558733e-05,-1.4065463083128391e-05,-1.7907242724548505e-05,3.6385668341538116e-05,-0.0007216918661831596,-0.0015378374405319428,-0.0022430594684752564,-0.0,-0.0,-0.0,0.18549375
4,0.0002073625472339204,-0.0009027324313677223,-0.0010021375042522102,0.0106107657702637,-1.711536745783654e-05,-5.413666267447427e-06,-8.654824310236177e-06,4.177965834384784e-05,-0.000897569724804387,-0.001805851702902352,-0.002686618746679525,-0.0,-0.0,-0.0,0.2262190625
5,0.0002461256517592406,-0.0010740793351117514,-0.001127235817029653,0.012437333065745087,-1.7715989056467513e-05,-2.248235336189028e-06,-3.911185189154774e-06,3.978494925392698e-05,-0.001063862322223934,-0.0020347838796283863,-0.003081616255325539,-0.0,-0.0,-0.0,0.264908109375
6,0.0002810231590695364,-0.001240682599734699,-0.0012426071531196408,0.014167616139166683,-1.9294197246290538e-05,3.421350315050238e-06,2.6714552079376617e-06,4.11584783168714e-05,-0.0012251840150228322,-0.0022286352918516683,-0.003436576061607408,-0.0,-0.0,-0.0,0.30166270390624994
7,0.00031480678875823683,-0.0014007032239605542,-0.001346680422830595,0.01581343908223564,-2.02072519921441e-05,7.891994688962878e-06,8.165240972295012e-06,4.094079782145753e-05,-0.001379709768684327,-0.0023901849700409847,-0.003752488877276648,-0.0,-0.0,-0.0,0.3365795687109374
8,0.0003463665482964154,-0.001555230062422052,-0.00144137186999256,0.01737580423292371,-2.123039338258904e-05,1.2856926282980562e-05,1.3921939747795302e-05,4.1422476250947266e-05,-0.0015285791203998936,-0.002522433981686365,-0.004033473236770068,-0.0,-0.0,-0.0,0.36975059027539053
9,0.00037636513828145316,-0.0017040002021080497,-0.001526907223519923,0.018860382599250977,-2.2022160564071625e-05,1.7521695402446676e-05,1.931962595001112e-05,4.154935773135717e-05,-0.001671557769472433,-0.0026279623610212894,-0.004281880306991082,-0.0,-0.0,-0.0,0.401263060761621
