t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.00014657918401857228,4.100683302961391e-05,0.00029110845295006406,0.0004128287953228777,7.68127510405698e-05,-0.00016198481108783,-0.0001303320142865301,-0.0002862491768648542,5.7781751293882454e-05,0.00040428432009966903,0.0004528651624363096,-0.0,-0.0,-0.0,-0.0,9.778052907793434e-05,6.701587003370569e-05
1,-6.801501460819309e-05,-8.932518125691618e-05,2.1161730322360658e-05,-0.00018144328913502906,-3.1652796801299706e-05,8.711597944008566e-05,7.245321089409761e-05,0.00012221832744390419,-8.175117194988965e-05,0.00035711550542488546,0.0002755977243406026,-0.0,-0.0,-0.0,-0.0,3.646234462085101e-05,2.978480275234518e-05
2,2.30131757841864e-05,-1.6871970362818565e-05,9.751277650322704e-05,6.81690936784264e-05,1.4662768545988282e-05,-2.9278676153906174e-05,-2.55862569646589e-05,-4.845838195118299e-05,-9.064570190185181e-06,0.00034661343375003086,0.0003368457510259133,-0.0,-0.0,-0.0,-0.0,4.499086457335044e-05,3.577345534186861e-05
3,-1.2606197829094702e-05,-4.2458227327477466e-05,6.149180659387e-05,-2.9902187186649227e-05,-3.692419189247083e-06,1.6255470204864993e-05,1.2839810878228653e-05,1.8744606217179027e-05,-3.535393968877639e-05,0.00032331652071186634,0.00028766250395170307,-0.0,-0.0,-0.0,-0.0,2.918217551737029e-05,2.6063247863067864e-05
4,1.6146349521263683e-06,-2.9618416449248814e-05,7.003953171072799e-05,8.874533440603511e-06,3.4156593266363494e-06,-1.9343233673894844e-06,-2.441583573502532e-06,-7.689826864054283e-06,-2.281420588193452e-05,0.00030660203611034296,0.00028336156844739526,-0.0,-0.0,-0.0,-0.0,2.5476529182061118e-05,2.3648415510818492e-05
5,-3.79433118983824e-06,-3.206000002275135e-05,6.136062352744915e-05,-6.225804296136837e-06,5.072602061129521e-07,4.974477024632343e-06,3.4266142157037352e-06,2.733083320020128e-06,-2.5682051236450286e-05,0.00028875548966875554,0.0002627274783925397,-0.0,-0.0,-0.0,-0.0,1.9023498855440603e-05,1.9309662414579753e-05
6,-1.4870632181797212e-06,-2.863338580704761e-05,5.9761634701524085e-05,-1.2776542431050161e-07,1.5478628089285942e-06,2.017914864766967e-06,9.78013752288658e-07,-1.353108174809651e-06,-2.26013970605121e-05,0.0002727313956540199,0.00024978133439601313,-0.0,-0.0,-0.0,-0.0,1.5263551423693104e-05,1.6533124106562296e-05
7,-2.2271495671631247e-06,-2.765537205475895e-05,5.565793897219692e-05,-2.382688754670587e-06,1.0399011124784103e-06,2.9580150478184764e-06,1.8109700347838996e-06,2.7096897462332216e-07,-2.1972047505718203e-05,0.0002572892703903148,0.00023499689836525527,-0.0,-0.0,-0.0,-0.0,1.1731189106290775e-05,1.3825177287438259e-05
8,-1.777165926607448e-06,-2.584440201997505e-05,5.2806404518847085e-05,-1.3578256928571552e-06,1.1470450130347007e-06,2.376895448455824e-06,1.359595867293945e-06,-3.535601227896334e-07,-2.04814019902756e-05,0.0002428442718568197,0.0002220571273093426,-0.0,-0.0,-0.0,-0.0,9.137817503461545e-06,1.1670618913653126e-05
9,-1.804551166098208e-06,-2.4484806152681107e-05,4.9713197573415666e-05,-1.6317000824017946e-06,1.0172995811618054e-06,2.4064811083956146e-06,1.4207409421106213e-06,-9.380307846309445e-08,-1.942754868018308e-05,0.0002291639732544239,0.00020944922798848343,-0.0,-0.0,-0.0,-0.0,6.996226256229249e-06,9.790987600394818e-06
