t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.00014657918401857228,4.100683302961391e-05,0.00029110845295006406,0.0004128287953228777,7.68127510405698e-05,-0.00016198481108783,-0.0001303320142865301,-0.0002862491768648542,5.7781751293882454e-05,0.00040428432009966903,0.0004528651624363096,-0.0,-0.0,-0.0,-0.0,9.778052907793434e-05,6.701587003370569e-05
1,7.856416941037919e-05,-4.8318348227302266e-05,0.0003122701832724247,0.00023138550618784866,4.51599542392701e-05,-7.486883164774435e-05,-5.787880339243247e-05,-0.00016403084942095004,-2.39694206560072e-05,0.0007613998255245545,0.0007284628867769122,-0.0,-0.0,-0.0,-0.0,0.00013424287369878535,9.680067278605088e-05
2,0.00010157734519456558,-6.519031859012083e-05,0.0004097829597756518,0.0002995545998662751,5.982272278525838e-05,-0.00010414750780165052,-8.346506035709137e-05,-0.00021248923137213305,-3.303399084619238e-05,0.0011080132592745854,0.0010653086378028256,-0.0,-0.0,-0.0,-0.0,0.0001792337382721358,0.00013257412812791948
3,8.897114736547087e-05,-0.0001076485459175983,0.00047127476636952176,0.0002696524126796259,5.61303035960113e-05,-8.789203759678553e-05,-7.062524947886272e-05,-0.00019374462515495402,-6.838793053496876e-05,0.0014313297799864518,0.0013529711417545286,-0.0,-0.0,-0.0,-0.0,0.0002084159137895061,0.00015863737599098736
4,9.058578231759725e-05,-0.0001372669623668471,0.0005413142980802497,0.0002785269461202294,5.954596292264765e-05,-8.982636096417502e-05,-7.306683305236526e-05,-0.0002014344520190083,-9.120213641690328e-05,0.0017379318160967948,0.0016363327102019239,-0.0,-0.0,-0.0,-0.0,0.00023389244297156723,0.00018228579150180585
5,8.679145112775901e-05,-0.00016932696238959846,0.0006026749216076989,0.00027230114182409253,6.00532231287606e-05,-8.485188393954267e-05,-6.964021883666152e-05,-0.0001987013686989882,-0.00011688418765335356,0.00202668730576555,0.0018990601885944636,-0.0,-0.0,-0.0,-0.0,0.0002529159418270078,0.0002015954539163856
6,8.530438790957929e-05,-0.00019796034819664606,0.0006624365563092229,0.000272173376399782,6.16010859376892e-05,-8.28339690747757e-05,-6.866220508437287e-05,-0.00020005447687379785,-0.00013948558471386566,0.00229941870141957,0.0021488415229904767,-0.0,-0.0,-0.0,-0.0,0.0002681794932507009,0.0002181285780229479
7,8.307723834241616e-05,-0.000225615720251405,0.0007180944952814199,0.00026979068764511143,6.26409870501676e-05,-7.987595402695722e-05,-6.685123504958896e-05,-0.00019978350789917452,-0.00016145763221958386,0.002556707971809885,0.002383838421355732,-0.0,-0.0,-0.0,-0.0,0.0002799106823569917,0.00023195375531038614
8,8.130007241580871e-05,-0.00025146012227138004,0.000770900899800267,0.0002684328619522543,6.37880320632023e-05,-7.74990585785014e-05,-6.549163918229502e-05,-0.00020013706802196414,-0.00018193903420985947,0.0027995522436667043,0.0026058955486650747,-0.0,-0.0,-0.0,-0.0,0.00028904849986045324,0.00024362437422403927
9,7.94955212497105e-05,-0.00027594492842406113,0.0008206140973736827,0.0002668011618698525,6.480533164436411e-05,-7.509257747010578e-05,-6.40708982401844e-05,-0.00020023087110042725,-0.00020136658289004254,0.003028716216921128,0.0028153447766535583,-0.0,-0.0,-0.0,-0.0,0.0002960447261166825,0.0002534153618244341
10,7.784307158948866e-05,-0.0002990089936346316,0.0008675662541410897,0.00026539952465842655,6.579107181064912e-05,-7.288566225287719e-05,-6.278417664851408e-05,-0.00020041378098133156,-0.0002196605872138724,0.0032449909642623237,0.003013053938944578,-0.0,-0.0,-0.0,-0.0,0.0003013772599041703,0.0002616368015676568
