t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006125449562825854,-0.00017136491046525052,-0.001216523449627025,-0.0017251849099610478,-0.0003209955325043246,0.0006769240782078966,0.0005446490818454037,0.0011962168482694765,-0.00024146621198108058,-0.0016894780990853989,-0.001892494305953478,-0.0,-0.0,-0.0,-0.0,-0.00040861852459038363,-0.00028005499863360155
1,0.0002842303593698276,0.0003732841713801532,-8.843350617596755e-05,0.0007582398029784514,0.00013227499636249158,-0.0003640520594716966,-0.0003027772954039282,-0.000510742507828199,0.0003416328749773254,-0.0014923626647464704,-0.001151705115143802,-0.0,-0.0,-0.0,-0.0,-0.0001523737865051139,-0.00012446876970954515
2,-9.61705773506132e-05,7.050687597622503e-05,-0.0004074996038495777,-0.00028487424586689115,-6.127476406776819e-05,0.00012235369929767062,0.0001069233176510668,0.00020250445281542266,3.788025419873987e-05,-0.0014484751845559999,-0.0014076566684257112,-0.0,-0.0,-0.0,-0.0,-0.0001880139213335149,-0.00014949496263866135
3,5.268048768189393e-05,0.00017743019362729184,-0.00025697029379701425,0.0001249593116897078,1.543038164660401e-05,-6.793056157776267e-05,-5.365674154718104e-05,-7.833250043458726e-05,0.00014774183378135581,-0.0013511188875208503,-0.0012021230510118584,-0.0,-0.0,-0.0,-0.0,-0.00012195042936146658,-0.00010891663185164318
4,-6.747455327879902e-06,0.0001237734520801108,-0.00029269068576861623,-3.708610287879306e-05,-1.4273820030581938e-05,8.083412596729213e-06,1.0203220281959618e-05,3.213529050390675e-05,9.533909496181123e-05,-0.0012812701343839189,-0.0011841497189313173,-0.0,-0.0,-0.0,-0.0,-0.00010646477232456373,-9.882520319796106e-05
5,1.58562653241849e-05,0.0001339766723620704,-0.0002564220882231914,2.601723461577983e-05,-2.119807685231107e-06,-2.0788018653426122e-05,-1.431959980545114e-05,-1.1421378922167113e-05,0.0001073236357345617,-0.001206690567830512,-0.001097921187402714,-0.0,-0.0,-0.0,-0.0,-7.949797478249854e-05,-8.069383383981433e-05
6,6.2143412795492715e-06,0.00011965707255661926,-0.00024974001704759666,5.339234678682254e-07,-6.468418847975789e-06,-8.432736072975727e-06,-4.087056393106371e-06,5.65455179283516e-06,9.444978062234655e-05,-0.0011397269124285242,-0.001043820086612197,-0.0,-0.0,-0.0,-0.0,-6.378539696576863e-05,-6.909085932546593e-05
7,9.307114399543811e-06,0.00011557001616351289,-0.00023259093726557775,9.957102632523548e-06,-4.345679679868965e-06,-1.236135410550327e-05,-7.567926975533025e-06,-1.1323618686088116e-06,9.181976942321992e-05,-0.0010751952669025946,-0.0009820368819726095,-0.0,-0.0,-0.0,-0.0,-4.90238826636198e-05,-5.7774524219345205e-05
8,7.426661787685294e-06,0.00010800208918797986,-0.000220674558696812,5.674265996498104e-06,-4.793427129969548e-06,-9.932892779496955e-06,-5.681663441297569e-06,1.4775049500185153e-06,8.559045795445143e-05,-0.0010148305496717994,-0.0009279624132898918,-0.0,-0.0,-0.0,-0.0,-3.8186349996783214e-05,-4.87707637351057e-05
9,7.541102937284646e-06,0.00010232042574668229,-0.00020774824637048896,6.818769406672725e-06,-4.251229338199508e-06,-1.0056529344236057e-05,-5.9371847653604364e-06,3.919970150005109e-07,8.118647294061011e-05,-0.0009576614641331909,-0.0008752748151836534,-0.0,-0.0,-0.0,-0.0,-2.9236778298083763e-05,-4.091590570518716e-05
10,6.905480554124726e-06,9.638324098132185e-05,-0.0001962100349175121,5.857351506937288e-06,-4.119344578876419e-06,-9.222556356197287e-06,-5.377126543545812e-06,7.643685953939739e-07,7.644946418417733e-05,-0.0009037982203418058,-0.000826213837818023,-0.0,-0.0,-0.0,-0.0,-2.2284314772268494e-05,-3.435686643919507e-05
11,6.598302889628998e-06,9.100611443777604e-05,-0.0001850600725543472,5.753603149253789e-06,-3.845429812651717e-06,-8.80985564586171e-06,-5.164047896750262e-06,5.65965396510257e-07,7.220725598023668e-05,-0.0008529406635128508,-0.0007796631646011703,-0.0,-0.0,-0.0,-0.0,-1.673249127627531e-05,-2.8771476159204547e-05
12,6.193163488294643e-06,8.584206654102578e-05,-0.00017463915597143207,5.339347940283466e-06,-3.6458077491113484e-06,-8.273168392657593e-06,-4.838874436303459e-06,5.951498725735829e-07,6.811345101492993e-05,-0.0008049646543197503,-0.0007358407666673959,-0.0,-0.0,-0.0,-0.0,-1.2373599571994441e-05,-2.4061983177625592e-05
13,5.85613908190332e-06,8.100319210472232e-05,-0.00016476332879736876,5.072883460571676e-06,-3.434293956354163e-06,-7.824773807751917e-06,-4.580935846345225e-06,5.374988657463719e-07,6.428501321605088e-05,-0.0007596904380339801,-0.0006944518994823682,-0.0,-0.0,-0.0,-0.0,-8.935694471264078e-06,-2.0076098034702486e-05
14,5.520187338541526e-06,7.642225625837709e-05,-0.0001554579899196204,4.772366304120413e-06,-3.243837961406632e-06,-7.378895166688893e-06,-4.318345259456891e-06,5.16622886763894e-07,6.0657602705266546e-05,-0.0007169730524182675,-0.0006554154341268377,-0.0,-0.0,-0.0,-0.0,-6.243132084823763e-06,-1.6711722228060343e-05
15,5.210122139754189e-06,7.210391099892019e-05,-0.00014666876912700636,4.508012339346321e-06,-3.060549907231936e-06,-6.967204637512035e-06,-4.078175224077929e-06,4.837183283255825e-07,5.723927303197292e-05,-0.0006766660152494485,-0.0006185772894635315,-0.0,-0.0,-0.0,-0.0,-4.139158732927934e-06,-1.3871409415177355e-05
16,4.914688681579257e-06,6.802573577484226e-05,-0.00013837518551160615,4.250896489004088e-06,-2.889029413434289e-06,-6.575261630533675e-06,-3.84861420541912e-06,4.578567443067116e-07,5.401055056183909e-05,-0.0006386349335626974,-0.0005838226080283958,-0.0,-0.0,-0.0,-0.0,-2.5050081384581477e-06,-1.1476623746259546e-05
17,4.636913474767808e-06,6.417712156942314e-05,-0.00013054576730409134,4.0111911411162415e-06,-2.726647425114574e-06,-6.206888858291566e-06,-3.633221848265225e-06,4.3139945426059793e-07,5.096371132888253e-05,-0.0006027515008817207,-0.0005510310101776117,-0.0,-0.0,-0.0,-0.0,-1.2432857535009475e-06,-9.45901065745903e-06
18,4.3742805241545995e-06,6.054389972115792e-05,-0.0001231555849230014,3.7837477528924334e-06,-2.573667010026453e-06,-5.858825976711856e-06,-3.429568826192668e-06,4.072284278978266e-07,4.808726885584382e-05,-0.0005688952507305432,-0.0005200936504357187,-0.0,-0.0,-0.0,-0.0,-2.7723108483227506e-07,-7.761183963517785e-06
19,4.126530279103868e-06,5.711433089496525e-05,-0.0001161792237748449,3.5695141422169693e-06,-2.429257150519326e-06,-5.530701014119063e-06,-3.2376412768850837e-06,3.8409037948971823e-07,4.53720314686319e-05,-0.0005369522914000395,-0.000490905978071421,-0.0,-0.0,-0.0,-0.0,4.5481380488661524e-07,-6.334164580600214e-06
20,3.892585817893796e-06,5.387668961808017e-05,-0.00010959343161445019,3.3671011657672384e-06,-2.2930597372339476e-06,-5.221100193284231e-06,-3.056529186977824e-06,3.623648279362558e-07,4.280867205173349e-05,-0.0005068152613542946,-0.00046337009070773104,-0.0,-0.0,-0.0,-0.0,1.0018839564402707e-06,-5.136475073565653e-06
21,3.671759265231593e-06,5.082016043110234e-05,-0.00010337596420719905,3.176100111410587e-06,-2.164571006306536e-06,-4.9291103922258244e-06,-2.8857266641435207e-06,3.4179241021039557e-07,4.0388641459585976e-05,-0.0004783828346403693,-0.0004373933395726671,-0.0,-0.0,-0.0,-0.0,1.4031407457762158e-06,-4.132869441148191e-06
22,3.463273865043571e-06,4.793443376695882e-05,-9.750593348073895e-05,2.995775566137856e-06,-2.043383728082584e-06,-4.653708106600461e-06,-2.724616897143926e-06,3.223674104636796e-07,3.8103768403558567e-05,-0.0004515594320837512,-0.00041288843619426954,-0.0,-0.0,-0.0,-0.0,1.6897698584946211e-06,-3.2934502686316968e-06
23,3.2664496718906395e-06,4.5209816869814894e-05,-9.196356980396379e-05,2.8255799157004338e-06,-1.92909120945647e-06,-4.39399698863445e-06,-2.5726716601302686e-06,3.039840267768218e-07,3.594637899233748e-05,-0.00042625487834184786,-0.0003897729922972504,-0.0,-0.0,-0.0,-0.0,1.8866185652635123e-06,-2.5928403483339184e-06
24,3.080628851690124e-06,4.263714520968463e-05,-8.673021990072647e-05,2.6649527000740085e-06,-1.821325328504372e-06,-4.149112595484683e-06,-2.429369426205052e-06,2.865720366785738e-07,3.390921438446718e-05,-0.000402384105332909,-0.0003679693051744692,-0.0,-0.0,-0.0,-0.0,2.0134595018672256e-06,-2.0095083470124174e-06
25,2.905204654805635e-06,4.0207775783479574e-05,-8.17882564050206e-05,2.513404344230555e-06,-1.7197431692796994e-06,-3.918259904929978e-06,-2.294223952798479e-06,2.7003798311123924e-07,3.198543073223482e-05,-0.0003798668606117326,-0.0003474040667780189,-0.0,-0.0,-0.0,-0.0,2.0860213531933843e-06,-1.5251823535416569e-06
26,2.739611302892224e-06,3.791355183068109e-05,-7.712102581228878e-05,2.370492345461428e-06,-1.6240359521316486e-06,-3.7007011944197043e-06,-2.1667688386872076e-06,2.5428002756216604e-07,3.0168569880915335e-05,-0.00035862743498367905,-0.00032800812084105257,-0.0,-0.0,-0.0,-0.0,2.116808394292344e-06,-1.1243540712475595e-06
27,2.5833318406010946e-06,3.574678299199389e-05,-7.27127839050602e-05,2.235846558310193e-06,-1.5339323557324815e-06,-3.495767429050721e-06,-2.0465584865459123e-06,2.3916929190249017e-07,2.845254530393928e-05,-0.0003385944014262841,-0.000309716216215186,-0.0,-0.0,-0.0,-0.0,2.115762673684396e-06,-7.938522238028513e-07
28,2.4359028280226403e-06,3.370022450544798e-05,-6.854863727796847e-05,2.1091855930199762e-06,-1.4492089425049005e-06,-3.3028664822146097e-06,-1.9331611061612998e-06,2.245373579570802e-07,2.68316267245521e-05,-0.0003197003656411688,-0.0002924667730588962,-0.0,-0.0,-0.0,-0.0,2.0907986179710863e-06,-5.224754621435269e-07
