t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006125449562825854,-0.00017136491046525052,-0.001216523449627025,-0.0017251849099610478,-0.0003209955325043246,0.0006769240782078966,0.0005446490818454037,0.0011962168482694765,-0.00024146621198108058,-0.0016894780990853989,-0.001892494305953478,-0.0,-0.0,-0.0,-0.0,-0.00040861852459038363,-0.00028005499863360155
1,-0.0003283145969127578,0.0002019192609149027,-0.0013049569558029927,-0.0009669451069825964,-0.00018872053614183305,0.00031287201873620005,0.00024187178644147553,0.0006854743404412775,0.0001001666629962448,-0.0031818407638318693,-0.0030441994210972803,-0.0,-0.0,-0.0,-0.0,-0.0005609923110954975,-0.0004045237683431467
2,-0.000424485174263371,0.00027242613689112776,-0.0017124565596525704,-0.0012518193528494874,-0.00024999530020960125,0.00043522571803387066,0.00034879510409254236,0.0008879787932567002,0.00013804691719498466,-0.004630315948387869,-0.004451856089522992,-0.0,-0.0,-0.0,-0.0,-0.0007490062324290124,-0.000554018730981808
3,-0.00037180468658147705,0.0004498563305184196,-0.0019694268534495847,-0.0011268600411597795,-0.00023456491856299724,0.000367295156456108,0.0002951383625453613,0.0008096462928221129,0.0002857887509763405,-0.00598143483590872,-0.00565397914053485,-0.0,-0.0,-0.0,-0.0,-0.000870956661790479,-0.0006629353628334512
4,-0.000378552141909357,0.0005736297825985304,-0.002262117539218201,-0.0011639461440385726,-0.0002488387385935792,0.00037537856905283724,0.00030534158282732095,0.0008417815833260196,0.00038112784593815176,-0.007262704970292639,-0.006838128859466167,-0.0,-0.0,-0.0,-0.0,-0.0009774214341150428,-0.0007617605660314123
5,-0.0003626958765851721,0.0007076064549606008,-0.0025185396274413924,-0.0011379289094227928,-0.0002509585462788103,0.0003545905503994111,0.00029102198302186983,0.0008303602044038525,0.0004884514816727134,-0.008469395538123151,-0.00793605004686888,-0.0,-0.0,-0.0,-0.0,-0.0010569194088975414,-0.0008424543998712266
6,-0.0003564815353056228,0.0008272635275172201,-0.0027682796444889893,-0.0011373949859549246,-0.0002574269651267861,0.00034615781432643537,0.00028693492662876344,0.0008360147561966877,0.00058290126229506,-0.009609122450551675,-0.008979870133481078,-0.0,-0.0,-0.0,-0.0,-0.00112070480586331,-0.0009115452591966925
7,-0.000347174420906079,0.0009428335436807329,-0.003000870581754567,-0.0011274378833224011,-0.0002617726448066551,0.0003337964602209321,0.00027936699965323044,0.0008348823943280789,0.0006747210317182799,-0.01068431771745427,-0.009961907015453688,-0.0,-0.0,-0.0,-0.0,-0.0011697286885269298,-0.0009693197834160377
8,-0.0003397477591183937,0.0010508356328687127,-0.003221545140451379,-0.001121763617325903,-0.0002665660719366246,0.0003238635674414351,0.0002736853362119329,0.0008363598992780974,0.0007603114896727314,-0.011699148267126069,-0.010889869428743579,-0.0,-0.0,-0.0,-0.0,-0.001207915038523713,-0.0010180905471511433
9,-0.00033220665618110905,0.0011531560586153949,-0.003429293386821868,-0.0011149448479192304,-0.0002708173012748241,0.00031380703809719905,0.00026774815144657246,0.0008367518962930978,0.0008414979626133414,-0.01265680973125926,-0.011765144243927233,-0.0,-0.0,-0.0,-0.0,-0.0012371518168217968,-0.0010590064528563305
10,-0.0003253011756269843,0.0012495392995967168,-0.00362550342173938,-0.0011090874964122931,-0.00027493664585370053,0.00030458448174100174,0.00026237102490302665,0.0008375162648884918,0.0009179474267975188,-0.013560607951601066,-0.012591358081745255,-0.0,-0.0,-0.0,-0.0,-0.0012594361315940654,-0.0010933633192955255
11,-0.00031870287273735534,0.001340545414034493,-0.003810563494293727,-0.0011033338932630395,-0.00027878207566635224,0.00029577462609514004,0.0002572069770062764,0.0008380822302850021,0.0009901546827777554,-0.014413548615113916,-0.013371021246346426,-0.0,-0.0,-0.0,-0.0,-0.0012761686228703406,-0.0011221347954547302
12,-0.00031250970924906067,0.0014263874805755187,-0.003985202650265159,-0.001097994545322756,-0.0002824278834154636,0.0002875014577024824,0.00025236810256997296,0.0008386773801575757,0.0010582681337926853,-0.015218513269433666,-0.014106862013013822,-0.0,-0.0,-0.0,-0.0,-0.0012885422224423351,-0.0011461967786323558
13,-0.00030665357016715735,0.001507390672680241,-0.0041499659790625275,-0.0010929216618621844,-0.00028586217737181776,0.00027967668389473053,0.00024778716672362776,0.000839214879023322,0.0011225531470087362,-0.015978203707467647,-0.01480131391249619,-0.0,-0.0,-0.0,-0.0,-0.001297477916913599,-0.0011662728766670583
14,-0.00030113338282861585,0.0015838129289386183,-0.004305423968982148,-0.001088149295558064,-0.0002891060153332244,0.00027229778872804166,0.00024346882146417088,0.0008397315019100859,0.0011832107497140028,-0.016695176759885914,-0.015456729346623028,-0.0,-0.0,-0.0,-0.0,-0.0013037210489984228,-0.0011829845988951186
