t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.117656806654e-05,-0.00017275706509762152,-0.0003452902461302418,0.0022709559314543814,-1.862553106937965e-05,-1.703962929272294e-19,-5.035388048423757e-06,6.246279802589787e-05,-0.00018173336276335365,-0.0004981840785233895,-0.0006683952775636159,-0.0,-0.0,-0.0,0.05,0.014989275611466289,0.004990987445800861
1,6.772557069998366e-05,-0.00017779245314604529,-0.00017348445994387604,0.0022953759607389876,5.035388048423572e-06,-2.5123321192452274e-05,-1.5851416964487414e-05,-3.7704212941362036e-05,-0.0001752465870886502,-0.00043290872861927025,-0.0006078442447591642,-0.0,-0.0,-0.0,0.0475,0.02626650982172622,0.009011047573114325
2,3.631037092667689e-05,-0.0001936438701105327,-0.0001829153944003965,0.002104097738907893,-9.271904227964928e-06,1.1987030002730234e-05,1.5076363229760988e-05,1.6368013117494358e-05,-0.0001907869331043813,-0.00038355902281754105,-0.0005737948529784685,-0.0,-0.0,-0.0,0.045125,0.03455689955589165,0.012178140363193476
3,4.5213967403553283e-05,-0.00017856750688077173,-0.00015780524077680232,0.0020287377058743933,-3.0893332270314018e-06,-2.300812603788547e-06,2.7092630937946002e-06,-5.0219657658382235e-06,-0.00017515946693116635,-0.00033412760087809775,-0.000508915946276981,-0.0,-0.0,-0.0,0.04286875,0.04051892036905316,0.014648747884812399
4,3.8438018040376356e-05,-0.00017585824378697713,-0.00014786745119842393,0.0019152971197699557,-5.010075697583468e-06,3.603627542254615e-06,7.3801721263757506e-06,3.2991037942301468e-06,-0.0001720790823050886,-0.00029046759899518915,-0.0004621830595976545,-0.0,-0.0,-0.0,0.04072531249999999,0.04464210518757418,0.016532101760758724
5,3.801453719888353e-05,-0.00016847807166060137,-0.00013342659403978608,0.0018240160591402065,-3.7765445841208188e-06,1.523600825111202e-06,5.34132118699157e-06,-6.844496978659501e-08,-0.0001643352884760895,-0.0002498573389287459,-0.0004138977688004617,-0.0,-0.0,-0.0,0.038689046874999994,0.04733034626379647,0.0179296089787567
6,3.526112445049926e-05,-0.0001631367504736098,-0.0001221276532457075,0.001730822985135454,-3.817720361880203e-06,2.55337520010723e-06,5.941420669456502e-06,1.171078368785567e-06,-0.00015869910868472446,-0.0002129785989883152,-0.0003714213532453658,-0.0,-0.0,-0.0,0.03675459453124999,0.04889965319558617,0.018923336307384957
7,3.358601135625274e-05,-0.0001571953298041533,-0.00011086802214271574,0.001644851855893413,-3.3880454693496028e-06,2.3287886637195614e-06,5.501365639877003e-06,6.028328413137088e-07,-0.0001525013335875941,-0.00017919979731966892,-0.0003314895011134044,-0.0,-0.0,-0.0,0.03491686480468749,0.04960346790175511,0.01958394418229493
8,3.163872958569257e-05,-0.0001516939641642763,-0.00010078175983903495,0.0015621830968713221,-3.1725769761574107e-06,2.57035399500741e-06,5.470095631250861e-06,7.515219237883664e-07,-0.00014678833815385853,-0.00014843095758109738,-0.0002950446745175458,-0.0,-0.0,-0.0,0.03317102156445311,0.04964224020030599,0.019970452667273073
9,2.9942465155101895e-05,-0.00014622386853302543,-9.134097185636015e-05,0.0014840516315843524,-2.899741636243788e-06,2.6032855397310922e-06,5.2779306708386155e-06,6.230091531570639e-07,-0.00014114362130519763,-0.00012039193868097554,-0.00026139611114527474,-0.0,-0.0,-0.0,0.03151247048623045,0.049175285404568087,0.020132787396606174
10,2.8283345185141403e-05,-0.00014094593786218682,-8.267731689078355e-05,0.0014096788605715673,-2.674645131107497e-06,2.695474700320342e-06,5.149710184435124e-06,6.082962747127219e-07,-0.00013572624179346065,-9.489897899925979e-05,-0.0002305171607910352,-0.0,-0.0,-0.0,0.02993684696191893,0.048328613151272515,0.020112861449616895
11,2.6738064185912902e-05,-0.0001357962276777517,-7.466785712350723e-05,0.0013390934272780536,-2.454235484114815e-06,2.743579019322868e-06,4.997465749451439e-06,5.531747001584632e-07,-0.00013046847160734032,-7.175049703673932e-05,-0.0002021396224783801,-0.0,-0.0,-0.0,0.028440004613822983,0.0472018379247963,0.019945919291316228
12,2.526935636607047e-05,-0.00013079876192830024,-6.729457724675235e-05,0.0012720201480401093,-2.253886730128622e-06,2.7902271570187462e-06,4.856302046243604e-06,5.18065208527914e-07,-0.00012539165969218934,-5.0770724850954754e-05,-0.0001761089593769736,-0.0,-0.0,-0.0,0.027018004383131834,0.04587344798172969,0.019661510539470423
13,2.3885206404369513e-05,-0.00012594245988205662,-6.050257046458818e-05,0.0012083166629505784,-2.0660748892248977e-06,2.820443086927993e-06,4.712826184500692e-06,4.789220423122476e-07,-0.00012048193247977519,-3.1791297033498574e-05,-0.00015224327546855388,-0.0,-0.0,-0.0,0.02566710416397524,0.04440511823176159,0.01928438255574747
