t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.117656806654e-05,-0.00017275706509762152,-0.0003452902461302418,0.0022709559314543814,-1.862553106937965e-05,-1.703962929272294e-19,-5.035388048423757e-06,6.246279802589787e-05,-0.00018173336276335365,-0.0004981840785233895,-0.0006683952775636159,-0.0,-0.0,-0.0,0.05,0.014989275611466289,0.004990987445800861
1,8.890213876652366e-05,-0.0003505495182436668,-0.0005187747060741179,0.004566331892193369,-1.3590143020956078e-05,-2.5123321192452443e-05,-2.0886805012911172e-05,2.4758585084535836e-05,-0.00035697994985200385,-0.0009310928071426598,-0.00127623952232278,-0.0,-0.0,-0.0,0.0975,0.041255785433192506,0.014002035018915185
2,0.00012521250969320055,-0.0005441933883541995,-0.0007016901004745144,0.006670429631101262,-2.2862047248921005e-05,-1.3136291189722209e-05,-5.810441783150185e-06,4.1126598202030194e-05,-0.0005477668829563852,-0.0013146518299602008,-0.0018500343753012486,-0.0,-0.0,-0.0,0.142625,0.07581268498908415,0.02618017538210866
3,0.00017042647709675384,-0.0007227608952349712,-0.0008594953412513168,0.008699167336975655,-2.5951380475952406e-05,-1.5437103793510755e-05,-3.1011786893555846e-06,3.610463243619197e-05,-0.0007229263498875515,-0.0016487794308382986,-0.0023589503215782296,-0.0,-0.0,-0.0,0.18549375,0.11633160535813732,0.04082892326692106
4,0.0002088644951371302,-0.0008986191390219484,-0.0010073627924497407,0.01061446445674561,-3.096145617353587e-05,-1.183347625125614e-05,4.278993437020166e-06,3.9403736230422115e-05,-0.0008950054321926401,-0.0019392470298334877,-0.0028211333811758842,-0.0,-0.0,-0.0,0.2262190625,0.1609737105457115,0.057361025027679785
5,0.00024687903233601373,-0.0010670972106825497,-0.0011407893864895267,0.012438480515885817,-3.473800075765669e-05,-1.0309875426144938e-05,9.620314624011735e-06,3.933529126063552e-05,-0.0010593407206687295,-0.0021891043687622337,-0.0032350311499763458,-0.0,-0.0,-0.0,0.264908109375,0.20830405680950798,0.07529063400643649
6,0.000282140156786513,-0.0012302339611561595,-0.0012629170397352343,0.01416930350102127,-3.855572111953689e-05,-7.756500226037707e-06,1.556173529346824e-05,4.050636962942109e-05,-0.001218039829353454,-0.002402082967750549,-0.0036064525032217117,-0.0,-0.0,-0.0,0.30166270390624994,0.2572037100050941,0.09421397031382145
7,0.0003157261681427657,-0.0013874292909603128,-0.00137378506187795,0.015814155356914685,-4.1943766588886494e-05,-5.4277115623181455e-06,2.106310093334524e-05,4.1109202470734794e-05,-0.001370541162941048,-0.0025812827650702175,-0.003937942004335116,-0.0,-0.0,-0.0,0.3365795687109374,0.30680717790684925,0.11379791449611638
8,0.00034736489772845827,-0.001539123255124589,-0.0014745668217169849,0.017376338453786007,-4.511634356504391e-05,-2.8573575673107356e-06,2.65331965645961e-05,4.186072439452316e-05,-0.0015173295010949067,-0.002729713722651315,-0.004232986678852662,-0.0,-0.0,-0.0,0.36975059027539053,0.35644941810715525,0.13376836716338947
9,0.0003773073628835602,-0.0016853471236576145,-0.0015659077935733451,0.018860390085370358,-4.80160852012877e-05,-2.540720275796434e-07,3.181112723543472e-05,4.2483733547680226e-05,-0.0016584731224001043,-0.0028501056613322905,-0.004494382789997937,-0.0,-0.0,-0.0,0.401263060761621,0.4056247035117233,0.15390115455999565
10,0.0004055907080687016,-0.0018262930615198013,-0.0016485851104641287,0.020270068945941924,-5.06907303323952e-05,2.4414026727406985e-06,3.696083741986984e-05,4.309202982239295e-05,-0.0017941993641935649,-0.00294500464033155,-0.004724899950788972,-0.0,-0.0,-0.0,0.43119990772353994,0.4539533166629958,0.17401401600961253
