t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.005797870422118077,-0.0014937366440144926,-0.01179974437596633,-0.01634770583136334,-0.003407527059408438,0.0024999999999999922,0.002866364841699779,0.011341802971205683,-0.00218624439206868,-0.016834785890581325,-0.01868905639220503,-0.0,-0.0,-0.0,-0.0
1,-0.000328017130682598,0.0013726281976852864,-0.0039061593039936954,-0.0011345583927984018,-0.00036636484169978674,5.743982791516015e-05,0.00019323473476616837,0.000861505148395335,0.0010120943400760728,-0.01605674411533065,-0.015021740524815017,-0.0,-0.0,-0.0,-0.0
2,3.9185408102436086e-05,0.0015658629324514547,-0.0033780463679013227,-0.00011338493349991072,-0.0001357949068510085,-0.000137743789249095,-4.39769282763729e-05,0.0001580632951869832,0.0012282383252818026,-0.015180439152674101,-0.013932632088701035,-0.0,-0.0,-0.0,-0.0
3,9.415349581477615e-05,0.0015218860041750818,-0.0031369590843494245,4.996942936744509e-05,-9.376686097272524e-05,-0.00016150742057205792,-7.861267880451841e-05,4.176328841542122e-05,0.0012038301356966934,-0.014330247512130223,-0.013108286154483017,-0.0,-0.0,-0.0,-0.0
4,9.822323156742093e-05,0.0014432733253705633,-0.0029516241563951728,7.29075887111196e-05,-8.289474176754728e-05,-0.00015763461850098432,-8.027425482029399e-05,2.1783621551563718e-05,0.00114334867884269,-0.01352418438305389,-0.012363779789879403,-0.0,-0.0,-0.0,-0.0
5,9.422679567879763e-05,0.0013629990705502693,-0.0027836312093147838,7.304238660649401e-05,-7.736036368069403e-05,-0.00014967432254900338,-7.675608126423789e-05,1.7645857459175455e-05,0.0010801303383541952,-0.012762959987369102,-0.011666742286521231,-0.0,-0.0,-0.0,-0.0
6,8.917134908508369e-05,0.0012862429892860315,-0.0026262193214036944,6.96456720740728e-05,-7.291824128477412e-05,-0.00014146330186188543,-7.260257498321816e-05,1.6151679846969775e-05,0.0010194616195836367,-0.012044573732126987,-0.011009931096568656,-0.0,-0.0,-0.0,-0.0
7,8.419106944609547e-05,0.0012136404143028134,-0.0024778428558387745,6.586600278527511e-05,-6.886072687866882e-05,-0.00013360776875600183,-6.854679299179556e-05,1.5134176258213809e-05,0.0009620400605751114,-0.011366699942459117,-0.010390332827479158,-0.0,-0.0,-0.0,-0.0
8,7.945804798655178e-05,0.0011450936213110178,-0.002337835834826943,6.220905041038454e-05,-6.506097576421409e-05,-0.00012618563829163392,-6.469755834236499e-05,1.4235268891934101e-05,0.0009078203219881633,-0.010727072299450175,-0.009805730483771929,-0.0,-0.0,-0.0,-0.0
9,7.49874366774309e-05,0.0010803960629686528,-0.00220569967995857,5.874782107563887e-05,-6.148807994927466e-05,-0.00011918952634433862,-6.106198374430581e-05,1.3393566797898155e-05,0.0008566442573358779,-0.010123540523403692,-0.009254134825489662,-0.0,-0.0,-0.0,-0.0
10,7.07694184155867e-05,0.001019334079224347,-0.0020809851186498014,5.548501579593919e-05,-5.8127542600033136e-05,-0.00011259932390070603,-5.76311083137634e-05,1.2596421006903946e-05,0.0008083437141697257,-0.00955407367522471,-0.008733685654004876,-0.0,-0.0,-0.0,-0.0
11,6.679080573946071e-05,0.0009617029709105835,-0.0019632715836868844,5.241241809948166e-05,-5.496821558694667e-05,-0.00010639404191454461,-5.439390421123455e-05,1.1839258577657597e-05,0.0007627569129060683,-0.009016755041864133,-0.008242630454568033,-0.0,-0.0,-0.0,-0.0
12,6.303854575250555e-05,0.000907309066699349,-0.0018521626670407743,4.952060903584537e-05,-5.200013770330809e-05,-0.00010055370427057244,-5.133954065357301e-05,1.1118901866787127e-05,0.0007197306830848619,-0.008509775959279124,-0.007779316012017972,-0.0,-0.0,-0.0,-0.0
13,5.9500261049821465e-05,0.000855969526045776,-0.0017472842712691233,4.680054078558738e-05,-4.921416361699567e-05,-9.50596143674238e-05,-4.845772435563464e-05,1.0432459612083003e-05,0.0006791204066075782,-0.008031429760457941,-0.007342182426669526,-0.0,-0.0,-0.0,-0.0
14,5.6164307269169174e-05,0.0008075118016901414,-0.0016482832648100102,4.424377841004666e-05,-4.660189001179219e-05,-8.989436042557365e-05,-4.5738726225841895e-05,9.777131022094051e-06,0.0006407896094327856,-0.007580106026077445,-0.006929757781084295,-0.0,-0.0,-0.0,-0.0
15,5.3019753941143886e-05,0.0007617730754642995,-0.0015548262779632733,4.184252633295436e-05,-4.415563419973155e-05,-8.504178344093395e-05,-4.317335815739022e-05,9.150158861784825e-06,0.0006046095187673161,-0.007154285150688725,-0.006540653155998999,-0.0,-0.0,-0.0,-0.0
16,5.005635528435147e-05,0.0007185997173069093,-0.0014665985766763275,3.958962275844112e-05,-4.186842528355138e-05,-8.048694464622592e-05,-4.0752943072844046e-05,8.548806100125096e-06,0.0005704586365323428,-0.006752533211192038,-0.00617355793180881,-0.0,-0.0,-0.0,-0.0
17,4.7264521857522446e-05,0.0006778467742340653,-0.0013833030006731265,3.74785322265081e-05,-3.973400157338666e-05,-7.621609872641611e-05,-3.846928520015528e-05,7.970335367384421e-06,0.0005382223363103815,-0.006373497120886627,-0.0058272353517717,-0.0,-0.0,-0.0,-0.0
18,4.4635294860598586e-05,0.0006393774890339099,-0.0013046589607386553,3.5503341458529714e-05,-3.77468135262612e-05,-7.221667407527238e-05,-3.631464162926807e-05,7.411987611981301e-06,0.000507792483914768,-0.00601590005256761,-0.005500518330295829,-0.0,-0.0,-0.0,-0.0
19,4.2160323401148285e-05,0.0006030628474046419,-0.0012304014914877761,3.3658759580791096e-05,-3.590203244600787e-05,-6.847726063389641e-05,-3.428169522957339e-05,6.8709591325318235e-06,0.0004790670806425107,-0.005678537114877475,-0.005192305491478328,-0.0,-0.0,-0.0,-0.0
20,3.983184482102824e-05,0.0005687811521750685,-0.001160280356346318,3.194012319303248e-05,-3.4195565404325e-05,-6.498760580408191e-05,-3.236352885193333e-05,6.344376590420421e-06,0.000451949928169568,-0.00536027126689483,-0.004901557423938176,-0.0,-0.0,-0.0,-0.0
21,3.7642668163838314e-05,0.0005364176233231352,-0.0010940592016793216,3.0343406696944463e-05,-3.262407695215157e-05,-6.173861900434783e-05,-3.055360071671927e-05,5.8292696483936216e-06,0.0004263503141047201,-0.005060029456677448,-0.004627293138661959,-0.0,-0.0,-0.0,-0.0
22,3.5586160883198874e-05,0.0005058640226064158,-0.0010315147571695901,2.8865238341031728e-05,-3.1185018287628506e-05,-5.8722385541661e-05,-2.884572088923951e-05,5.3225408566773446e-06,0.0004021827172987686,-0.00477679897015834,-0.004368586717181774,-0.0,-0.0,-0.0,-0.0
23,3.365623891618004e-05,0.00047701830171717637,-0.000972436079705523,2.7502922493487064e-05,-2.987666465242315e-05,-5.593219059243328e-05,-2.723402875097516e-05,4.820932374518741e-06,0.00037936653208732707,-0.004509623977422118,-0.004124564137950497,-0.0,-0.0,-0.0,-0.0
24,3.184736026534996e-05,0.0004497842729662012,-0.0009166238381908489,2.6254468696211274e-05,-2.869816184145732e-05,-5.3362554221981156e-05,-2.5712971389254872e-05,4.320989090687333e-06,0.0003578258107206456,-0.0042576022639710396,-0.0038944002692862466,-0.0,-0.0,-0.0,-0.0
25,3.0154522237743565e-05,0.0004240713015769463,-0.0008638896368482294,2.5118628055789178e-05,-2.7649582832727687e-05,-5.1009278521961814e-05,-2.4277282857173263e-05,3.8190177085003174e-06,0.0003374890232955362,-0.0040198821351315975,-0.0036773160177371415,-0.0,-0.0,-0.0,-0.0
26,2.8573262459440268e-05,0.00039979401871977305,-0.0008140553747730414,2.4094937435704258e-05,-2.6731995664789005e-05,-4.886950811070979e-05,-2.292196431763995e-05,3.3110414272858204e-06,0.00031828883453728185,-0.0037956594822720377,-0.0034725756212041926,-0.0,-0.0,-0.0,-0.0
