t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.005797870422118077,-0.0014937366440144926,-0.01179974437596633,-0.01634770583136334,-0.003407527059408438,0.0024999999999999922,0.002866364841699779,0.011341802971205683,-0.00218624439206868,-0.016834785890581325,-0.01868905639220503,-0.0,-0.0,-0.0,-0.0
1,-0.006125887552800675,-0.00012110844632920621,-0.015705903679960026,-0.017482264224161742,-0.0037738919011082246,0.0025574398279151526,0.0030595995764659475,0.012203308119601018,-0.0011741500519926072,-0.032891530005911974,-0.033710796917020044,-0.0,-0.0,-0.0,-0.0
2,-0.006086702144698239,0.0014447544861222485,-0.01908395004786135,-0.017595649157661652,-0.003909686807959233,0.0024196960386660576,0.003015622648189575,0.012361371414788,5.4088273289195406e-05,-0.048071969158586074,-0.04764342900572108,-0.0,-0.0,-0.0,-0.0
3,-0.005992548648883463,0.00296664049029733,-0.022220909132210774,-0.017545679728294208,-0.004003453668931958,0.0022581886180939995,0.0029370099693850566,0.012403134703203422,0.0012579184089858888,-0.0624022166707163,-0.0607517151602041,-0.0,-0.0,-0.0,-0.0
4,-0.005894325417316042,0.004409913815667893,-0.02517253328860595,-0.01747277213958309,-0.004086348410699506,0.0021005539995930154,0.0028567357145647624,0.012424918324754985,0.002401267087828579,-0.07592640105377019,-0.0731154949500835,-0.0,-0.0,-0.0,-0.0
5,-0.005800098621637244,0.005772912886218163,-0.02795616449792073,-0.017399729752976593,-0.0041637087743802,0.001950879677044012,0.0027799796333005246,0.01244256418221416,0.003481397426182774,-0.0886893610411393,-0.08478223723660473,-0.0,-0.0,-0.0,-0.0
6,-0.005710927272552161,0.007059155875504194,-0.030582383819324425,-0.01733008408090252,-0.004236627015664974,0.0018094163751821266,0.0027073770583173062,0.01245871586206113,0.004500859045766411,-0.10073393477326628,-0.09579216833317339,-0.0,-0.0,-0.0,-0.0
7,-0.005626736203106065,0.008272796289807007,-0.0330602266751632,-0.017264218078117243,-0.004305487742543643,0.0016758086064261248,0.0026388302653255107,0.012473850038319344,0.005462899106341523,-0.1121006347157254,-0.10618250116065255,-0.0,-0.0,-0.0,-0.0
8,-0.005547278155119514,0.009417889911118025,-0.03539806250999014,-0.01720200902770686,-0.004370548718307857,0.0015496229681344908,0.002574132706983146,0.012488085307211278,0.006370719428329686,-0.12282770701517558,-0.11598823164442447,-0.0,-0.0,-0.0,-0.0
9,-0.005472290718442083,0.010498285974086679,-0.03760376218994871,-0.01714326120663122,-0.004432036798257132,0.0014304334417901523,0.00251307072323884,0.012501478874009177,0.007227363685665564,-0.13295124753857926,-0.12524236646991413,-0.0,-0.0,-0.0,-0.0
10,-0.005401521300026496,0.011517620053311025,-0.03968474730859851,-0.01708777619083528,-0.004490164340857165,0.0013178341178894462,0.0024554396149250764,0.01251407529501608,0.00803570739983529,-0.14250532121380396,-0.133976052123919,-0.0,-0.0,-0.0,-0.0
