t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,2.9842621983838782e-05,-0.00017680649755209143,-0.00031369079942859986,0.002296294768262834,-2.5921066386492028e-06,2.3123817081422807e-19,-9.400119287069514e-06,4.456247060849019e-05,-0.00018342460409287193,-0.0004612797537670596,-0.0006348595204583614,-0.0,-0.0,-0.0,0.05
1,6.12360441110659e-05,-0.00018620661683916095,-0.00017170679659807482,0.0022780482534149704,9.40011928706941e-06,-1.4230091550810116e-07,-2.5700651730104777e-06,-2.6026588294968686e-05,-0.00018297988597837096,-0.00040021939912812546,-0.0005827906753916499,-0.0,-0.0,-0.0,0.0475
2,4.682195799661642e-05,-0.00018877668201217144,-0.00016632094987257352,0.00213342558394023,2.42776425750208e-06,6.360160232742324e-06,4.964748145741195e-06,-3.869037595116056e-06,-0.000185141341436535,-0.00034856506900789717,-0.0005332916941944542,-0.0,-0.0,-0.0,0.045125
3,4.244239219968647e-05,-0.00018381193386643024,-0.0001533768620945858,0.002021574870701934,1.3954120870009215e-06,7.4007114897765765e-06,6.076108499930932e-06,-2.8370095346043657e-07,-0.00017976187704081586,-0.00030195170684617925,-0.00048134561367692475,-0.0,-0.0,-0.0,0.04286875
4,3.981870962493912e-05,-0.0001777358253664993,-0.00014009383761370684,0.0019195114926316623,1.3246029898451095e-06,7.5327415016792836e-06,6.132450949273819e-06,2.612564625397486e-07,-0.00017331779833081466,-0.0002594079708909574,-0.0004324091430064466,-0.0,-0.0,-0.0,0.04072531249999999
5,3.7587421024085934e-05,-0.00017160337441722549,-0.00012759423441668243,0.0018232456513499892,1.4002905524055395e-06,7.504530776400143e-06,6.014535655421548e-06,3.121691901924386e-07,-0.00016686872116621542,-0.0002205362407918821,-0.0003871366653438218,-0.0,-0.0,-0.0,0.038689046874999994
6,3.551918013567342e-05,-0.00016558883876180395,-0.00011600476775448055,0.0017319130186634383,1.4899951209786274e-06,7.4403593082716716e-06,5.867268780717693e-06,2.8629365481458404e-07,-0.00016058588889651803,-0.00018504913140229034,-0.00034541106994366534,-0.0,-0.0,-0.0,0.03675459453124999
7,3.3570909296250836e-05,-0.00015972156998108627,-0.00010529266930024779,0.001645172235884355,1.5730905275540464e-06,7.3620932783296e-06,5.714856228341497e-06,2.518299238370415e-07,-0.00015449466976065745,-0.0001526924507082889,-0.0003070036343372954,-0.0,-0.0,-0.0,0.03491686480468749
8,3.1730367541921915e-05,-0.00015400671375274478,-9.54025475921063e-05,0.0015627776778388853,1.6472370499879912e-06,7.274715561626308e-06,5.561668195223676e-06,2.1977433007913988e-07,-0.00014859632740066498,-0.00012323158544913068,-0.0002716812679282331,-0.0,-0.0,-0.0,0.03317102156445311
9,2.9990648716264733e-05,-0.00014844504555752109,-8.627860596208776e-05,0.001484508900175678,1.7130473664028421e-06,7.1803600666531595e-06,5.408780436805878e-06,1.9177166348914432e-07,-0.00014288801428387885,-9.64483485228416e-05,-0.0002392232043579246,-0.0,-0.0,-0.0,0.03151247048623045
