t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,2.9842621983838782e-05,-0.00017680649755209143,-0.00031369079942859986,0.002296294768262834,-2.5921066386492028e-06,2.3123817081422807e-19,-9.400119287069514e-06,4.456247060849019e-05,-0.00018342460409287193,-0.0004612797537670596,-0.0006348595204583614,-0.0,-0.0,-0.0,0.05
1,9.107866609490468e-05,-0.00036301311439125236,-0.00048539759602667467,0.004574343021677804,6.808012648420207e-06,-1.4230091550786992e-07,-1.1970184460079991e-05,1.8535882313521504e-05,-0.0003664044900712429,-0.0008614991528951851,-0.0012176501958500114,-0.0,-0.0,-0.0,0.0975
2,0.0001379006240915211,-0.0005517897964034238,-0.0006517185458992482,0.006707768605618034,9.235776905922288e-06,6.2178593172344536e-06,-7.005436314338796e-06,1.4666844718405448e-05,-0.0005515458315077779,-0.0012100642219030821,-0.0017509418900444654,-0.0,-0.0,-0.0,0.142625
3,0.00018034301629120758,-0.000735601730269854,-0.0008050954079938341,0.008729343476319968,1.063118899292321e-05,1.361857080701103e-05,-9.293278144078642e-07,1.4383143764945011e-05,-0.0007313077085485938,-0.0015120159287492613,-0.00223228750372139,-0.0,-0.0,-0.0,0.18549375
4,0.00022016172591614671,-0.0009133375556363533,-0.000945189245607541,0.01064885496895163,1.1955791982768319e-05,2.1151312308690314e-05,5.2031231348659545e-06,1.464440022748476e-05,-0.0009046255068794084,-0.0017714238996402187,-0.0026646966467278365,-0.0,-0.0,-0.0,0.2262190625
5,0.00025774914694023265,-0.0010849409300535788,-0.0010727834800242234,0.012472100620301619,1.3356082535173858e-05,2.865584308509046e-05,1.1217658790287502e-05,1.4956569417677198e-05,-0.0010714942280456237,-0.001991960140432101,-0.0030518333120716583,-0.0,-0.0,-0.0,0.264908109375
6,0.0002932683270759061,-0.0012505297688153827,-0.0011887882477787039,0.014204013638965058,1.4846077656152484e-05,3.609620239336213e-05,1.7084927571005195e-05,1.5242863072491781e-05,-0.0012320801169421417,-0.002177009271834391,-0.0033972443820153237,-0.0,-0.0,-0.0,0.30166270390624994
7,0.0003268392363721569,-0.001410251338796469,-0.0012940809170789516,0.015849185874849413,1.641916818370653e-05,4.345829567169173e-05,2.279978379934669e-05,1.5494692996328824e-05,-0.001386574786702799,-0.00232970172254268,-0.003704248016352619,-0.0,-0.0,-0.0,0.3365795687109374
8,0.00035856960391407884,-0.0015642580525492137,-0.0013894834646710579,0.0174119635526883,1.806640523369452e-05,5.073301123331804e-05,2.8361451994570368e-05,1.5714467326407964e-05,-0.001535171114103464,-0.002452933307991811,-0.003975929284280852,-0.0,-0.0,-0.0,0.36975059027539053
9,0.00038856025263034354,-0.0017127030981067349,-0.0014757620706331456,0.01889647245286398,1.9779452600097362e-05,5.7913371299971196e-05,3.3770232431376246e-05,1.590623898989711e-05,-0.0016780591283873428,-0.0025493816565146524,-0.004215152488638777,-0.0,-0.0,-0.0,0.401263060761621
10,0.0004169062364039564,-0.00185573936322745,-0.00155363014810672,0.0203066310463315,2.155103222994462e-05,6.499399465974783e-05,3.902692202952457e-05,1.607420021032906e-05,-0.0018154252037856202,-0.0026215212566027576,-0.004424575391684426,-0.0,-0.0,-0.0,0.43119990772353994
11,0.00044369727329775265,-0.0019935189387500166,-0.0016237517412997838,0.021646161200033744,2.337496599157288e-05,7.197094879293847e-05,4.4132683423327916e-05,1.622246390367368e-05,-0.0019474518171450161,-0.002671637470917286,-0.004606662969932521,-0.0,-0.0,-0.0,0.4596399123373629
12,0.000469018048448095,-0.00212619275287878,-0.0016867448011701415,0.022918598051876335,2.5246158730960178e-05,7.884167630172725e-05,4.908899025489174e-05,1.6355056803010112e-05,-0.0020743174196847783,-0.002701839625233002,-0.004763700358546612,-0.0,-0.0,-0.0,0.48665791672049474
13,0.0004929484813125121,-0.0022539102601759797,-0.0017431842698398218,0.024127299338628883,2.716057940818499e-05,8.560494405829888e-05,5.389758748412621e-05,1.647594833383709e-05,-0.00219619634715159,-0.0027140732384524306,-0.0048978049761701364,-0.0,-0.0,-0.0,0.51232502088447
14,0.0005155639733807093,-0.002376819170243945,-0.0017936049732381058,0.02527545424326699,2.911524993552222e-05,9.226080680498339e-05,5.8560456470235046e-05,1.6589086721744914e-05,-0.0023132587543264515,-0.0027101314500229644,-0.0050109378725045305,-0.0,-0.0,-0.0,0.5367087698402464
15,0.0005369356395138675,-0.0024950652113258013,-0.001838504332049896,0.02636609179163256,3.110824369609779e-05,9.881058415370461e-05,6.3079782945018e-05,1.669843802592044e-05,-0.002425670570104203,-0.0026916656967616768,-0.005104914346809641,-0.0,-0.0,-0.0,0.559873331348234
16,0.0005571305238930632,-0.0026087919259328747,-0.0018783449021778573,0.027402088821245143,3.3138694570036164e-05,0.00010525685123564916,6.745792737866899e-05,1.6808027801376204e-05,-0.0025335934711958187,-0.0026601956878428237,-0.005181413884072797,-0.0,-0.0,-0.0,0.5818796647808223
17,0.0005762118011367386,-0.002718140496106297,-0.0019135567555476844,0.02838617754294406,3.52068172183299e-05,0.00011160344359831612,7.169739747260302e-05,1.6921985796024485e-05,-0.002637184872944176,-0.00261711872380166,-0.005241989453133717,-0.0,-0.0,-0.0,0.6027856815417811
18,0.0005942389630137221,-0.0028232495961857855,-0.0019445397114951839,0.029320952714726962,3.731393948706284e-05,0.00011785547714988283,7.580082255850823e-05,1.7044594256758237e-05,-0.002736597935952326,-0.002563718402727665,-0.005288076208583309,-0.0,-0.0,-0.0,0.6226463974646921
19,0.0006112679910897972,-0.0029242552711793686,-0.0019716654283827278,0.03020887844600669,3.9462547952724464e-05,0.00012401938414575704,7.9770929695289e-05,1.718034050674286e-05,-0.0028319815873900068,-0.0025011727543324674,-0.00532099963593635,-0.0,-0.0,-0.0,0.6415140775914574
20,0.0006273515155619066,-0.003021290839036171,-0.001995279364533812,0.031052294649422094,4.165634781181797e-05,0.00013010296642395415,8.361052126164938e-05,1.733397453965454e-05,-0.002923480556001465,-0.0024305618402717206,-0.005341983177432305,-0.0,-0.0,-0.0,0.6594383737118845
21,0.0006425389604476483,-0.003114486815326613,-0.0020157026170514437,0.03185342315628792,4.390033852365466e-05,0.000136115467331333,8.732245384613494e-05,1.751057246869906e-05,-0.003011235419991806,-0.002352874856968334,-0.005352155373843473,-0.0,-0.0,-0.0,0.6764664550262902
22,0.0006568766752072363,-0.0032039708590325695,-0.002033233646597642,0.032614373510747884,4.6200906846547885e-05,0.00014206766404594213,9.090961823959288e-05,1.7715606771532103e-05,-0.003095382667121875,-0.0022690167752205718,-0.005352556555861082,-0.0,-0.0,-0.0,0.6926431322749756
23,0.0006704080527804566,-0.003289867738345068,-0.0020481498957548978,0.033337148456701174,4.856593916769905e-05,0.00014797198229587634,9.43749203382281e-05,1.7955024386625816e-05,-0.0031760547664937883,-0.002179814549076756,-0.005344145116982505,-0.0,-0.0,-0.0,0.7080109756612268
