t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.0009647084436291588,-8.16227232831274e-05,-0.0023343525167253075,-0.002744116537865695,-0.0004565573698834438,0.0006769240782078961,0.000506396058530032,0.0019123473155956184,-0.0002315875221326709,-0.001817913468954274,-0.001927348209021475,-0.0,-0.0,-0.0,-0.0
1,0.00037275485542895834,0.00042477333524690465,2.798239353297979e-05,0.0010037166270964336,0.00017052801967786454,-0.0003880249787264385,-0.0003357401910926279,-0.0006795870049730347,0.00039696131846283123,-0.0016067256828061855,-0.00121673537569632,-0.0,-0.0,-0.0,-0.0
2,-8.331628444146165e-05,8.903314415427674e-05,-0.0004151540658433937,-0.00025081956203167966,-5.228478763381088e-05,8.393999488300584e-05,7.735136252736106e-05,0.00017965427657951438,5.425011601723777e-05,-0.0015493713597559276,-0.0014910610650595867,-0.0,-0.0,-0.0,-0.0
3,3.5575210140155444e-05,0.0001663845066816378,-0.0002770276263667888,7.768448818499443e-05,6.588632355644486e-06,-3.8926609600712804e-05,-3.0455414918706424e-05,-4.587271710746141e-05,0.00013566165722370233,-0.001457712585270047,-0.0013210061899273785,-0.0,-0.0,-0.0,-0.0
4,3.6451001708706563e-06,0.0001359290917629314,-0.00029260571743008353,-9.147088732632152e-06,-8.471194682005743e-06,-5.7679624914450795e-06,-1.615483676318139e-06,1.3235321269435171e-05,0.00010625098042396183,-0.0013807863892078321,-0.0012728139380530524,-0.0,-0.0,-0.0,-0.0
5,1.132884369740839e-05,0.00013431360808661326,-0.0002689775496835986,1.3035361916076226e-05,-4.152478815126986e-06,-1.359771658746053e-05,-8.659650477374531e-06,-2.338018681328512e-06,0.00010635696747846214,-0.0013054153522346255,-0.001197622825320046,-0.0,-0.0,-0.0,-0.0
6,8.656160146489113e-06,0.00012565395760923874,-0.0002567007213784491,6.6464733353560174e-06,-4.938066110086225e-06,-1.0718999846328171e-05,-6.316139796823623e-06,1.68769720981924e-06,9.913287643720467e-05,-0.0012347630981926437,-0.0011342221785952474,-0.0,-0.0,-0.0,-0.0
7,8.736678208087391e-06,0.00011933781781241512,-0.00024245270791696088,7.785369470665111e-06,-4.402860049503969e-06,-1.0693959335582765e-05,-6.4622378072827025e-06,5.741451071094182e-07,9.422477980057256e-05,-0.0011677213017758307,-0.001072178302580242,-0.0,-0.0,-0.0,-0.0
8,8.128669934786935e-06,0.00011287558000513242,-0.00022967551932355864,6.978390457579172e-06,-4.231721528299625e-06,-9.961635959718957e-06,-5.980033345905331e-06,8.122100909521178e-07,8.908076138830534e-05,-0.0011043174524201832,-0.001013986752708029,-0.0,-0.0,-0.0,-0.0
9,7.733403694441303e-06,0.00010689554665922708,-0.00021741527387853537,6.709758632426291e-06,-3.981602613812867e-06,-9.45411079555662e-06,-5.686264902319493e-06,6.985895930530787e-07,8.43506663662487e-05,-0.0010442951068686138,-0.0009587635245383969,-0.0,-0.0,-0.0,-0.0
10,7.312692754206692e-06,0.00010120928175690759,-0.00020587430286736773,6.326166693074738e-06,-3.7678458932365967e-06,-8.924661660856231e-06,-5.3653350224821365e-06,6.800537729618543e-07,7.984531742789725e-05,-0.0009874856480942592,-0.0009065235988160076,-0.0,-0.0,-0.0,-0.0
11,6.927424377420523e-06,9.584394673442544e-05,-0.0001949541927166882,5.997641493124999e-06,-3.5593266383743155e-06,-8.435985185081475e-06,-5.072588104952001e-06,6.392260587799812e-07,7.55967142557696e-05,-0.0009337100138066439,-0.000857057630840662,-0.0,-0.0,-0.0,-0.0
12,6.560100889994982e-06,9.077135862947344e-05,-0.00018463793532136466,5.678253283442223e-06,-3.363397080129719e-06,-7.969697677228994e-06,-4.792341002577677e-06,6.06763600547835e-07,7.157979486103032e-05,-0.0008828037944038397,-0.0008102260621804757,-0.0,-0.0,-0.0,-0.0
13,6.213876113867736e-06,8.597901762689576e-05,-0.0001748895244856134,5.37881022190547e-06,-3.177356674651439e-06,-7.528791918699144e-06,-4.52760838469869e-06,5.744884591632437e-07,6.778539122078654e-05,-0.000834609996717612,-0.0007658813500281693,-0.0,-0.0,-0.0,-0.0
14,5.886565011355827e-06,8.145140924219707e-05,-0.0001656801763771749,5.095302866532189e-06,-3.0011835340004273e-06,-7.110748173503346e-06,-4.276556367681985e-06,5.444192770668894e-07,6.420103830474415e-05,-0.0007889803264393953,-0.0007238878059895722,-0.0,-0.0,-0.0,-0.0
15,5.57745927180735e-06,7.717485287451509e-05,-0.00015698133208622174,4.82767641698568e-06,-2.834191805821162e-06,-6.714584477071118e-06,-4.038677545107303e-06,5.159051987557786e-07,6.0815964082140935e-05,-0.0007457742679623859,-0.0006841158530938613,-0.0,-0.0,-0.0,-0.0
16,5.285535302363046e-06,7.313617532940778e-05,-0.00014876638263947365,4.574902398080326e-06,-2.6759069319638514e-06,-6.339002046540233e-06,-3.813167589749263e-06,4.890009312224115e-07,5.761973732341712e-05,-0.0007048587729478438,-0.0006464430233177091,-0.0,-0.0,-0.0,-0.0
17,5.009921105442514e-06,6.932300773965852e-05,-0.0001410101114043193,4.336269652272953e-06,-2.5258344567907485e-06,-5.982867693159154e-06,-3.599348188726674e-06,4.635800865852032e-07,5.460258204038529e-05,-0.0006661078182042671,-0.000610753212960151,-0.0,-0.0,-0.0,-0.0
18,4.749770851021976e-06,6.572365955093185e-05,-0.00013368874110371816,4.1110441662327e-06,-2.383519504431928e-06,-5.64508357582571e-06,-3.396553124672099e-06,4.395664075596365e-07,5.175525705538916e-05,-0.0006294020252007022,-0.0005769364200117582,-0.0,-0.0,-0.0,-0.0
19,4.504295349081581e-06,6.232710642625975e-05,-0.00012677982746714405,3.89855786135151e-06,-2.248530451153708e-06,-5.324618386712399e-06,-3.2041552607174145e-06,4.1687114792276275e-07,4.9069052064272145e-05,-0.0005946282891045104,-0.0005448883783295176,-0.0,-0.0,-0.0,-0.0
20,4.272752233249249e-06,5.9122951165542326e-05,-0.00012026219797065996,3.6981861751883894e-06,-2.1204631259951128e-06,-5.020497062096011e-06,-3.0215565354688323e-06,3.9540676078376696e-07,4.6535755514275504e-05,-0.0005616794293911646,-0.0005145102405460563,-0.0,-0.0,-0.0,-0.0
21,4.054447535724709e-06,5.6101394630073496e-05,-0.00011411588310766915,3.5093567444330875e-06,-1.9989405266270575e-06,-4.731802573723224e-06,-2.848187563744906e-06,3.750793698965839e-07,4.414763230963909e-05,-0.0005304538572274173,-0.0004857082681600657,-0.0,-0.0,-0.0,-0.0
22,3.848735400057365e-06,5.325320706632859e-05,-0.00010832205340315288,3.331552710863592e-06,-1.8836150099780139e-06,-4.457676225504481e-06,-2.683504499416852e-06,3.557850163225558e-07,4.189740150360637e-05,-0.0005008552591901707,-0.00045839353787966174,-0.0,-0.0,-0.0,-0.0
23,3.6550198716778275e-06,5.0569702566911735e-05,-0.00010286295798209203,3.1643215113459767e-06,-1.7741717260876775e-06,-4.197320736256276e-06,-2.526986228538771e-06,3.374022331289922e-07,3.97782168110922e-05,-0.00047279229561184786,-0.0004324816597589477,-0.0,-0.0,-0.0,-0.0
24,3.472758425498241e-06,4.804271633837296e-05,-9.77218648464184e-05,3.0072882261775176e-06,-1.6703345077174613e-06,-3.950006064555491e-06,-2.3781308385368626e-06,3.1978157798348363e-07,3.77836496243614e-05,-0.0004461783119506444,-0.0004078925058161321,-0.0,-0.0,-0.0,-0.0
25,3.3014683545638244e-06,4.56645854998361e-05,-9.288300153838419e-05,2.860176592455687e-06,-1.5718752260184739e-06,-3.7150796034174954e-06,-2.2364512751226877e-06,3.0272999043999087e-07,3.590767529597539e-05,-0.0004209310611855978,-0.0003845499463670323,-0.0,-0.0,-0.0,-0.0
26,3.140737263823063e-06,4.3428134224713414e-05,-8.833149475141022e-05,2.7228411194886167e-06,-1.4786283282947473e-06,-3.4919827337138405e-06,-2.1014696771576236e-06,2.8598761446171735e-07,3.414466354344301e-05,-0.00039697243476000127,-0.00036238159072959377,-0.0,-0.0,-0.0,-0.0
27,2.990239621858232e-06,4.132666454755579e-05,-8.40533067341381e-05,2.5953156946473576e-06,-1.3905130565563287e-06,-3.2802768205233367e-06,-1.972709749090623e-06,2.6919338958007384e-07,3.2489374353249985e-05,-0.0003742281988337943,-0.00034131852766515963,-0.0,-0.0,-0.0,-0.0
28,2.8497622155108922e-06,3.9353954798465166e-05,-8.003516543029539e-05,2.47788652433377e-06,-1.3075670714326355e-06,-3.0796832164113324e-06,-1.8496862261928248e-06,2.518340309139258e-07,3.093696141954395e-05,-0.0003526277314740089,-0.0003212950591247668,-0.0,-0.0,-0.0,-0.0
29,2.719242668963986e-06,3.7504268572272344e-05,-7.626448396331476e-05,2.3712008799661886e-06,-1.229996990218484e-06,-2.8901440657001843e-06,-1.731890109521265e-06,2.3316853404709852e-07,2.9482986123049168e-05,-0.0003321037547441626,-0.00030224841822046837,-0.0,-0.0,-0.0,-0.0
30,2.5988270299245116e-06,3.577237846275108e-05,-7.2729263214083e-05,2.276428187878241e-06,-1.1582539561788642e-06,-2.7119139828192464e-06,-1.6187678654095155e-06,2.1211686728299272e-07,2.812344641417293e-05,-0.00031259205324229565,-0.00028411845856084276,-0.0,-0.0,-0.0,-0.0
31,2.4889549275272275e-06,3.415361059734156e-05,-6.9417968727729e-05,2.195496889603131e-06,-1.0931461174096091e-06,-2.5456974881381716e-06,-1.509692266204755e-06,1.8709679452474212e-07,2.6854826816043336e-05,-0.00029403116723413,-0.0002668472968259161,-0.0,-0.0,-0.0,-0.0
32,2.3904839993828546e-06,3.26439183311368e-05,-6.631937002282014e-05,2.131439285511387e-06,-1.0360052219332155e-06,-2.3928540729961326e-06,-1.4039222079455653e-06,1.557867526733525e-07,2.5674178142009223e-05,-0.0002763620438989271,-0.0002503788834526165,-0.0,-0.0,-0.0,-0.0
33,2.3048688748144397e-06,3.123999612319123e-05,-6.342232693692858e-05,2.0888864457719734e-06,-9.88931865050375e-07,-2.2557027790042494e-06,-1.3005492723280259e-06,1.1478594785203916e-07,2.4579238238365016e-05,-0.0002595276242998138,-0.00023465846772193294,-0.0,-0.0,-0.0,-0.0
34,2.2344128033234723e-06,2.9939446850863206e-05,-6.071550529770459e-05,2.0747629557390667e-06,-9.551535066763157e-07,-2.1379722100118986e-06,-1.1984314855154225e-06,5.9137581419812496e-08,2.356860730555283e-05,-0.00024347233707782272,-0.00021963191482644013,-0.0,-0.0,-0.0,-0.0
35,2.1826086499486854e-06,2.8741015365347783e-05,-5.818700676860453e-05,2.0992274218274665e-06,-9.39540724496558e-07,-2.045460852692715e-06,-1.096123165163022e-06,-1.83162235221538e-08,2.2641990765867164e-05,-0.00022814146480381125,-0.00020524482840251593,-0.0,-0.0,-0.0,-0.0
36,2.1545718902052907e-06,2.764489220018476e-05,-5.582391469795829e-05,2.1768656957199543e-06,-9.493376875297256e-07,-1.9869965501101924e-06,-9.918319572736689e-07,-1.2775245736091056e-07,2.1800513236132363e-05,-0.00021348035181271554,-0.00019144144526102067,-0.0,-0.0,-0.0,-0.0
