t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-0.0009647084436291588,-8.16227232831274e-05,-0.0023343525167253075,-0.002744116537865695,-0.0004565573698834438,0.0006769240782078961,0.000506396058530032,0.0019123473155956184,-0.0002315875221326709,-0.001817913468954274,-0.001927348209021475,-0.0,-0.0,-0.0,-0.0
1,-0.0005919535882002004,0.00034315061196377725,-0.0023063701231923277,-0.0017403999107692616,-0.0002860293502055793,0.0002888990994814576,0.00017065586743740416,0.0012327603106225837,0.00016537379633016033,-0.0034246391517604594,-0.003144083584717795,-0.0,-0.0,-0.0,-0.0
2,-0.0006752698726416621,0.000432183756118054,-0.0027215241890357214,-0.0019912194728009414,-0.00033831413783939017,0.0003728390943644634,0.00024800722996476523,0.001412414587202098,0.0002196239123473981,-0.0049740105115163875,-0.004635144649777382,-0.0,-0.0,-0.0,-0.0
3,-0.0006396946625015067,0.0005985682627996918,-0.00299855181540251,-0.001913534984615947,-0.0003317255054837457,0.00033391248476375064,0.00021755181504605882,0.0013665418700946365,0.00035528556957110046,-0.006431723096786434,-0.005956150839704761,-0.0,-0.0,-0.0,-0.0
4,-0.000636049562330636,0.0007344973545626232,-0.003291157532832594,-0.0019226820733485792,-0.0003401967001657514,0.00032814452227230553,0.0002159363313697407,0.0013797771913640717,0.0004615365499950623,-0.007812509485994266,-0.007228964777757813,-0.0,-0.0,-0.0,-0.0
5,-0.0006247207186332276,0.0008688109626492364,-0.0035601350825161925,-0.0019096467114325028,-0.0003443491789808784,0.000314546805684845,0.00020727668089236617,0.0013774391726827432,0.0005678935174735244,-0.009117924838228892,-0.00842658760307786,-0.0,-0.0,-0.0,-0.0
6,-0.0006160645584867386,0.0009944649202584751,-0.0038168358038946416,-0.0019030002380971468,-0.0003492872450909646,0.0003038278058385168,0.00020096054109554256,0.0013791268698925623,0.000667026393910729,-0.010352687936421535,-0.009560809781673106,-0.0,-0.0,-0.0,-0.0
7,-0.0006073278802786511,0.0011138027380708903,-0.004059288511811602,-0.0018952148686264816,-0.0003536901051404686,0.00029313384650293405,0.00019449830328825986,0.0013797010149996717,0.0007612511737113016,-0.011520409238197365,-0.010632988084253349,-0.0,-0.0,-0.0,-0.0
8,-0.0005991992103438642,0.0012266783180760227,-0.004288964031135161,-0.0018882364781689024,-0.0003579218266687682,0.00028317221054321507,0.00018851826994235453,0.001380513225090624,0.000850331935099607,-0.012624726690617549,-0.011646974836961378,-0.0,-0.0,-0.0,-0.0
9,-0.0005914658066494229,0.0013335738647352498,-0.004506379305013696,-0.001881526719536476,-0.00036190342928258106,0.0002737180997476584,0.00018283200504003505,0.001381211814683677,0.0009346826014658557,-0.013669021797486162,-0.012605738361499775,-0.0,-0.0,-0.0,-0.0
10,-0.0005841531138952162,0.0014347831464921574,-0.004712253607881064,-0.0018752005528434013,-0.00036567127517581765,0.00026479343808680217,0.00017746667001755293,0.001381891868456639,0.0010145279188937528,-0.01465650744558042,-0.013512261960315783,-0.0,-0.0,-0.0,-0.0
11,-0.0005772256895177956,0.0015306270932265828,-0.0049072078005977515,-0.0018692029113502762,-0.000369230601814192,0.0002563574529017207,0.00017239408191260092,0.001382531094515419,0.0010901246331495224,-0.015590217459387065,-0.014369319591156445,-0.0,-0.0,-0.0,-0.0
12,-0.0005706655886278006,0.0016213984518560563,-0.005091845735919116,-0.001863524658066834,-0.0003725939988943217,0.0002483877552244917,0.00016760174091002324,0.0013831378581159667,0.0011617044280105527,-0.016473021253790906,-0.01517954565333692,-0.0,-0.0,-0.0,-0.0
13,-0.0005644517125139329,0.001707377469482952,-0.005266735260404729,-0.0018581458478449284,-0.00037577135556897314,0.00024085896330579255,0.00016307413252532457,0.00138371234657513,0.0012294898192313393,-0.017307631250508517,-0.01594542700336509,-0.0,-0.0,-0.0,-0.0
14,-0.0005585651475025771,0.0017888288787251492,-0.0054324154367819035,-0.0018530505449783964,-0.00037877253910297356,0.0002337482151322892,0.00015879757615764258,0.001384256765852197,0.0012936908575360835,-0.01809661157694791,-0.016669314809354664,-0.0,-0.0,-0.0,-0.0
15,-0.0005529876882307698,0.0018660037315996643,-0.005589396768868125,-0.0018482228685614108,-0.00038160673090879474,0.00022703363065521806,0.00015475889861253528,0.0013847726710509527,0.0013545068216182245,-0.018842385844910298,-0.017353430662448526,-0.0,-0.0,-0.0,-0.0
16,-0.0005477021529284068,0.001939139906929072,-0.005738163151507599,-0.0018436479661633305,-0.00038428263784075857,0.00022069462860867782,0.00015094573102278602,0.001385261671982175,0.0014121265589416415,-0.01954724461785814,-0.017999873685766235,-0.0,-0.0,-0.0,-0.0
17,-0.0005426922318229643,0.0020084629146687304,-0.0058791732629119185,-0.0018393116965110575,-0.0003868084722975493,0.00021471176091551866,0.00014734638283405934,0.0013857252520687602,0.0014667291409820268,-0.02021335243606241,-0.018610626898726387,-0.0,-0.0,-0.0,-0.0
