t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-3.372263695089245e-05,-0.00014429676127059837,-0.0005517111729494836,0.002110031160520395,-3.272387580865615e-05,4.826426620268097e-19,-2.5119839299321538e-05,0.00017628439353891743,-0.00016813027961480134,-0.0004383794553809756,-0.0005760264184149906,-0.0,-0.0,-0.0,0.05
1,9.86104669318125e-05,-0.00016941660056991992,-0.00011155878646614793,0.0023823989099656137,2.5119839299322212e-05,-4.67847926023325e-05,-3.9756873336251844e-05,-9.805810843079184e-05,-0.00016276680233333698,-0.00037089279613819595,-0.0005346377615267471,-0.0,-0.0,-0.0,0.0475
2,3.0213983038102716e-05,-0.00020917347390617176,-0.00016429796840283114,0.0020889170023623885,-7.0279192660804566e-06,2.125110310153824e-05,1.969479423945992e-05,2.6187795298536478e-05,-0.00020350183872480323,-0.00032903922147473346,-0.0005319554054272096,-0.0,-0.0,-0.0,0.045125
3,4.510899645151097e-05,-0.00018947867966671183,-0.00013382818025067778,0.0020300079370598892,1.5563088620783213e-06,3.2518667753210814e-06,3.8133996917877504e-06,-6.4587044826052724e-06,-0.00018322138971301613,-0.0002853565123361223,-0.00046845682250902716,-0.0,-0.0,-0.0,0.04286875
4,3.831491859800333e-05,-0.00018566527997492408,-0.00012639168275871743,0.0019163566802827242,-5.615329164666625e-07,7.818061006755475e-06,7.702689570369396e-06,2.065113238654423e-06,-0.000179286910481117,-0.0002467031458923593,-0.00042579655219698523,-0.0,-0.0,-0.0,0.04072531249999999
5,3.736848449397685e-05,-0.0001779625904045547,-0.00011403139825442058,0.0018235353005702107,1.1537143638606262e-07,6.4554414654846215e-06,6.408817526077545e-06,-2.1044866893243898e-07,-0.0001713907167342565,-0.00021095518559489322,-0.00038221645253393714,-0.0,-0.0,-0.0,0.038689046874999994
6,3.5035845015706956e-05,-0.00017155377287847714,-0.00010400774716362372,0.0017313906296058579,4.6623939407422985e-08,6.64180165872312e-06,6.479669652095136e-06,3.5065482468437754e-07,-0.00016485244941296626,-0.00017836709037672539,-0.00034311423490767415,-0.0,-0.0,-0.0,0.03675459453124999
7,3.3207027379491146e-05,-0.000165074103226382,-9.43452403861034e-05,0.0016449029627716126,1.621320066276889e-07,6.4161654169307355e-06,6.197386392850579e-06,1.7026610440661722e-07,-0.00015826747487885352,-0.00014858940781714553,-0.000306782398593024,-0.0,-0.0,-0.0,0.03491686480468749
8,3.137849165487662e-05,-0.00015887671683353143,-8.549626460231305e-05,0.0015624732668127618,2.1877902408010738e-07,6.294085653833296e-06,6.012910139242512e-06,1.8705671630482197e-07,-0.00015199560438302787,-0.00012145002476048052,-0.00027339670063631196,-0.0,-0.0,-0.0,0.03317102156445311
9,2.967515613325421e-05,-0.0001528638066942889,-7.728035775731594e-05,0.0014842434915950692,2.8117551459072603e-07,6.141209709872591e-06,5.808079193895146e-06,1.545454277168222e-07,-0.00014593376573658896,-9.674798060696686e-05,-0.00024265650465133561,-0.0,-0.0,-0.0,0.03151247048623045
10,2.805742899642756e-05,-0.00014705572750039377,-6.968704883181066e-05,0.0014099126791177888,3.3313051597739696e-07,5.993627835039825e-06,5.614026868201809e-06,1.37234158069734e-07,-0.00014010044485047353,-7.430644680204583e-05,-0.0002144028220296959,-0.0,-0.0,-0.0,0.02993684696191893
11,2.6529253110285548e-05,-0.00014144170063219196,-6.266495694503826e-05,0.0013393092952422615,3.7960096683804666e-07,5.8426292305788455e-06,5.422684311795776e-06,1.1803789780372046e-07,-0.00013448234835944842,-5.395777321797105e-05,-0.00018845510714934308,-0.0,-0.0,-0.0,0.028440004613822983
12,2.508349722370601e-05,-0.00013601901632039618,-5.617689946276657e-05,0.0012722403940620987,4.199449187831427e-07,5.691185649332809e-06,5.236242621071683e-06,1.0129018585468668e-07,-0.0001290746496195764,-3.554642451249728e-05,-0.00016465310625010877,-0.0,-0.0,-0.0,0.027018004383131834
13,2.3716265593270414e-05,-0.0001307827736993245,-5.0185216164864323e-05,0.0012085305663954026,4.549430282613095e-07,5.5391363714179506e-06,5.054176869240754e-06,8.571519536629096e-08,-0.00012387043911653983,-1.8927283556757915e-05,-0.00014284496217586444,-0.0,-0.0,-0.0,0.02566710416397524
14,2.2423125141809698e-05,-0.00012572859683008373,-4.4655417005821826e-05,0.0011480111223600106,4.849595021775085e-07,5.38708087023621e-06,4.8766529900867635e-06,7.151929804958213e-08,-0.00011886350174986621,-3.965228048520368e-06,-0.00012288947715092483,-0.0,-0.0,-0.0,0.024383748955776476
15,2.1200078129830124e-05,-0.00012085194383999696,-3.955503428774991e-05,0.0010905223616317365,5.104278801491193e-07,5.235362585568264e-06,4.703635780161335e-06,5.853027680912109e-08,-0.00011404759611231768,9.465572801687645e-06,-0.0001046547135488861,-0.0,-0.0,-0.0,0.023164561507987652
16,2.004329043149417e-05,-0.00011614830805983563,-3.4853744779763896e-05,0.001035912437668717,5.317268054066886e-07,5.0843406284832104e-06,4.535124671484033e-06,4.6685843621305256e-08,-0.00010941665057041266,2.148223718037789e-05,-8.801760539491114e-05,-0.0,-0.0,-0.0,0.02200633343258827
17,1.894914697948055e-05,-0.0001116131833883516,-3.0523169639610985e-05,0.0009840371420493186,5.492159569991728e-07,4.934323570854453e-06,4.3710933672799145e-06,3.59061654943012e-08,-0.00010496471790380507,3.2193734234387924e-05,-7.286335171844996e-05,-0.0,-0.0,-0.0,0.020906016760958854
18,1.791422186429442e-05,-0.00010724209002107168,-2.653676935910697e-05,0.0009347594721448732,5.632302035745949e-07,4.78559210724653e-06,4.211506930969276e-06,2.6128657873229693e-08,-0.00010068599258555809,4.1701406411669834e-05,-5.908491163854262e-05,-0.0,-0.0,-0.0,0.019860715922910912
19,1.693527112404194e-05,-0.0001030305830901024,-2.2869723811120514e-05,0.0008879492786833443,5.740851762773487e-07,4.638398867989044e-06,4.05631825624793e-06,1.7301136113422345e-08,-9.657481111924325e-05,5.009945987164984e-05,-4.658251495397096e-05,-0.0,-0.0,-0.0,0.018867680126765367
20,1.6009219598325454e-05,-9.897426483385448e-05,-1.949882590831443e-05,0.0008434829135181587,5.820806117409912e-07,4.492975080637212e-06,3.9054695771809095e-06,9.387273394167261e-09,-9.262565656937293e-05,5.747542277015544e-05,-3.526320888008522e-05,-0.0,-0.0,-0.0,0.017924296120427098
21,1.5133148964444498e-05,-9.506879525667356e-05,-1.6402381213737474e-05,0.0008012428963786164,5.87505503456603e-07,4.349536849688228e-06,3.7588921703713997e-06,2.370874348611324e-09,-8.883316207305979e-05,6.391057341516683e-05,-2.5040433911149965e-05,-0.0,-0.0,-0.0,0.01702808131440574
22,1.4304284523684722e-05,-9.130990308630217e-05,-1.3560115543825806e-05,0.0007611175931228958,5.906446793169116e-07,4.208293782002839e-06,3.6165058698590575e-06,-3.736503237817008e-09,-8.519211515594529e-05,6.948033935376322e-05,-1.5833629529592747e-05,-0.0,-0.0,-0.0,0.016176677248685455
