t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
0,-3.372263695089245e-05,-0.00014429676127059837,-0.0005517111729494836,0.002110031160520395,-3.272387580865615e-05,4.826426620268097e-19,-2.5119839299321538e-05,0.00017628439353891743,-0.00016813027961480134,-0.0004383794553809756,-0.0005760264184149906,-0.0,-0.0,-0.0,0.05
1,6.488782998092006e-05,-0.0003137133618405183,-0.0006632699594156315,0.004492430070486009,-7.604036509333941e-06,-4.678479260233202e-05,-6.487671263557339e-05,7.822628510812559e-05,-0.0003308970819481383,-0.0008092722515191716,-0.0011106641799417376,-0.0,-0.0,-0.0,0.0975
2,9.510181301902277e-05,-0.00052288683574669,-0.0008275679278184627,0.006581347072848397,-1.4631955775414397e-05,-2.553368950079378e-05,-4.518191839611347e-05,0.00010441408040666206,-0.0005343989206729415,-0.001138311472993905,-0.0016426195853689472,-0.0,-0.0,-0.0,0.142625
3,0.00014021080947053375,-0.0007123655154134018,-0.0009613961080691404,0.008611355009908287,-1.3075646913336076e-05,-2.22818227254727e-05,-4.136851870432572e-05,9.79553759240568e-05,-0.0007176203103859576,-0.0014236679853300274,-0.0021110764078779744,-0.0,-0.0,-0.0,0.18549375
4,0.00017852572806853706,-0.0008980307953883259,-0.0010877877908278578,0.01052771169019101,-1.3637179829802738e-05,-1.4463761718717224e-05,-3.366582913395633e-05,0.00010002048916271121,-0.0008969072208670746,-0.0016703711312223866,-0.0025368729600749595,-0.0,-0.0,-0.0,0.2262190625
5,0.00021589421256251393,-0.0010759933857928806,-0.0012018191890822785,0.012351246990761221,-1.3521808393416675e-05,-8.008320253232603e-06,-2.7257011607878782e-05,9.981004049377878e-05,-0.0010682979376013312,-0.0018813263168172799,-0.002919089412608897,-0.0,-0.0,-0.0,0.264908109375
6,0.0002509300575782209,-0.0012475471586713578,-0.0013058269362459022,0.01408263762036708,-1.3475184454009252e-05,-1.3665185945094826e-06,-2.0777341955783647e-05,0.00010016069531846316,-0.0012331503870142975,-0.002059693407194005,-0.003262203647516571,-0.0,-0.0,-0.0,0.30166270390624994
7,0.00028413708495771204,-0.0014126212618977398,-0.0014001721766320056,0.015727540583138692,-1.3313052447381563e-05,5.049646822421253e-06,-1.4579955562933068e-05,0.00010033096142286978,-0.001391417861893151,-0.002208282815011151,-0.003568986046109595,-0.0,-0.0,-0.0,0.3365795687109374
8,0.00031551557661258867,-0.0015714979787312712,-0.0014856684412343185,0.017290013849951453,-1.3094273423301455e-05,1.134373247625455e-05,-8.567045423690557e-06,0.0001005180181391746,-0.001543413466276179,-0.0023297328397716313,-0.003842382746745907,-0.0,-0.0,-0.0,0.36975059027539053
9,0.0003451907327458429,-0.00172436178542556,-0.0015629487989916343,0.018774257341546523,-1.2813097908710728e-05,1.748494218612714e-05,-2.758966229795411e-06,0.00010067256356689142,-0.0016893472320127678,-0.0024264808203785983,-0.004085039251397243,-0.0,-0.0,-0.0,0.401263060761621
10,0.00037324816174227047,-0.0018714175129259539,-0.001632635847823445,0.020184170020664312,-1.2479967392733332e-05,2.3478570021166964e-05,2.8550606384063985e-06,0.00010080979772496116,-0.0018294476768632413,-0.0025007872671806443,-0.004299442073426939,-0.0,-0.0,-0.0,0.43119990772353994
11,0.00039977741485255604,-0.0020128592135581456,-0.0016953008047684833,0.021523479315906573,-1.2100366425895285e-05,2.932119925174581e-05,8.277744950202174e-06,0.00010092783562276489,-0.00196393002522269,-0.002554745040398615,-0.004487897180576282,-0.0,-0.0,-0.0,0.4596399123373629
