output,shock,impact_t0,peak_abs_col0,sum_col0
Y,e_R,-1.4251353655245222,1.4251353655245222,-0.6880641818031251
Y,e_T,-0.0006744527390178533,0.0019722093386362535,0.015946793689222864
cR,e_R,-0.12057884467519187,0.627505135245683,4.5479988076964215
cR,e_T,-0.0028859352254119687,0.004183469478123433,-0.09318434798780792
cW,e_R,-3.4484702079224716,3.4484702079224716,-11.902560461669761
cW,e_T,-0.011034223458989682,0.011034223458989682,-0.03834389575428603
cP,e_R,-4.053802525580911,4.053802525580911,-2.620027579642205
cP,e_T,0.04220062321040789,0.047647978199312276,0.8586690092340925
pi,e_R,-0.6744587533245194,0.6744587533245194,-0.6609610915744878
pi,e_T,-0.0006544775161731224,0.0006544775161731224,0.0010996399081666477
R,e_R,1.0000000000000024,1.0000000000000024,0.13407650642521765
R,e_T,5.793806590677293e-18,0.0009356958520466427,0.004640052649751725
r,e_R,0.7480839799208748,0.7480839799208748,0.12057884467519205
r,e_T,-0.000502396785986428,0.0007951374667250363,0.002885935225411968
X,e_R,2.825054355664837,2.825054355664837,2.0588911072022755
X,e_T,0.0035256878707783557,0.0035256878707783557,0.001976634603759922
q,e_R,-0.34211742437317516,0.5864192621331421,3.4126301368998426
q,e_T,-0.003362605592296029,0.004070036774496063,-0.08850739280749684
hW,e_R,-2.6855500158408643,2.6855500158408643,-43.09007206046959
hW,e_T,-0.008767589107619525,0.008767589107619525,-0.005093300411934908
bW,e_R,-2.8472147336285984,2.8472147336285984,-39.45590334387175
bW,e_T,-0.011520528368299827,0.011520528368299827,-0.09312402285254767
A,e_R,-0.0,0.0,0.0
A,e_T,-0.0,0.0,0.0
j,e_R,-0.0,0.0,0.0
j,e_T,-0.0,0.0,0.0
u,e_R,-0.0,0.0,0.0
u,e_T,-0.0,0.0,0.0
TP,e_R,-0.0,0.0,0.0
TP,e_T,1.0,1.0,18.29484819331382
