dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.29404179972586725,0.52,0.44,0.003844544744185,-0.020978637811369594,29,-0.026334317606744,0,-0.020978637811369594,-0.0072795213903107,-0.013964196404735873,0.013455399272712078,3.0,
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,-0.22438943697524977,0.52,0.2,-0.0001506999218977006,0.030993974275761414,46,0.0444489250396069,0,0.030993974275761414,0.0109976786246138,0.020630793478664276,0.0212371115586858,18.0,
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.84101152381828,0.96,0.12,0.00042999910612112895,-0.01593438315751399,24,-0.042945453896272,47,-0.09520749696977493,-0.042945453896272,-0.08043541797838215,0.03331683109481978,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.6046981078630156,0.96,0.0,0.0023135019679142,0.023535618864456494,42,-0.0350464642458301,47,0.14062466928083545,0.0216347820142919,0.11880581269000978,0.06900639461984656,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.04535105797167491,0.84,0.64,-0.0160633151498368,-0.020978637811369594,17,-0.0339497309833431,0,-0.020978637811369594,0.0060631442752831,-0.013964196404735873,0.008966377045547648,2.0,
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,-0.002166060816408132,0.56,0.4,0.0005420658682156112,0.030993974275761414,45,-0.0250988904307515,0,0.030993974275761414,-0.0038755995448703,0.020630793478664276,0.019701916394315604,,
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.12915267133856262,0.48,0.12,-0.0066295712547564,-0.01593438315751399,6,-0.0399033150127451,47,-0.09520749696977493,0.0053756081866794,-0.08043541797838215,0.05439548041128922,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.24283197628157735,1.0,0.24,0.0413165057532263,0.023535618864456494,39,0.0969026949954573,47,0.14062466928083545,0.0326105575482093,0.11880581269000978,0.0481724704267541,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,wP,1.0,0.007804617340971099,0.49639783379692404,0.0,0.32,0.0483479483551631,-0.036147137388065534,8,0.6360724223308901,0,-0.036147137388065534,0.3866825838109568,-0.013445228843199784,0.4133835314227634,34.0,6.0
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,wP,-1.0,0.011530562940861399,0.7135249162687124,0.04,0.6,0.0032104263575938,0.05340387934166077,33,-0.4965071765395697,0,0.05340387934166077,-0.1186735052688556,0.019864017754842325,0.2650790183671935,,6.0
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,wW,1.0,0.009145853557827,0.2221732787838929,1.0,0.76,-0.0486968576420772,-0.021067175922324433,7,-0.4435586264429097,47,-0.0711634494830077,-0.3094631579151077,-0.06254120524005602,0.21902300909445138,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,wW,-1.0,0.0135086976937041,0.28510174535439214,0.96,1.0,0.019707426734624,0.031116845354604548,33,0.5802097682070637,47,0.10511053121820807,0.0937361319453684,0.0923752200542068,0.07202744961662627,35.0,
