dataset,response_label,direction,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,contractionary,0,0.0034145456380638714,-0.005044254653855603,-0.008458800291919474
lp_controls,consumption,contractionary,1,0.013695107704298201,0.004462122438248176,-0.009232985266050025
lp_controls,consumption,contractionary,2,0.0106644555695657,0.008027573159690167,-0.002636882409875533
lp_controls,consumption,contractionary,3,0.014704368545100398,0.012991702339595469,-0.0017126662055049289
lp_controls,consumption,contractionary,4,0.014606415729563199,0.017197914857758824,0.002591499128195625
lp_controls,consumption,contractionary,5,0.0182108568432829,0.021305338037532227,0.003094481194249328
lp_controls,consumption,contractionary,6,0.016988633201854675,0.025136753808737346,0.008148120606882671
lp_controls,consumption,contractionary,7,0.0175217238042252,0.028761988556572617,0.011240264752347417
lp_controls,consumption,contractionary,8,0.012656443193251099,0.03217660188512029,0.01952015869186919
lp_controls,consumption,contractionary,9,0.028247421629657,0.03539725404311994,0.007149832413462943
lp_controls,consumption,contractionary,10,0.0242453691529563,0.03843346913415373,0.014188099981197428
lp_controls,consumption,contractionary,11,0.014945804378937898,0.04129606053424931,0.02635025615531141
lp_controls,consumption,contractionary,12,0.0239698662905528,0.043994678223798885,0.020024811933246085
lp_controls,consumption,contractionary,13,0.032069331643330604,0.04653858025796395,0.014469248614633348
lp_controls,consumption,contractionary,14,0.0220765935926766,0.04893644532728887,0.02685985173461227
lp_controls,consumption,contractionary,15,0.0345478045378585,0.05119646738426949,0.016648662846410985
lp_controls,consumption,contractionary,16,0.0203875460439776,0.05332636435395108,0.03293881830997348
lp_controls,consumption,contractionary,17,0.0260290457159157,0.05533341021059096,0.029304364494675262
lp_controls,consumption,contractionary,18,0.031045656939714998,0.05722445812276165,0.02617880118304665
lp_controls,consumption,contractionary,19,0.011612773623721399,0.059005964360232456,0.047393190736511055
lp_controls,consumption,contractionary,20,0.0079077889242285,0.060684010194325205,0.05277622127009671
lp_controls,consumption,contractionary,21,0.025394906075926704,0.06226432271502447,0.03686941663909776
lp_controls,consumption,contractionary,22,0.0156786821311941,0.06375229438921609,0.048073612258021994
lp_controls,consumption,contractionary,23,-0.0056259879178986,0.06515300150788597,0.07077898942578457
lp_controls,consumption,contractionary,24,0.035665932505961305,0.06647122157364628,0.030805289067684975
lp_controls,consumption,contractionary,25,0.0265893082219823,0.06771144971094872,0.041122141488966424
lp_controls,consumption,contractionary,26,0.0250546909476497,0.06887791417876596,0.04382322323111626
lp_controls,consumption,contractionary,27,0.0121066010319545,0.06997459107922366,0.057867990047269155
lp_controls,consumption,contractionary,28,0.015152987802833102,0.07100521837391362,0.05585223057108052
lp_controls,consumption,contractionary,29,-0.011274987462150702,0.07197330935006455,0.08324829681221525
lp_controls,consumption,contractionary,30,0.0015588782495642994,0.07288216572499429,0.07132328747542999
lp_controls,consumption,contractionary,31,-0.0013906178706214987,0.0737348906453466,0.07512550851596811
lp_controls,consumption,contractionary,32,0.0016602238782787992,0.07453440193328,0.0728741780550012
lp_controls,consumption,contractionary,33,0.0017133856772477002,0.07528344605763806,0.07357006038039036
lp_controls,consumption,contractionary,34,0.0087934470372028,0.07598461345580154,0.06719116641859874
lp_controls,consumption,contractionary,35,0.013223762450512001,0.07664035596328282,0.06341659351277082
lp_controls,consumption,contractionary,36,0.0034843740931357996,0.07725300711542915,0.07376863302229335
lp_controls,consumption,contractionary,37,-0.0027502797302626017,0.0778248057057266,0.08057508543598921
lp_controls,consumption,contractionary,38,-0.014245445862475,0.07835792162319313,0.09260336748566814
lp_controls,consumption,contractionary,39,-0.0119005668078721,0.07885447936041269,0.0907550461682848
lp_controls,consumption,contractionary,40,-0.0064737083361927,0.07931656598026555,0.08579027431645825
lp_controls,consumption,contractionary,41,-0.0044030581031095,0.07974619118750595,0.08414924929061544
lp_controls,consumption,contractionary,42,-0.006475341121043001,0.0801451261785123,0.0866204672995553
lp_controls,consumption,contractionary,43,-0.0064324108209118,0.08051446247597573,0.08694687329688752
lp_controls,consumption,contractionary,44,0.0012021040413658993,0.08085355687739822,0.07965145283603231
lp_controls,consumption,contractionary,45,-0.0035756212430661013,0.08115767431533304,0.08473329555839913
lp_controls,consumption,contractionary,46,-0.0212979801208542,0.0814129180447534,0.10271089816560759
lp_controls,consumption,contractionary,47,-0.0224962654061538,0.08158521391627793,0.10408147932243172
lp_controls,consumption,expansionary,0,-0.002464201889811901,0.0074583554113049205,0.009922557301116821
lp_controls,consumption,expansionary,1,0.002182786106649051,-0.00658550069689294,-0.008768286803541992
lp_controls,consumption,expansionary,2,-0.008536143885404834,-0.011851073855400861,-0.0033149299699960274
lp_controls,consumption,expansionary,3,-0.0065392614366681,-0.01918352802334546,-0.012644266586677359
lp_controls,consumption,expansionary,4,-0.011269743502094,-0.025396218177257446,-0.014126474675163446
lp_controls,consumption,expansionary,5,-0.0172419577145549,-0.03146307785715884,-0.014221120142603943
lp_controls,consumption,expansionary,6,-0.0068378479205619255,-0.037122237367604935,-0.03028438944704301
lp_controls,consumption,expansionary,7,-0.0256793157516349,-0.04247686620174579,-0.016797550450110887
lp_controls,consumption,expansionary,8,-0.0282841386497526,-0.047520395936547985,-0.019236257286795386
lp_controls,consumption,expansionary,9,-0.0081311511074071,-0.052277437371003946,-0.044146286263596846
lp_controls,consumption,expansionary,10,-0.006144718450554299,-0.056762057154832984,-0.05061733870427869
lp_controls,consumption,expansionary,11,-0.00031744303000524085,-0.06099022736286963,-0.06067278433286439
lp_controls,consumption,expansionary,12,0.00011565160935589998,-0.06497620135414195,-0.06509185296349784
lp_controls,consumption,expansionary,13,-0.0044758584250151005,-0.06873365369537433,-0.06425779527035923
lp_controls,consumption,expansionary,14,-0.01854665510604249,-0.07227540317782856,-0.05372874807178607
lp_controls,consumption,expansionary,15,-0.028534104761656298,-0.07561355262251973,-0.04707944786086343
lp_controls,consumption,expansionary,16,-0.0017092990373229998,-0.07875950173495547,-0.07705020269763246
lp_controls,consumption,expansionary,17,-0.0147171571859106,-0.08172399448706207,-0.06700683730115146
lp_controls,consumption,expansionary,18,-0.016755446651627582,-0.08451715330251211,-0.06776170665088453
lp_controls,consumption,expansionary,19,-0.008804620152516,-0.08714851436850968,-0.07834389421599368
lp_controls,consumption,expansionary,20,-0.0140966540897656,-0.08962705998347492,-0.07553040589370932
lp_controls,consumption,expansionary,21,-0.0209595526286135,-0.09196124930484494,-0.07100169667623143
lp_controls,consumption,expansionary,22,-0.0012665476119753,-0.09415904723744054,-0.09289249962546524
lp_controls,consumption,expansionary,23,-0.0141860055625781,-0.09622795168080016,-0.08204194611822206
lp_controls,consumption,expansionary,24,-0.010637103389678099,-0.0981750192113455,-0.0875379158216674
lp_controls,consumption,expansionary,25,-0.011089174289166299,-0.10000688932104117,-0.08891771503187487
lp_controls,consumption,expansionary,26,-0.014572059546965499,-0.10172980733040173,-0.08715774778343623
lp_controls,consumption,expansionary,27,-0.0058831555126771,-0.10334964611394795,-0.09746649060127086
lp_controls,consumption,expansionary,28,-0.007115669716811098,-0.10487192680317783,-0.09775625708636673
lp_controls,consumption,expansionary,29,-0.0244464979530034,-0.106301838677108,-0.08185534072410461
lp_controls,consumption,expansionary,30,-0.0403216730214922,-0.10764425851877785,-0.06732258549728565
