t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006486656237134829,-0.00023036751065090127,-0.0011795816583507807,-0.0018198796704112356,-0.00030724043742600044,0.0006769240782078951,0.0005842265026865969,0.0012593784460639189,-0.0002941838957314191,-0.0018658145416330513,-0.0021328473370587522,-0.0,-0.0,-3.348618783796414e-20,-0.0,-0.00043027289722942253,-0.00029397483855249075
1,0.00023104886180158162,0.0003538589920356956,-0.0001839463445125407,0.0006091126107196519,9.269757552129877e-05,-0.00026915567782167567,-0.0002323943716427506,-0.0004075723193711489,0.00031719370726089857,-0.0016750771575707055,-0.001357125142629924,-0.0,-0.0,-3.5512365979319017e-20,-0.0,-0.0002031545722217755,-0.0001570135322814835
2,-5.2298593941418434e-05,0.000121464620392945,-0.00040634730717869333,-0.00016687882614120552,-3.67613061789253e-05,5.8207977789425856e-05,5.604237862714487e-05,0.0001226647070762747,8.555764329803356e-05,-0.0016052986419458216,-0.0015172763460302796,-5.328815672345264e-20,-0.0,-1.5353781029324034e-19,-0.0,-0.00020178109274167211,-0.00016004780584872788
3,3.0827176923304405e-05,0.00017750699902008987,-0.0003141300114896819,6.252037559422691e-05,2.165599162279535e-06,-3.7674251545449474e-05,-2.8787937043641113e-05,-3.472200955992298e-05,0.00014406467454268775,-0.0015068262293433659,-0.0013609553820722754,-1.6529335438613991e-19,-0.0,-5.57049773578401e-20,-3.5106571742979306e-19,-0.00014734061253602224,-0.00012724898823131958
4,5.29688521392627e-06,0.00014871906197644875,-0.00031672475139792484,-6.268925091634485e-06,-8.886314501808078e-06,-8.077158646180498e-06,-2.9361592321464315e-06,1.186950951400926e-05,0.00011708291022744992,-0.001423644684479908,-0.0013047039263125457,-1.1871054735707047e-19,-0.0,8.869811090549382e-20,-2.6899779456855807e-19,-0.00011975053884241034,-0.00010991658874146012
5,1.204702565594207e-05,0.0001457829027443023,-0.00029259594277479176,1.3436564654242762e-05,-5.14099941403401e-06,-1.576732093737993e-05,-9.955686385739977e-06,-2.0404758000829238e-06,0.00011600459893521671,-0.0013423224841236103,-0.0012246108413897327,-1.0369710693566076e-19,-0.0,3.307493482762976e-20,-2.555479048401302e-19,-9.307501062078131e-05,-9.210495309689719e-05
6,9.268235092470393e-06,0.00013582721635856232,-0.000277715294521103,6.931059839637225e-06,-5.811634551642353e-06,-1.2458922917363545e-05,-7.261489141360161e-06,2.0013988069132524e-06,0.0001077559563481376,-0.0012664815896850595,-0.0011571016177272311,-8.833411293515819e-20,-0.0,-3.1721487212480183e-20,-2.4277050959812367e-19,-7.322421855654465e-05,-7.792506624645522e-05
7,9.359934970864424e-06,0.00012856572721720215,-0.00026133701967022595,8.237933015162654e-06,-5.1974337760041624e-06,-1.2471666288050391e-05,-7.483641700026205e-06,7.229138027271149e-07,0.0001021184828164657,-0.0011947059462472365,-0.0010910593036399497,-1.0046049330530014e-19,-0.0,-1.4542505846768468e-20,-2.306319841182175e-19,-5.7018810889203564e-05,-6.563144833086345e-05
8,8.641530841624261e-06,0.00012108208551717593,-0.00024657758339165085,7.2625668351784154e-06,-4.988024588021854e-06,-1.1554531301213851e-05,-6.873663473827442e-06,1.0271276442453302e-06,9.616300090725708e-05,-0.0011270934040499459,-0.0010294874288443597,-7.214881803520034e-20,-0.0,3.828050591799831e-20,-2.1910038491230663e-19,-4.426134098992438e-05,-5.529489996283223e-05
9,8.202448282561236e-06,0.00011420842204334849,-0.00023244544994752798,6.997357748168532e-06,-4.680867827385066e-06,-1.096539371646492e-05,-6.541621974983418e-06,8.661022743182989e-07,9.07323117317582e-05,-0.001063311094978674,-0.0009712176827351845,-1.4374025641812164e-20,-0.0,3.2168152835854477e-20,-2.081453656666913e-19,-3.409831604787751e-05,-4.6514639063006393e-05
10,7.717296317039366e-06,0.00010766680006836507,-0.00021917144039666878,6.552762961836647e-06,-4.423771741485146e-06,-1.0328182262199116e-05,-6.156480759430174e-06,8.470835698613295e-07,8.555179026850757e-05,-0.0010031712355184905,-0.0009163350901845699,-4.528137000409332e-20,-0.0,6.651230799630008e-20,-1.9773809738335676e-19,-2.6053618112261972e-05,-3.9086872768034464e-05
11,7.280492291467616e-06,0.00010151031930893489,-0.00020662735103828598,6.190861523598509e-06,-4.171701502769246e-06,-9.75167817807335e-06,-5.814784105855403e-06,7.897133630750576e-07,8.067966457448858e-05,-0.0009464593448692042,-0.000864567826497768,-7.250486709770864e-20,-0.0,4.430001058050175e-20,-1.8785119251418894e-19,-1.9685382486179927e-05,-3.2797903683029135e-05
12,6.862042660122401e-06,9.569553520307948e-05,-0.00019479484055688175,5.832223114525776e-06,-3.9368940722178036e-06,-9.20099786770031e-06,-5.486336051223931e-06,7.472764433125873e-07,7.6076734265578e-05,-0.0008929842779742511,-0.0008157640103013382,-5.207161831269823e-20,-0.0,1.0473280975659406e-20,-9.328295662078676e-20,-1.4658521318839432e-05,-2.7478215294896413e-05
13,6.468970096806308e-06,9.020919915185556e-05,-0.00018362614935232225,5.498815707334889e-06,-3.714661816475377e-06,-8.684023558314542e-06,-5.178625481891068e-06,7.037632692536247e-07,7.173393162168637e-05,-0.0008425625134294701,-0.0007697494761032366,-4.877319036238443e-20,-0.0,6.343504606386413e-21,-2.1901831717706994e-19,-1.0699805386734726e-05,-2.2980235457435064e-05
