t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006486656237134829,-0.00023036751065090127,-0.0011795816583507807,-0.0018198796704112356,-0.00030724043742600044,0.0006769240782078951,0.0005842265026865969,0.0012593784460639189,-0.0002941838957314191,-0.0018658145416330513,-0.0021328473370587522,-0.0,-0.0,-3.348618783796414e-20,-0.0,-0.00043027289722942253,-0.00029397483855249075
1,-0.00041761676191190124,0.00012349148138479432,-0.0013635280028633213,-0.0012107670596915837,-0.00021454286190470166,0.00040776840038621943,0.0003518321310438463,0.00085180612669277,2.3009811529479463e-05,-0.0035408916992037565,-0.003489972479688676,-0.0,-0.0,-6.899855381728315e-20,-0.0,-0.0006334274694511981,-0.00045098837083397425
2,-0.0004699153558533197,0.0002449561017777393,-0.0017698753100420146,-0.001377645885832789,-0.000251304168083627,0.0004659763781756453,0.0004078745096709912,0.0009744708337690446,0.00010856745482751302,-0.005146190341149578,-0.005007248825718956,-5.328815672345264e-20,-0.0,-2.225363641105235e-19,-0.0,-0.0008352085621928702,-0.0006110361766827021
3,-0.0004390881789300153,0.00042246310079782916,-0.0020840053215316966,-0.0013151255102385622,-0.00024913856892134746,0.00042830212663019584,0.0003790865726273501,0.0009397488242091216,0.0002526321293702008,-0.006653016570492944,-0.006368204207791231,-2.1858151110959256e-19,-0.0,-2.782413414683636e-19,-3.5106571742979306e-19,-0.0009825491747288925,-0.0007382851649140217
4,-0.00043379129371608904,0.0005711821627742779,-0.0024007300729296213,-0.0013213944353301966,-0.0002580248834231555,0.00042022496798401534,0.00037615041339520366,0.0009516183337231309,0.0003697150395976507,-0.008076661254972852,-0.007672908134103777,-3.3729205846666306e-19,-0.0,-1.8954323056286977e-19,-6.200635119983511e-19,-0.001102299713571303,-0.0008482017536554818
5,-0.000421744268060147,0.0007169650655185802,-0.0026933260157044133,-0.0013079578706759539,-0.0002631658828371895,0.0004044576470466354,0.00036619472700946367,0.000949577857923048,0.0004857196385328674,-0.009418983739096463,-0.008897518975493509,-4.409891654023238e-19,-0.0,-1.5646829573524002e-19,-8.756114168384813e-19,-0.0011953747241920843,-0.000940306706752379
6,-0.0004124760329676766,0.0008527922818771425,-0.002971041310225516,-0.0013010268108363165,-0.00026897751738883186,0.00039199872412927185,0.0003589332378681035,0.0009515792567299612,0.000593475594881005,-0.010685465328781523,-0.01005462059322074,-5.29323278337482e-19,-0.0,-1.8818978294772022e-19,-1.118381926436605e-18,-0.0012685989427486289,-0.0010182317729988343
7,-0.0004031160979968122,0.0009813580090943447,-0.003232378329895742,-0.0012927888778211539,-0.00027417495116483604,0.00037952705784122145,0.0003514495961680773,0.0009523021705326884,0.0006955940776974708,-0.011880171275028759,-0.01114567989686069,-6.297837716427821e-19,-0.0,-2.0273228879448868e-19,-1.3490139105548225e-18,-0.0013256177536378323,-0.0010838632213296976
8,-0.0003944745671551879,0.0011024400946115208,-0.003478955913287393,-0.0012855263109859754,-0.0002791629757528579,0.0003679725265400076,0.00034457593269424986,0.0009533292981769337,0.0007917570786047278,-0.013007264679078704,-0.01217516732570505,-7.019325896779825e-19,-0.0,-1.6445178287649037e-19,-1.5681142954671291e-18,-0.0013698790946277566,-0.0011391581212925298
9,-0.00038627211887262664,0.0012166485166548694,-0.003711401363234921,-0.001278528953237807,-0.00028384384358024297,0.0003570071328235427,0.0003380343107192664,0.000954195400451252,0.000882489390336486,-0.014070575774057377,-0.013146385008440235,-7.1630661531979465e-19,-0.0,-1.322836300406359e-19,-1.7762596611338206e-18,-0.0014039774106756342,-0.0011856727603555362
