t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.99761688837181e-05,-0.0001806303067341049,-0.00030484386720031596,0.0022972265085499793,-1.3899295988792004e-05,6.6014852670577735e-19,2.849215730727247e-08,4.3719138894708485e-05,-0.00018661132225599242,-0.0005122595417888987,-0.0006912301014012558,-0.0,-0.0,6.188337072006259e-18,0.05,0.014996566536869836,0.004997255679821401
1,6.014655388920072e-05,-0.00018060181457679763,-0.00018700501055566373,0.0022741294084367464,-2.8492157308423604e-08,-1.4427764329471247e-05,-7.070211968188541e-06,-2.300738438576116e-05,-0.00017894206745504252,-0.00044822053365747177,-0.0006266661419784328,-0.0,-0.0,1.9507777029026252e-17,0.0475,0.026267476097107154,0.009013237583707959
2,4.0648416723199054e-05,-0.00018767202654498618,-0.0001848754662223991,0.002115630802984927,-7.357552361285929e-06,5.387659205529007e-06,1.0030704319092757e-05,8.614273464500345e-06,-0.00018551582028914783,-0.00039587465268209505,-0.0005808540393419249,7.237418080879792e-18,-0.0,6.923674185252525e-17,0.045125,0.034560291869845924,0.012181663380451362
3,4.3211692397947324e-05,-0.00017764132222589343,-0.0001650852755307058,0.0020228845734120557,-4.643045113569831e-06,-1.4235172576869162e-07,4.8020677441859144e-06,-8.875522496883135e-07,-0.00017494868234074708,-0.00034594236872448385,-0.0005204507912347637,2.965373095591121e-17,-0.0,3.936411451921877e-17,0.042868750000000046,0.040520267472458196,0.014650829032474852
4,3.9409100098265575e-05,-0.0001728392544817075,-0.0001520449691847406,0.0019176367615534855,-4.944419469957609e-06,1.8062527696707068e-06,6.191664845572416e-06,1.8171996997699752e-06,-0.0001697063547660993,-0.00030074871029480863,-0.00047006359219359207,2.1296746297083428e-17,-0.0,-2.3282540242122265e-17,0.04072531250000006,0.04464370103625385,0.01653418305741013
5,3.7663270465333264e-05,-0.0001666475896361351,-0.00013841099403073291,0.0018227491997084766,-4.385412075902331e-06,1.5000351068896858e-06,5.6136521587382515e-06,9.085209624050921e-07,-0.00016312321705320567,-0.0002592052288015591,-0.00042199332723287357,2.0250369872435282e-17,-0.0,-2.7446796936312306e-18,0.03868904687500006,0.04733131267105153,0.017931153284023033
6,3.546644856815708e-05,-0.00016103393747739686,-0.00012626585052354328,0.0017311069388756275,-4.113617051848982e-06,1.8293171654173714e-06,5.6158399037913965e-06,1.0786925560386394e-06,-0.00015717444627256786,-0.00022126298497515955,-0.0003781504097376452,-5.2550502975324486e-18,-0.0,-1.5410213046308717e-17,0.03675459453125006,0.04890047470241157,0.018924659671732555
7,3.3553721598954745e-05,-0.00015541809757360547,-0.0001149022435312833,0.0016445038737012935,-3.7865227383696454e-06,1.9395651121990016e-06,5.443330705089339e-06,9.353833362935755e-07,-0.00015127158485869356,-0.00018658988668329382,-0.00033761942863187814,2.1605270878268464e-17,-0.0,-9.230091319783183e-18,0.03491686480468756,0.0496040292543576,0.01958498736869972
8,3.169872955680949e-05,-0.00014997476686851613,-0.00010444632180710684,0.0015621071078957933,-3.5037655928712203e-06,2.0868913724983e-06,5.320841236565894e-06,8.911921700832885e-07,-0.00014558621124349496,-0.00015496139052607123,-0.0003003463090491771,1.5516495150588364e-17,-0.0,-5.670819682989918e-17,0.03317102156445318,0.04964265742446764,0.019971301053502907
9,2.996077299368491e-05,-0.00014465392563195022,-9.478253070140916e-05,0.0014838780190453372,-3.2339498640589803e-06,2.1977619450979605e-06,5.182426554586204e-06,8.233402215718102e-07,-0.00014006407728653976,-0.00012614306505646212,-0.0002660430868297835,7.51829316881807e-18,-0.0,-4.106858643988071e-17,0.03151247048623052,0.04917556603776067,0.02013345779463818
10,2.8314852836480425e-05,-0.00013947149907736402,-8.587218907698816e-05,0.0014095566985364793,-2.9846646095173625e-06,2.29624924951203e-06,5.048292862755218e-06,7.678841229994761e-07,-0.00013471759521872995,-9.992398216473333e-05,-0.00023451139372196965,-1.455173103563423e-18,-0.0,-1.0136443231599399e-16,0.029936846961918995,0.04832879752439163,0.02011339045930652
11,2.6761388887689886e-05,-0.0001344232062146088,-7.765866207800055e-05,0.0013389624829688788,-2.752043613244225e-06,2.377306725094472e-06,4.913027521089527e-06,7.137873318239869e-07,-0.00012953911869446896,-7.610545875146531e-05,-0.00020554519172356512,2.046320484499422e-17,-0.0,-6.184037129623197e-17,0.028440004613823046,0.04720194434625087,0.019946328826232214
12,2.5293650692586845e-05,-0.0001295101786935193,-7.009518406615797e-05,0.0012719041241564825,-2.535720796018386e-06,2.4443714025196078e-06,4.7787589040931566e-06,6.640042166748342e-07,-0.00012452670545101173,-5.4503128403116376e-05,-0.00017895839795183588,1.4696285019144194e-17,-0.0,-2.3357202263206014e-17,0.02701800438313191,0.045873496504271576,0.019661822683741406
13,2.3907397018783744e-05,-0.00012473141978942614,-6.313631857488915e-05,0.001208205787765753,-2.3343875015899092e-06,2.498220490952072e-06,4.645324782954452e-06,6.173592099127241e-07,-0.00011967651064461052,-3.494513899988934e-05,-0.00015457553924388528,1.0698821507093164e-17,-0.0,-1.824441379004928e-17,0.025667104163975316,0.04440512258804471,0.019284614503856917
14,2.259799601759684e-05,-0.00012008609500647169,-5.6740222823083195e-05,0.0011476987256959109,-2.1471042920498954e-06,2.540287008976854e-06,4.5131931009105666e-06,5.739209507614696e-07,-0.00011498507546103535,-1.727157458090304e-05,-0.00013223344517586673,1.0959839707882928e-17,-0.0,9.991256606458019e-17,0.024383748955776535,0.04284508983138351,0.01883537901783453
15,2.1361260148308695e-05,-0.00011557290190556112,-5.086772422056819e-05,0.0010902231615708155,-1.9729060919464504e-06,2.571685760576161e-06,4.382599630638635e-06,5.334071572185434e-07,-0.00011044867749404881,-1.3335844463128755e-06,-0.00011177973405779579,-1.9183405862553482e-17,-0.0,6.645269565772315e-17,0.023164561507987912,0.0412309978887214,0.018331351276500985
16,2.0193180205379086e-05,-0.00011119030227492248,-4.548235851572533e-05,0.0010356271758580884,-1.810913870084523e-06,2.5935112196878987e-06,4.253807520387206e-06,4.956569880978548e-07,-0.00010606354998084405,1.3007334889281624e-05,-9.307231344184613e-05,-1.3777157699859172e-17,-0.0,9.817166109324312e-17,0.022006333432588666,0.03959196302615967,0.01778685950405623
17,1.9089986843257925e-05,-0.00010693649475453528,-4.055013772637792e-05,0.0009837665086205921,-1.6602963006974896e-06,2.6067576534086428e-06,4.127033743075904e-06,4.604903433568466e-07,-0.00010182584081072727,2.588004118537189e-05,-7.597863901716058e-05,-1.8230484704254298e-17,-0.0,7.455047786835677e-17,0.020906016760959233,0.03795036298603993,0.017213777208905174
18,1.80481157813446e-05,-0.00010280946101145938,-3.6039412404807093e-05,0.0009345041161494621,-1.5202760896854032e-06,2.612350925175707e-06,4.002474040535689e-06,4.277493376757331e-07,-9.77316464594559e-05,3.740439480859538e-05,-6.03751009023846e-05,-1.2895183070240956e-18,-0.0,-5.4256188195786426e-17,0.019860715922911273,0.03632323045523949,0.016621906664255354
19,1.7064202275040923e-05,-9.880698697092369e-05,-3.192071931545482e-05,0.0008877098251428282,-1.3901231153694012e-06,2.611146920419783e-06,3.880298317260591e-06,3.9728619766901537e-07,-9.37770216704386e-05,4.7691868333118145e-05,-4.614642455117834e-05,-4.0255782438595703e-17,-0.0,-2.9341656522168423e-17,0.01886768012676571,0.03472336555510603,0.016019304105256708
20,1.6135067422637796e-05,-9.49266886536631e-05,-2.816664614279319e-05,0.0008432599808782438,-1.2691513968182621e-06,2.603939803529581e-06,3.7606544236394817e-06,3.6896774964728065e-07,-8.995799456703696e-05,5.6846116416391905e-05,-3.318511670949103e-05,-2.891093828496682e-17,-0.0,2.529105770868183e-18,0.017924296120427424,0.033160223657485194,0.015412555419609106
