t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.99761688837181e-05,-0.0001806303067341049,-0.00030484386720031596,0.0022972265085499793,-1.3899295988792004e-05,6.6014852670577735e-19,2.849215730727247e-08,4.3719138894708485e-05,-0.00018661132225599242,-0.0005122595417888987,-0.0006912301014012558,-0.0,-0.0,6.188337072006259e-18,0.05,0.014996566536869836,0.004997255679821401
1,9.012272277291882e-05,-0.0003612321213109025,-0.0004918488777559797,0.004571355916986725,-1.3927788146100428e-05,-1.4427764329470586e-05,-7.041719810881269e-06,2.0711754508947324e-05,-0.00036555338971103494,-0.0009604800754463705,-0.0013178962433796886,-0.0,-0.0,2.569611410103251e-17,0.0975,0.04126404263397699,0.01401049326352936
2,0.00013077113949611788,-0.0005489041478558887,-0.0006767243439783788,0.006686986719971652,-2.1285340507386356e-05,-9.04010512394158e-06,2.9889845082114887e-06,2.932602797344767e-05,-0.0005510692100001828,-0.0013563547281284657,-0.0018987502827216135,7.237418080879792e-18,-0.0,9.493285595355776e-17,0.142625,0.07582433450382292,0.026192156643980724
3,0.0001739828318940652,-0.0007265454700817821,-0.0008418096195090847,0.008709871293383707,-2.5928385620956187e-05,-9.182456849710271e-06,7.791052252397403e-06,2.8438475723759354e-05,-0.0007260178923409299,-0.0017022970968529495,-0.002419201073956377,3.6891149036791e-17,-0.0,1.3429697047277653e-16,0.18549375000000004,0.11634460197628112,0.04084298567645558
4,0.00021339193199233078,-0.0008993847245634895,-0.0009938545886938252,0.010627508054937193,-3.0872805090913795e-05,-7.376204080039564e-06,1.398271709796982e-05,3.025567542352933e-05,-0.0008957242471070292,-0.002003045807147758,-0.0028892646661499693,5.818789533387443e-17,-0.0,1.1101443023065427e-16,0.2262190625000001,0.16098830301253497,0.05737716873386571
5,0.00025105520245766405,-0.0010660323141996246,-0.0011322655827245582,0.012450257254645668,-3.5258217166816126e-05,-5.876168973149879e-06,1.9596369256708073e-05,3.116419638593442e-05,-0.001058847464160235,-0.002262251035949317,-0.0033112579933828427,7.843826520630971e-17,-0.0,1.0826975053702304e-16,0.26490810937500014,0.2083196156835865,0.07530832201788874
6,0.0002865216510258211,-0.0012270662516770214,-0.0012585314332481015,0.014181364193521296,-3.937183421866511e-05,-4.046851807732508e-06,2.521220916049947e-05,3.224288894197306e-05,-0.0012160219104328028,-0.0024835140209244766,-0.003689408403120488,7.318321490877726e-17,-0.0,9.285953749071432e-17,0.3016627039062502,0.2572200903859981,0.0942329816896213
7,0.0003200753726247759,-0.001382484349250627,-0.0013734336767793848,0.01582586806722259,-4.3158356957034754e-05,-2.107286695533506e-06,3.065553986558881e-05,3.317827227826663e-05,-0.0013672934952914963,-0.0026701039076077702,-0.004027027831752366,9.478848578704572e-17,-0.0,8.362944617093114e-17,0.33657956871093775,0.30682411964035566,0.11381796905832102
8,0.00035177410218158536,-0.001532459116119143,-0.0014778799985864916,0.01738797517511838,-4.6662122549905975e-05,-2.0395323035205997e-08,3.59763811021547e-05,3.406946444834992e-05,-0.0015128797065349913,-0.0028250652981338413,-0.0043273741408015425,1.1030498093763408e-16,-0.0,2.6921249341031968e-17,0.3697505902753909,0.3564667770648233,0.13378927011182393
9,0.00038173487517527025,-0.0016771130417510933,-0.0015726625292879007,0.018871853194163717,-4.989607241396495e-05,2.1773666220627545e-06,4.11588076567409e-05,3.489280466992173e-05,-0.0016529437838215312,-0.0029512083631903032,-0.004593417227631326,1.1782327410645216e-16,-0.0,-1.414733709884874e-17,0.40126306076162144,0.405642343102584,0.1539227279064621
10,0.00041004972801175066,-0.0018165845408284573,-0.0016585347183648888,0.020281409892700195,-5.288073702348231e-05,4.473615871574785e-06,4.6207100519496115e-05,3.5660688792921206e-05,-0.001787661379040261,-0.0030511323453550365,-0.004827928621353296,1.1636810100288873e-16,-0.0,-1.1551176941484273e-16,0.43119990772354044,0.45397114062697563,0.17403611836576863
11,0.00043681111689944054,-0.0019510077470430661,-0.0017361933804428892,0.021620372375669075,-5.563278063672654e-05,6.850922596669257e-06,5.112012804058564e-05,3.6374476124745195e-05,-0.00191720049773473,-0.0031272378041065016,-0.005033473813076861,1.3683130584788294e-16,-0.0,-1.773521407110747e-16,0.4596399123373635,0.5011730849732265,0.19398244719200083
12,0.0004621047675920274,-0.0020805179257365855,-0.0018062885645090472,0.022892276499825556,-5.8168501432744925e-05,9.295293999188865e-06,5.589888694467879e-05,3.703848034142003e-05,-0.002041727203185742,-0.003181740932509618,-0.0052124322110286975,1.5152759086702714e-16,-0.0,-2.007093429742807e-16,0.4866579167204954,0.5470465814774981,0.21364426987574225
13,0.0004860121646108111,-0.0022052493455260117,-0.0018694248830839364,0.024100482287591308,-6.050288893433483e-05,1.1793514490140937e-05,6.0544211727633244e-05,3.765583955133275e-05,-0.002161403713830352,-0.0032166860715095074,-0.005367007750272583,1.622264123741203e-16,-0.0,-2.1895375676433e-16,0.5123250208844707,0.5914517040655428,0.23292888437959916
14,0.000508610160628408,-0.0023253354405324833,-0.0019261651059070196,0.02524818101328722,-6.264999322638473e-05,1.433380149911779e-05,6.505740482854381e-05,3.822976050209422e-05,-0.0022763887892913873,-0.0032339576460904103,-0.005499241195448449,1.7318625208200323e-16,-0.0,-1.1904119069974979e-16,0.5367087698402473,0.6342967938969263,0.2517642633974337
15,0.0005299714207767167,-0.0024409083424380444,-0.001977032830127588,0.026338404174858037,-6.462289931833118e-05,1.6905487259693953e-05,6.944000445918245e-05,3.876316765931276e-05,-0.002386837466785436,-0.0032352912305367233,-0.005611020929506245,1.5400284621944975e-16,-0.0,-5.2588495042026634e-17,0.5598733313482352,0.6755277917856477,0.27009561467393467
16,0.0005501646009820958,-0.002552098644712967,-0.002022515188643313,0.027374031350716126,-6.64338131884157e-05,1.9498998479381853e-05,7.369381197956966e-05,3.9258824647410616e-05,-0.00249290101676628,-0.003222283895647442,-0.005704093242948091,1.402256885195906e-16,-0.0,4.5583166051216484e-17,0.5818796647808239,0.7151197548118073,0.2878824741779909
17,0.0005692545878253538,-0.0026590351394675023,-0.002063065326369691,0.028357797859336717,-6.809410948911319e-05,2.2105756132790494e-05,7.782084572264556e-05,3.971931499076746e-05,-0.002594726857577007,-0.00319640385446207,-0.005780071881965251,1.219952038153363e-16,-0.0,1.2013364391957327e-16,0.6027856815417831,0.7530701177978473,0.30509625138689606
18,0.0005873027036066983,-0.0027618446004789615,-0.0020991047387744982,0.029292301975486178,-6.961438557879859e-05,2.47181070579662e-05,8.182331976318124e-05,4.0147064328443194e-05,-0.002692458504036463,-0.0031589994596534746,-0.005840446982867635,1.2070568550831222e-16,-0.0,6.587745572378684e-17,0.6226463974646944,0.7893933482530867,0.3217181580511514
19,0.0006043669058817393,-0.0028606515874498853,-0.002131025458089953,0.030180011800629007,-7.100450869416799e-05,2.7329253978385983e-05,8.570361808044184e-05,4.054435052611221e-05,-0.002786235525706902,-0.0031113075913203566,-0.005886593407418814,8.044990306971652e-17,-0.0,3.653579920161842e-17,0.6415140775914602,0.8241167138081927,0.3377374621564081
20,0.0006205019733043771,-0.0029555782761035484,-0.0021591921042327464,0.03102327178150725,-7.227366009098626e-05,2.9933193781915562e-05,8.946427250408132e-05,4.0913318275759487e-05,-0.002876193520273939,-0.0030544614749039647,-0.005919778524128305,5.15389647847497e-17,-0.0,3.9064904972486607e-17,0.6594383737118876,0.8572769374656779,0.3531500175760172
21,0.0006357596804662852,-0.003046744310333572,-0.002183943807505412,0.031824308899854166,-7.34303747111079e-05,3.25246613356512e-05,9.310794150190025e-05,4.125599433320355e-05,-0.002962464098976169,-0.0029894979656625302,-0.005941169468842504,1.763104327328259e-17,-0.0,3.278066181840687e-17,0.6764664550262937,0.8889175610372838,0.3679570273706962
22,0.0006501889608423487,-0.0031342666755657766,-0.0022055960126671644,0.03258523854560588,-7.448257615520824e-05,3.5099080240024454e-05,9.663739009648203e-05,4.157430619788169e-05,-0.003045174883933984,-0.0029173643344474107,-0.005951839919180897,2.092677108929684e-18,-0.0,6.342932682535671e-17,0.6926431322749794,0.9190868731671897,0.38216400503203335
23,0.0006638360574720261,-0.0032182595922033994,-0.0022244421729735687,0.0333080700866712,-7.543760584541068e-05,3.7652521318653595e-05,0.00010005547002647831,4.187010599699124e-05,-0.003124449516892918,-0.0028389245877547963,-0.005952776415268859,1.1633177797196345e-17,-0.0,9.277629087035944e-17,0.708010975661231,0.9478362871575919,0.3957799033541507
24,0.0006767446600306007,-0.003298834428911026,-0.002240755343107688,0.03399471214494363,-7.630224469681566e-05,4.0181670782209475e-05,0.00010336509927756792,4.214520310836038e-05,-0.0032004076797434986,-0.0027549653537844634,-0.0059448842588245955,1.8484984168787587e-17,-0.0,7.142873002247533e-17,0.7226104268781698,0.9752190768616972,0.4088163851951215
25,0.0006889560259750079,-0.0033760996363675633,-0.0022547896802650107,0.03464697758491881,-7.708272448435205e-05,4.268381116999886e-05,0.00010656923957354702,4.240141081734947e-05,-0.0032731651280184727,-0.002666201365514824,-0.005928993022778438,3.734556907368664e-17,-0.0,6.147409922995405e-17,0.7364799055342617,1.0012893973425916,0.42128721427824734
26,0.0007005090818043942,-0.003450160703528121,-0.002266781863579159,0.035266588216141606,-7.778472439252753e-05,4.5156820186339174e-05,0.00010967086976416099,4.264061533224803e-05,-0.003342833739945973,-0.002573280571885078,-0.005905861705065823,5.344474383622518e-17,-0.0,3.994680181768722e-17,0.749655910257549,1.026101531737537,0.4332077474860245
27,0.0007114404980048766,-0.003521120140498065,-0.0022769524437124063,0.03585517920333302,-7.841334556681881e-05,4.759919565346737e-05,0.00011267295200883244,4.2864880064891745e-05,-0.00340952158567248,-0.0024767889093940897,-0.005876183563493909,7.558077382297807e-17,-0.0,2.9793544373555105e-17,0.7621731147446719,1.0497093175540768,0.4445945129039776
28,0.0007217847274800446,-0.0035890774952233376,-0.002285507137160765,0.036414303167149005,-7.897305234435126e-05,5.0010119675758626e-05,0.00011557838613821533,4.307660509693868e-05,-0.0034733330243468872,-0.0023772547693332725,-0.005840590674572414,9.147845008346e-17,-0.0,5.073488704194778e-17,0.7740644590074386,1.0721657150469799,0.4554648602515225
29,0.0007315739916032752,-0.003654129415819227,-0.002292638084135284,0.03694543394245007,-7.94675624514455e-05,5.238958271033811e-05,0.00011838994538995852,4.3278772326262055e-05,-0.003534368841356825,-0.00227515320125466,-0.005799658269188409,1.1483723332133578e-16,-0.0,7.306514672206739e-17,0.785361236057067,1.0935224878551544,0.465836672355165
30,0.000740838189644234,-0.0037163697771633733,-0.0022985250954345965,0.03744996993746601,-7.989965866862839e-05,5.473860003460501e-05,0.00012111018369682568,4.347532245542726e-05,-0.0035927264447996893,-0.0021709099022750003,-0.005753908913802087,1.4062805477810973e-16,-0.0,1.1406188868547808e-16,0.796093174254214,1.1138299720918805,0.4757281280283043
31,0.000749604695193703,-0.0037758899002006525,-0.002303336923342796,0.03792923700350777,-8.027087965121664e-05,5.705957129799801e-05,0.0001237413007988368,4.3671732669911167e-05,-0.003648500150086165,-0.0020649050559970713,-0.005703816629839587,1.78527366825732e-16,-0.0,1.3856485778365048e-16,0.8062885155415036,1.1331369148806503,0.48515750816583386
