dataset,response_label,group,direction,term,model_series,linear_sign_assumption,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0,0.0039006799178236,-0.0026521828370043,0.0104535426726515,0.0079895938006006,-0.0016621351724325,-0.019617834993525606,-0.023518514911349205,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,1,0.0035259338674842,-0.0025707203051708,0.0096225880401393,0.0079895938006006,-0.0008007125459783,-0.009450643283878882,-0.012976577151363081,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,2,-0.0023764684905489,-0.0093459443152385,0.0045930073341405,0.0079895938006006,-0.0011840124942851,-0.01397465268072297,-0.01159818419017407,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,3,-0.0018641177706414,-0.0071441327610534,0.0034158972197706,0.0079895938006006,-0.0009938880879302,-0.011730653941045312,-0.009866536170403912,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,4,0.0018923644177713,-0.0109792049874507,0.0147639338229933,0.0079895938006006,-0.0010690344945268,-0.012617591314984042,-0.014509955732755342,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,5,0.002169761092428,-0.0073816959282621,0.0117212181131183,0.0079895938006006,-0.0010225073347684,-0.012068440946231608,-0.014238202038659609,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,6,0.0009369031011593624,-0.0089201530486348,0.0107939592509536,0.0079895938006006,-0.0010327708516346,-0.012189579096530005,-0.013126482197689367,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,7,0.003368821700665,-0.0050335429347589,0.011771186336089,0.0079895938006006,-0.0010174598016972,-0.012008865965473426,-0.015377687666138427,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,8,-0.0027680749953079,-0.0138263604783714,0.0082902104877554,0.0079895938006006,-0.0010145356400627,-0.01197435269519826,-0.00920627769989036,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,9,0.0073913215450218,-0.0051526915377657,0.0199353346278094,0.0079895938006006,-0.001006453213497,-0.011878957499101702,-0.0192702790441235,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,10,-0.0006623606040574084,-0.0125570468816382,0.0112323256735234,0.0079895938006006,-0.0010012752519128,-0.01181784309779041,-0.011155482493733,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,11,-0.0029362718889241,-0.0174899760089245,0.0116174322310763,0.0079895938006006,-0.0009952529071674,-0.011746762618026254,-0.008810490729102154,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,12,0.0071780333504716,-0.0120623093703855,0.0264183760713287,0.0079895938006006,-0.0009900878272186,-0.011685800255972609,-0.01886383360644421,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,13,0.006188736878403,-0.009073190360163,0.021450664116969,0.0079895938006006,-0.0009849688050574,-0.011625381504385966,-0.017814118382788964,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,14,-0.0016859928464579,-0.0161431879828664,0.0127712022899505,0.0079895938006006,-0.0009802453081014,-0.011569631054355108,-0.009883638207897208,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,15,0.0088011059236132,-0.0042183623786072,0.0218205742258337,0.0079895938006006,-0.0009757327409918,-0.011516370165336205,-0.020317476088949404,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,16,-0.0007468804496452654,-0.0215586553786198,0.0200648944793293,0.0079895938006006,-0.0009714941765521,-0.01146634327271846,-0.010719462823073194,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,17,0.0043509822477068,-0.0162146353441381,0.0249165998395518,0.0079895938006006,-0.0009674796582062,-0.011418960749446847,-0.015769942997153646,True,False
