t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.0015698570642578157,0.00040441268503758665,0.003195035622989614,0.0044263826837250275,0.0009226284989270672,-0.0006769240782078907,-0.0007761124497393192,-0.00307096252813779,0.0005919584676551834,0.004558225487113396,0.005060297798755836,-0.0,-0.0,-0.0,-0.0,0.0010981159021197558,0.0008117470510182237
1,8.881524355078057e-05,-0.0003716997647017325,0.001057739507267692,0.0003072035728261208,9.91883715314275e-05,-1.55661131287868e-05,-5.232271452618239e-05,-0.0002332708618524721,-0.00027404013809687977,0.004347543875894836,0.004067300953575424,-0.0,-0.0,-0.0,-0.0,0.0009548284308845233,0.0007465538072672137
2,-1.0610719503282403e-05,-0.0004240224792279149,0.000914747408954255,3.070470840204247e-05,3.6756601397395207e-05,3.728161499754326e-05,1.1906109066688404e-05,-4.280292305019213e-05,-0.00033256563684559703,0.0041102556443204175,0.003772391742131511,-0.0,-0.0,-0.0,-0.0,0.0007728632843196811,0.0006427950932465175
3,-2.549406735052608e-05,-0.0004121163701612265,0.0008494725340390842,-1.352550114770582e-05,2.537550593085436e-05,4.3714422735046074e-05,2.1284182719233327e-05,-1.1313320856547221e-05,-0.00032595779312221876,0.0038800377290578196,0.0035491709228944947,-0.0,-0.0,-0.0,-0.0,0.0006164481754497889,0.0005467323073686292
4,-2.6595827446950735e-05,-0.00039083218744199316,0.0007992938621326012,-1.9735633746506713e-05,2.243024001581163e-05,4.266404405484291e-05,2.1733956205715814e-05,-5.904097358657742e-06,-0.00030958262344409266,0.0036617679967004845,0.003347567539028476,-0.0,-0.0,2.7930314268595214e-19,-0.0,0.0004897243243342152,0.0004638442086765337
5,-2.5513510139043555e-05,-0.00036909823123627735,0.0007538111708308838,-1.977128093887731e-05,2.0930087849126422e-05,4.05067187839051e-05,2.0781225591146552e-05,-4.78440592370646e-06,-0.0002924665014662945,0.0034556387106659627,0.003158816648535582,-0.0,-0.0,8.380250342155476e-20,-0.0,0.0003882596814608296,0.0003932389403706586
6,-2.4144414104051283e-05,-0.0003483170056451308,0.0007111938472569534,-1.8850597158637335e-05,1.9725493192758373e-05,3.828129082911949e-05,1.9656466322111167e-05,-4.380596360995161e-06,-0.0002760408365392372,0.003261108137237491,0.0029809571711777844,-0.0,-0.0,4.095702824735703e-20,-0.0,0.0003072393080386686,0.00033324880571476505
7,-2.279563085140604e-05,-0.0003286605393230196,0.0006710234039595971,-1.782608949672576e-05,1.8624824507007075e-05,3.6151874745681366e-05,1.8558165789076997e-05,-4.105953229004253e-06,-0.0002604944997375972,0.0030775465219759052,0.002813173140529189,-0.0,-0.0,1.737801583866052e-20,-0.0,0.0002426036802884606,0.0002823072742014315
8,-2.1513750414437324e-05,-0.00031010237353394263,0.0006331195372674067,-1.6834658069358122e-05,1.7593708956606267e-05,3.413953637017928e-05,1.751578989427277e-05,-3.863534293988739e-06,-0.00024581521565764217,0.0029043401827326884,0.002654864228665643,-0.0,-0.0,8.689007919330259e-21,-0.0,0.00019107165339219816,0.000239058508331268
9,-2.0302868027896726e-05,-0.00029258658363966986,0.0005973472714276847,-1.5896049107359653e-05,1.66237464759064e-05,3.224224132176625e-05,1.6531264897992344e-05,-3.6367319501558074e-06,-0.00023196016417277165,0.0027409068577770716,0.0025054917774401937,-0.0,-0.0,2.0737933009970635e-21,-0.0,0.0001500132898861627,0.00020234619460072852
10,-1.916031708500738e-05,-0.0002760553187416775,0.0005635849829612705,-1.5010969619576413e-05,1.571097642377399e-05,3.0454505129550753e-05,1.560216498806494e-05,-3.4221383307112702e-06,-0.00021888381543888488,0.0025866965999547797,0.002364552070352596,-0.0,-0.0,-5.588781586488978e-20,-0.0,0.00011732426041940134,0.0001711869544079697
11,-1.808251719367469e-05,-0.00026045315375361255,0.0005317188228842855,-1.4177167153644623e-05,1.4852340141485727e-05,2.8770599793400606e-05,1.4725504825136218e-05,-3.2185346163859467e-06,-0.00020654236461411797,0.0024411903921525108,0.0022315705500991134,-0.0,-0.0,-2.4918433492188517e-20,-0.0,9.132145307720979e-05,0.00014474494045508692
12,-1.7065923021027554e-05,-0.00024572764892847633,0.0005016414858997503,-1.33920598248091e-05,1.4045094968263444e-05,2.718506562062647e-05,1.3898352582495287e-05,-3.0250824389372573e-06,-0.00019489433722826005,0.002303898475145259,0.0021060995489046515,1.0592924745934705e-21,-0.0,-5.942621292791831e-20,-0.0,7.065882052284489e-05,0.00012230978415778013
13,-1.6107170563424218e-05,-0.00023182929634598103,0.0004732517100196154,-1.2653161862690207e-05,1.3286713038130948e-05,2.5692782595452313e-05,1.3117922150910609e-05,-2.841023988698144e-06,-0.0001839005736581116,0.002174358709384705,0.0019877166688410277,6.067503917383583e-20,-0.0,-3.215405219722481e-20,-0.0,5.425995354666724e-05,0.00010327777554180441
14,-1.5203092507455055e-05,-0.00021871137419507042,0.0004464539126396334,-1.1958148461231083e-05,1.2574860444541488e-05,2.42889708924062e-05,1.2381580395282255e-05,-2.6656293839652045e-06,-0.00017352411839276563,0.002052135018819842,0.0018760233384961416,5.460753525645224e-20,-0.0,-2.4329052725445434e-20,-0.0,4.126412348808391e-05,8.713585364512807e-05
15,-1.43507127920182e-05,-0.00020632979379978816,0.0004211578647252356,-1.1304862257017281e-05,1.1907390497123255e-05,2.2969181148489417e-05,1.1686840903065152e-05,-2.4981844409113316e-06,-0.00016373009992841752,0.0019368159202547764,0.001770643464313753,4.9146781730807015e-20,-0.0,-1.0001241441830478e-20,-0.0,3.098311397493563e-05,7.344799606359729e-05
16,-1.3547238412646829e-05,-0.000194642952896723,0.0003972783860836008,-1.0691311030003344e-05,1.1282340245423763e-05,2.1729284457577002e-05,1.1031355910736416e-05,-2.337984888575119e-06,-0.0001544856150379578,0.0018280131346743158,0.0016712221594017529,4.423210355772631e-20,-0.0,-5.000620720915239e-21,-0.0,2.286668627178949e-05,6.18436493358538e-05
