t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.0015698570642578157,0.00040441268503758665,0.003195035622989614,0.0044263826837250275,0.0009226284989270672,-0.0006769240782078907,-0.0007761124497393192,-0.00307096252813779,0.0005919584676551834,0.004558225487113396,0.005060297798755836,-0.0,-0.0,-0.0,-0.0,0.0010981159021197558,0.0008117470510182237
1,0.0016586723078085962,3.271292033585414e-05,0.004252775130257306,0.004733586256551148,0.0010218168704584946,-0.0006924901913366774,-0.0008284351642655016,-0.003304233389990262,0.00031791832955830365,0.008905769363008232,0.00912759875233126,-0.0,-0.0,-0.0,-0.0,0.0020529443330042792,0.0015583008582854374
2,0.001648061588305314,-0.0003913095588920608,0.005167522539211562,0.00476429096495319,0.0010585734718558898,-0.0006552085763391342,-0.0008165290551988132,-0.003347036313040454,-1.4647307287293386e-05,0.013016025007328649,0.012899990494462771,-0.0,-0.0,-0.0,-0.0,0.0028258076173239602,0.002201095951531955
3,0.0016225675209547879,-0.0008034259290532873,0.006016995073250646,0.004750765463805484,0.001083948977786744,-0.0006114941536040881,-0.0007952448724795799,-0.0033583496338970014,-0.00034060510040951215,0.01689606273638647,0.016449161417357267,-0.0,-0.0,-0.0,-0.0,0.0034422557927737494,0.002747828258900584
4,0.0015959716935078372,-0.0011942581164952806,0.006816288935383247,0.004731029830058978,0.0011063792178025557,-0.0005688301095492452,-0.000773510916273864,-0.003364253731255659,-0.0006501877238536049,0.020557830733086955,0.019796728956385744,-0.0,-0.0,2.7930314268595214e-19,-0.0,0.003931980117107965,0.0032116724675771177
5,0.0015704581833687935,-0.0015633563477315579,0.007570100106214131,0.0047112585491201,0.001127309305651682,-0.0005283233907653401,-0.0007527296906827174,-0.0033690381371793655,-0.0009426542253198994,0.02401346944375292,0.022955545604921326,-0.0,-0.0,3.631056461075069e-19,-0.0,0.0043202397985687944,0.0036049114079477764
6,0.0015463137692647423,-0.0019116733533766886,0.008281293953471084,0.004692407951961463,0.0011470347988444404,-0.0004900420999362206,-0.0007330732243606063,-0.003373418733540361,-0.0012186950618591366,0.02727457758099041,0.02593650277609911,-0.0,-0.0,4.040626743548639e-19,-0.0,0.004627479106607463,0.003938160213662541
7,0.0015235181384133363,-0.002240333892699708,0.00895231735743068,0.004674581862464737,0.0011656596233514474,-0.00045389022519053926,-0.0007145150585715292,-0.003377524686769365,-0.0014791895615967339,0.030352124102966314,0.028749675916628296,-0.0,-0.0,4.2144069019352444e-19,-0.0,0.004870082786895923,0.004220467487863973
8,0.001502004387998899,-0.0025504362662336507,0.009585436894698087,0.004657747204395379,0.0011832533323080537,-0.00041975068882036,-0.0006969992686772565,-0.0033813882210633537,-0.001725004777254376,0.033256464285699006,0.03140454014529394,-0.0,-0.0,4.301296981128547e-19,-0.0,0.005061154440288121,0.004459525996195241
9,0.0014817015199710022,-0.0028430228498733208,0.010182784166125771,0.00464185115528802,0.00119987707878396,-0.00038750844749859374,-0.0006804680037792641,-0.0033850249530135096,-0.0019569649414271474,0.03599737114347608,0.03391003192273413,-0.0,-0.0,4.3220349141385174e-19,-0.0,0.005211167730174284,0.004661872190795969
