t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.9814506102686743e-05,-0.00017684578054663063,-0.0003136768109028409,0.002296220102985427,-2.6169455067367624e-06,-7.213033767775971e-18,-9.388692731053964e-06,4.4612637177595936e-05,-0.0001834345555828225,-0.0004613955463681206,-0.0006349831015210709,-0.0,-0.0,-0.0,0.05,0.014995549371812788,0.004995632069875354
1,6.123469733834232e-05,-0.0001862344732776846,-0.00017164839593089928,0.0022780484146129815,9.388692731039664e-06,-1.5468882339501584e-07,-2.570572368756409e-06,-2.6028104074970283e-05,-0.00018297624788399684,-0.00040034446755821314,-0.0005829118007371239,-0.0,-0.0,-0.0,0.0475,0.026268049552014058,0.00901335423382141
2,4.682185479815737e-05,-0.000188805045646441,-0.00016625817893923544,0.0021334293706147755,2.4158835453737786e-06,6.345824999043236e-06,4.963438462114677e-06,-3.873110914252934e-06,-0.00018513790554768337,-0.00034869934713918047,-0.0005334222242839443,-0.0,-0.0,-0.0,0.045125,0.034565010458116316,0.012184734607660012
3,4.244262761742754e-05,-0.00018384160718432633,-0.00015331029726018964,0.002021579813155388,1.3823865369333725e-06,7.384789900043541e-06,6.0745970749772545e-06,-2.886474272241007e-07,-0.00017975943868266486,-0.0003020955304219552,-0.0004814866734799552,-0.0,-0.0,-0.0,0.04286875,0.04052380215302021,0.014653356861081166
4,3.9819159265885534e-05,-0.00017776701010934907,-0.00014002335488656425,0.001919517264543465,1.3101928250715195e-06,7.515148276855833e-06,6.130834597622946e-06,2.5565457037369664e-07,-0.00017331654598302313,-0.00025956176098333527,-0.00043256134050643596,-0.0,-0.0,-3.675627793634496e-17,0.04072531249999999,0.044647016815357855,0.016536716908047724
5,3.7588092255798744e-05,-0.00017163617551172613,-0.0001275195813771571,0.0018232522888656693,1.3843136792315295e-06,7.485089239044965e-06,6.0128287475271235e-06,3.0588135057911236e-07,-0.00016686874492550328,-0.0002207004518268044,-0.0003873005442060406,-0.0,-0.0,-1.7052144330770948e-17,0.038689046874999994,0.04733412909381239,0.017933472425833777
6,3.552010625489947e-05,-0.000165623346764199,-0.00011592565630415033,0.0017319206299319892,1.4722604915266677e-06,7.418857161448509e-06,5.865472406927489e-06,2.792397762096087e-07,-0.00016058726363170922,-0.00018522424242954345,-0.0003455871833135327,-0.0,-0.0,-4.656405031593716e-18,0.03675459453124999,0.04890296108883714,0.01892683900924047
7,3.357213279923121e-05,-0.00015975787435727152,-0.00010520878977364137,0.0016451809551778695,1.5533847545134006e-06,7.338289023015079e-06,5.7129696052407165e-06,2.4391172555342245e-07,-0.00015449746847706196,-0.00015287896360160856,-0.0003071925563020084,-0.0,-0.0,-4.1322405654106435e-18,0.03491686480468749,0.0496062174053128,0.019587022227978673
8,3.173193809403282e-05,-0.0001540449047520308,-9.531356988690714e-05,0.001562787660022102,1.6253194177260046e-06,7.248336450375548e-06,5.5596906132964616e-06,2.108791103040042e-07,-0.00014860062309515767,-0.00012343002404659694,-0.0002718835944953292,-0.0,-0.0,-2.0661202827053217e-18,0.03317102156445311,0.04964460543358117,0.019973209215615927
9,2.9992623630989792e-05,-0.00014848521413873434,-8.618417845431686e-05,0.0014845203220636186,1.688645837063139e-06,7.151098248611156e-06,5.406711669786677e-06,1.8177135484909807e-07,-0.00014289387983544894,-9.66592576875345e-05,-0.00023943955240401788,-0.0,-0.0,-1.3592801743580208e-18,0.03151247048623045,0.04917731074273669,0.020135248059102297
10,2.834842901798887e-05,-0.00014307850246894768,-7.776782546964694e-05,0.001410171656628183,1.7443865788114277e-06,7.048131250145901e-06,5.254530074675795e-06,1.5671045696542702e-07,-0.00013737358304667988,-7.236354447658579e-05,-0.00020965390856349575,-0.0,-0.0,-4.1619591098249784e-17,0.02993684696191893,0.048330370974811264,0.020115072069652247
11,2.6794028311008954e-05,-0.00013782397239427187,-7.001511719707443e-05,0.001339545087854934,1.7936011754756492e-06,6.940839110812217e-06,5.103512347018087e-06,1.3559747014157987e-07,-0.00013203583401224766,-5.035377676730357e-05,-0.0001823338940451894,-0.0,-0.0,-1.5709210303517097e-17,0.028440004613822983,0.047203371052693885,0.019947908933606914
12,2.5324399866956177e-05,-0.00013272046004725378,-6.287993370236104e-05,0.0012724539187621265,1.83732676378387e-06,6.830545884152404e-06,4.953970464045823e-06,1.183238864143679e-07,-0.00012687660493086324,-3.0453933794475678e-05,-0.00015729968140947755,1.2680649463279378e-17,-0.0,-4.307551253609867e-17,0.027018004383131834,0.045874795993726916,0.01966330734264478
13,2.3934790897074484e-05,-0.00012776648958320795,-5.631923743037971e-05,0.0012087207847195675,1.876575420108072e-06,6.718517915338133e-06,4.806176902872983e-06,1.048070139311628e-07,-0.00012189177715092563,-1.2500222211275253e-05,-0.00013438356444872804,6.179257627642751e-17,-0.0,-1.906921070137601e-17,0.02566710416397524,0.04440631003429712,0.01928600858095762
14,2.2620698156500175e-05,-0.00012296031268033497,-5.029288126596526e-05,0.0011481771735084027,1.9123410124596975e-06,6.605977356513501e-06,4.660369441153707e-06,9.499678646959479e-08,-0.00011707716533456908,3.6597271325908157e-06,-0.00011342918012239756,5.561331864878476e-17,-0.0,-1.6464145259217703e-17,0.024383748955776476,0.042846176969068436,0.018836686385081798
15,2.1377851830514294e-05,-0.00011829994323918127,-4.476342665321803e-05,0.001090662975344364,1.9456079153603694e-06,6.494114500266915e-06,4.5167540826042875e-06,8.887820815783524e-08,-0.00011242853781383036,1.816761051511193e-05,-9.429077853153693e-05,5.005198678390628e-17,-0.0,-6.157001978415517e-18,0.023164561507987652,0.041231993611383244,0.018332574885955202
16,2.0202200435553328e-05,-0.00011378318915657699,-3.9695972909997735e-05,0.0010360260558266079,1.9773604177153483e-06,6.384100217596391e-06,4.3755074881145366e-06,8.647343760703241e-08,-0.00010794163496404758,3.115515403179067e-05,-7.683253948654775e-05,4.504678810551565e-17,-0.0,-3.078500989207759e-18,0.02200633343258827,0.03959287389123161,0.017788001467843536
17,1.9089896323322668e-05,-0.00010940768166846246,-3.505799734483652e-05,0.0009841218496836595,2.008592729503027e-06,6.277098825864396e-06,4.236779147348951e-06,8.784419834853964e-08,-0.00010361218603024637,4.274477057108625e-05,-6.092793318528873e-05,4.054210929496409e-17,-0.0,-2.1907226816417966e-18,0.020906016760958854,0.03795119359663598,0.017214838851059983
18,1.8037281655835204e-05,-0.0001051709025211135,-3.081920559580274e-05,0.0009348129740055996,2.0403196785192784e-06,6.174281566671627e-06,4.100693335388836e-06,9.309468138044675e-08,-9.943592460901043e-05,5.305017377879104e-05,-4.645912250359998e-05,1.7036297123322772e-17,-0.0,2.4370418931131684e-17,0.019860715922910912,0.0363239837563925,0.016622888557087323
19,1.7040874772161527e-05,-0.00010107020918572467,-2.6951391588842454e-05,0.0008879688598441605,2.0735882312785677e-06,6.076840862230478e-06,3.967350868160601e-06,1.0237501054398878e-07,-9.540860294700339e-05,6.217695151803381e-05,-3.331640455651959e-05,1.1149299215513895e-17,-0.0,7.001266470166042e-18,0.018867680126765367,0.03472404305615347,0.016020206088783275
20,1.609735686917168e-05,-9.710285831756407e-05,-2.3428306556625215e-05,0.0008434654011116166,2.109489994070062e-06,5.986005532087927e-06,3.8368306639908475e-06,1.1588534248069133e-07,-9.152600520639359e-05,7.022310116233104e-05,-2.1397689345004173e-05,2.0901628103385924e-17,-0.0,1.337097218154987e-17,0.017924296120427098,0.0331608255953857,0.015413376606413433
21,1.5203558916552124e-05,-9.326602765357322e-05,-2.0225536595729652e-05,0.0008011846197451848,2.14917486808485e-06,5.9030571718103565e-06,3.7091911152062983e-06,1.3388068192106308e-07,-8.778395984334514e-05,7.727952888039827e-05,-1.0608013479123697e-05,1.5584565882841307e-16,-0.0,-9.257809299537855e-20,0.01702808131440574,0.031641149025478155,0.014807748561206176
22,1.4356448726405128e-05,-8.955683653836692e-05,-1.7320388264441695e-05,0.0007610143461471503,2.193866056566281e-06,5.82934791784342e-06,3.584471273970274e-06,1.5667649361813334e-07,-8.417835124430832e-05,8.343051491301474e-05,-8.590871243012091e-07,1.4026109294557175e-16,-0.0,-2.519506224533435e-18,0.016176677248685455,0.030169759095748275,0.014207631627031488
23,1.3553118089067297e-05,-8.597236526439665e-05,-1.4691781767718183e-05,0.0007228479139199786,2.2448766438504714e-06,5.766319850286383e-06,3.462691854528429e-06,1.8465521792614588e-07,-8.070513076335218e-05,8.87541466799518e-05,7.931127521619155e-06,1.2623498365101457e-16,-0.0,-1.551789425416324e-18,0.015367843386251181,0.028749779423540123,0.013616464317954269
24,1.2790769886580609e-05,-8.250967340986821e-05,-1.2320151297733345e-05,0.0006865838679607617,2.3036279957185985e-06,5.7155263151625876e-06,3.3438560560125582e-06,2.1827379119028603e-07,-7.736032730380192e-05,9.332272140531001e-05,1.5838807763796508e-05,1.136114852859131e-16,-0.0,-7.758947127081619e-19,0.014599451216938621,0.027383069536422014,0.01303695586958246
25,1.206670508943331e-05,-7.916581735385565e-05,-1.0187352132497983e-05,0.0006521256849891158,2.3716702591404883e-06,5.678655483122546e-06,3.2279502083940178e-06,2.580722956137651e-07,-7.414005758550106e-05,9.720311980028917e-05,2.2934633353608835e-05,1.022503367573218e-16,-0.0,1.0817324771242676e-19,0.013869478656091689,0.026070509620180246,0.012471206273844269
26,1.137830954530586e-05,-7.593786714546164e-05,-8.2765741067975e-06,0.0006193815056305478,2.450705274739707e-06,5.657556500264034e-06,3.1149442547176807e-06,3.046838537591114e-07,-7.104053623829061e-05,0.00010045715220147164,2.928412209596312e-05,8.441925625391435e-17,-0.0,3.808632780717778e-20,0.013176004723287104,0.02481222671509359,0.011920807771872847
