t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.9814506102686743e-05,-0.00017684578054663063,-0.0003136768109028409,0.002296220102985427,-2.6169455067367624e-06,-7.213033767775971e-18,-9.388692731053964e-06,4.4612637177595936e-05,-0.0001834345555828225,-0.0004613955463681206,-0.0006349831015210709,-0.0,-0.0,-0.0,0.05,0.014995549371812788,0.004995632069875354
1,9.104920344102907e-05,-0.0003630802538243152,-0.0004853252068337402,0.004574268517598408,6.771747224302902e-06,-1.5468882340222888e-07,-1.1959265099810373e-05,1.8584533102625653e-05,-0.00036641080346681935,-0.0008617400139263338,-0.001217894902258195,-0.0,-0.0,-0.0,0.0975,0.04126359892382685,0.014008986303696763
2,0.00013787105823918644,-0.0005518852994707561,-0.0006515833857729756,0.006707697888213184,9.18763076967668e-06,6.191136175641007e-06,-6.995826637695696e-06,1.4711422188372719e-05,-0.0005515487090145027,-0.0012104393610655143,-0.0017513171265421392,-0.0,-0.0,-0.0,0.142625,0.07582860938194316,0.026193720911356775
3,0.000180313685856614,-0.0007357269066550825,-0.0008048936830331653,0.008729277701368571,1.0570017306610052e-05,1.3575926075684548e-05,-9.212295627184415e-07,1.4422774761148618e-05,-0.0007313081476971676,-0.0015125348914874696,-0.0022328038000220944,-0.0,-0.0,-0.0,0.18549375,0.11635241153496337,0.04084707777243794
4,0.00022013284512249954,-0.0009134939167644315,-0.0009449170379197295,0.010648794965912036,1.188021013168157e-05,2.1091074352540382e-05,5.2096050349045045e-06,1.4678429331522315e-05,-0.0009046246936801907,-0.001772096652470805,-0.0026653651405285305,-0.0,-0.0,-3.675627793634496e-17,0.2262190625,0.16099942835032122,0.05738379468048567
5,0.00025772093737829827,-0.0010851300922761578,-0.0010724366192968865,0.012472047254777706,1.32645238109131e-05,2.8576163591585345e-05,1.1222433782431628e-05,1.4984310682101427e-05,-0.001071493438605694,-0.0019927971042976093,-0.003052665684734571,-0.0,-0.0,-5.3808422267115904e-17,0.264908109375,0.20833355744413362,0.07531726710631945
6,0.0002932410436331977,-0.0012507534390403569,-0.0011883622756010369,0.014203967884709696,1.4736784302439769e-05,3.599502075303386e-05,1.7087906189359117e-05,1.5263550458311036e-05,-0.0012320807022374032,-0.0021780213467271527,-0.003398252868048104,-0.0,-0.0,-5.846482729870962e-17,0.30166270390624994,0.25723651853297075,0.09424410611555992
7,0.0003268131764324289,-0.0014105113133976283,-0.0012935710653746782,0.015849148839887566,1.6290169056953168e-05,4.3333309776048935e-05,2.2800875794599835e-05,1.550746218386446e-05,-0.0013865781707144652,-0.0023309003103287613,-0.0037054454243501123,-0.0,-0.0,-6.259706786412025e-17,0.3365795687109374,0.30684273593828354,0.11383112834353859
8,0.0003585451145264617,-0.001564556218149659,-0.0013888846352615853,0.01741193649990967,1.7915488474679173e-05,5.0581646226424486e-05,2.8360566407896296e-05,1.5718341294168465e-05,-0.001535178793809623,-0.0024543303343753584,-0.003977329018845442,-0.0,-0.0,-6.466318814682558e-17,0.36975059027539053,0.3564873413718647,0.13380433755915452
9,0.0003885377381574515,-0.0017130414322883934,-0.0014750688137159021,0.018896456821973287,1.960413431174231e-05,5.7732744475035644e-05,3.3767278077682975e-05,1.5900112649017562e-05,-0.0016780726736450719,-0.0025509895920628927,-0.004216768571249459,-0.0,-0.0,-6.60224683211836e-17,0.401263060761621,0.4056646521146014,0.15393958561825682
10,0.00041688616717544037,-0.0018561199347573412,-0.001552836639185549,0.02030662847860147,2.134852089055374e-05,6.478087572518154e-05,3.902180815235877e-05,1.605682310598299e-05,-0.0018154462566917517,-0.0026233531365394787,-0.004426422479812955,-0.0,-0.0,-1.0764205941943339e-16,0.43119990772353994,0.45399502308941264,0.17405465768790906
11,0.0004436801954864493,-0.001993943907151613,-0.0016228517563826234,0.021646173566456404,2.314212206602939e-05,7.172171483599376e-05,4.412532049937686e-05,1.619242057612457e-05,-0.0019474820907039994,-0.0026737069133067823,-0.004608756373858144,-0.0,-0.0,-1.233512697229505e-16,0.4596399123373629,0.5011983941421065,0.194002566621516
12,0.0004690045953534055,-0.002126664367198867,-0.0016857316900849846,0.02291862748521853,2.497944882981326e-05,7.855226072014616e-05,4.9079290963422676e-05,1.6310744462538936e-05,-0.0020743586956348628,-0.002704160847101258,-0.004766056055267622,1.2680649463279378e-17,-0.0,-1.6642678225904915e-16,0.48665791672049474,0.5470731901358334,0.21366587396416076
13,0.00049293938625048,-0.002254430856782075,-0.0017420509275153644,0.024127348269938096,2.685602424992133e-05,8.52707786354843e-05,5.3885467866295656e-05,1.64155514764701e-05,-0.0021962504727857882,-0.002716661069312533,-0.004900439619716351,7.447322573970689e-17,-0.0,-1.8549599296042516e-16,0.51232502088447,0.5914795001701305,0.23295188254511837
14,0.0005155600844069802,-0.0023773911694624098,-0.0017923438087813297,0.0252755254434465,2.8768365262381027e-05,9.18767559919978e-05,5.8545837307449364e-05,1.6510548262939693e-05,-0.0023133276381203573,-0.0027130013421799424,-0.0050138687998387485,1.3008654438849163e-16,-0.0,-2.0196013821964285e-16,0.5367087698402464,0.634325677139199,0.2517885689302002
15,0.0005369379362374945,-0.002495691112701591,-0.0018371072354345477,0.026366188418790862,3.07139731777414e-05,9.837087049226472e-05,6.306259139005365e-05,1.659942647109753e-05,-0.0024257561759341876,-0.0026948337316648305,-0.005108159578370286,1.801385311723979e-16,-0.0,-2.0811714019805836e-16,0.559873331348234,0.6755576707505822,0.2701211438161554
16,0.0005571401366730478,-0.002609474301858168,-0.0018768032083445454,0.02740221447461747,3.269133359545675e-05,0.0001047549707098611,6.743809887816819e-05,1.6685899908704562e-05,-0.0025336978108982354,-0.00266367857763304,-0.005184992117856834,2.251853192779136e-16,-0.0,-2.1119564118726611e-16,0.5818796647808223,0.7151505446418137,0.2879091452839989
