dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model,run
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.4259412724108921,0.52,0.0,0.003844544744185,-0.0510250653634717,29,-0.026334317606744,2,-0.0549202984168444,-0.0072795213903107,-0.051700576060065,0.0506168816307731,3.0,,baseline_c_based_h49
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.5451758742807641,0.52,0.0,-0.0001506999218977,0.075384759368761,46,0.0444489250396069,2,0.0811396017059931,0.0109976786246138,0.0763827632115971,0.0777250914447678,18.0,,baseline_c_based_h49
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8456717016477057,0.96,0.0,0.0004299991061211,-0.0431601504297775,24,-0.042945453896272,48,-0.2571294918355467,-0.042945453896272,-0.2158908530721185,0.1275760180872429,,,baseline_c_based_h49
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6041807666380213,0.96,0.0,0.0023135019679142,0.0637489911348619,48,-0.0423541742253943,48,0.3797888916584181,0.0216347820142919,0.3188780377627428,0.208230378227965,1.0,,baseline_c_based_h49
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.1514385754815371,0.84,0.0,-0.0160633151498368,-0.0510250653634717,17,-0.0339497309833431,2,-0.0549202984168444,0.0060631442752831,-0.051700576060065,0.0431378551800664,2.0,,baseline_c_based_h49
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,0.2785140073618766,0.56,0.0,0.0005420658682156,0.075384759368761,48,-0.0387513365244412,2,0.0811396017059931,-0.0038755995448703,0.0763827632115971,0.0761898962803976,,,baseline_c_based_h49
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1304946750685931,0.48,0.0,-0.0066295712547564,-0.0431601504297775,6,-0.0399033150127451,48,-0.2571294918355467,0.0053756081866794,-0.2158908530721185,0.1486546674037124,2.0,,baseline_c_based_h49
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.2386625315927763,1.0,0.04,0.0413165057532263,0.0637489911348619,39,0.0969026949954573,48,0.3797888916584181,0.0326105575482093,0.3188780377627428,0.1853237020663121,2.0,,baseline_c_based_h49
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971,-0.1213442482979343,0.0,0.24,0.0483479483551631,-0.0510341176556059,8,0.6360724223308901,2,-0.0549300417573345,0.3866825838109568,-0.0517097481936952,0.4498438802096246,34.0,,baseline_c_based_h49
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115305629408613,0.1805827300229731,0.04,0.12,0.0032104263575938,0.0753979445821326,48,0.5213783391235606,2,0.0811537934732726,-0.1186735052688556,0.0763961229813874,0.3189456370834872,,,baseline_c_based_h49
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.2561451412127594,1.0,0.96,-0.0486968576420772,-0.0431678069382088,7,-0.4435586264429097,48,-0.2571751059982077,-0.3094631579151077,-0.2159291515979655,0.1316106718397916,37.0,,baseline_c_based_h49
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.3073827994372843,0.96,0.96,0.019707426734624,0.063760134616347,33,0.5802097682070637,48,0.3798552796969911,0.0937361319453684,0.3189337784332469,0.1048759362601602,35.0,,baseline_c_based_h49
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.2474343354542031,0.52,0.56,0.003844544744185,-0.0198870391364836,29,-0.026334317606744,0,-0.0198870391364836,-0.0072795213903107,-0.0121381177357069,0.0121787200885454,3.0,,tuned_c_based_h49
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.1949685345497414,0.52,0.92,-0.0001506999218977,0.0070307951272922,46,0.0444489250396069,0,0.0070307951272922,0.0109976786246138,0.0042912682197192,0.0065571028335395,18.0,,tuned_c_based_h49
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8395352119677061,0.96,0.12,0.0004299991061211,-0.0164336792763347,24,-0.042945453896272,48,-0.0881323841676539,-0.042945453896272,-0.0736255134258748,0.0291156552426954,,,tuned_c_based_h49
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6060307914397858,0.96,1.0,0.0023135019679142,0.0058084399649722,48,-0.0423541742253943,48,0.0311501553486503,0.0216347820142919,0.0260227407042269,0.0073911667297718,1.0,,tuned_c_based_h49
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.0304881661156774,0.84,0.72,-0.0160633151498368,-0.0198870391364836,17,-0.0339497309833431,0,-0.0198870391364836,0.0060631442752831,-0.0121381177357069,0.0084342575608775,2.0,,tuned_c_based_h49
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.0513999456793685,0.56,0.88,0.0005420658682156,0.0070307951272922,48,-0.0387513365244412,0,0.0070307951272922,-0.0038755995448703,0.0042912682197192,0.0084854854851464,,,tuned_c_based_h49
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1282972428609143,0.48,0.16,-0.0066295712547564,-0.0164336792763347,6,-0.0399033150127451,48,-0.0881323841676539,0.0053756081866794,-0.0736255134258748,0.0503947882357319,2.0,,tuned_c_based_h49
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.2436865426278348,1.0,0.84,0.0413165057532263,0.0058084399649722,39,0.0969026949954573,48,0.0311501553486503,0.0326105575482093,0.0260227407042269,0.0173455766400581,2.0,,tuned_c_based_h49
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971,0.2994520329927439,0.0,0.32,0.0483479483551631,-0.0198905672708753,8,0.6360724223308901,0,-0.0198905672708753,0.3866825838109568,-0.0121402711437803,0.4097388926675238,34.0,,tuned_c_based_h49
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115305629408613,0.4995015423340077,0.04,0.76,0.0032104263575938,0.0070320248524343,48,0.5213783391235606,0,0.0070320248524343,-0.1186735052688556,0.00429201878638,0.2451627844549384,,,tuned_c_based_h49
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.2476450249996578,1.0,0.8,-0.0486968576420772,-0.0164365945721037,7,-0.4435586264429097,48,-0.0881480186438022,-0.3094631579151077,-0.0736385744175231,0.2132207371943381,37.0,,tuned_c_based_h49
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.3029561190319161,0.96,1.0,0.019707426734624,0.0058094552946591,33,0.5802097682070637,48,0.0311556004729292,0.0937361319453684,0.0260272895437311,0.1172619007711502,35.0,,tuned_c_based_h49
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.208336567417161,0.52,0.36,0.003844544744185,-0.0282292049608165,29,-0.026334317606744,0,-0.0282292049608165,-0.0072795213903107,-0.0176410565729502,0.0166698499381953,3.0,,candidate_wrich_c_based_h49_tmp
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.1446360784837272,0.52,0.56,-0.0001506999218977,0.016534851174852,46,0.0444489250396069,0,0.016534851174852,0.0109976786246138,0.010332995399826,0.010506221358028,18.0,,candidate_wrich_c_based_h49_tmp
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8345957730772648,0.96,0.0,0.0004299991061211,-0.0279016908224091,24,-0.042945453896272,48,-0.0946313550370645,-0.042945453896272,-0.0782639627227344,0.0354844696472625,,,candidate_wrich_c_based_h49_tmp
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6098920745183769,0.96,0.36,0.0023135019679142,0.0163388899903701,48,-0.0423541742253943,48,0.0554149678394584,0.0216347820142919,0.0458304224384216,0.0216455853693017,1.0,,candidate_wrich_c_based_h49_tmp
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.0520523721021402,0.84,0.68,-0.0160633151498368,-0.0282292049608165,17,-0.0339497309833431,0,-0.0282292049608165,0.0060631442752831,-0.0176410565729502,0.0110388148943877,2.0,,candidate_wrich_c_based_h49_tmp
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.0701507774006596,0.56,0.68,0.0005420658682156,0.016534851174852,48,-0.0387513365244412,0,0.016534851174852,-0.0038755995448703,0.010332995399826,0.0103396539509218,,,candidate_wrich_c_based_h49_tmp
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1264755328883782,0.48,0.08,-0.0066295712547564,-0.0279016908224091,6,-0.0399033150127451,48,-0.0946313550370645,0.0053756081866794,-0.0782639627227344,0.056563118963732,2.0,,candidate_wrich_c_based_h49_tmp
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.2500351878974871,1.0,1.0,0.0413165057532263,0.0163388899903701,39,0.0969026949954573,48,0.0554149678394584,0.0326105575482093,0.0458304224384216,0.0112388592987201,2.0,,candidate_wrich_c_based_h49_tmp
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971,0.3006386067651693,0.0,0.32,0.0483479483551631,-0.0282342130682672,8,0.6360724223308901,0,-0.0282342130682672,0.3866825838109568,-0.0176441862504237,0.4152965784497271,34.0,,candidate_wrich_c_based_h49_tmp
