dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.4259412724108921,0.52,0.0,0.003844544744185,-0.05102506536347175,29,-0.026334317606744,2,-0.05492029841684446,-0.0072795213903107,-0.05170057606006507,0.050616881630773165,3.0,
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.5451758742807641,0.52,0.0,-0.0001506999218977006,0.075384759368761,46,0.0444489250396069,2,0.08113960170599317,0.0109976786246138,0.07638276321159718,0.07772509144476783,18.0,
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8456717016477057,0.96,0.0,0.00042999910612112895,-0.04316015042977756,24,-0.042945453896272,48,-0.2571294918355467,-0.042945453896272,-0.21589085307211858,0.12757601808724295,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6041807666380213,0.96,0.0,0.0023135019679142,0.06374899113486195,48,-0.0423541742253943,48,0.37978889165841817,0.0216347820142919,0.3188780377627428,0.20823037822796509,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.1514385754815371,0.84,0.0,-0.0160633151498368,-0.05102506536347175,17,-0.0339497309833431,2,-0.05492029841684446,0.0060631442752831,-0.05170057606006507,0.043137855180066485,2.0,
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,0.27851400736187665,0.56,0.0,0.0005420658682156112,0.075384759368761,48,-0.0387513365244412,2,0.08113960170599317,-0.0038755995448703,0.07638276321159718,0.07618989628039763,,
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.13049467506859314,0.48,0.0,-0.0066295712547564,-0.04316015042977756,6,-0.0399033150127451,48,-0.2571294918355467,0.0053756081866794,-0.21589085307211858,0.1486546674037124,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.23866253159277637,1.0,0.04,0.0413165057532263,0.06374899113486195,39,0.0969026949954573,48,0.37978889165841817,0.0326105575482093,0.3188780377627428,0.1853237020663121,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971099,-0.12134424829793432,0.0,0.24,0.0483479483551631,-0.051034117655605934,8,0.6360724223308901,2,-0.05493004175733456,0.3866825838109568,-0.05170974819369523,0.4498438802096246,34.0,
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.011530562940861399,0.18058273002297315,0.04,0.12,0.0032104263575938,0.07539794458213263,48,0.5213783391235606,2,0.08115379347327266,-0.1186735052688556,0.07639612298138741,0.3189456370834872,,
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.2561451412127594,1.0,0.96,-0.0486968576420772,-0.04316780693820889,7,-0.4435586264429097,48,-0.25717510599820775,-0.3094631579151077,-0.21592915159796552,0.1316106718397916,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.30738279943728436,0.96,0.96,0.019707426734624,0.06376013461634705,33,0.5802097682070637,48,0.3798552796969911,0.0937361319453684,0.31893377843324694,0.10487593626016029,35.0,
