draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,chi_R_neg
1056,0.1769908677826341,0.0009592615975470084,0.015,0.16103160618508708,-2.5485640617456196,-1.7971635417274547,0.013810661223638662,0.021165026980453475,0.24634607877198758,0.018253410986234453,0.009367911461042867,0.40301861787402476,1.6567156203557127,0.3493867290458776,0.6371695757619069,0.40352408596438466,0.48071689656910277,0.05456900153591574,0.37847772294490817,0.23929538969373362
900,0.18825243642022635,0.0017727567540518402,0.015,0.1714796796661745,-2.695525371844671,-1.9232932374588132,0.03180736166380224,0.0304457071639905,0.23617709235971704,0.04766667983722558,0.015948043490378906,0.44592080790883176,1.6067661666719437,0.3776715806953434,0.8597079342002486,0.9558882653515384,0.8939947061865424,0.056706016192900874,0.37635768035517825,0.9383315666504669
162,0.19172024068544075,0.006744211257201368,0.015,0.1699760294282394,-3.810517710070266,-3.342943181604292,0.06602323990911954,0.06373213316058819,0.24646735992718316,0.09564014688367356,0.036406332934565536,0.42795840407166247,1.8683580721301027,0.2035318792346887,0.9497345949203724,0.6233815977983956,0.1512811957880885,0.20733125106251366,0.3381645156468818,1.9762169141774684
78,0.20258515465691718,0.002036130764376682,0.015,0.1855490238925405,-3.6358624916219915,-2.8126855557036428,0.03642777417145696,0.03428158303292831,0.23733371045333085,0.05158126003093038,0.02127428831198355,0.4197135132799898,1.8316166879596745,0.06811099312815874,0.6160208463888903,0.46732529582335813,0.15570086883062506,0.11922828217882296,0.2774003885782717,0.8501678776686014
624,0.2044028765786243,0.0021938730947036996,0.015,0.1872090034839206,-4.840219774625991,-3.937703082801966,0.039360898064881376,0.03681772422001496,0.24051419427100837,0.05151917659301762,0.027202619536745132,0.43770806383566613,1.7109880211164263,0.32616643055782685,0.9438096479471091,0.7423491134502724,0.3741559586480297,0.22751516567986987,0.17741282148823861,0.7612260146916384
342,0.20814718549855515,0.0014949020571216678,0.015,0.19165228344143348,-3.8771562553094996,-2.752043653886059,0.028531133837186376,0.02736623306126585,0.24215049405783706,0.03817097455365114,0.018891293120721606,0.42362669505660455,1.4263270917735278,0.31157798200315373,0.928792713976643,0.33863602131198733,0.7603709967133059,0.10036929587117963,0.17953531103381137,0.5152574112239126
498,0.21035571940898382,0.0013513694745553731,0.015,0.19400434993442844,-3.038354597731292,-2.417816237026273,0.024769706910640052,0.024643595028584046,0.23966121457924813,0.03663990995461172,0.012899503866668384,0.4882182427808443,1.3229922483577377,0.309359759675214,0.6144926581095492,0.6765582241003537,0.5894956697555005,0.0828262953740306,0.44311854792285793,0.4905993263196553
42,0.21328312347670209,0.0075130669404849205,0.015,0.19077005653621718,-2.8195323465872626,-1.6390352663598946,0.06833885875030811,0.06619032259050353,0.24821607509641963,0.10305068597505056,0.033627031525565655,0.4651632174693728,1.6459072546243303,0.2657173370767468,0.6475494545506939,0.70001543997907,0.6831819103396315,0.012952644613264681,0.24898626244720343,2.0809588268711705
852,0.21809342643161334,0.005817915076568596,0.015,0.19727551135504473,-2.7646442769603525,-2.0954665475745093,0.05966028599992426,0.057689735198655764,0.23960335749324585,0.09379653780304958,0.025524034196798946,0.5391852724337461,1.8793802269660302,0.10653537382956067,0.9082073541589524,0.3996794258941175,0.7836985789570632,0.05457482631749153,0.4848920562474368,1.7463703757788416
888,0.21846657577785014,0.0019136226617661935,0.015,0.20155295311608395,-4.307946880064814,-4.167260467290109,0.03430313029950222,0.03210771691901429,0.23760344938024602,0.049003112963456816,0.01960314763554763,0.4509978357220016,1.0717988300415766,0.22260752345003215,0.8239133546565324,0.9022420788168523,0.6303268490805525,0.2436721038995256,0.4408224183404147,0.6153766227693077
744,0.2194099544103309,0.00765249419800513,0.015,0.19675746021232576,-4.2147110780005725,-4.094883263596055,0.07129203398855408,0.06892020459732709,0.2459626348923731,0.10532930484056775,0.037254763136540414,0.5416084412756883,1.8553882052067001,0.1782664027926361,0.6633073823216753,0.3380224844947466,0.6407461431225654,0.24601116428234937,0.4520654685492896,1.7850509619673927
792,0.2267752697505441,0.0015120096968092077,0.015,0.21026326005373489,-4.2919629694675,-3.8332171818941085,0.025019786209203147,0.026411020006453755,0.24209330558231906,0.0345275321387016,0.015512040279704695,0.5316853107638924,1.406765908686748,0.3100319259394329,0.753042571584651,0.7465931366855413,0.6203348247577298,0.18754599078425438,0.37058287676275603,0.30608991517686723
1182,0.22794949818936017,0.006162501870522944,0.015,0.20678699631883724,-4.111008265795361,-3.1219095558853716,0.06649311608050694,0.06400318618500053,0.24352621057311916,0.0946319929590094,0.038354239202004474,0.517943375978156,1.7398956186912957,0.29145890868257035,0.6213407713923532,0.8435152406899308,0.5304685093059213,0.11863573511513233,0.23343514864130394,1.5559121594582004
1176,0.23151526433485517,0.0016469581460948127,0.015,0.21486830618876035,-3.273686902758936,-2.2291305410994857,0.03020098493807989,0.029083159699005517,0.23804962004499416,0.04385435821204772,0.016547611664112057,0.4166235911516217,0.4982012571350581,0.3769604568677824,0.9183530103971053,0.6556916884922319,0.9234635026631206,0.04517970469655224,0.297209202402777,0.5397331033569036
594,0.23535662855303838,0.0018268640864275742,0.015,0.2185297644666108,-4.0708405930176506,-3.5226547406919275,0.03265241415743361,0.03093020199361679,0.23771631067389618,0.04690493305482854,0.018399895260038678,0.5487967957769788,1.6053028562834888,0.1602549961160657,0.8095854639720429,0.6030080201969035,0.10497251927256615,0.14787092644939784,0.3838527083714184,0.518925720580651
384,0.2354359113182721,0.00391199975000673,0.015,0.21652391156826536,-3.9585950622916437,-3.0094542312064236,0.05352070648141599,0.05105755349347914,0.2356469526726795,0.07710062581827842,0.02994078714455356,0.4946938650256083,1.123697409620388,0.3131893132859011,0.8031342918951714,0.8904026073158472,0.19320751431294353,0.10142568353167218,0.27274363255308237,1.1375807100858593
120,0.23915437670769035,0.006421781117934327,0.015,0.21773259558975602,-3.5466487097570214,-2.3366699646587907,0.06702412246673746,0.06459653101954795,0.24353520482730287,0.0979398185161812,0.036108426417293706,0.4760809885638271,1.516371032011187,0.07281054190448889,0.7521244101610464,0.9790544702081028,0.26370219974627335,0.046951259818630346,0.23448815297152503,1.5872044623276673
684,0.24130562324354185,0.004313653154149938,0.015,0.22199197008939192,-5.360469646568861,-4.251680785926883,0.05905963620144879,0.05638991035759089,0.23877815786128173,0.07846346000262164,0.03965581240027594,0.4194642482996382,1.4361524434922988,0.1077611101221553,0.856002678227686,0.8099470698205158,0.15043149086622232,0.1947409490714174,0.1634737602621916,1.0349102996793957
840,0.24348404908796176,0.005025642021035497,0.015,0.22345840706692627,-6.059962610877048,-4.544147898465049,0.06564298389544979,0.06293242178038469,0.24338292352715551,0.08170261452254027,0.04958335326835932,0.42490687380040015,1.117861978021547,0.3374259270431191,0.8999535656588523,0.5976968371101605,0.2667023018728354,0.21723626639138865,0.06611927566073146,1.0581345404859857
732,0.24416826154153995,0.005890470115383588,0.015,0.22327779142615636,-4.060503218656167,-3.5799655062409124,0.06438241689152598,0.061966641893296634,0.2386720406065882,0.09596136274349101,0.03280347103956094,0.47112008868457367,0.9207292307053839,0.1740946156649698,0.6134829486941102,0.4870889136219112,0.7391209285291843,0.14870693713831007,0.4108370485077739,1.4024513065138358
102,0.24421930482873405,0.012899226099223931,0.015,0.21632007872951012,-4.156421827578041,-3.819711795620765,0.0908670917094446,0.08845842451779493,0.2588430123334779,0.1361695225373184,0.04556466088157078,0.545496896133221,1.6390135113155269,0.09641206676805235,0.7612914932108882,0.6059043239620058,0.3084701270697282,0.18045884832063677,0.4316139387250138,2.1989803356533724
