dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.24743433545420312,0.52,0.56,0.003844544744185,-0.01988703913648364,29,-0.026334317606744,0,-0.01988703913648364,-0.0072795213903107,-0.012138117735706921,0.012178720088545463,3.0,
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.19496853454974145,0.52,0.92,-0.0001506999218977006,0.007030795127292269,46,0.0444489250396069,0,0.007030795127292269,0.0109976786246138,0.004291268219719278,0.006557102833539542,18.0,
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8395352119677061,0.96,0.12,0.00042999910612112895,-0.01643367927633476,24,-0.042945453896272,48,-0.08813238416765391,-0.042945453896272,-0.0736255134258748,0.02911565524269549,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.6060307914397858,0.96,1.0,0.0023135019679142,0.005808439964972239,48,-0.0423541742253943,48,0.03115015534865033,0.0216347820142919,0.026022740704226915,0.007391166729771807,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.03048816611567742,0.84,0.72,-0.0160633151498368,-0.01988703913648364,17,-0.0339497309833431,0,-0.01988703913648364,0.0060631442752831,-0.012138117735706921,0.008434257560877572,2.0,
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.0115285465340016,-0.051399945679368536,0.56,0.88,0.0005420658682156112,0.007030795127292269,48,-0.0387513365244412,0,0.007030795127292269,-0.0038755995448703,0.004291268219719278,0.008485485485146433,,
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.12829724286091435,0.48,0.16,-0.0066295712547564,-0.01643367927633476,6,-0.0399033150127451,48,-0.08813238416765391,0.0053756081866794,-0.0736255134258748,0.05039478823573197,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135063367525997,0.24368654262783487,1.0,0.84,0.0413165057532263,0.005808439964972239,39,0.0969026949954573,48,0.03115015534865033,0.0326105575482093,0.026022740704226915,0.01734557664005816,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971099,0.2994520329927439,0.0,0.32,0.0483479483551631,-0.019890567270875334,8,0.6360724223308901,0,-0.019890567270875334,0.3866825838109568,-0.012140271143780386,0.4097388926675238,34.0,
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,1.0,0.011530562940861399,0.49950154233400773,0.04,0.76,0.0032104263575938,0.00703202485243435,48,0.5213783391235606,0,0.00703202485243435,-0.1186735052688556,0.004292018786380042,0.2451627844549384,,
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.24764502499965788,1.0,0.8,-0.0486968576420772,-0.01643659457210375,7,-0.4435586264429097,48,-0.08814801864380224,-0.3094631579151077,-0.07363857441752317,0.21322073719433812,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,1.0,0.0135086976937041,0.3029561190319161,0.96,1.0,0.019707426734624,0.005809455294659106,33,0.5802097682070637,48,0.031155600472929264,0.0937361319453684,0.02602728954373115,0.11726190077115026,35.0,
