t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.00014657902241188572,4.100450900966092e-05,0.00029111319680065543,0.0004128286680870948,7.681274171374246e-05,-0.0001619848110878298,-0.00013033199420367162,-0.0002862492050717973,5.778206959805345e-05,0.00040428424988360457,0.00045286540479477284,-0.0,-0.0,-0.0,-0.0,9.778049733462711e-05,6.70158463661858e-05
1,-6.801519711921409e-05,-8.93274851940107e-05,2.1166375023195732e-05,-0.00018144347897766527,-3.1652816884158076e-05,8.711593094014827e-05,7.245317627685149e-05,0.00012221834397248022,-8.175083929250336e-05,0.000357114508239377,0.00027559707192519137,-0.0,-0.0,-0.0,-0.0,3.6462266696926246e-05,2.978473763444673e-05
2,2.3013010993589412e-05,-1.6874308917159195e-05,9.751754435446258e-05,6.816895943870881e-05,1.466275466329696e-05,-2.9278765619562774e-05,-2.5586323353832922e-05,-4.845840599879503e-05,-9.06426003733412e-06,0.0003466115118749337,0.00033684415248221613,-0.0,-0.0,-0.0,-0.0,4.4990761737330616e-05,3.577336188468184e-05
3,-1.2606375507952753e-05,-4.246063227099212e-05,6.149668838946091e-05,-2.9902348690694926e-05,-3.6924422657297815e-06,1.625537775886603e-05,1.2839744774643706e-05,1.874459786645934e-05,-3.5353682746550436e-05,0.000323313661373269,0.00028765991613512664,-0.0,-0.0,-0.0,-0.0,2.918204562823311e-05,2.6063124643293843e-05
4,1.6144555424249616e-06,-2.962088749634841e-05,7.004455591222135e-05,8.874376504289673e-06,3.415632984222624e-06,-1.9344342841643213e-06,-2.4416623912846428e-06,-7.689841734633778e-06,-2.2814000463498593e-05,0.0003065982277300719,0.0002833579813642,-0.0,-0.0,-0.0,-0.0,2.547637783054813e-05,2.36482660435187e-05
5,-3.794517641161737e-06,-3.206254988763305e-05,6.136580454355318e-05,-6.22597000635484e-06,5.072281071201894e-07,4.974353122977539e-06,3.4265273729568837e-06,2.733070606776077e-06,-2.5681908757156288e-05,0.0002887507153893434,0.00026272286384642105,-0.0,-0.0,-0.0,-0.0,1.9023327392290894e-05,1.930948759334719e-05
6,-1.4872555706904654e-06,-2.8636022514676167e-05,5.976699334227723e-05,-1.2793549579796603e-07,1.5478257500205395e-06,2.0177751312502894e-06,9.779165623930427e-07,-1.3531222166889998e-06,-2.2601324169965417e-05,0.0002727256357911181,0.0002497756660658422,-0.0,-0.0,-0.0,-0.0,1.5263361900323673e-05,1.653292526790377e-05
7,-2.227349254300979e-06,-2.7658105952283126e-05,5.5663494496700896e-05,-2.3828657933670672e-06,1.0398585688573496e-06,2.95785983643852e-06,1.8108628851231474e-06,2.7095490285357826e-07,-2.1972053162882976e-05,0.0002572825013530328,0.00023499014374599105,-0.0,-0.0,-0.0,-0.0,1.1730982511780321e-05,1.3824955079056073e-05
8,-1.7773734065156394e-06,-2.584724306715998e-05,5.281217786859414e-05,-1.3580095743370905e-06,1.1469969513153923e-06,2.3767237705630928e-06,1.3594780264036036e-06,-3.5357481304637865e-07,-2.0481494721918518e-05,0.00024283646643998239,0.00022204925070839205,-0.0,-0.0,-0.0,-0.0,9.137594603169084e-06,1.1670373802464347e-05
9,-1.804767322013888e-06,-2.4487765040756377e-05,4.971921020706726e-05,-1.6318917913398095e-06,1.0172457441595657e-06,2.4062924170381703e-06,1.4206120645829598e-06,-9.381823806662832e-08,-1.9427737705186728e-05,0.00022915510037191627,0.00020944018914970973,-0.0,-0.0,-0.0,-0.0,6.9959873767150885e-06,9.790719724992741e-06
10,-1.6526752524472888e-06,-2.3067152976173417e-05,4.6958431231905396e-05,-1.40183733160763e-06,9.856803524552258e-07,2.2067086998544456e-06,1.2865811236364e-06,-1.829256580897112e-07,-1.829429915762368e-05,0.0002162647719599265,0.00019769891671864251,-0.0,-0.0,-0.0,-0.0,5.3322789926735926e-06,8.221149015917922e-06
11,-1.579179345838515e-06,-2.178057185253702e-05,4.429058200234873e-05,-1.3770200166665837e-06,9.201275762181055e-07,2.1079326908238225e-06,1.2355802648469316e-06,-1.3544934572716653e-07,-1.7279274117647636e-05,0.00020409365143595113,0.0001865582993947217,-0.0,-0.0,-0.0,-0.0,4.003737115298762e-06,6.884567703235085e-06
12,-1.4822425152887376e-06,-2.0544991587690086e-05,4.179721474283639e-05,-1.2779005792994668e-06,8.723524259768172e-07,1.979486360166986e-06,1.1577550335655211e-06,-1.4243381159214823e-07,-1.629977177638255e-05,0.00019261202857326189,0.0001760704919416667,-0.0,-0.0,-0.0,-0.0,2.9606579190001425e-06,5.757584062045374e-06
