t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,0.00014657902241188572,4.100450900966092e-05,0.00029111319680065543,0.0004128286680870948,7.681274171374246e-05,-0.0001619848110878298,-0.00013033199420367162,-0.0002862492050717973,5.778206959805345e-05,0.00040428424988360457,0.00045286540479477284,-0.0,-0.0,-0.0,-0.0,9.778049733462711e-05,6.70158463661858e-05
1,7.856382529267163e-05,-4.8322976184349774e-05,0.0003122795718238512,0.0002313851891094295,4.515992482958439e-05,-7.486888014768152e-05,-5.787881792682012e-05,-0.00016403086109931708,-2.3968769694449904e-05,0.0007613987581229816,0.0007284624767199642,-0.0,-0.0,-0.0,-0.0,0.00013424276403155335,9.680058400063253e-05
2,0.00010157683628626104,-6.519728510150896e-05,0.00040979711617831376,0.0002995541485481383,5.9822679492881345e-05,-0.00010414764576724429,-8.346514128065304e-05,-0.0002124892670981121,-3.3033029731784025e-05,0.0011080102699979153,0.0010653066292021804,-0.0,-0.0,-0.0,-0.0,0.00017923352576888397,0.00013257394588531436
3,8.897046077830829e-05,-0.00010765791737250109,0.00047129380456777467,0.0002696517998574434,5.6130237227151564e-05,-8.789226800837826e-05,-7.062539650600934e-05,-0.00019374466923165277,-6.838671247833446e-05,0.0014313239313711844,0.0013529665453373071,-0.0,-0.0,-0.0,-0.0,0.00020841557139711708,0.0001586370705286082
4,9.058491632073325e-05,-0.0001372788048688495,0.000541338360479996,0.0002785261763617331,5.954587021137419e-05,-8.982670229254258e-05,-7.306705889729398e-05,-0.00020143451096628654,-9.120071294183306e-05,0.0017379221591012563,0.0016363245267015073,-0.0,-0.0,-0.0,-0.0,0.0002338919492276652,0.0001822853365721269
5,8.679039867957152e-05,-0.00016934135475648256,0.0006027041650235492,0.0002723002063553782,6.005309831849438e-05,-8.485234916956504e-05,-6.96405315243371e-05,-0.00019870144035951046,-0.00011688262169898935,0.0020266728744906,0.0018990473905479283,-0.0,-0.0,-0.0,-0.0,0.0002529152766199561,0.0002015948241654741
6,8.530314310888106e-05,-0.00019797737727115874,0.0006624711583658264,0.00027217227085958026,6.160092406851492e-05,-8.283457403831475e-05,-6.866261496194405e-05,-0.00020005456257619946,-0.00013948394586895475,0.002299398510281718,0.0021488230566137703,-0.0,-0.0,-0.0,-0.0,0.0002681786385202798,0.00021812774943337786
7,8.307579385458008e-05,-0.00022563548322344186,0.0007181346528625273,0.0002697894050662132,6.264078263737228e-05,-7.987671420187623e-05,-6.68517520768209e-05,-0.00019978360767334587,-0.00016145599903183774,0.0025566810116347508,0.002383813200359761,-0.0,-0.0,-0.0,-0.0,0.0002799096210320601,0.00023195270451243394
8,8.129842044806445e-05,-0.00025148272629060185,0.0007709468307311215,0.0002684313954918761,6.378777958868768e-05,-7.749999043131315e-05,-6.54922740504173e-05,-0.00020013718248639223,-0.00018193749375375627,0.002799517478074733,0.0026058624510681533,-0.0,-0.0,-0.0,-0.0,0.0002890472156352292,0.0002436230783148983
9,7.949365312605056e-05,-0.00027597049133135825,0.0008206660409381888,0.00026679950370053627,6.480502533284724e-05,-7.509369801427498e-05,-6.407166198583434e-05,-0.00020023100072445886,-0.000201365231458943,0.0030286725784466496,0.002815302640217863,-0.0,-0.0,-0.0,-0.0,0.0002960432030119443,0.00025341379803989103
10,7.784097787360327e-05,-0.0002990376443075317,0.0008676244721700941,0.00026539766636892863,6.579070568530248e-05,-7.288698931442054e-05,-6.278508086219795e-05,-0.0002004139263825486,-0.00021965953061656667,0.003244937350406576,0.0030130015569365056,-0.0,-0.0,-0.0,-0.0,0.0003013754820046179,0.00026163494705580895
11,7.626179852776475e-05,-0.0003208182161600687,0.0009119150541724429,0.00026402064635226203,6.671083326152058e-05,-7.077905662359672e-05,-6.154950059735102e-05,-0.00020054937572827576,-0.0002369388047342143,0.003449031001842527,0.003199559856331227,-0.0,-0.0,-0.0,-0.0,0.00030537921911991665,0.00026851951475904403
12,7.477955601247602e-05,-0.0003413632077477588,0.0009537122689152793,0.0002627427457729626,6.75831856874974e-05,-6.879957026342973e-05,-6.0391745563785505e-05,-0.00020069180953986791,-0.0002532385765105969,0.0036416430304157888,0.0033756303482728937,-0.0,-0.0,-0.0,-0.0,0.0003083398770389168,0.0002742770988210894
13,7.337794980899281e-05,-0.00036075044430188333,0.0009931465796703524,0.0002615285982090688,6.840491701409886e-05,-6.692740319121936e-05,-5.929572740229566e-05,-0.0002008204485814075,-0.0002686223581086266,0.0038234199148772813,0.0035417953066624406,-0.0,-0.0,-0.0,-0.0,0.0003104778430365502,0.00027908085456566277
14,7.205672228673086e-05,-0.00037904166269451807,0.001030354528872658,0.00026038635152509797,6.918106592481949e-05,-6.516195443789673e-05,-5.826255999955245e-05,-0.0002009440930727645,-0.00028313826601908263,0.00399497344056609,0.003698617586450054,-0.0,-0.0,-0.0,-0.0,0.0003119714734691502,0.00028307950545278064
15,7.080967793220302e-05,-0.00039629971368440955,0.0010654596498468959,0.00025930735124931296,6.991334727539897e-05,-6.349504413643397e-05,-5.728687895042296e-05,-0.00020105986478824225,-0.0002968363445175351,0.004156880335482805,0.003846623166261639,-0.0,-0.0,-0.0,-0.0,0.000312961614139398,0.0002863984563363903
16,6.963331442713154e-05,-0.00041258208362517155,0.0010985805764805465,0.0002582898645740468,7.060457652773232e-05,-6.192194811410565e-05,-5.636614634052273e-05,-0.00020116944929227107,-0.00030976197857353474,0.00430968516297894,0.003986310534191619,-0.0,-0.0,-0.0,-0.0,0.00031356069053412755,0.00028914431867873517
17,6.852340520619567e-05,-0.00042794372095603334,0.0011298284132886891,0.00025732972454902455,7.125693994016052e-05,-6.0437027595640255e-05,-5.549697248912306e-05,-0.00020127270433123806,-0.00032195870552979014,0.004453901777998301,0.004118149366106194,-0.0,-0.0,-0.0,-0.0,0.00031385782201253103,0.00029140734691104447
18,6.747632577339912e-05,-0.00044243618443549546,0.0011593083010716567,0.00025642399637312364,7.187268660722616e-05,-5.9035424188437285e-05,-5.467654907512247e-05,-0.0002013701774230464,-0.000333467314783177,0.0045900152029159196,0.004242583285447504,-0.0,-0.0,-0.0,-0.0,0.00031392375948312686,0.0002932640631524099
19,6.648851377876825e-05,-0.000456108224500957,0.001187119301014555,0.0002555695186637376,7.245386660042859e-05,-5.771236877177447e-05,-5.3902071113909574e-05,-0.00020146211638131186,-0.00034432639694548456,0.004718483200607426,0.004360030890679691,-0.0,-0.0,-0.0,-0.0,0.00031381449943740917,0.00029477926904447946
20,6.555666466671341e-05,-0.00046900578660520565,0.0012133549123141706,0.0002547634628413671,7.300244405587859e-05,-5.6463430893394334e-05,-5.317095137909215e-05,-0.00020154886015107996,-0.00035457231144359134,0.004839737836850541,0.004470887345960521,-0.0,-0.0,-0.0,-0.0,0.0003135743046440487,0.0002960078409445039
21,6.467763866821898e-05,-0.00048117222897463687,0.001238103313615474,0.0002540030987712472,7.352026219944136e-05,-5.528439911502581e-05,-5.248072365990802e-05,-0.00020163068610472954,-0.00036423937267105865,0.0049541869243898695,0.004575525638096252,-0.0,-0.0,-0.0,-0.0,0.00031323806701568393,0.0002969962212084334
22,6.384848221244452e-05,-0.0004926484436248839,0.001261447687813988,0.000253285873343355,7.400906625862577e-05,-5.417130765919135e-05,-5.182906924148938e-05,-0.00020170787101720194,-0.00037335994035547207,0.005062215397930102,0.004674297859105369,-0.0,-0.0,-0.0,-0.0,0.00031283321638064007,0.0002977836982868759
23,6.306640498749785e-05,-0.0005034730038567124,0.0012834664900543114,0.00025260936616682407,7.447050329604159e-05,-5.312040634391061e-05,-5.121379560714645e-05,-0.00020178066755325007,-0.000381964538468168,0.005164186607136123,0.00476753637881751,-0.0,-0.0,-0.0,-0.0,0.0003123812375911278,0.0002984034887109238
