t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006125442809386673,-0.0001713551985357563,-0.0012165432738726937,-0.0017251843782509233,-0.0003209954935281149,0.0006769240782078955,0.0005446489979204335,0.0011962169661444769,-0.00024146754215368215,-0.0016894778056569949,-0.0018924953187538646,-0.0,-0.0,-0.0,-0.0,-0.0004086183919371503,-0.00028005489972856255
1,0.00028423112207161586,0.0003732937993846772,-8.845291608118691e-05,0.000758240596318592,0.00013227508028746288,-0.00036405185679358633,-0.00030277715074068914,-0.0005107425769000578,0.0003416314848235631,-0.0014923584975725442,-0.001151702388741876,-0.0,-0.0,-0.0,-0.0,-0.00015237346086605826,-0.00012446849758604762
2,-9.616988870133783e-05,7.051664864398804e-05,-0.00040751952839238856,-0.00028487368488777263,-6.127470605289726e-05,0.00012235407316888092,0.00010692359508714317,0.00020250455330884473,3.787895808997903e-05,-0.0014484671531639212,-0.0014076499882146997,-0.0,-0.0,-0.0,-0.0,-0.0001880134915884207,-0.00014949457208710565
3,5.2681230190381966e-05,0.0001774402437311312,-0.0002569906945059348,0.00012495998660469774,1.5430478081737006e-05,-6.793017525189627e-05,-5.3656465304563044e-05,-7.833246553746777e-05,0.00014774076003636538,-0.0013511069385292683,-0.001202112236693289,-0.0,-0.0,-0.0,-0.0,-0.0001219498865631397,-0.00010891611692415486
4,-6.746705586309005e-06,0.00012378377842656816,-0.0002927116815826181,-3.708544705205962e-05,-1.4273709947333623e-05,8.083876110777361e-06,1.0203549656387651e-05,3.2135352647099635e-05,9.533823653141621e-05,-0.0012812542194083909,-0.001184134728741997,-0.0,-0.0,-0.0,-0.0,-0.00010646413983635258,-9.882457858375537e-05
5,1.5857044492240493e-05,0.0001339873280829558,-0.000256443739355337,2.601792710809328e-05,-2.119673545610167e-06,-2.078750087640164e-05,-1.4319236895213005e-05,-1.1421325794340185e-05,0.0001073230403227815,-0.0012066706164247688,-0.001097901903512103,-0.0,-0.0,-0.0,-0.0,-7.949725824905462e-05,-8.069310327315879e-05
6,6.2151451082863655e-06,0.0001196680911877428,-0.00024976241046169344,5.346341856471637e-07,-6.46826398118874e-06,-8.432152135621016e-06,-4.08665024280093e-06,5.654610472942134e-06,9.44494760174532e-05,-0.0011397028423329434,-0.0010437963990259968,-0.0,-0.0,-0.0,-0.0,-6.378460495983129e-05,-6.90900283915363e-05
7,9.30794887921418e-06,0.00011558144094494187,-0.00023261415344417207,9.957842465818571e-06,-4.345501892820453e-06,-1.2360705487155642e-05,-7.567479204011471e-06,-1.1323030635910837e-06,9.181979306414674e-05,-0.0010751669795323673,-0.0009820086548543497,-0.0,-0.0,-0.0,-0.0,-4.902301931848513e-05,-5.777359562484764e-05
8,7.427528832839521e-06,0.0001080139617409304,-0.00022069868515305023,5.675034425341634e-06,-4.793226283144528e-06,-9.932175348655298e-06,-5.681170991817095e-06,1.477566339655082e-06,8.559084547400646e-05,-0.0010147979313382537,-0.0009279294974825278,-0.0,-0.0,-0.0,-0.0,-3.818541851083718e-05,-4.87697394312565e-05
9,7.542006238915908e-06,0.0001023327907491133,-0.00020777337277872783,6.819570545962457e-06,-4.251004356839187e-06,-1.0055740815224118e-05,-5.936646194484383e-06,3.920603660044351e-07,8.118726286390913e-05,-0.0009576243849294557,-0.0008752370424593852,-0.0,-0.0,-0.0,-0.0,-2.923578003600083e-05,-4.091478627115877e-05
10,6.9064232894854e-06,9.639614455462892e-05,-0.00019623625549997407,5.8581877962705e-06,-4.11909462073984e-06,-9.221693333410131e-06,-5.376539536691683e-06,7.644345272336242e-07,7.645069627558622e-05,-0.0009037565338668521,-0.0008261710222318563,-0.0,-0.0,-0.0,-0.0,-2.2283250001173067e-05,-3.4355651508538964e-05
11,6.599288635938942e-06,9.101960501793723e-05,-0.00018508748563453303,5.7544778377417346e-06,-3.845153796718866e-06,-8.808914762301376e-06,-5.163410237147928e-06,5.660340798904575e-07,7.220897209830415e-05,-0.0008528942061824248,-0.000779615100957404,-0.0,-0.0,-0.0,-0.0,-1.6731359180897796e-05,-2.877016440662076e-05
