t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,-0.0006125442809386673,-0.0001713551985357563,-0.0012165432738726937,-0.0017251843782509233,-0.0003209954935281149,0.0006769240782078955,0.0005446489979204335,0.0011962169661444769,-0.00024146754215368215,-0.0016894778056569949,-0.0018924953187538646,-0.0,-0.0,-0.0,-0.0,-0.0004086183919371503,-0.00028005489972856255
1,-0.00032831315886705146,0.0002019386008489209,-0.0013049961899538806,-0.0009669437819323312,-0.000188720413240652,0.0003128722214143092,0.00024187184717974433,0.0006854743892444191,0.00010016394266988094,-0.003181836303229539,-0.0030441977074957406,-0.0,-0.0,-0.0,-0.0,-0.0005609918528032085,-0.0004045233973146102
2,-0.0004244830475683893,0.0002724552494929089,-0.0017125157183462691,-0.001251817466820104,-0.00024999511929354925,0.0004352262945831901,0.0003487954422668875,0.0008879789425532638,0.00013804290075985996,-0.00463030345639346,-0.004451847695710441,-0.0,-0.0,-0.0,-0.0,-0.0007490053443916292,-0.0005540179694017159
3,-0.00037180181737800735,0.00044989549322404013,-0.001969506412852204,-0.0011268574802154063,-0.00023456464121181226,0.00036729611933129384,0.0002951389769623244,0.000809646477015796,0.0002857836607962253,-0.005981410394922729,-0.00565395993240373,-0.0,-0.0,-0.0,-0.0,-0.000870955230954769,-0.0006629340863258707
4,-0.00037854852296431636,0.0005736792716506083,-0.0022622180944348222,-0.001163942927267466,-0.0002488383511591459,0.00037537999544207123,0.0003053425266187121,0.0008417818296628957,0.00038112189732764155,-0.007262664614331119,-0.006838094661145727,-0.0,-0.0,-0.0,-0.0,-0.0009774193707911215,-0.0007617586649096261
5,-0.00036269147847207587,0.000707666599733564,-0.0025186618337901595,-0.0011379250001593726,-0.00025095802470475605,0.0003545924945656696,0.00029102328972349905,0.0008303605038685555,0.000488444937650423,-0.008469335230755888,-0.00793599656465783,-0.0,-0.0,-0.0,-0.0,-0.001056916629040176,-0.0008424517681827849
6,-0.00035647633336378953,0.0008273346909213068,-0.002768424244251853,-0.0011373903659737256,-0.0002574262886859448,0.0003461603424300486,0.0002869366394806981,0.0008360151143414977,0.0005828944136678762,-0.009609038073088832,-0.008979792963683828,-0.0,-0.0,-0.0,-0.0,-0.0011207012340000073,-0.0009115417965743211
7,-0.00034716838448457533,0.0009429161318662486,-0.003001038397696025,-0.001127432523507907,-0.0002617717905787652,0.000333799636942893,0.00027936916027668663,0.0008348828112779066,0.000674714206732023,-0.0106842050526212,-0.009961801618538177,-0.0,-0.0,-0.0,-0.0,-0.0011697242533184925,-0.0009693153921991688
8,-0.0003397408556517358,0.0010509300936071791,-0.0032217370828490754,-0.0011217574890825654,-0.00026656501686190973,0.0003238674615942377,0.0002736879892848695,0.0008363603776175618,0.0007603050522060294,-0.011699002983959454,-0.010889731116020705,-0.0,-0.0,-0.0,-0.0,-0.0012079096718293296,-0.0010180851316304253
9,-0.00033219884941281994,0.0011532628843562924,-0.003429510455627803,-0.001114937918536603,-0.00027081602121874893,0.00031381172077901356,0.00026775134309038514,0.0008367524379835662,0.0008414923150699386,-0.01265662736888891,-0.01176496815848009,-0.0,-0.0,-0.0,-0.0,-0.0012371454518653306,-0.001058999917901584
