t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.117368927866847e-05,-0.00017278743178571185,-0.0003452302614528122,0.0022709520773982928,-1.862604870587644e-05,1.9659543652466183e-19,-5.035309882299974e-06,6.24639600045589e-05,-0.0001817329082337911,-0.0004981965248740685,-0.0006684071178966929,-0.0,-0.0,-0.0,0.05,0.014989274607527948,0.004990986649372476
1,6.77236263967566e-05,-0.00017782274166801182,-0.00017342221204896108,0.0022953747649571564,5.0353098823000275e-06,-2.5124742619000062e-05,-1.5852497487789496e-05,-3.770490353289138e-05,-0.00017524590290492434,-0.0004329331438590267,-0.000607867821295746,-0.0,-0.0,-0.0,0.0475,0.02626650861870575,0.009011046483329361
2,3.630797885960302e-05,-0.00019367523915580131,-0.00018285191264845387,0.0021040954194941784,-9.272245131210969e-06,1.19859276314741e-05,1.5075588040729964e-05,1.636805282855138e-05,-0.00019078717492450876,-0.00038359568220320455,-0.0005738315785058871,-0.0,-0.0,-0.0,0.045125,0.034556897923515614,0.012178138834242276
3,4.521166302382892e-05,-0.00017859965111507135,-0.00015773980744507795,0.0020287357485036495,-3.089660409255902e-06,-2.3022964868699657e-06,2.7082035361904802e-06,-5.022217949639153e-06,-0.00017516030826195272,-0.0003341766119479563,-0.0005089656073058465,-0.0,-0.0,-0.0,0.04286875,0.04051891846533875,0.014648746015831056
4,3.843557860401116e-05,-0.00017589144757888087,-0.00014780001513020318,0.0019152949290543648,-5.0105000230606165e-06,3.6020299540757917e-06,7.3790547521071e-06,3.2989612030685504e-06,-0.00017208079182169964,-0.00029052919796240985,-0.00046224615839418414,-0.0,-0.0,-0.0,0.04072531249999999,0.044642103001001396,0.016532099545149403
5,3.801203800188968e-05,-0.00016851239282677377,-0.00013335683037694188,0.001824013858495992,-3.7770247980317637e-06,1.5217751717549342e-06,5.340050613702788e-06,-6.863691195931554e-08,-0.000164337905679667,-0.00024993177526685115,-0.00041397459481295833,-0.0,-0.0,-0.0,0.038689046874999994,0.047330343836078675,0.017929606443451818
6,3.525852301952556e-05,-0.00016317234221307098,-0.00012205533225518617,0.0017308206752749866,-3.818275441947887e-06,2.5513565279215915e-06,5.940027580346819e-06,1.1708986998868123e-06,-0.00015870276893240474,-0.00021306618235081658,-0.0003715123506494073,-0.0,-0.0,-0.0,0.03675459453124999,0.04889965053652429,0.018923333459060023
7,3.358331107749522e-05,-0.00015723231463272416,-0.00011079286269448409,0.0016448494641197876,-3.388671052425274e-06,2.3265521392018696e-06,5.499830411762571e-06,6.026402060869973e-07,-0.00015250614071824398,-0.0001793008808009115,-0.00033159512642944993,-0.0,-0.0,-0.0,0.03491686480468749,0.04960346502477648,0.01958394102940581
8,3.163591524958374e-05,-0.00015173248422096158,-0.00010070348568322378,0.0015621806001892575,-3.1732782725606597e-06,2.5678972360737526e-06,5.468417731418312e-06,7.513252219576518e-07,-0.00014679441521677584,-0.00014854594628227114,-0.000295165455221219,-0.0,-0.0,-0.0,0.03317102156445311,0.04964223711008254,0.019970449212105487
9,2.9939528281561636e-05,-0.00014626406648954326,-9.125928800996816e-05,0.0014840490262992068,-2.9005204953444277e-06,2.6005961503684656e-06,5.276101310511748e-06,6.228037782719016e-07,-0.00014115109120752954,-0.0001205212885697078,-0.0002615326254403749,-0.0,-0.0,-0.0,0.03151247048623045,0.04917528210316583,0.020132783639009947
