t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
0,2.117368927866847e-05,-0.00017278743178571185,-0.0003452302614528122,0.0022709520773982928,-1.862604870587644e-05,1.9659543652466183e-19,-5.035309882299974e-06,6.24639600045589e-05,-0.0001817329082337911,-0.0004981965248740685,-0.0006684071178966929,-0.0,-0.0,-0.0,0.05,0.014989274607527948,0.004990986649372476
1,8.889731567542506e-05,-0.00035061017345372367,-0.0005186524735017733,0.004566326842355449,-1.3590738823576412e-05,-2.5124742618999865e-05,-2.088780737008947e-05,2.4759056471667516e-05,-0.0003569788111387154,-0.0009311296687330952,-0.001276274939192439,-0.0,-0.0,-0.0,0.0975,0.0412557832262337,0.014002033132701836
2,0.00012520529453502807,-0.0005442854126095249,-0.0007015043861502272,0.0066704222618496276,-2.286298395478738e-05,-1.3138814987525766e-05,-5.8122193293595055e-06,4.11271093002189e-05,-0.0005477659860632242,-0.0013147253509362996,-0.0018501065176983263,-0.0,-0.0,-0.0,0.142625,0.07581268114974932,0.02618017196694411
3,0.000170416957558857,-0.0007228850637245963,-0.0008592441935953052,0.008699158010353278,-2.595264436404328e-05,-1.544111147439573e-05,-3.1040157931690253e-06,3.610489135057975e-05,-0.0007229262943251769,-0.001648901962884256,-0.0023590721250041726,-0.0,-0.0,-0.0,0.18549375,0.11633159961508807,0.040828917982775166
4,0.00020885253616286816,-0.0008987765113034772,-0.0010070442087255084,0.010614452939407642,-3.09631443871039e-05,-1.1839081520319938e-05,4.275038958938074e-06,3.94038525536483e-05,-0.0008950070861468765,-0.0019394311608466658,-0.0028213182833983566,-0.0,-0.0,-0.0,0.2262190625,0.16097370261608945,0.057361017527924565
5,0.00024686457416475785,-0.001067288904130251,-0.0011404010391024503,0.012438466797903634,-3.4740169185135664e-05,-1.0317306348565005e-05,9.615089572640861e-06,3.933521564168898e-05,-0.0010593449918265435,-0.002189362936113517,-0.003235292878211315,-0.0,-0.0,-0.0,0.264908109375,0.20830404645216813,0.07529062397137638
6,0.0002821230971842834,-0.001230461246343322,-0.0012624563713576364,0.01416928747317862,-3.855844462708355e-05,-7.765949820643413e-06,1.555511715298768e-05,4.0506114341575794e-05,-0.0012180477607589481,-0.0024024291184643336,-0.0036068052288607223,-0.0,-0.0,-0.0,0.30166270390624994,0.25720369698869244,0.09421395743043641
7,0.0003157064082617786,-0.0013876935609760462,-0.0013732492340521206,0.01581413693729841,-4.194711567950882e-05,-5.4393976814415425e-06,2.105494756475025e-05,4.110875454766279e-05,-0.001370553901477192,-0.0025817299992652453,-0.003938400355290172,-0.0,-0.0,-0.0,0.3365795687109374,0.3068071620134689,0.11379789845984223
8,0.0003473423235113624,-0.0015394260451970078,-0.0014739527197353444,0.017376317537487668,-4.512039395206948e-05,-2.87150044536779e-06,2.652336529616856e-05,4.186007976962044e-05,-0.0015173483166939679,-0.0027302759455475165,-0.004233565810511391,-0.0,-0.0,-0.0,0.36975059027539053,0.35644939912355145,0.13376834767194773
9,0.00037728185179292405,-0.0016856901116865512,-0.0015652120077453125,0.018860366563786875,-4.802091444741391e-05,-2.709042949993243e-07,3.179946660668031e-05,4.2482883547892345e-05,-0.0016584994079014974,-0.0028507972341172243,-0.004495098435951766,-0.0,-0.0,-0.0,0.401263060761621,0.4056246812267173,0.15390113131095767
10,0.0004055621258026305,-0.0018266780768655827,-0.001647803925147492,0.020270042698657835,-5.069641960755707e-05,2.4216386878335114e-06,3.694718965866043e-05,4.309096639483391e-05,-0.001794234643461653,-0.0029458404339692107,-0.0047257684846551285,-0.0,-0.0,-0.0,0.43119990772353994,0.4539532908634605,0.17401398869699836
11,0.0004322969733619029,-0.001962518318992634,-0.001722382345556335,0.02160913327067297,-5.315159967670453e-05,5.162031578277068e-06,4.19425024124674e-05,4.364391805499797e-05,-0.0019247137692610485,-0.003017750588012993,-0.0049280780695727016,-0.0,-0.0,-0.0,0.4596399123373629,0.501155125055997,0.19395990361260815
12,0.00045756295554462737,-0.002093363248365878,-0.001789583111789143,0.02288115042317376,-5.5406519540067934e-05,7.948805629422097e-06,4.679647737400984e-05,4.416174973894131e-05,-0.0020501178873810325,-0.003068697029038265,-0.00510437483181151,-0.0,-0.0,-0.0,0.48665791672049474,0.5470285690805874,0.21362140945553365
13,0.0004814446177399869,-0.00221935420277758,-0.0018499871425325795,0.024089463939739937,-5.747372045046533e-05,1.076551471270038e-05,5.150679334867608e-05,4.46404263838053e-05,-0.002170614233633027,-0.003100680784625072,-0.005256824583874205,-0.0,-0.0,-0.0,0.51232502088447,0.5914336831211179,0.23290578698292413
14,0.0005040170481897089,-0.0023406348412146156,-0.001904139083364151,0.025237261525621557,-5.9367327341853245e-05,1.360327443782239e-05,5.6076777587729804e-05,4.5085132281426216e-05,-0.0022863699141342487,-0.003115548071759167,-0.005387438338969452,-0.0,-0.0,-0.0,0.5367087698402464,0.6342787965701524,0.25174099381932996
15,0.0005253530935795906,-0.0024573454954125978,-0.0019525438328156252,0.026327576377378373,-6.109955185578516e-05,1.645176365509463e-05,6.050786608518288e-05,4.5497192546581e-05,-0.002397546397856347,-0.0031150003100599063,-0.005498076877112656,-0.0,-0.0,-0.0,0.559873331348234,0.6755098412651372,0.27007222524137325
16,0.000545520849481444,-0.0025696250611131266,-0.001995671532728568,0.027363287667352923,-6.268215113596593e-05,1.930264913661903e-05,6.480253095579877e-05,4.587923619110665e-05,-0.002504301609201358,-0.0031006044896609948,-0.005590463163966669,-0.0,-0.0,-0.0,0.5818796647808223,0.7151018670521556,0.2878590066355509
17,0.0005645849605032113,-0.0026776099619430396,-0.0020339589974841415,0.02834713112094416,-6.412593052505743e-05,2.2148128687146102e-05,6.896309107888235e-05,4.6233178129308303e-05,-0.002606789051583667,-0.0030738024481011526,-0.005666190751015965,-0.0,-0.0,-0.0,0.6027856815417811,0.7530523030971387,0.305072738614533
18,0.0005826064033805683,-0.002781434302649869,-0.0020678123301460937,0.029281705080666014,-6.544101109761388e-05,2.4981403900240703e-05,7.299214633696244e-05,4.6561027406104184e-05,-0.0027051581200697224,-0.0030359196856258657,-0.005726732888061672,-0.0,-0.0,-0.0,0.6226463974646921,0.7893756124328192,0.32169462546596767
19,0.000599642850624124,-0.0028812295880986183,-0.002097608870203143,0.03016947783309817,-6.663679114259943e-05,2.7796401135787963e-05,7.689237560686403e-05,4.6864582759044726e-05,-0.0027995539643326356,-0.0029881735277863548,-0.005773450540336841,-0.0,-0.0,-0.0,0.6415140775914574,0.8240990591807075,0.3377139289151323
20,0.0006157487897660248,-0.0029771246442774663,-0.0021236992161048343,0.031012793950303458,-6.772202317695374e-05,3.05877960064138e-05,8.066658774502027e-05,4.714556636639268e-05,-0.0028901175451774134,-0.0029316807637390155,-0.005807600073114,-0.0,-0.0,-0.0,0.6594383737118845,0.857259363591001,0.3531264975818926
