,DISurprise
2/28/2005,0
3/31/2005,0.182587275
4/30/2005,0
5/31/2005,0.146240071
6/30/2005,0
7/31/2005,0
8/31/2005,0
9/30/2005,0
10/31/2005,0
11/30/2005,0
12/31/2005,0
1/31/2006,0
2/28/2006,0
3/31/2006,0
4/30/2006,0
5/31/2006,0
6/30/2006,0
7/31/2006,0
8/31/2006,0
9/30/2006,0
10/31/2006,0
11/30/2006,0
12/31/2006,0
1/31/2007,0
2/28/2007,0
3/31/2007,0
4/30/2007,0
5/31/2007,0
6/30/2007,-0.158755815
7/31/2007,0
8/31/2007,0
9/30/2007,0
10/31/2007,0
11/30/2007,0
12/31/2007,0
1/31/2008,0
2/29/2008,0
3/31/2008,0
4/30/2008,0
5/31/2008,0
6/30/2008,0
7/31/2008,0
8/31/2008,0
9/30/2008,0
10/31/2008,0
11/30/2008,0
12/31/2008,0
1/31/2009,-0.22860041
2/28/2009,0
3/31/2009,0
4/30/2009,0
5/31/2009,0
6/30/2009,-0.36004006
7/31/2009,0
8/31/2009,0
9/30/2009,0
10/31/2009,0
11/30/2009,0
12/31/2009,0
1/31/2010,0
2/28/2010,0
3/31/2010,-0.192318853
4/30/2010,0
5/31/2010,0
6/30/2010,0
7/31/2010,0
8/31/2010,0
9/30/2010,0
10/31/2010,0
11/30/2010,0
12/31/2010,0
1/31/2011,0
2/28/2011,0
3/31/2011,0
4/30/2011,0
5/31/2011,0
6/30/2011,0
7/31/2011,0
8/31/2011,0
9/30/2011,-0.410561243
10/31/2011,0
11/30/2011,0
12/31/2011,0
1/31/2012,0
2/29/2012,0
3/31/2012,-0.157651862
4/30/2012,0
5/31/2012,0
6/30/2012,0
7/31/2012,0
8/31/2012,0
9/30/2012,0
10/31/2012,0
11/30/2012,0
12/31/2012,0
1/31/2013,0
2/28/2013,0
3/31/2013,0
4/30/2013,-0.152236045
5/31/2013,0.17075575
6/30/2013,0
7/31/2013,0
8/31/2013,0
9/30/2013,0
10/31/2013,0
11/30/2013,0
12/31/2013,0
1/31/2014,0.141909639
2/28/2014,0
3/31/2014,0
4/30/2014,0
5/31/2014,0
6/30/2014,0
7/31/2014,0
8/31/2014,0
9/30/2014,0
10/31/2014,0.231261796
11/30/2014,0
12/31/2014,0
1/31/2015,0.092851242
2/28/2015,0
3/31/2015,0
4/30/2015,0
5/31/2015,0
6/30/2015,0
7/31/2015,0.077390703
8/31/2015,0
9/30/2015,0
10/31/2015,0
11/30/2015,0
12/31/2015,0
1/31/2016,-0.207600025
2/29/2016,0
3/31/2016,0
4/30/2016,0
5/31/2016,0
6/30/2016,0
7/31/2016,0
8/31/2016,0
9/30/2016,0
10/31/2016,0
11/30/2016,0
12/31/2016,0
1/31/2017,-0.224587529
2/28/2017,0
3/31/2017,0
4/30/2017,0
5/31/2017,0
6/30/2017,0
7/31/2017,-0.328460526
8/31/2017,0
9/30/2017,0
10/31/2017,-0.195035395
11/30/2017,0
12/31/2017,0
1/31/2018,0
2/28/2018,0
3/31/2018,0
4/30/2018,0
5/31/2018,0.08898676
6/30/2018,0
7/31/2018,0
8/31/2018,0
9/30/2018,0
10/31/2018,0
11/30/2018,0
12/31/2018,0
1/31/2019,0
2/28/2019,0
3/31/2019,0
4/30/2019,0
5/31/2019,0
6/30/2019,0
7/31/2019,0
8/31/2019,-0.104547698
9/30/2019,0
10/31/2019,0
11/30/2019,0
12/31/2019,0
1/31/2020,0
2/29/2020,0
3/31/2020,0
4/30/2020,0
5/31/2020,-0.195892705
6/30/2020,-0.097783462
7/31/2020,0
8/31/2020,-0.084446286
9/30/2020,0
10/31/2020,0
11/30/2020,0
12/31/2020,0
1/31/2021,0
2/28/2021,0
3/31/2021,0.235375447
4/30/2021,0
5/31/2021,0
6/30/2021,0
7/31/2021,0
8/31/2021,0
9/30/2021,0.148319697
10/31/2021,0
11/30/2021,0
12/31/2021,0
1/31/2022,0
2/28/2022,0.101644464
3/31/2022,0
4/30/2022,0
5/31/2022,0
6/30/2022,0
7/31/2022,0
8/31/2022,0
9/30/2022,0
10/31/2022,0
11/30/2022,0
12/31/2022,0
1/31/2023,0
2/28/2023,0
3/31/2023,0
4/30/2023,0
5/31/2023,0
6/30/2023,0
7/31/2023,0
8/31/2023,-0.163433934
9/30/2023,0
10/31/2023,0
11/30/2023,0
12/31/2023,0
1/31/2024,0
2/29/2024,0
3/31/2024,-0.078575468
4/30/2024,0
