date,year,month,ipca_mom_pct
2011-01-01,2011,1,0.83
2011-02-01,2011,2,0.8
2011-03-01,2011,3,0.79
2011-04-01,2011,4,0.77
2011-05-01,2011,5,0.47
2011-06-01,2011,6,0.15
2011-07-01,2011,7,0.16
2011-08-01,2011,8,0.37
2011-09-01,2011,9,0.53
2011-10-01,2011,10,0.43
2011-11-01,2011,11,0.52
2011-12-01,2011,12,0.5
2012-01-01,2012,1,0.56
2012-02-01,2012,2,0.45
2012-03-01,2012,3,0.21
2012-04-01,2012,4,0.64
2012-05-01,2012,5,0.36
2012-06-01,2012,6,0.08
2012-07-01,2012,7,0.43
2012-08-01,2012,8,0.41
2012-09-01,2012,9,0.57
2012-10-01,2012,10,0.59
2012-11-01,2012,11,0.6
2012-12-01,2012,12,0.79
2013-01-01,2013,1,0.86
2013-02-01,2013,2,0.6
2013-03-01,2013,3,0.47
2013-04-01,2013,4,0.55
2013-05-01,2013,5,0.37
2013-06-01,2013,6,0.26
2013-07-01,2013,7,0.03
2013-08-01,2013,8,0.24
2013-09-01,2013,9,0.35
2013-10-01,2013,10,0.57
2013-11-01,2013,11,0.54
2013-12-01,2013,12,0.92
2014-01-01,2014,1,0.55
2014-02-01,2014,2,0.69
2014-03-01,2014,3,0.92
2014-04-01,2014,4,0.67
2014-05-01,2014,5,0.46
2014-06-01,2014,6,0.4
2014-07-01,2014,7,0.01
2014-08-01,2014,8,0.25
2014-09-01,2014,9,0.57
2014-10-01,2014,10,0.42
2014-11-01,2014,11,0.51
2014-12-01,2014,12,0.78
2015-01-01,2015,1,1.24
2015-02-01,2015,2,1.22
2015-03-01,2015,3,1.32
2015-04-01,2015,4,0.71
2015-05-01,2015,5,0.74
2015-06-01,2015,6,0.79
2015-07-01,2015,7,0.62
2015-08-01,2015,8,0.22
2015-09-01,2015,9,0.54
2015-10-01,2015,10,0.82
2015-11-01,2015,11,1.01
2015-12-01,2015,12,0.96
2016-01-01,2016,1,1.27
2016-02-01,2016,2,0.9
2016-03-01,2016,3,0.43
2016-04-01,2016,4,0.61
2016-05-01,2016,5,0.78
2016-06-01,2016,6,0.35
2016-07-01,2016,7,0.52
2016-08-01,2016,8,0.44
2016-09-01,2016,9,0.08
2016-10-01,2016,10,0.26
2016-11-01,2016,11,0.18
2016-12-01,2016,12,0.3
2017-01-01,2017,1,0.38
2017-02-01,2017,2,0.33
2017-03-01,2017,3,0.25
2017-04-01,2017,4,0.14
2017-05-01,2017,5,0.31
2017-06-01,2017,6,-0.23
2017-07-01,2017,7,0.24
2017-08-01,2017,8,0.19
2017-09-01,2017,9,0.16
2017-10-01,2017,10,0.42
2017-11-01,2017,11,0.28
2017-12-01,2017,12,0.44
2018-01-01,2018,1,0.29
2018-02-01,2018,2,0.32
2018-03-01,2018,3,0.09
2018-04-01,2018,4,0.22
2018-05-01,2018,5,0.4
2018-06-01,2018,6,1.26
2018-07-01,2018,7,0.33
2018-08-01,2018,8,-0.09
2018-09-01,2018,9,0.48
2018-10-01,2018,10,0.45
2018-11-01,2018,11,-0.21
2018-12-01,2018,12,0.15
2019-01-01,2019,1,0.32
2019-02-01,2019,2,0.43
2019-03-01,2019,3,0.75
2019-04-01,2019,4,0.57
2019-05-01,2019,5,0.13
2019-06-01,2019,6,0.01
2019-07-01,2019,7,0.19
2019-08-01,2019,8,0.11
2019-09-01,2019,9,-0.04
2019-10-01,2019,10,0.1
2019-11-01,2019,11,0.51
2019-12-01,2019,12,1.15
2020-01-01,2020,1,0.21
2020-02-01,2020,2,0.25
2020-03-01,2020,3,0.07
2020-04-01,2020,4,-0.31
2020-05-01,2020,5,-0.38
2020-06-01,2020,6,0.26
2020-07-01,2020,7,0.36
2020-08-01,2020,8,0.24
2020-09-01,2020,9,0.64
2020-10-01,2020,10,0.86
2020-11-01,2020,11,0.89
2020-12-01,2020,12,1.35
2021-01-01,2021,1,0.25
2021-02-01,2021,2,0.86
2021-03-01,2021,3,0.93
2021-04-01,2021,4,0.31
2021-05-01,2021,5,0.83
2021-06-01,2021,6,0.53
2021-07-01,2021,7,0.96
2021-08-01,2021,8,0.87
2021-09-01,2021,9,1.16
2021-10-01,2021,10,1.25
2021-11-01,2021,11,0.95
2021-12-01,2021,12,0.73
2022-01-01,2022,1,0.54
2022-02-01,2022,2,1.01
2022-03-01,2022,3,1.62
2022-04-01,2022,4,1.06
2022-05-01,2022,5,0.47
2022-06-01,2022,6,0.67
