uf_code,date,year,month,pmc_retail_nominal_index,selic_aa_pct,ipca_mom_pct,credit_pf
11,2007-12-01,2007,12,36.40088,,,
11,2008-01-01,2008,1,22.11767,,,
11,2008-02-01,2008,2,22.49073,,,
11,2008-03-01,2008,3,25.79506,,,
11,2008-04-01,2008,4,24.56926,,,
11,2008-05-01,2008,5,30.21859,,,
11,2008-06-01,2008,6,26.4879,,,
11,2008-07-01,2008,7,29.15268,,,
11,2008-08-01,2008,8,30.80484,,,
11,2008-09-01,2008,9,29.41916,,,
11,2008-10-01,2008,10,30.75155,,,
11,2008-11-01,2008,11,31.3378,,,
11,2008-12-01,2008,12,44.44851,,,
11,2009-01-01,2009,1,29.36586,,,
11,2009-02-01,2009,2,27.28734,,,
11,2009-03-01,2009,3,30.96473,,,
11,2009-04-01,2009,4,29.84552,,,
11,2009-05-01,2009,5,32.83008,,,
11,2009-06-01,2009,6,30.96473,,,
11,2009-07-01,2009,7,34.64213,,,
11,2009-08-01,2009,8,34.58883,,,
11,2009-09-01,2009,9,34.48224,,,
11,2009-10-01,2009,10,36.34759,,,
11,2009-11-01,2009,11,36.77395,,,
11,2009-12-01,2009,12,54.84115,,,
11,2010-01-01,2010,1,34.16247,,,
11,2010-02-01,2010,2,37.20031,,,
11,2010-03-01,2010,3,42.47658,,,
11,2010-04-01,2010,4,41.35737,,,
11,2010-05-01,2010,5,46.47375,,,
11,2010-06-01,2010,6,42.36999,,,
11,2010-07-01,2010,7,45.35454,,,
11,2010-08-01,2010,8,44.71499,,,
11,2010-09-01,2010,9,45.35454,,,
11,2010-10-01,2010,10,47.85943,,,
11,2010-11-01,2010,11,48.71216,,,
11,2010-12-01,2010,12,68.85789,,,
11,2011-01-01,2011,1,44.92817,,0.83,
11,2011-02-01,2011,2,44.07544,,0.8,
11,2011-03-01,2011,3,47.53966,,0.79,
11,2011-04-01,2011,4,48.76546,,0.77,
11,2011-05-01,2011,5,54.04172,,0.47,
11,2011-06-01,2011,6,49.93796,,0.15,
11,2011-07-01,2011,7,56.28013,,0.16,
11,2011-08-01,2011,8,54.41479,,0.37,
11,2011-09-01,2011,9,52.12308,,0.53,
11,2011-10-01,2011,10,53.0824,,0.43,
11,2011-11-01,2011,11,54.46808,,0.52,
11,2011-12-01,2011,12,79.99666,,0.5,
11,2012-01-01,2012,1,49.35171,10.7,0.56,
11,2012-02-01,2012,2,47.69954,10.4,0.45,
11,2012-03-01,2012,3,52.76262,9.82,0.21,
11,2012-04-01,2012,4,51.8566,9.35,0.64,
11,2012-05-01,2012,5,57.23945,8.87,0.36,
11,2012-06-01,2012,6,55.37411,8.39,0.08,
11,2012-07-01,2012,7,58.83832,8.07,0.43,
11,2012-08-01,2012,8,59.90423,7.85,0.41,
11,2012-09-01,2012,9,57.93229,7.39,0.57,
11,2012-10-01,2012,10,60.01082,7.23,0.59,
11,2012-11-01,2012,11,58.30536,7.14,0.6,
11,2012-12-01,2012,12,83.35429,7.16,0.79,
11,2013-01-01,2013,1,55.90706,7.11,0.86,
11,2013-02-01,2013,2,53.24228,7.12,0.6,
11,2013-03-01,2013,3,61.07673,7.15,0.47,
11,2013-04-01,2013,4,59.53116,7.26,0.55,
11,2013-05-01,2013,5,67.84527,7.42,0.37,
11,2013-06-01,2013,6,62.83549,7.9,0.26,
11,2013-07-01,2013,7,69.01778,8.23,0.03,
11,2013-08-01,2013,8,68.21834,8.45,0.24,
11,2013-09-01,2013,9,63.15526,8.9,0.35,
11,2013-10-01,2013,10,66.56618,9.25,0.57,
11,2013-11-01,2013,11,71.57596,9.45,0.54,
11,2013-12-01,2013,12,99.82262,9.9,0.92,
11,2014-01-01,2014,1,64.75413,10.17,0.55,
11,2014-02-01,2014,2,61.07673,10.43,0.69,
11,2014-03-01,2014,3,65.28708,10.65,0.92,
11,2014-04-01,2014,4,69.81721,10.87,0.67,
11,2014-05-01,2014,5,82.18178,10.9,0.46,
11,2014-06-01,2014,6,73.12153,10.9,0.4,
11,2014-07-01,2014,7,77.01211,10.9,0.01,
11,2014-08-01,2014,8,79.78348,10.9,0.25,
11,2014-09-01,2014,9,75.14677,10.9,0.57,
11,2014-10-01,2014,10,79.6236,10.92,0.42,
11,2014-11-01,2014,11,82.18178,11.15,0.51,
11,2014-12-01,2014,12,110.74821,11.58,0.78,
11,2015-01-01,2015,1,74.02756,11.82,1.24,
11,2015-02-01,2015,2,67.20573,12.15,1.22,
11,2015-03-01,2015,3,73.17483,12.58,1.32,
11,2015-04-01,2015,4,73.38801,12.68,0.71,
11,2015-05-01,2015,5,79.99666,13.15,0.74,
11,2015-06-01,2015,6,72.96165,13.58,0.79,
11,2015-07-01,2015,7,78.71757,13.69,0.62,
11,2015-08-01,2015,8,75.25336,14.15,0.22,
11,2015-09-01,2015,9,71.0963,14.15,0.54,
11,2015-10-01,2015,10,76.79893,14.15,0.82,
11,2015-11-01,2015,11,79.09064,14.15,1.01,
11,2015-12-01,2015,12,103.60661,14.15,0.96,
11,2016-01-01,2016,1,71.36278,14.15,1.27,
11,2016-02-01,2016,2,69.01778,14.15,0.9,
11,2016-03-01,2016,3,71.0963,14.15,0.43,
11,2016-04-01,2016,4,67.68539,14.15,0.61,
11,2016-05-01,2016,5,72.26881,14.15,0.78,
11,2016-06-01,2016,6,70.45676,14.15,0.35,
11,2016-07-01,2016,7,74.61381,14.15,0.52,
11,2016-08-01,2016,8,71.52267,14.15,0.44,
11,2016-09-01,2016,9,65.60686,14.15,0.08,
11,2016-10-01,2016,10,70.03039,14.05,0.26,
11,2016-11-01,2016,11,75.57313,13.9,0.18,
11,2016-12-01,2016,12,94.65295,13.65,0.3,
11,2017-01-01,2017,1,67.15859,13.17,0.38,
11,2017-02-01,2017,2,62.22423,12.82,0.33,
11,2017-03-01,2017,3,70.53641,12.15,0.25,
11,2017-04-01,2017,4,66.54857,11.59,0.14,
11,2017-05-01,2017,5,74.80471,11.15,0.31,
11,2017-06-01,2017,6,69.4135,10.15,-0.23,
11,2017-07-01,2017,7,73.93837,10.01,0.24,
11,2017-08-01,2017,8,76.67995,9.15,0.19,
11,2017-09-01,2017,9,71.96644,8.35,0.16,
11,2017-10-01,2017,10,75.34119,8.01,0.42,
11,2017-11-01,2017,11,79.83885,7.4,0.28,
11,2017-12-01,2017,12,102.0832,7.0,0.44,
11,2018-01-01,2018,1,69.84922,6.9,0.29,
11,2018-02-01,2018,2,65.22994,6.72,0.32,
11,2018-03-01,2018,3,76.49439,6.58,0.09,
11,2018-04-01,2018,4,72.23101,6.4,0.22,
11,2018-05-01,2018,5,79.02505,6.4,0.4,
11,2018-06-01,2018,6,75.80499,6.4,1.26,
11,2018-07-01,2018,7,76.18848,6.4,0.33,
11,2018-08-01,2018,8,79.88677,6.4,-0.09,
11,2018-09-01,2018,9,78.28304,6.4,0.48,
11,2018-10-01,2018,10,81.56796,6.4,0.45,
11,2018-11-01,2018,11,93.67905,6.4,-0.21,
11,2018-12-01,2018,12,107.45132,6.4,0.15,
11,2019-01-01,2019,1,74.39876,6.4,0.32,
11,2019-02-01,2019,2,69.91457,6.4,0.43,
11,2019-03-01,2019,3,75.59679,6.4,0.75,
11,2019-04-01,2019,4,73.49681,6.4,0.57,
11,2019-05-01,2019,5,79.46814,6.4,0.13,
11,2019-06-01,2019,6,73.49051,6.4,0.01,
11,2019-07-01,2019,7,79.71592,6.4,0.19,
11,2019-08-01,2019,8,75.66081,5.9,0.11,
11,2019-09-01,2019,9,77.04169,5.71,-0.04,
11,2019-10-01,2019,10,79.95476,5.38,0.1,
11,2019-11-01,2019,11,99.27975,4.9,0.51,
11,2019-12-01,2019,12,104.98512,4.59,1.15,
11,2020-01-01,2020,1,77.15664,4.4,0.21,
11,2020-02-01,2020,2,73.67426,4.19,0.25,
11,2020-03-01,2020,3,58.99649,3.95,0.07,
11,2020-04-01,2020,4,45.65624,3.65,-0.31,
11,2020-05-01,2020,5,65.25148,3.01,-0.38,
11,2020-06-01,2020,6,69.74777,2.58,0.26,
11,2020-07-01,2020,7,82.01448,2.15,0.36,
11,2020-08-01,2020,8,92.07442,1.94,0.24,
11,2020-09-01,2020,9,91.63724,1.9,0.64,
11,2020-10-01,2020,10,93.45568,1.9,0.86,
11,2020-11-01,2020,11,112.46475,1.9,0.89,
11,2020-12-01,2020,12,111.92664,1.9,1.35,
11,2021-01-01,2021,1,70.87596,1.9,0.25,
11,2021-02-01,2021,2,75.05751,1.9,0.86,
11,2021-03-01,2021,3,78.09733,2.23,0.93,
11,2021-04-01,2021,4,80.84458,2.65,0.31,
11,2021-05-01,2021,5,94.46023,3.29,0.83,
11,2021-06-01,2021,6,90.46858,3.76,0.53,
11,2021-07-01,2021,7,121.83529,4.15,0.96,
11,2021-08-01,2021,8,95.46984,5.01,0.87,
11,2021-09-01,2021,9,89.66163,5.43,1.16,
11,2021-10-01,2021,10,93.74359,6.3,1.25,
11,2021-11-01,2021,11,110.52464,7.65,0.95,
11,2021-12-01,2021,12,117.03864,8.76,0.73,
11,2022-01-01,2022,1,82.7781,9.15,0.54,29325228794.09
11,2022-02-01,2022,2,85.22812,10.49,1.01,29608499383.77
11,2022-03-01,2022,3,92.04117,11.15,1.62,30085881577.46
11,2022-04-01,2022,4,96.80469,11.65,1.06,30473248982.11
11,2022-05-01,2022,5,104.85275,12.51,0.47,31035302561.37
11,2022-06-01,2022,6,96.99065,12.89,0.67,31717862929.86
11,2022-07-01,2022,7,102.10371,13.15,-0.68,32436842167.06
11,2022-08-01,2022,8,101.47206,13.58,-0.36,33387231384.13
11,2022-09-01,2022,9,96.93902,13.65,-0.29,34051580945.76
11,2022-10-01,2022,10,98.73783,13.65,0.59,34836131173.62
11,2022-11-01,2022,11,114.62232,13.65,0.41,35392589815.74
11,2022-12-01,2022,12,127.42958,13.65,0.62,35962584061.11
11,2023-01-01,2023,1,91.14752,,0.53,36539124755.03
11,2023-02-01,2023,2,87.9083,,0.84,36762989387.04
11,2023-03-01,2023,3,96.47475,,0.71,37086638479.19
11,2023-04-01,2023,4,97.39039,,0.61,37133465890.65
11,2023-05-01,2023,5,103.06004,,0.23,37407188938.49
11,2023-06-01,2023,6,95.21201,,-0.08,37565068665.21
11,2023-07-01,2023,7,102.35873,,0.12,37978255771.39
11,2023-08-01,2023,8,100.75065,,0.23,38706692575.73
11,2023-09-01,2023,9,100.945,,0.26,39222265662.77
11,2023-10-01,2023,10,100.94753,,0.24,39892629534.4
11,2023-11-01,2023,11,121.15892,,0.28,40554279427.48
11,2023-12-01,2023,12,130.79053,,0.56,41142990845.02
11,2024-01-01,2024,1,96.23319,,0.42,
11,2024-02-01,2024,2,93.23886,,0.83,
11,2024-03-01,2024,3,100.77383,,0.16,
11,2024-04-01,2024,4,104.26029,,0.38,
11,2024-05-01,2024,5,114.60788,,0.46,
11,2024-06-01,2024,6,107.19505,,0.21,
11,2024-07-01,2024,7,113.72563,,0.38,
11,2024-08-01,2024,8,110.46463,,-0.02,
11,2024-09-01,2024,9,105.14757,,0.44,
11,2024-10-01,2024,10,111.51047,,0.56,
11,2024-11-01,2024,11,135.49916,,0.39,
11,2024-12-01,2024,12,133.97842,,0.52,
11,2025-01-01,2025,1,100.60717,,0.16,
11,2025-02-01,2025,2,104.02632,,1.31,
11,2025-03-01,2025,3,111.31627,,0.56,
11,2025-04-01,2025,4,118.90177,,0.43,
11,2025-05-01,2025,5,127.44933,,0.26,
11,2025-06-01,2025,6,115.65148,,0.24,
11,2025-07-01,2025,7,120.63908,,0.26,
11,2025-08-01,2025,8,114.5851,,-0.11,
11,2025-09-01,2025,9,113.28571,,0.48,
11,2025-10-01,2025,10,121.83363,,0.09,
11,2025-11-01,2025,11,158.98827,,0.18,
