uf_code,date,year,month,pmc_retail_nominal_index
11,2007-12-01,2007,12,36.40088
11,2008-01-01,2008,1,22.11767
11,2008-02-01,2008,2,22.49073
11,2008-03-01,2008,3,25.79506
11,2008-04-01,2008,4,24.56926
11,2008-05-01,2008,5,30.21859
11,2008-06-01,2008,6,26.4879
11,2008-07-01,2008,7,29.15268
11,2008-08-01,2008,8,30.80484
11,2008-09-01,2008,9,29.41916
11,2008-10-01,2008,10,30.75155
11,2008-11-01,2008,11,31.3378
11,2008-12-01,2008,12,44.44851
11,2009-01-01,2009,1,29.36586
11,2009-02-01,2009,2,27.28734
11,2009-03-01,2009,3,30.96473
11,2009-04-01,2009,4,29.84552
11,2009-05-01,2009,5,32.83008
11,2009-06-01,2009,6,30.96473
11,2009-07-01,2009,7,34.64213
11,2009-08-01,2009,8,34.58883
11,2009-09-01,2009,9,34.48224
11,2009-10-01,2009,10,36.34759
11,2009-11-01,2009,11,36.77395
11,2009-12-01,2009,12,54.84115
11,2010-01-01,2010,1,34.16247
11,2010-02-01,2010,2,37.20031
11,2010-03-01,2010,3,42.47658
11,2010-04-01,2010,4,41.35737
11,2010-05-01,2010,5,46.47375
11,2010-06-01,2010,6,42.36999
11,2010-07-01,2010,7,45.35454
11,2010-08-01,2010,8,44.71499
11,2010-09-01,2010,9,45.35454
11,2010-10-01,2010,10,47.85943
11,2010-11-01,2010,11,48.71216
11,2010-12-01,2010,12,68.85789
11,2011-01-01,2011,1,44.92817
11,2011-02-01,2011,2,44.07544
11,2011-03-01,2011,3,47.53966
11,2011-04-01,2011,4,48.76546
11,2011-05-01,2011,5,54.04172
11,2011-06-01,2011,6,49.93796
11,2011-07-01,2011,7,56.28013
11,2011-08-01,2011,8,54.41479
11,2011-09-01,2011,9,52.12308
11,2011-10-01,2011,10,53.0824
11,2011-11-01,2011,11,54.46808
11,2011-12-01,2011,12,79.99666
11,2012-01-01,2012,1,49.35171
11,2012-02-01,2012,2,47.69954
11,2012-03-01,2012,3,52.76262
11,2012-04-01,2012,4,51.8566
11,2012-05-01,2012,5,57.23945
11,2012-06-01,2012,6,55.37411
11,2012-07-01,2012,7,58.83832
11,2012-08-01,2012,8,59.90423
11,2012-09-01,2012,9,57.93229
11,2012-10-01,2012,10,60.01082
11,2012-11-01,2012,11,58.30536
11,2012-12-01,2012,12,83.35429
11,2013-01-01,2013,1,55.90706
11,2013-02-01,2013,2,53.24228
11,2013-03-01,2013,3,61.07673
11,2013-04-01,2013,4,59.53116
11,2013-05-01,2013,5,67.84527
11,2013-06-01,2013,6,62.83549
11,2013-07-01,2013,7,69.01778
11,2013-08-01,2013,8,68.21834
11,2013-09-01,2013,9,63.15526
11,2013-10-01,2013,10,66.56618
11,2013-11-01,2013,11,71.57596
11,2013-12-01,2013,12,99.82262
11,2014-01-01,2014,1,64.75413
11,2014-02-01,2014,2,61.07673
11,2014-03-01,2014,3,65.28708
11,2014-04-01,2014,4,69.81721
11,2014-05-01,2014,5,82.18178
11,2014-06-01,2014,6,73.12153
11,2014-07-01,2014,7,77.01211
11,2014-08-01,2014,8,79.78348
11,2014-09-01,2014,9,75.14677
11,2014-10-01,2014,10,79.6236
11,2014-11-01,2014,11,82.18178
11,2014-12-01,2014,12,110.74821
11,2015-01-01,2015,1,74.02756
11,2015-02-01,2015,2,67.20573
11,2015-03-01,2015,3,73.17483
11,2015-04-01,2015,4,73.38801
11,2015-05-01,2015,5,79.99666
11,2015-06-01,2015,6,72.96165
11,2015-07-01,2015,7,78.71757
11,2015-08-01,2015,8,75.25336
11,2015-09-01,2015,9,71.0963
11,2015-10-01,2015,10,76.79893
11,2015-11-01,2015,11,79.09064
11,2015-12-01,2015,12,103.60661
11,2016-01-01,2016,1,71.36278
11,2016-02-01,2016,2,69.01778
11,2016-03-01,2016,3,71.0963
11,2016-04-01,2016,4,67.68539
11,2016-05-01,2016,5,72.26881
11,2016-06-01,2016,6,70.45676
11,2016-07-01,2016,7,74.61381
11,2016-08-01,2016,8,71.52267
11,2016-09-01,2016,9,65.60686
11,2016-10-01,2016,10,70.03039
11,2016-11-01,2016,11,75.57313
11,2016-12-01,2016,12,94.65295
11,2017-01-01,2017,1,67.15859
11,2017-02-01,2017,2,62.22423
11,2017-03-01,2017,3,70.53641
11,2017-04-01,2017,4,66.54857
11,2017-05-01,2017,5,74.80471
11,2017-06-01,2017,6,69.4135
11,2017-07-01,2017,7,73.93837
11,2017-08-01,2017,8,76.67995
11,2017-09-01,2017,9,71.96644
11,2017-10-01,2017,10,75.34119
11,2017-11-01,2017,11,79.83885
11,2017-12-01,2017,12,102.0832
11,2018-01-01,2018,1,69.84922
11,2018-02-01,2018,2,65.22994
11,2018-03-01,2018,3,76.49439
11,2018-04-01,2018,4,72.23101
11,2018-05-01,2018,5,79.02505
11,2018-06-01,2018,6,75.80499
11,2018-07-01,2018,7,76.18848
11,2018-08-01,2018,8,79.88677
11,2018-09-01,2018,9,78.28304
11,2018-10-01,2018,10,81.56796
11,2018-11-01,2018,11,93.67905
11,2018-12-01,2018,12,107.45132
11,2019-01-01,2019,1,74.39876
11,2019-02-01,2019,2,69.91457
11,2019-03-01,2019,3,75.59679
11,2019-04-01,2019,4,73.49681
11,2019-05-01,2019,5,79.46814
11,2019-06-01,2019,6,73.49051
11,2019-07-01,2019,7,79.71592
11,2019-08-01,2019,8,75.66081
11,2019-09-01,2019,9,77.04169
11,2019-10-01,2019,10,79.95476
11,2019-11-01,2019,11,99.27975
11,2019-12-01,2019,12,104.98512
11,2020-01-01,2020,1,77.15664
11,2020-02-01,2020,2,73.67426
11,2020-03-01,2020,3,58.99649
11,2020-04-01,2020,4,45.65624
11,2020-05-01,2020,5,65.25148
11,2020-06-01,2020,6,69.74777
11,2020-07-01,2020,7,82.01448
11,2020-08-01,2020,8,92.07442
11,2020-09-01,2020,9,91.63724
11,2020-10-01,2020,10,93.45568
11,2020-11-01,2020,11,112.46475
11,2020-12-01,2020,12,111.92664
11,2021-01-01,2021,1,70.87596
11,2021-02-01,2021,2,75.05751
11,2021-03-01,2021,3,78.09733
11,2021-04-01,2021,4,80.84458
11,2021-05-01,2021,5,94.46023
11,2021-06-01,2021,6,90.46858
11,2021-07-01,2021,7,121.83529
11,2021-08-01,2021,8,95.46984
11,2021-09-01,2021,9,89.66163
11,2021-10-01,2021,10,93.74359
11,2021-11-01,2021,11,110.52464
11,2021-12-01,2021,12,117.03864
11,2022-01-01,2022,1,82.7781
11,2022-02-01,2022,2,85.22812
11,2022-03-01,2022,3,92.04117
11,2022-04-01,2022,4,96.80469
11,2022-05-01,2022,5,104.85275
11,2022-06-01,2022,6,96.99065
11,2022-07-01,2022,7,102.10371
11,2022-08-01,2022,8,101.47206
11,2022-09-01,2022,9,96.93902
11,2022-10-01,2022,10,98.73783
11,2022-11-01,2022,11,114.62232
11,2022-12-01,2022,12,127.42958
11,2023-01-01,2023,1,91.14752
11,2023-02-01,2023,2,87.9083
11,2023-03-01,2023,3,96.47475
11,2023-04-01,2023,4,97.39039
11,2023-05-01,2023,5,103.06004
11,2023-06-01,2023,6,95.21201
11,2023-07-01,2023,7,102.35873
11,2023-08-01,2023,8,100.75065
11,2023-09-01,2023,9,100.945
11,2023-10-01,2023,10,100.94753
11,2023-11-01,2023,11,121.15892
11,2023-12-01,2023,12,130.79053
11,2024-01-01,2024,1,96.23319
11,2024-02-01,2024,2,93.23886
11,2024-03-01,2024,3,100.77383
11,2024-04-01,2024,4,104.26029
11,2024-05-01,2024,5,114.60788
11,2024-06-01,2024,6,107.19505
11,2024-07-01,2024,7,113.72563
11,2024-08-01,2024,8,110.46463
11,2024-09-01,2024,9,105.14757
11,2024-10-01,2024,10,111.51047
11,2024-11-01,2024,11,135.49916
11,2024-12-01,2024,12,133.97842
11,2025-01-01,2025,1,100.60717
11,2025-02-01,2025,2,104.02632
11,2025-03-01,2025,3,111.31627
11,2025-04-01,2025,4,118.90177
11,2025-05-01,2025,5,127.44933
11,2025-06-01,2025,6,115.65148
11,2025-07-01,2025,7,120.63908
11,2025-08-01,2025,8,114.5851
11,2025-09-01,2025,9,113.28571
11,2025-10-01,2025,10,121.83363
11,2025-11-01,2025,11,158.98827
12,2007-12-01,2007,12,27.98392
12,2008-01-01,2008,1,19.04253
12,2008-02-01,2008,2,18.51877
12,2008-03-01,2008,3,21.811
12,2008-04-01,2008,4,21.13759
12,2008-05-01,2008,5,22.97076
12,2008-06-01,2008,6,21.77359
12,2008-07-01,2008,7,23.90605
12,2008-08-01,2008,8,23.68158
12,2008-09-01,2008,9,23.34487
12,2008-10-01,2008,10,24.76652
12,2008-11-01,2008,11,24.13052
12,2008-12-01,2008,12,31.68767
12,2009-01-01,2009,1,22.67147
12,2009-02-01,2009,2,21.36206
12,2009-03-01,2009,3,23.08299
12,2009-04-01,2009,4,22.93335
12,2009-05-01,2009,5,24.99099
12,2009-06-01,2009,6,24.13052
12,2009-07-01,2009,7,25.85146
12,2009-08-01,2009,8,26.45004
12,2009-09-01,2009,9,26.82416
12,2009-10-01,2009,10,28.32063
12,2009-11-01,2009,11,28.95662
12,2009-12-01,2009,12,39.73118
12,2010-01-01,2010,1,27.46016
12,2010-02-01,2010,2,27.04863
12,2010-03-01,2010,3,30.75238
12,2010-04-01,2010,4,29.14368
12,2010-05-01,2010,5,29.03145
12,2010-06-01,2010,6,29.89192
12,2010-07-01,2010,7,32.62297
12,2010-08-01,2010,8,31.42579
12,2010-09-01,2010,9,32.62297
12,2010-10-01,2010,10,34.23167
12,2010-11-01,2010,11,34.49355
12,2010-12-01,2010,12,48.18622
12,2011-01-01,2011,1,34.19426
12,2011-02-01,2011,2,32.36108
12,2011-03-01,2011,3,34.41873
12,2011-04-01,2011,4,34.49355
12,2011-05-01,2011,5,37.07495
12,2011-06-01,2011,6,33.67049
12,2011-07-01,2011,7,37.41166
12,2011-08-01,2011,8,37.48648
12,2011-09-01,2011,9,36.36413
12,2011-10-01,2011,10,35.9526
12,2011-11-01,2011,11,37.93542
12,2011-12-01,2011,12,57.57654
12,2012-01-01,2012,1,39.84342
12,2012-02-01,2012,2,36.77566
12,2012-03-01,2012,3,42.31259
12,2012-04-01,2012,4,40.81612
12,2012-05-01,2012,5,44.03352
12,2012-06-01,2012,6,42.12553
12,2012-07-01,2012,7,45.41775
12,2012-08-01,2012,8,45.00623
12,2012-09-01,2012,9,41.56435
12,2012-10-01,2012,10,45.49258
12,2012-11-01,2012,11,43.54717
12,2012-12-01,2012,12,58.81113
12,2013-01-01,2013,1,43.69682
12,2013-02-01,2013,2,40.32977
12,2013-03-01,2013,3,45.15587
12,2013-04-01,2013,4,44.2954
12,2013-05-01,2013,5,48.33586
12,2013-06-01,2013,6,44.74434
12,2013-07-01,2013,7,48.1488
12,2013-08-01,2013,8,46.95163
12,2013-09-01,2013,9,45.04364
12,2013-10-01,2013,10,51.3288
12,2013-11-01,2013,11,52.26409
12,2013-12-01,2013,12,70.5958
12,2014-01-01,2014,1,52.52597
12,2014-02-01,2014,2,49.04668
12,2014-03-01,2014,3,50.43092
12,2014-04-01,2014,4,47.21351
12,2014-05-01,2014,5,59.97089
12,2014-06-01,2014,6,54.32173
12,2014-07-01,2014,7,57.80101
12,2014-08-01,2014,8,58.99819
12,2014-09-01,2014,9,57.05278
12,2014-10-01,2014,10,59.18524
12,2014-11-01,2014,11,60.56948
12,2014-12-01,2014,12,81.59483
12,2015-01-01,2015,1,59.97089
12,2015-02-01,2015,2,54.8829
12,2015-03-01,2015,3,60.68171
12,2015-04-01,2015,4,57.91325
12,2015-05-01,2015,5,62.62712
12,2015-06-01,2015,6,57.1276
12,2015-07-01,2015,7,59.07301
