uf_code,date,credit_pf,year,month
11,2022-01-31,29325228794.09,2022,1
11,2022-02-28,29608499383.77,2022,2
11,2022-03-31,30085881577.46,2022,3
11,2022-04-30,30473248982.11,2022,4
11,2022-05-31,31035302561.37,2022,5
11,2022-06-30,31717862929.86,2022,6
11,2022-07-31,32436842167.06,2022,7
11,2022-08-31,33387231384.13,2022,8
11,2022-09-30,34051580945.76,2022,9
11,2022-10-31,34836131173.62,2022,10
11,2022-11-30,35392589815.74,2022,11
11,2022-12-31,35962584061.11,2022,12
11,2023-01-31,36539124755.03,2023,1
11,2023-02-28,36762989387.04,2023,2
11,2023-03-31,37086638479.19,2023,3
11,2023-04-30,37133465890.65,2023,4
11,2023-05-31,37407188938.49,2023,5
11,2023-06-30,37565068665.21,2023,6
11,2023-07-31,37978255771.39,2023,7
11,2023-08-31,38706692575.73,2023,8
11,2023-09-30,39222265662.77,2023,9
11,2023-10-31,39892629534.4,2023,10
11,2023-11-30,40554279427.48,2023,11
11,2023-12-31,41142990845.02,2023,12
12,2022-01-31,7520599662.34,2022,1
12,2022-02-28,7632577904.48,2022,2
12,2022-03-31,7762851953.16,2022,3
12,2022-04-30,7949392292.56,2022,4
12,2022-05-31,8142392810.61,2022,5
12,2022-06-30,8313286848.59,2022,6
12,2022-07-31,8480036249.37,2022,7
12,2022-08-31,8687082999.82,2022,8
12,2022-09-30,8834300208.13,2022,9
12,2022-10-31,9010998783.34,2022,10
12,2022-11-30,9186461737.81,2022,11
12,2022-12-31,9321010521.81,2022,12
12,2023-01-31,9372322411.18,2023,1
12,2023-02-28,9458695811.75,2023,2
12,2023-03-31,9586864667.7,2023,3
12,2023-04-30,9717783824.43,2023,4
12,2023-05-31,9827504754.17,2023,5
12,2023-06-30,9905250162.72,2023,6
12,2023-07-31,10015709865.83,2023,7
12,2023-08-31,10183836625.41,2023,8
12,2023-09-30,10356696665.4,2023,9
12,2023-10-31,10511448577.31,2023,10
12,2023-11-30,10721013239.74,2023,11
12,2023-12-31,10897970203.13,2023,12
13,2022-01-31,25564269760.29,2022,1
13,2022-02-28,25888353840.6,2022,2
13,2022-03-31,26380966187.86,2022,3
13,2022-04-30,26976610514.44,2022,4
13,2022-05-31,27700864820.21,2022,5
13,2022-06-30,28207312563.04,2022,6
13,2022-07-31,28679360467.72,2022,7
13,2022-08-31,29254616548.89,2022,8
13,2022-09-30,29660402559.38,2022,9
13,2022-10-31,30220046841.97,2022,10
13,2022-11-30,30783415108.1,2022,11
13,2022-12-31,31013651455.96,2022,12
13,2023-01-31,31211021281.52,2023,1
13,2023-02-28,31287146785.9,2023,2
13,2023-03-31,31596036666.82,2023,3
13,2023-04-30,31784238168.53,2023,4
13,2023-05-31,32026260511.14,2023,5
13,2023-06-30,31956846147.7,2023,6
13,2023-07-31,32167587500.12,2023,7
13,2023-08-31,32507307520.44,2023,8
13,2023-09-30,32741913366.17,2023,9
13,2023-10-31,33124454122.28,2023,10
13,2023-11-30,33565505954.15,2023,11
13,2023-12-31,33735647869.58,2023,12
14,2022-01-31,5838857026.33,2022,1
14,2022-02-28,5899260324.32,2022,2
14,2022-03-31,6022430240.56,2022,3
14,2022-04-30,6157825110.86,2022,4
14,2022-05-31,6300760739.5199995,2022,5
14,2022-06-30,6401932495.33,2022,6
14,2022-07-31,6501774067.62,2022,7
14,2022-08-31,6663357029.94,2022,8
14,2022-09-30,6761684767.85,2022,9
14,2022-10-31,6887955765.95,2022,10
14,2022-11-30,7047237807.48,2022,11
14,2022-12-31,7167756978.09,2022,12
14,2023-01-31,7380986540.21,2023,1
14,2023-02-28,7506415052.57,2023,2
14,2023-03-31,7659999726.86,2023,3
14,2023-04-30,7743939584.08,2023,4
14,2023-05-31,7863131680.62,2023,5
14,2023-06-30,7882208170.81,2023,6
14,2023-07-31,8016810747.45,2023,7
14,2023-08-31,8169174423.06,2023,8
14,2023-09-30,8271628143.65,2023,9
14,2023-10-31,8402336659.42,2023,10
14,2023-11-30,8535124066.23,2023,11
14,2023-12-31,8637006047.18,2023,12
15,2022-01-31,58330053652.4,2022,1
15,2022-02-28,58950052974.5,2022,2
15,2022-03-31,59999535370.22,2022,3
15,2022-04-30,61412697313.45,2022,4
15,2022-05-31,62831880690.51,2022,5
15,2022-06-30,64070295212.46,2022,6
15,2022-07-31,65545769547.340004,2022,7
15,2022-08-31,67161915176.1,2022,8
15,2022-09-30,68468177801.5,2022,9
15,2022-10-31,69838948116.95,2022,10
15,2022-11-30,71481276007.26,2022,11
15,2022-12-31,72520942626.7,2022,12
15,2023-01-31,73343713446.08,2023,1
15,2023-02-28,73876337741.15,2023,2
15,2023-03-31,74760993476.12,2023,3
15,2023-04-30,75321227327.86,2023,4
15,2023-05-31,76241150077.76,2023,5
15,2023-06-30,76377308412.38,2023,6
15,2023-07-31,77058674756.25,2023,7
15,2023-08-31,78384326135.74,2023,8
15,2023-09-30,79224154792.65,2023,9
15,2023-10-31,80171813932.61,2023,10
15,2023-11-30,81576028139.26,2023,11
15,2023-12-31,82463277999.32,2023,12
16,2022-01-31,7038144516.96,2022,1
16,2022-02-28,7110181157.4800005,2022,2
16,2022-03-31,7196293694.75,2022,3
16,2022-04-30,7339092916.79,2022,4
16,2022-05-31,7482630571.2,2022,5
16,2022-06-30,7556313665.49,2022,6
16,2022-07-31,7667889414.8,2022,7
16,2022-08-31,7805408397.9,2022,8
16,2022-09-30,7951605124.61,2022,9
16,2022-10-31,8107037884.21,2022,10
16,2022-11-30,8265718297.33,2022,11
16,2022-12-31,8337865636.67,2022,12
16,2023-01-31,8461990276.02,2023,1
16,2023-02-28,8514784494.03,2023,2
16,2023-03-31,8619950186.3,2023,3
16,2023-04-30,8765266591.539999,2023,4
16,2023-05-31,8817515964.52,2023,5
16,2023-06-30,8832116223.65,2023,6
16,2023-07-31,8926934576.89,2023,7
16,2023-08-31,9055471669.48,2023,8
16,2023-09-30,9201754469.81,2023,9
16,2023-10-31,9319911707.369999,2023,10
16,2023-11-30,9491690968.96,2023,11
16,2023-12-31,9599916033.49,2023,12
17,2022-01-31,19907720828.65,2022,1
17,2022-02-28,20139339160.63,2022,2
17,2022-03-31,20479777093.97,2022,3
17,2022-04-30,20769048369.43,2022,4
17,2022-05-31,21006472597.06,2022,5
17,2022-06-30,21520518235.56,2022,6
17,2022-07-31,22144193656.42,2022,7
17,2022-08-31,22860337599.9,2022,8
17,2022-09-30,23457773721.7,2022,9
17,2022-10-31,23993020733.24,2022,10
17,2022-11-30,24523331764.34,2022,11
17,2022-12-31,24985071206.51,2022,12
17,2023-01-31,26050486999.0,2023,1
17,2023-02-28,26421087490.45,2023,2
17,2023-03-31,26892815409.94,2023,3
17,2023-04-30,27016700100.39,2023,4
17,2023-05-31,27019674319.53,2023,5
17,2023-06-30,27137919752.57,2023,6
17,2023-07-31,27598627753.579998,2023,7
17,2023-08-31,28227709994.12,2023,8
17,2023-09-30,28787354301.62,2023,9
17,2023-10-31,29463911646.03,2023,10
17,2023-11-30,30189940269.11,2023,11
17,2023-12-31,30770678510.1,2023,12
21,2022-01-31,48782921939.96,2022,1
21,2022-02-28,49331900370.17,2022,2
21,2022-03-31,50024942013.53,2022,3
21,2022-04-30,51017612682.1,2022,4
