date,year,month,selic_aa_pct
2012-01-01,2012,1,10.7
2012-02-01,2012,2,10.4
2012-03-01,2012,3,9.82
2012-04-01,2012,4,9.35
2012-05-01,2012,5,8.87
2012-06-01,2012,6,8.39
2012-07-01,2012,7,8.07
2012-08-01,2012,8,7.85
2012-09-01,2012,9,7.39
2012-10-01,2012,10,7.23
2012-11-01,2012,11,7.14
2012-12-01,2012,12,7.16
2013-01-01,2013,1,7.11
2013-02-01,2013,2,7.12
2013-03-01,2013,3,7.15
2013-04-01,2013,4,7.26
2013-05-01,2013,5,7.42
2013-06-01,2013,6,7.9
2013-07-01,2013,7,8.23
2013-08-01,2013,8,8.45
2013-09-01,2013,9,8.9
2013-10-01,2013,10,9.25
2013-11-01,2013,11,9.45
2013-12-01,2013,12,9.9
2014-01-01,2014,1,10.17
2014-02-01,2014,2,10.43
2014-03-01,2014,3,10.65
2014-04-01,2014,4,10.87
2014-05-01,2014,5,10.9
2014-06-01,2014,6,10.9
2014-07-01,2014,7,10.9
2014-08-01,2014,8,10.9
2014-09-01,2014,9,10.9
2014-10-01,2014,10,10.92
2014-11-01,2014,11,11.15
2014-12-01,2014,12,11.58
2015-01-01,2015,1,11.82
2015-02-01,2015,2,12.15
2015-03-01,2015,3,12.58
2015-04-01,2015,4,12.68
2015-05-01,2015,5,13.15
2015-06-01,2015,6,13.58
2015-07-01,2015,7,13.69
2015-08-01,2015,8,14.15
2015-09-01,2015,9,14.15
2015-10-01,2015,10,14.15
2015-11-01,2015,11,14.15
2015-12-01,2015,12,14.15
2016-01-01,2016,1,14.15
2016-02-01,2016,2,14.15
2016-03-01,2016,3,14.15
2016-04-01,2016,4,14.15
2016-05-01,2016,5,14.15
2016-06-01,2016,6,14.15
2016-07-01,2016,7,14.15
2016-08-01,2016,8,14.15
2016-09-01,2016,9,14.15
2016-10-01,2016,10,14.05
2016-11-01,2016,11,13.9
2016-12-01,2016,12,13.65
2017-01-01,2017,1,13.17
2017-02-01,2017,2,12.82
2017-03-01,2017,3,12.15
2017-04-01,2017,4,11.59
2017-05-01,2017,5,11.15
2017-06-01,2017,6,10.15
2017-07-01,2017,7,10.01
2017-08-01,2017,8,9.15
2017-09-01,2017,9,8.35
2017-10-01,2017,10,8.01
2017-11-01,2017,11,7.4
2017-12-01,2017,12,7.0
2018-01-01,2018,1,6.9
2018-02-01,2018,2,6.72
2018-03-01,2018,3,6.58
2018-04-01,2018,4,6.4
2018-05-01,2018,5,6.4
2018-06-01,2018,6,6.4
2018-07-01,2018,7,6.4
2018-08-01,2018,8,6.4
2018-09-01,2018,9,6.4
2018-10-01,2018,10,6.4
2018-11-01,2018,11,6.4
2018-12-01,2018,12,6.4
2019-01-01,2019,1,6.4
2019-02-01,2019,2,6.4
2019-03-01,2019,3,6.4
2019-04-01,2019,4,6.4
2019-05-01,2019,5,6.4
2019-06-01,2019,6,6.4
2019-07-01,2019,7,6.4
2019-08-01,2019,8,5.9
2019-09-01,2019,9,5.71
2019-10-01,2019,10,5.38
2019-11-01,2019,11,4.9
2019-12-01,2019,12,4.59
2020-01-01,2020,1,4.4
2020-02-01,2020,2,4.19
2020-03-01,2020,3,3.95
2020-04-01,2020,4,3.65
2020-05-01,2020,5,3.01
2020-06-01,2020,6,2.58
2020-07-01,2020,7,2.15
2020-08-01,2020,8,1.94
2020-09-01,2020,9,1.9
2020-10-01,2020,10,1.9
2020-11-01,2020,11,1.9
2020-12-01,2020,12,1.9
2021-01-01,2021,1,1.9
2021-02-01,2021,2,1.9
2021-03-01,2021,3,2.23
2021-04-01,2021,4,2.65
2021-05-01,2021,5,3.29
2021-06-01,2021,6,3.76
2021-07-01,2021,7,4.15
2021-08-01,2021,8,5.01
2021-09-01,2021,9,5.43
2021-10-01,2021,10,6.3
2021-11-01,2021,11,7.65
2021-12-01,2021,12,8.76
2022-01-01,2022,1,9.15
2022-02-01,2022,2,10.49
2022-03-01,2022,3,11.15
2022-04-01,2022,4,11.65
2022-05-01,2022,5,12.51
2022-06-01,2022,6,12.89
2022-07-01,2022,7,13.15
2022-08-01,2022,8,13.58
2022-09-01,2022,9,13.65
2022-10-01,2022,10,13.65
2022-11-01,2022,11,13.65
2022-12-01,2022,12,13.65
