ref_month_yyyymm,year,month,n_obs,n_unmatched,unmatched_share,total_weight,national_share_PH2M,national_share_WH2M,national_share_Ricardian,national_share_H2M,excluded_missing_weight,raw_rows_with_known_month,raw_rows_total,included_rows_total,missing_ref_month_total,missing_weight_monthly_total,excluded_monthly_total,under_15_or_missing_age_total,missing_uf_total,unmatched_rows_total,n_batches,covid_q2q3_2020
201201,2012,1,132423,60641,0.45793404469012183,149365044.1967473,0.4675649735151454,0.20873395338841913,0.32370107309643537,0.6762989269035645,0,175264,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201202,2012,2,128661,58574,0.4552583922089833,149151159.60983953,0.4684793460861227,0.20838164119129843,0.32313901272257883,0.6768609872774212,0,170979,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201203,2012,3,131515,59418,0.45179637303729614,149034967.6714165,0.46841599588387495,0.20838613441337211,0.3231978697027529,0.6768021302972471,0,174341,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201204,2012,4,140035,62684,0.44763094940550574,149980991.54992896,0.47010334866592257,0.20816599793028895,0.3217306534037885,0.6782693465962115,0,185020,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201205,2012,5,138150,62168,0.4500036192544336,149719353.36213985,0.4695276105560227,0.20895888955114067,0.3215134998928367,0.6784865001071634,0,182918,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201206,2012,6,137957,62207,0.4509158650883971,149878286.51435655,0.46726741255405596,0.2091395142690797,0.32359307317686437,0.6764069268231356,0,182156,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201207,2012,7,140649,63137,0.4488976103633869,150527122.62590852,0.4690106658510614,0.20810390455911879,0.32288542958981975,0.6771145704101802,0,185152,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201208,2012,8,139919,62896,0.4495172206776778,150393013.39862397,0.46917850563021385,0.2088908403467821,0.3219306540230041,0.678069345976996,0,184783,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201209,2012,9,139609,62944,0.4508591852960769,150644417.42445898,0.4646345097193418,0.20967594945361595,0.32568954082704227,0.6743104591729577,0,183872,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201210,2012,10,141327,63457,0.4490083282033865,151071443.19167706,0.46686258740426967,0.20842275700765742,0.324714655588073,0.6752853444119271,0,185689,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201211,2012,11,139048,62694,0.4508802715608998,151160124.47238323,0.46835494565354346,0.20802177435881136,0.3236232799876451,0.6763767200123548,0,183203,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201212,2012,12,137973,62246,0.4511462387568582,151208265.11563712,0.46486287665926945,0.20841524232660624,0.32672188101412447,0.6732781189858756,0,181119,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201301,2013,1,141624,64238,0.4535813139015986,151495407.42665315,0.4659584346683653,0.20845964646699508,0.32558191886463955,0.6744180811353604,0,185888,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201302,2013,2,141142,63803,0.45204829179124567,151515328.09917575,0.46724753439713435,0.20808264253615028,0.3246698230667154,0.6753301769332847,0,185603,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201303,2013,3,142967,64720,0.4526918799443228,152026896.14421,0.46342804489121886,0.20909436426207434,0.3274775908467068,0.6725224091532932,0,187079,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201304,2013,4,145250,65960,0.4541135972461274,152246388.26497832,0.46482939012747704,0.20919404995632876,0.32597655991619423,0.6740234400838058,0,190542,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201305,2013,5,143547,64726,0.4509045817746104,151929444.3888506,0.46618260044896026,0.2088258563147033,0.3249915432363365,0.6750084567636636,0,188799,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201306,2013,6,142961,64486,0.4510740691517267,152374045.64071766,0.4633498202619727,0.2095784256020876,0.32707175413593964,0.6729282458640603,0,187458,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201307,2013,7,144731,65583,0.45313719935604674,152733478.30866018,0.4631467906021701,0.20875146608531736,0.3281017433125125,0.6718982566874875,0,189580,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201308,2013,8,142551,64592,0.4531150254996457,152384621.47421855,0.46293340127581484,0.2095931863149307,0.3274734124092544,0.6725265875907456,0,187336,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201309,2013,9,143622,64846,0.4515046441352996,152902970.53146246,0.4627756671775085,0.20910997876045226,0.32811435406203915,0.6718856459379607,0,188076,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201310,2013,10,146067,66385,0.45448321660607804,153061292.6011573,0.4629770399420998,0.20774493535359093,0.3292780247043094,0.6707219752956908,0,190944,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201311,2013,11,141842,64205,0.4526515418564318,152631068.72186565,0.46402734342425567,0.20863784820719222,0.3273348083685523,0.6726651916314479,0,186042,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201312,2013,12,141819,64315,0.45350058877865446,153595278.7106735,0.45994497813193463,0.20879980100812617,0.33125522085993914,0.6687447791400608,0,185152,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201401,2014,1,146616,67154,0.4580264091231516,153558989.97347215,0.4616369486142367,0.20952516362630555,0.32883788775945777,0.6711621122405422,0,191210,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201402,2014,2,142600,64450,0.4519635343618513,152903214.8252747,0.46518380969024264,0.20688673680121608,0.3279294535085413,0.6720705464914587,0,186565,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201403,2014,3,144708,65673,0.4538311634463886,154264978.34039882,0.4615462006333515,0.20768365211518414,0.3307701472514644,0.6692298527485356,0,188452,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201404,2014,4,147130,66974,0.4552028818052063,154022638.50246376,0.4619761866893924,0.20861706196776844,0.3294067513428392,0.6705932486571609,0,191246,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201405,2014,5,142456,64426,0.45225192340090975,153583192.06825358,0.4625761378867501,0.20809057320471894,0.3293332889085309,0.670666711091469,0,185924,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201406,2014,6,144341,65666,0.4549365738078578,154401561.22857627,0.4613541710165617,0.20864984715518312,0.3299959818282553,0.6700040181717448,0,187595,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201407,2014,7,147097,66792,0.4540677240188447,154459718.32285675,0.4628873480286195,0.20819343405099144,0.3289192179203889,0.671080782079611,0,190813,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201408,2014,8,143631,65046,0.4528688096580822,154039503.2178396,0.46160569100078197,0.20812511441508308,0.330269194584135,0.669730805415865,0,186615,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201409,2014,9,146917,66567,0.4530925624672434,154904838.95014745,0.46019874886238393,0.20867167493510436,0.33112957620251177,0.6688704237974883,0,190266,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201410,2014,10,148998,67659,0.45409334353481257,155013051.7095636,0.46140387322835313,0.20721663332642545,0.3313794934452214,0.6686205065547786,0,192848,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201411,2014,11,143827,65016,0.4520430795330501,154416000.67054904,0.46093506609626006,0.20878035814475515,0.33028457575898484,0.6697154242410153,0,186504,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201412,2014,12,144654,65690,0.4541181025066711,155508777.5990337,0.457939899995814,0.21001336510363813,0.3320467349005477,0.6679532650994522,0,186962,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201501,2015,1,147369,67001,0.4546478567405628,155585594.09392855,0.46279879777888,0.20809107739946708,0.32911012482165286,0.6708898751783471,0,190112,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201502,2015,2,143811,65343,0.45436719027056344,155149143.6705179,0.46231913432444854,0.20895818033164348,0.32872268534390786,0.671277314656092,0,185675,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201503,2015,3,146300,66639,0.45549555707450445,155818723.11800927,0.4599695053207099,0.20875193659755198,0.3312785580817382,0.6687214419182619,0,188587,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201504,2015,4,147819,67258,0.4550024015857231,156004661.54616573,0.4637860909446056,0.20809484746690837,0.3281190615884862,0.671880938411514,0,190379,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201505,2015,5,144161,65092,0.4515229500350303,155729883.23583248,0.462204597160729,0.20988409208149356,0.3279113107577774,0.6720886892422225,0,186146,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201506,2015,6,146739,66428,0.45269492091400376,156495848.20520568,0.4627228332241856,0.20909569360006516,0.32818147317574925,0.6718185268242508,0,188730,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201507,2015,7,148257,67068,0.4523766162811874,156559393.85437593,0.46566676675511487,0.20843176937897395,0.32590146386591107,0.6740985361340888,0,190489,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201508,2015,8,144149,65084,0.45150503992396757,156302150.85613152,0.46448989878106356,0.20917971665781182,0.3263303845611246,0.6736696154388754,0,185821,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201509,2015,9,146242,66012,0.4513887939169322,156925715.1237075,0.4646715356472488,0.20746097376870706,0.32786749058404413,0.6721325094159558,0,187670,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201510,2015,10,145078,65787,0.4534595183280718,157022997.7145123,0.4666117287841933,0.20859350209369423,0.32479476912211247,0.6752052308778875,0,185963,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201511,2015,11,142420,65008,0.45645274540092684,156950764.86651585,0.4636639822183682,0.20895085586492282,0.3273851619167089,0.672614838083291,0,183370,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201512,2015,12,143102,65105,0.45495520677558665,157409397.93498194,0.46280174839443855,0.20910505027712836,0.328093201328433,0.6719067986715669,0,183300,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201601,2016,1,145688,66368,0.4555488441052111,157095425.31800723,0.46661747450325686,0.20803349496334417,0.325349030533399,0.674650969466601,0,186151,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201602,2016,2,142785,65134,0.4561683650243373,157603058.71245995,0.4641209265078293,0.20988120914178132,0.32599786435038924,0.6740021356496106,0,183243,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201603,2016,3,145118,65774,0.45324494549263356,158004555.64668867,0.46164873371427684,0.2096746249535893,0.32867664133213387,0.6713233586678662,0,185613,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201604,2016,4,146308,66414,0.4539327993001066,158064880.07700354,0.4677194850351596,0.20779008464873913,0.3244904303161013,0.6755095696838987,0,186417,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201605,2016,5,143105,64922,0.4536668879494078,157880853.4893041,0.46670381281559126,0.20911571391580963,0.3241804732685991,0.6758195267314009,0,183333,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201606,2016,6,146101,66655,0.456225487847448,158073696.3202268,0.4642214846470382,0.20976962923090123,0.32600888612206047,0.6739911138779394,0,186681,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201607,2016,7,146300,66856,0.4569788106630212,158593766.40757662,0.46773154499830527,0.2081966417290516,0.32407181327264317,0.6759281867273569,0,186291,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201608,2016,8,142726,64969,0.4552008744027017,158095630.2575828,0.4670214842012385,0.20934353869668995,0.3236349771020715,0.6763650228979284,0,182761,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201609,2016,9,146604,67447,0.46006248124198523,158435307.2342658,0.46271453204935353,0.2106337836237243,0.3266516843269222,0.6733483156730778,0,187474,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201610,2016,10,146368,66867,0.45684165937909926,158928473.2580063,0.46777904947768867,0.20863195308237958,0.32358899743993186,0.6764110025600683,0,186305,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201611,2016,11,142946,65091,0.4553537699550879,158440447.25473693,0.46774263864838617,0.20935448407159962,0.32290287728001427,0.6770971227199858,0,182525,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201612,2016,12,145130,66389,0.45744504926617513,159104485.73572612,0.46508128918973735,0.2101777934517506,0.32474091735851196,0.6752590826414879,0,185253,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201701,2017,1,146789,67633,0.4607497837031385,159675754.54208615,0.46575847587300834,0.20847316275373243,0.3257683613732594,0.6742316386267407,0,186299,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201702,2017,2,142950,65183,0.4559846100034977,158714355.19610557,0.4668866657804179,0.20927671143014778,0.32383662278943426,0.6761633772105656,0,182325,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201703,2017,3,146581,66921,0.45654620994535444,159408489.51850703,0.46371707805111495,0.2091823687384306,0.32710055321045445,0.6728994467895455,0,186802,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201704,2017,4,145825,66599,0.4567049545688325,159963849.3159417,0.46715838122648157,0.2089148210145196,0.32392679775899874,0.6760732022410012,0,184837,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201705,2017,5,142442,65062,0.45676134847867905,158965932.5205564,0.46558238226786874,0.21005947122043878,0.3243581465116924,0.6756418534883075,0,181521,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201706,2017,6,145665,66037,0.4533484364809666,160141327.69661203,0.46447847977266177,0.21008084041922775,0.3254406798081104,0.6745593201918896,0,185229,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201707,2017,7,145686,66425,0.4559463503699738,160583566.97940686,0.46572201065082236,0.20996697569218203,0.3243110136569957,0.6756889863430044,0,184304,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201708,2017,8,142864,65192,0.4563220965393661,159326745.13435826,0.46472389089021765,0.21075704974309792,0.32451905936668435,0.6754809406333155,0,181827,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201709,2017,9,145192,66000,0.45457049975205244,160464482.10325384,0.46240290054614247,0.2115686906692475,0.32602840878461,0.67397159121539,0,184224,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201710,2017,10,145907,66575,0.4562837972132934,160952664.61985725,0.4654824372692783,0.2100020769126184,0.3245154858181033,0.6754845141818967,0,184469,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201711,2017,11,142335,64460,0.45287525907190784,159921616.89113185,0.4652194097462866,0.21156087710329674,0.32321971315041664,0.6767802868495834,0,180859,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201712,2017,12,142549,65062,0.4564184946930529,160973595.7104177,0.46146797957541674,0.21101807237675962,0.3275139480478237,0.6724860519521764,0,180589,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201801,2018,1,145779,66929,0.45911276658503625,161467157.49991277,0.46432556916507334,0.20916378288357967,0.32651064795134693,0.673489352048653,0,184068,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201802,2018,2,141759,64795,0.4570785629131131,160328381.28061742,0.46280116587718023,0.21167696545916762,0.325521868663652,0.6744781313363478,0,180074,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201803,2018,3,142957,65567,0.45864840476506924,161045575.12232518,0.46174615627488896,0.21196488890290424,0.3262889548222068,0.6737110451777932,0,181250,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201804,2018,4,143941,66149,0.4595563460028762,161565875.1389039,0.4634920311912034,0.21097766705337032,0.32553030175542624,0.6744696982445737,0,181420,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201805,2018,5,141602,64996,0.45900481631615375,160567859.9517409,0.4595732419360642,0.2124682573909349,0.327958500673001,0.6720414993269991,0,179557,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201806,2018,6,141849,64986,0.45813505911215446,161699111.394113,0.4607777770828186,0.21112187950592734,0.32810034341125405,0.671899656588746,0,179350,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201807,2018,7,145556,66569,0.4573428783423562,161958470.92183524,0.46356248570318437,0.21129071526679402,0.3251467990300216,0.6748532009699784,0,183362,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201808,2018,8,142450,64678,0.45404001404001404,160981058.25616708,0.46141490859068873,0.21263721031514096,0.32594788109417033,0.6740521189058297,0,180494,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201809,2018,9,142826,64888,0.454315040678868,162084325.83665445,0.46224416006870145,0.21153693507640428,0.32621890485489413,0.6737810951451058,0,180295,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201810,2018,10,146112,66356,0.45414476565922035,162186821.46422017,0.4645111732535169,0.21148427417082577,0.3240045525756574,0.6759954474243426,0,184042,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201811,2018,11,141460,64174,0.4536547433903577,161536785.28355026,0.462368885986494,0.2121867136930525,0.3254444003204535,0.6745555996795465,0,178960,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201812,2018,12,140286,64311,0.458427783242804,162478631.29091233,0.45974099946276487,0.21140037451509172,0.3288586260221434,0.6711413739778566,0,176908,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201901,2019,1,145293,66673,0.4588865258477697,162540854.55097747,0.46284477161023785,0.21022131124216603,0.3269339171475962,0.6730660828524039,0,182797,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201902,2019,2,140404,64277,0.45780034756844534,161883946.8542532,0.4583989943687462,0.21299555126284378,0.32860545436841,0.67139454563159,0,177572,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201903,2019,3,141944,65100,0.45863157301471,162743436.23691872,0.46071203367667757,0.2119354021660639,0.3273525641572585,0.6726474358427414,0,179028,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201904,2019,4,144487,65641,0.45430384740495683,162551362.97888136,0.465932703385327,0.21060479843273955,0.3234624981819335,0.6765375018180666,0,181978,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201905,2019,5,140978,64207,0.4554398558640355,162255549.44967145,0.4610847722707824,0.21425090084097517,0.3246643268882423,0.6753356731117576,0,178144,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201906,2019,6,141725,64451,0.45476098077262306,163399721.3482438,0.4633692218943457,0.2118456758778026,0.3247851022278517,0.6752148977721483,0,178705,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201907,2019,7,144998,66100,0.45586835680492144,163082984.04821616,0.46330896650247416,0.21198877197836644,0.32470226151915926,0.6752977384808406,0,182524,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201908,2019,8,140230,63737,0.45451757826428013,162635735.16432554,0.46314727026100616,0.21224017422865393,0.32461255551034,0.6753874444896601,0,177222,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201909,2019,9,142610,64857,0.4547857793983592,163594852.99791434,0.46364903285309683,0.21148810474294652,0.32486286240395656,0.6751371375960433,0,179599,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201910,2019,10,143893,65136,0.45266969206285224,163288827.30492243,0.46751417748982055,0.2109286703080081,0.3215571522021714,0.6784428477978286,0,181220,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201911,2019,11,138872,63928,0.46033757704936923,162946522.9056364,0.4607535883618534,0.21345347809146384,0.32579293354668276,0.6742070664533172,0,175277,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
201912,2019,12,139320,64012,0.4594602354292277,164119249.31719285,0.4613088988785821,0.21226922327784611,0.3264218778435718,0.6735781221564282,0,175083,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202001,2020,1,143485,65865,0.4590375300554065,163411690.20464337,0.46466637493292523,0.21029716741734608,0.3250364576497287,0.6749635423502713,0,180440,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202002,2020,2,137525,63390,0.46093437556807854,163098879.22626585,0.46100450518671154,0.21184679383459876,0.32714870097868975,0.6728512990213102,0,173317,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202003,2020,3,97764,45932,0.46982529356409314,164828614.39923683,0.45660781780646925,0.2109651882727747,0.33242699392075603,0.667573006079244,0,122189,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,0
202004,2020,4,97897,48742,0.4978906401626199,163983379.84930712,0.4459495253725689,0.2122305740976949,0.3418199005297362,0.6581800994702638,0,121835,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,1
202005,2020,5,98451,49474,0.5025240982823943,163672089.19838667,0.44036114494670214,0.215641561932401,0.34399729312089683,0.6560027068791031,0,122886,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,1
202006,2020,6,91451,45987,0.5028594547899968,164384317.16457245,0.4428303053359777,0.21326931974281882,0.34390037492120346,0.6560996250787965,0,113713,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,1
202007,2020,7,98480,49683,0.5044983753046304,163582818.24947667,0.44282433845637825,0.21385006648560137,0.3433255950580203,0.6566744049419796,0,122675,28893767,22072331,880386,880386,880386,6103911,0,10163393,58,1
