exclusion_reason,n,weight,age,sex,breakdown
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,49,44046.27308721,,,reason_total
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,1270.12035412,18.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,585.4837106,21.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,2588.53288046,23.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,179.08974798,27.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,405.89403591,30.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,2,1081.64496968,31.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,2,1419.5725619099999,31.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,609.5260486,32.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,775.28234387,33.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,676.45005858,34.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,700.3270833,34.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,2585.41295677,37.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,284.12890046,39.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,341.49911134,41.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,533.48895822,43.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,789.26657026,44.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,2,600.29407766,45.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,474.68089702,45.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,492.78221177,46.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,192.28646245,47.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,1239.85833199,52.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,939.19149732,53.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,613.39982293,54.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,947.25375665,54.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,492.63222565,56.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,3,2761.0163053899996,58.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,3,2773.5832779,60.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,2,498.55940297,61.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,2,3966.58854317,62.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,1970.15287163,62.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,769.62720551,63.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,121.94328552,65.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,2588.53288046,65.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,675.93908188,68.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,1489.87255504,69.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,520.53934101,70.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,1443.33636005,71.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,663.0173241,74.0,1.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,623.35831673,77.0,2.0,reason_age_sex
nonpositive_monthly_income|invalid_liquid_ratio|invalid_illiquid_ratio,1,2362.10676035,79.0,1.0,reason_age_sex
