horizon,type,irf,irf_se,irf_pval,irf_ci_lower,irf_ci_upper
0,PH2M,-0.030884449007534242,0.05828672695902354,0.5962017323366966,-0.14512643384722038,0.08335753583215189
0,WH2M,0.07313944130267916,0.031460624945553774,0.020083438340431192,0.011476616409393764,0.13480226619596455
0,Ricardian,-0.1003412427959319,0.05663661862266281,0.07645036153666893,-0.211349015296351,0.010666529704487199
1,PH2M,-0.03995505318877075,0.12025246709986044,0.7396938469335507,-0.2756498887044972,0.1957397823269557
1,WH2M,0.1553230098809282,0.061607256058467216,0.01169698225632883,0.034572788006332456,0.27607323175552395
1,Ricardian,-0.04850506426043167,0.10022148761366254,0.6284014497054102,-0.24493917998321024,0.14792905146234692
2,PH2M,-0.0910302325787968,0.3395731354666744,0.7886454358237242,-0.7565935780934786,0.5745331129358849
2,WH2M,0.4491395839742545,0.0920075055103562,1.0549796510926976e-6,0.26880487317395635,0.6294742947745526
2,Ricardian,-0.030638141218897075,0.12662897270132267,0.8088179204570116,-0.2788309277134895,0.21755464527569535
3,PH2M,0.22955241103582008,0.3012211991145984,0.44604714968616266,-0.36084113922879274,0.819945961300433
3,WH2M,-0.10725060521660629,0.19509648455794298,0.582511441960639,-0.48963971495017455,0.275138504516962
3,Ricardian,0.24798851848493095,0.12656394866840434,0.05008164359675282,-7.682090514155027e-5,0.49605385787500345
4,PH2M,NA,NA,NA,NA,NA
4,WH2M,NA,NA,NA,NA,NA
4,Ricardian,NA,NA,NA,NA,NA
5,PH2M,NA,NA,NA,NA,NA
5,WH2M,NA,NA,NA,NA,NA
5,Ricardian,NA,NA,NA,NA,NA
6,PH2M,NA,NA,NA,NA,NA
6,WH2M,NA,NA,NA,NA,NA
6,Ricardian,NA,NA,NA,NA,NA
7,PH2M,NA,NA,NA,NA,NA
7,WH2M,NA,NA,NA,NA,NA
7,Ricardian,NA,NA,NA,NA,NA
8,PH2M,NA,NA,NA,NA,NA
8,WH2M,NA,NA,NA,NA,NA
8,Ricardian,NA,NA,NA,NA,NA
