h,dr,dy,dC_ph2m,dC_wh2m,dC_ric,dC_ric_income,dC_ric_substitution,dC_agg,cum_dC_agg
0,0.0025,-0.00075,-0.000571875,-0.000372,-0.0010525,-5.2499999999999995e-05,-0.001,-0.0007885984052550437,-0.0007885984052550437
1,0.0017499999999999998,-0.000525,-0.00040031249999999995,-0.0002604,-0.00073675,-3.674999999999999e-05,-0.0007,-0.0005520188836785306,-0.0013406172889335742
2,0.001225,-0.0003675,-0.00028021875,-0.00018228,-0.000515725,-2.5724999999999995e-05,-0.00049,-0.0003864132185749714,-0.0017270305075085457
3,0.0008574999999999998,-0.00025724999999999994,-0.00019615312499999995,-0.00012759599999999998,-0.00036100749999999995,-1.8007499999999993e-05,-0.00034299999999999993,-0.0002704892530024799,-0.0019975197605110254
4,0.0006002499999999999,-0.00018007499999999995,-0.00013730718749999996,-8.931719999999997e-05,-0.00025270524999999996,-1.2605249999999994e-05,-0.00024009999999999995,-0.00018934247710173594,-0.0021868622376127614
5,0.00042017499999999985,-0.00012605249999999996,-9.611503124999997e-05,-6.252203999999998e-05,-0.00017689367499999995,-8.823674999999996e-06,-0.00016806999999999995,-0.00013253973397121517,-0.0023194019715839765
6,0.0002941224999999999,-8.823674999999997e-05,-6.728052187499997e-05,-4.376542799999998e-05,-0.00012382557249999998,-6.1765724999999975e-06,-0.00011764899999999997,-9.27778137798506e-05,-0.002412179785363827
7,0.0002058857499999999,-6.176572499999997e-05,-4.709636531249997e-05,-3.063579959999998e-05,-8.667790074999996e-05,-4.323600749999997e-06,-8.235429999999997e-05,-6.494446964589541e-05,-0.0024771242550097224
8,0.00014412002499999992,-4.3236007499999974e-05,-3.296745571874998e-05,-2.1445059719999988e-05,-6.067453052499997e-05,-3.026520524999998e-06,-5.7648009999999975e-05,-4.546112875212679e-05,-0.002522585383761849
9,0.00010088401749999995,-3.0265205249999982e-05,-2.3077219003124984e-05,-1.5011541803999991e-05,-4.2472171367499986e-05,-2.1185643674999984e-06,-4.0353606999999985e-05,-3.1822790126488754e-05,-0.002554408173888338
10,7.061881224999995e-05,-2.1185643674999983e-05,-1.6154053302187488e-05,-1.0508079262799991e-05,-2.973051995724998e-05,-1.4829950572499986e-06,-2.824752489999998e-05,-2.2275953088542122e-05,-0.00257668412697688
11,4.9433168574999973e-05,-1.4829950572499991e-05,-1.1307837311531242e-05,-7.355655483959995e-06,-2.081136397007499e-05,-1.0380965400749993e-06,-1.977326742999999e-05,-1.5593167161979488e-05,-0.0025922772941388596
12,3.460321800249998e-05,-1.0380965400749994e-05,-7.91548611807187e-06,-5.148958838771997e-06,-1.4567954779052491e-05,-7.266675780524995e-07,-1.3841287200999992e-05,-1.0915217013385641e-05,-0.0026031925111522454
13,2.422225260174998e-05,-7.266675780524994e-06,-5.540840282650308e-06,-3.6042711871403967e-06,-1.0197568345336742e-05,-5.086673046367495e-07,-9.688901040699991e-06,-7.640651909369946e-06,-0.0026108331630616153
14,1.6955576821224987e-05,-5.086673046367496e-06,-3.878588197855215e-06,-2.522989830998278e-06,-7.138297841735719e-06,-3.560671132457247e-07,-6.782230728489995e-06,-5.348456336558963e-06,-0.0026161816193981742
15,1.1868903774857489e-05,-3.5606711324572465e-06,-2.7150117384986503e-06,-1.7660928816987944e-06,-4.996808489215003e-06,-2.4924697927200725e-07,-4.747561509942996e-06,-3.7439194355912736e-06,-0.0026199255388337653
16,8.308232642400242e-06,-2.4924697927200724e-06,-1.900508216949055e-06,-1.236265017189156e-06,-3.497765942450502e-06,-1.7447288549040506e-07,-3.323293056960097e-06,-2.6207436049138913e-06,-0.002622546282438679
17,5.815762849680169e-06,-1.7447288549040506e-06,-1.3303557518643386e-06,-8.653855120324091e-07,-2.448436159715351e-06,-1.2213101984328354e-07,-2.3263051398720676e-06,-1.834520523439724e-06,-0.002624380802962119
18,4.071033994776118e-06,-1.2213101984328353e-06,-9.312490263050368e-07,-6.057698584226863e-07,-1.7139053118007457e-06,-8.549171389029846e-08,-1.6284135979104472e-06,-1.2841643664078066e-06,-0.002625664967328527
19,2.8497237963432825e-06,-8.549171389029847e-07,-6.518743184135258e-07,-4.2403890089588045e-07,-1.199733718260522e-06,-5.984419972320893e-08,-1.139889518537313e-06,-8.989150564854646e-07,-0.0026265638823850124
20,1.9948066574402973e-06,-5.984419972320892e-07,-4.56312022889468e-07,-2.9682723062711625e-07,-8.398136027823651e-07,-4.189093980624624e-08,-7.979226629761189e-07,-6.292405395398251e-07,-0.0026271931229245524
21,1.3963646602082081e-06,-4.189093980624624e-07,-3.1941841602262754e-07,-2.0777906143898134e-07,-5.878695219476557e-07,-2.9323657864372365e-08,-5.585458640832833e-07,-4.404683776778776e-07,-0.00262763359130223
22,9.774552621457457e-07,-2.932365786437237e-07,-2.2359289121583928e-07,-1.4544534300728693e-07,-4.1150866536335896e-07,-2.0526560505060654e-08,-3.909821048582983e-07,-3.083278643745143e-07,-0.0026279419191666048
23,6.84218683502022e-07,-2.052656050506066e-07,-1.565150238510875e-07,-1.0181174010510088e-07,-2.8805606575435126e-07,-1.436859235354246e-08,-2.736874734008088e-07,-2.1582950506216e-07,-0.002628157748671667
24,4.789530784514153e-07,-1.436859235354246e-07,-1.0956051669576126e-07,-7.12682180735706e-08,-2.0163924602804586e-07,-1.0058014647479722e-08,-1.9158123138056615e-07,-1.51080653543512e-07,-0.0026283088293252107
