t,C_PH2M,C_WH2M,C_RIC,C_total,Y,pi,r,C_PH2M_pct,C_WH2M_pct,C_RIC_pct
0,-0.0005697729724520655,-0.0003980783617963182,-0.0008449529364456727,-0.0018128042706940563,-0.0018128042706940563,-0.0019654859024446055,0.001975313331956828,-0.28334020771891155,-0.16861904546882875,-0.1501265691761699
1,0.002392285056723397,-0.002387273179099751,-0.0012354737994467447,-0.001230461921823104,-0.0012304619218231059,-0.0013676070885040711,0.0009262162702796831,1.189650225032183,-1.0112072480319862,-0.21951215839098115
2,0.003407798658002458,-0.0029138108690624064,-0.0013578163252049506,-0.0008638285362649089,-0.0008638285362649075,-0.0009619952868454353,0.0006653946305235554,1.6946510738606102,-1.234239422612459,-0.2412493023953414
3,0.004063790003940811,-0.0032248280230200554,-0.0014443495678042552,-0.0006053875868835027,-0.0006053875868835029,-0.0006772159714734852,0.00046260912106269947,2.0208664845707385,-1.3659808601227044,-0.25662405082307005
4,0.004362994048623883,-0.0032693099076144365,-0.001518126294926191,-0.0004244421539167498,-0.0004244421539167482,-0.0004776206282824853,0.00032168477421366955,2.1696565119495332,-1.3848226099910301,-0.26973229206364574
5,0.004398083741912386,-0.0031296159638320546,-0.0015661662349763612,-0.0002976984568960455,-0.0002976984568960456,-0.00033766493434381206,0.00022317231659180306,2.187106130421905,-1.3256506938083221,-0.27826776317934926
6,0.004254271821649988,-0.0028647888291792522,-0.0015983992018321113,-0.00020891620936138152,-0.00020891620936138087,-0.00023948316490502372,0.00015435817921383057,2.11559045430227,-1.2134745422137052,-0.2839947386352587
7,0.004005246678248947,-0.0025154776446537352,-0.001636486338289755,-0.00014671730469455,-0.00014671730469454998,-0.0001705626670396197,0.00010631323301728212,1.9917536995421645,-1.0655124217897478,-0.2907618506003147
8,0.0037046791433160958,-0.0021437193168045597,-0.0016640939633445657,-0.00010313413683302701,-0.0001031341368330269,-0.00012214124487990846,7.279370054487835e-05,1.8422856273467956,-0.9080420832761218,-0.29566702088117713
9,0.0033890652122918648,-0.001787598841998844,-0.0016740540572054994,-7.258768691248776e-05,-7.258768691248778e-05,-8.808299456322366e-05,4.943156721617699e-05,1.6853351907710923,-0.7571956663478625,-0.2974366753264348
10,0.0030811746825102487,-0.0014628877624079037,-0.001669457768114964,-5.117084801263338e-05,-5.117084801263365e-05,-6.40909763636614e-05,3.317095690064417e-05,1.5322254946625287,-0.6196537209713087,-0.29662003207644916
11,0.0027938932137443638,-0.0011746028069331115,-0.0016554379504533203,-3.614754364207612e-05,-3.614754364207591e-05,-4.715612018897901e-05,2.1874248494431738e-05,1.3893643991570415,-0.49754124594043697,-0.2941290683372476
12,0.002533333748355243,-0.0009229264386434691,-0.0016360091376605539,-2.5601827948793144e-05,-2.560182794879317e-05,-3.517122833400683e-05,1.4046072767208323e-05,1.2597917858251706,-0.3909355294263237,-0.29067706422916834
13,0.002301178894104825,-0.0007061555605914198,-0.0016132155007774814,-1.819216726409254e-05,-1.8192167264092714e-05,-2.6660640662507595e-05,8.640319367309859e-06,1.1443443922024399,-0.2991151692900986,-0.286627216768199
14,0.0020964419104582193,-0.0005228875728381102,-0.001586533723288523,-1.297938566842337e-05,-1.2979385668423379e-05,-2.0590892935581973e-05,4.925139008248469e-06,1.0425315258874217,-0.22148604868050442,-0.28188654596730306
15,0.00191713901984864,-0.0003713568743879419,-0.0015550883221539438,-9.306176693254668e-06,-9.306176693254671e-06,-1.6238087261226595e-05,2.3885151153847494e-06,0.9533666817719112,-0.15730028983494887,-0.2762995008372382
16,0.0017612003439670537,-0.00024884225290483205,-0.0015190707761228734,-6.7126850606595665e-06,-6.7126850606595826e-06,-1.3094977449664534e-05,6.722252199304532e-07,0.8758205380410977,-0.10540523470751917,-0.2699001022641828
17,0.001625773538517829,-0.00015115080068512504,-0.0014795000939717834,-4.877356139084289e-06,-4.8773561390842445e-06,-1.0805880257371347e-05,-4.7432387343835686e-07,0.8084746633823622,-0.06402484078352308,-0.2628694020972679
18,0.001507369606468436,-7.331655609502303e-05,-0.0014376282638041754,-3.575213430769469e-06,-3.5752134307695975e-06,-9.121084343114019e-06,-1.2263677715472628e-06,0.749594027894807,-0.031055613397369446,-0.2554298466651833
19,0.0014031649945836443,-1.123988697254827e-05,-0.0013945733673596042,-2.648259748512364e-06,-2.6482597485122955e-06,-7.865014811102413e-06,-1.7062526347369864e-06,0.6977745176613879,-0.004761019925665654,-0.24778009055373823
20,0.0013109999286345761,3.821111880193402e-05,-0.0013511962830245507,-1.9852355880424846e-06,-1.9852355880425147e-06,-6.914159353290579e-06,-1.9990682702533064e-06,0.651942106871434,0.0161855629369145,-0.24007308987807907
