B_guess,h2m_gap
1.0,0.06396694342273462
1.01,0.061261169388902414
1.02,0.05857974088400414
1.03,0.05592249642099617
1.04,0.05328932270127401
1.05,0.050681213706608275
1.06,0.0480978094133655
1.07,0.045538120390000436
1.08,0.043001820345634045
1.09,0.04048858277549161
1.1,0.03799779652473134
1.11,0.03553002359688795
1.12,0.033084396055893195
1.13,0.03066060127380288
1.14,0.02825834733438476
1.15,0.02587734784056145
1.16,0.02351800131362669
1.17,0.02117983703616716
1.18,0.018861861092116627
1.19,0.016561956581303716
1.2,0.014282009147183639
1.21,0.012021753244300493
1.22,0.009781809877883185
1.23,0.007561265345019275
1.24,0.005359670105995917
1.25,0.003176742726041293
1.26,0.0010122833537169473
1.27,-0.0011344547631249036
1.28,-0.00326292369877601
1.29,-0.005373437265007275
1.3,-0.007466374025579536
1.31,-0.009542041934340606
1.32,-0.011600556407464047
1.33,-0.01364212541116383
1.34,-0.016509786433035523
1.35,-0.01850853709025302
1.36,-0.020491782161185912
1.37,-0.022460427980380615
1.38,-0.02441360657679975
1.39,-0.026351095477298025
1.4,-0.0282727828473765
1.41,-0.030178616266700264
1.42,-0.032069294287463634
1.43,-0.03394500190511979
1.44,-0.03580591411669026
1.45,-0.03765282238547507
1.46,-0.03948576317787267
1.47,-0.04130377573985672
1.48,-0.04310756939642624
1.49,-0.04489740032408385
1.5,-0.04667340471673298
1.51,-0.04843573969402931
1.52,-0.050184567646621825
1.53,-0.051919918006239074
1.54,-0.05364163274559103
1.55,-0.055351236817708704
1.56,-0.05704790122556891
1.57,-0.05873175432192801
1.58,-0.060402945385875206
1.59,-0.062061616010107346
1.6,-0.06370851321461113
1.61,-0.06534276040724812
1.62,-0.06696485263483876
1.63,-0.06857492997486475
1.64,-0.07017353755257855
1.65,-0.07176114931150052
1.66,-0.07333702985784535
1.67,-0.07490118310627847
1.68,-0.07645357129450187
1.69,-0.07799468042283053
1.7,-0.07952461383152143
1.71,-0.08104349760196766
1.72,-0.08255139432687769
1.73,-0.08404809004254893
1.74,-0.0855341033188573
1.75,-0.08701021366621398
1.76,-0.08847582562834289
1.77,-0.08993106997107164
1.78,-0.09137601951887525
1.79,-0.09281078852438451
1.8,-0.0942354653247367
1.81,-0.09565011951018859
1.82,-0.09705449362685953
1.83,-0.09844909006366642
1.84,-0.09983399038883534
1.85,-0.10120985738987892
1.86,-0.10257696393150745
1.87,-0.10393463739748465
1.88,-0.10528358048230652
1.89,-0.1066230935842239
1.9,-0.10795336906761249
1.91,-0.10927456592772739
1.92,-0.11058678303099195
1.93,-0.11189009094101304
1.94,-0.11318459509580653
1.95,-0.11447036399773153
1.96,-0.1157607278774419
1.97,-0.11710087700352895
1.98,-0.11843168910882668
1.99,-0.11975327491533744
2.0,-0.12106570471269734
